CoreID,CompositeDepth,DryBulkDensity,WaterContent,WetBulkDensity,TOC_percent,TOC_mg_g
PG1214,44,0.627126,50.62,1.27,2.31,23.1
PG1214,48,0.268677,74.89,1.07,8.75,87.5
PG1214,52,0.224983,80.09,1.13,12.71,127.1
PG1214,56,0.546402,52.07,1.14,2.08,20.8
PG1214,60,0.277296,73.84,1.06,7.46,74.6
PG1214,64,0.395136,64.72,1.12,4.08,40.8
PG1214,68,0.394524,66.28,1.17,4.37,43.7
PG1214,72,0.35827,67.43,1.1,4.14,41.4
PG1214,76,0.422653,65.07,1.21,3.64,36.4
PG1214,80,0.20502,79.9,1.02,8.94,89.4
PG1214,84,0.193968,82.04,1.08,12.83,128.3
PG1214,88,0.235744,77.76,1.06,10.48,104.8
PG1214,92,0.192351,80.17,0.97,12.25,122.5
PG1214,96,0.2255,77.45,1,11.3,113
PG1214,100,0.18717,81.65,1.02,15.86,158.6
PG1214,104,0.267968,74.72,1.06,11.39,113.9
PG1214,108,0.247932,74.44,0.97,9.5,95
PG1214,112,0.216346,79.59,1.06,15.59,155.9
PG1214,116,0.179353,81.51,0.97,16.97,169.7
PG1214,120,0.213788,77.96,0.97,14.21,142.1
PG1214,124,0.1913,80.87,1,16.48,164.8
PG1214,128,0.195728,81.18,1.04,13.65,136.5
PG1214,132,0.193743,81.19,1.03,15.68,156.8
PG1214,136,0.2105,78.95,1,12.49,124.9
PG1214,140,0.162656,84.36,1.04,17.19,171.9
PG1214,144,0.242771,76.43,1.03,10.59,105.9
PG1214,148,0.336735,67.93,1.05,7.06,70.6
PG1214,152,0.603738,40.81,1.02,1.18,11.8
PG1214,156,0.229484,77.72,1.03,13.45,134.5
PG1214,160,0.207795,80.21,1.05,12.26,122.6
PG1214,164,0.21168,79.84,1.05,12.93,129.3
PG1214,168,0.188748,82.36,1.07,14.09,140.9
PG1214,172,0.252048,78.64,1.18,12.11,121.1
PG1214,176,0.56914,60.2,1.43,5.14,51.4
PG1214,180,0.324128,71.06,1.12,6.51,65.1
PG1214,184,0.31482,70.85,1.08,9.41,94.1
PG1214,188,0.335534,73.58,1.27,10.99,109.9
PG1214,192,0.430756,61.88,1.13,6.48,64.8
PG1214,196,0.375,70,1.25,7.13,71.3
PG1214,200,0.469336,59.54,1.16,3.8,38
PG1214,204,0.515092,60.68,1.31,4.53,45.3
PG1214,208,0.489141,64.81,1.39,4.93,49.3
PG1214,212,0.645705,52.17,1.35,3.48,34.8
PG1214,216,0.48312,63.4,1.32,4.93,49.3
PG1214,220,0.493024,60.24,1.24,3.6,36
PG1214,224,0.447013,66.39,1.33,5.9,59
PG1214,228,0.553242,59.91,1.38,4.13,41.3
PG1214,237,0.676834,49.49,1.34,1.39,13.9
PG1214,245,0.634502,57.98,1.51,2.2,22
PG1214,253,1.146432,31.76,1.68,0.2,2
PG1214,261,1.087964,34.46,1.66,0.68,6.8
PG1214,269,1.957374,11.83,2.22,0.15,1.5
PG1214,277,2.146,7.5,2.32,0.02,0.2
PG1214,285,1.877636,12.26,2.14,0.02,0.2
PG1214,293,1.890938,12.86,2.17,0.01,0.1
PG1214,337,2.085468,9.72,2.31,0.02,0.2
PG1228,121,0.8607525,36.25,1.3502,3.89,38.9
PG1228,141,1.06200024,32.52,1.5738,3.75,37.5
PG1228,161,0.7846488,39.4,1.2948,3.13,31.3
PG1228,181,0.84598893,37.57,1.3551,3.2,32
PG1228,201,0.929903,39.42,1.535,2.92,29.2
PG1228,221,0.7095621,39.55,1.1738,3.58,35.8
PG1228,241,0.84956201,39.33,1.4003,3.17,31.7
PG1228,261,0.87517896,41.53,1.4968,2.67,26.7
PG1228,301,0.9936333,33.89,1.503,3.72,37.2
PG1228,321,0.83365425,35.65,1.2955,4.76,47.6
PG1228,341,0.80538138,41.14,1.3683,3.39,33.9
PG1228,361,0.71094435,40.03,1.1855,3.5,35
PG1228,381,0.81064584,36.39,1.2744,3.08,30.8
PG1228,401,0.76882126,43.61,1.3634,3.74,37.4
PG1228,421,0.8605366,39.45,1.4212,3.47,34.7
PG1228,441,0.7927008,43.2,1.3956,3.41,34.1
PG1228,461,0.8041494,41.8,1.3817,3.43,34.3
PG1228,481,0.83279943,38.27,1.3491,3.35,33.5
PG1228,501,0.81449276,40.79,1.3756,4.37,43.7
PG1228,521,0.80937444,41.78,1.3902,3.18,31.8
PG1228,541,0.80751902,39.38,1.3321,3.52,35.2
PG1228,561,0.82742178,40.89,1.3998,3.93,39.3
PG1228,581,0.81862,39,1.342,4.31,43.1
PG1228,601,0.83600811,41.77,1.4357,3.77,37.7
