KaBP	Longitude	Latitude	Mega_biome
0.0000 	-178.9000 	65.9000 	8.0000 
0.0000 	-178.8300 	67.7500 	8.0000 
0.0000 	-178.8300 	67.7500 	8.0000 
0.0000 	-172.0800 	64.7500 	8.0000 
0.0000 	-162.2000 	63.5000 	8.0000 
0.0000 	-161.4167 	68.1500 	8.0000 
0.0000 	-157.2167 	66.7667 	8.0000 
0.0000 	-156.0333 	68.1333 	8.0000 
0.0000 	-155.0500 	67.9333 	8.0000 
0.0000 	-155.0333 	67.6833 	8.0000 
0.0000 	-153.9000 	67.1333 	8.0000 
0.0000 	-153.6500 	67.1472 	8.0000 
0.0000 	-152.6000 	67.2500 	8.0000 
0.0000 	-151.4167 	67.5833 	8.0000 
0.0000 	-151.2667 	64.3333 	4.0000 
0.0000 	-151.0833 	63.4833 	4.0000 
0.0000 	-149.8000 	67.4167 	8.0000 
0.0000 	-149.4800 	61.1200 	4.0000 
0.0000 	-146.9075 	64.4444 	4.0000 
0.0000 	-146.4833 	68.3333 	8.0000 
0.0000 	-145.7000 	63.0667 	4.0000 
0.0000 	-145.2167 	68.2667 	8.0000 
0.0000 	-144.7500 	64.0000 	8.0000 
0.0000 	-144.6583 	63.9400 	4.0000 
0.0000 	-144.6500 	63.7111 	4.0000 
0.0000 	-143.1500 	66.5833 	4.0000 
0.0000 	-142.0667 	67.2000 	4.0000 
0.0000 	-141.9667 	60.0333 	4.0000 
0.0000 	-138.4000 	64.6333 	4.0000 
0.0000 	-138.3833 	68.3833 	8.0000 
0.0000 	-137.9578 	60.9500 	4.0000 
0.0000 	-135.6556 	66.0500 	8.0000 
0.0000 	-135.5142 	65.9422 	4.0000 
0.0000 	-135.4000 	59.2000 	4.0000 
0.0000 	-133.5833 	69.2833 	8.0000 
0.0000 	-133.4667 	68.2667 	4.0000 
0.0000 	-133.4500 	69.0500 	4.0000 
0.0000 	-132.1667 	69.1167 	8.0000 
0.0000 	-132.0167 	67.6500 	4.0000 
0.0000 	-131.9067 	54.4167 	4.0000 
0.0000 	-131.7643 	52.9464 	4.0000 
0.0000 	-130.6500 	61.6833 	4.0000 
0.0000 	-129.0167 	60.0333 	4.0000 
0.0000 	-128.0833 	64.6500 	4.0000 
0.0000 	-127.6167 	64.1667 	4.0000 
0.0000 	-127.4833 	65.0167 	4.0000 
0.0000 	-127.0500 	65.2167 	4.0000 
0.0000 	-126.4167 	65.2333 	4.0000 
0.0000 	-126.1167 	65.2167 	4.0000 
0.0000 	-124.2667 	71.7500 	8.0000 
0.0000 	-124.1967 	48.5964 	3.0000 
