coreid,latitude,longitude
16-KP-03-L10,65.945006,166.310083
16-KP-04-L19,67.7888,168.7384
2008-3,52.8526,78.626683
BC2008,54.9624,77.9595
BL02-2007,55.683183,76.799297
BN2016-1,50.01072,93.9745
Chupa-81-5,66.276667,32.691111
Co1309,60.98894,30.69086
Co1412,65.29415,135.759233
CON01-603-5,53.9546,108.9137
Dolgoe2012,63.75,37.303417
E4-2,60.73115,151.893567
EN18208,67.3403,168.29567
EN18218,67.78938,168.73352
ESM-1,52.02695,101.05908
Kamyshovoe2012,54.37675,22.713167
KAS-1,45.01247,147.7281
Korzhino2010,65.390278,33.566389
Kupal,67.665236,33.632277
Ladoga82,60.985067,31.1497
LENDERY180-4,63.447722,31.229417
LENDERY192,63.28956,31.09364
LENDERY200-1,63.2735,31.38334
LENDERY203-3,63.231111,31.517111
LOT83-7,68.64056,29.71564
LS-9,71.8769,127.0722
Maloye-1,45.084424,147.695375
MC2006,54.5522,77.9958
MT2,64.827489,38.101739
Muan2018,62.082306,31.493639
Nsuz,60.0562892,30.3010654
Okun2018,61.844444,33.140833
OSIN,67.57,32.64
PER3,50.0405,155.395167
PG1111,69.548,90.211
PG1205,72.72333,-22.465
PG1214,70.595,-21.535
PG1228,74.473,98.636
PG1238,79.11833,95.125
PG1341,69.555,90.26833
PG1351,67.50666,172.13833
PG1437,68.250611,65.789333
PG1746,62.051902,129.480061
PG1755,65.272,126.74633
PG1756,65.2955,126.77516
PG1856,56.82267,160.04027
PG1857,56.81675,160.06778
PG1858,56.82666667,160.115
PG1890,53.25314,157.754185
PG1972,73.19671,124.6208
PG1975,71.29435,125.55048
PG1982,70.69737,125.07643
PG1984,69.40485,123.82792
PG2023,69.628367,123.649783
PG2130,56.0594,130.9484
PG2133,56.0508,130.8795
PG2135,61.974483,129.38083
PG2201,61.958483,129.408333
PG2208,56.05615,130.8678
PG2360,64.48795,122.72229
PG2367,64.552555,122.729301
Tel2006,51.716667,87.65
Teriberka17,69.176972,35.081556
TKT-3,45.85575,149.799383
TL-1-1,70.3715,87.5557
Toros2018,63.486705,33.24012
TULOMA27,68.77681,32.45647
UKhau2015,63.55373,33.3377
ZAV,61.01127,29.65819
