"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-24.579443359375
21997,-18.4358683268229
21996,-26.7494313557942
21995,-22.8004720052083
21994,-34.003998819987
21993,-18.1295939127604
21992,-24.2162282307942
21991,-30.5697743733724
21990,-28.4538736979166
21989,-28.6003122965495
21988,-27.1650604248047
21987,-22.4508473714192
21986,-23.5981252034505
21985,-18.4019989013672
21984,-19.592632039388
21983,-21.6709299723307
21982,-24.6318776448567
21981,-19.7249359130859
21980,-25.8607798258463
21979,-29.0032358805338
21978,-20.3612833658854
21977,-22.7357950846354
21976,-20.1784830729166
21975,-23.2011627197265
21974,-21.6853240966797
21973,-23.6462870279948
21972,-27.0181844075521
21971,-27.5583506266276
21970,-25.7666483561198
21969,-29.4156911214192
21968,-26.4530751546224
21967,-23.7389638264974
21966,-30.3397633870442
21965,-23.5526794433594
21964,-21.4629119873047
21963,-26.8649098714192
21962,-23.3818318684896
21961,-22.9522359212239
21960,-27.3044647216797
21959,-24.7531697591146
21958,-27.2227183024088
21957,-29.5800537109375
21956,-27.8262339274088
21955,-19.5436106363932
21954,-24.1671864827474
21953,-21.1577412923177
21952,-25.1626088460286
21951,-24.8950459798177
21950,-23.1273457845052
21949,-21.9033264160156
21948,-22.7490397135416
21947,-18.4565287272135
21946,-26.3733683268229
21945,-29.1882334391276
21944,-27.4330149332682
21943,-23.597275797526
21942,-18.7553365071614
21941,-21.4904235839844
21940,-33.7013712565104
21939,-26.606309000651
21938,-27.8279988606771
21937,-21.9205637613932
21936,-25.8879252115885
21935,-20.4703023274739
21934,-23.6963612874349
21933,-28.5820933024088
21932,-23.5111348470052
21931,-20.7711242675781
21930,-27.1898864746094
21929,-29.2553263346354
21928,-26.0438802083333
21927,-20.8769744873047
21926,-23.3903208414713
21925,-21.5542154947916
21924,-18.4169830322265
21923,-27.2077748616536
21922,-19.8170684814453
21921,-28.4291341145833
21920,-26.2168843587239
21919,-28.3674936930338
21918,-27.9215250651041
21917,-26.9519765218099
21916,-28.6826487223307
21915,-28.3521891276041
21914,-27.3881235758463
21913,-24.0559651692708
21912,-26.5991068522135
21911,-20.8710286458333
21910,-23.3822591145833
21909,-29.6350463867187
21908,-25.2111419677734
21907,-24.6332204182942
21906,-21.7050587972005
21905,-22.7687184651692
21904,-23.8064331054687
21903,-25.1263081868489
21902,-30.7029225667317
21901,-23.3997253417969
21900,-33.5942291259765
21899,-22.8330190022786
21898,-19.9602518717448
21897,-20.8230550130208
21896,-26.6612915039062
21895,-21.2739369710286
21894,-23.426123046875
21893,-16.77939453125
21892,-22.9779673258463
21891,-25.4331776936849
21890,-24.6465209960937
21889,-18.3199523925781
21888,-26.3763946533203
21887,-21.4086720784505
21886,-21.6689361572265
21885,-25.9388895670573
21884,-26.0117858886719
21883,-25.7429260253906
21882,-24.047710164388
21881,-23.1078094482422
21880,-28.1029825846354
21879,-23.8863535563151
21878,-28.1918395996094
21877,-35.034282430013
21876,-23.1450002034505
21875,-25.5510772705078
21874,-21.5589660644531
21873,-20.9762532552083
21872,-25.1262776692708
21871,-24.9628509521484
21870,-31.9352121988932
21869,-18.9207722981771
21868,-20.9330047607422
21867,-35.5819864908854
21866,-25.436148071289
21865,-24.3815979003906
21864,-28.265488688151
21863,-30.5208699544271
21862,-27.538916015625
21861,-22.469346110026
21860,-27.0427663167317
21859,-22.6307790120442
21858,-22.0977233886719
21857,-21.6621256510416
21856,-18.0519215901692
21855,-19.9506998697916
21854,-26.8966634114583
21853,-24.0491394042969
21852,-25.1034352620442
21851,-26.0465962727864
21850,-21.6554016113281
21849,-25.6029876708984
21848,-25.0227366129557
21847,-28.5824595133463
21846,-24.2928934733073
21845,-15.6937215169271
21844,-15.8722188313802
21843,-30.5189829508463
21842,-29.3164886474609
21841,-25.614599609375
21840,-26.4725402832031
21839,-24.0455688476562
21838,-25.7053283691406
21837,-23.9301818847656
21836,-30.1612965901692
21835,-27.7904520670573
21834,-25.3945017496745
21833,-25.8874928792317
21832,-18.6656606038411
21831,-21.9805206298828
21830,-24.2470204671224
21829,-24.807709757487
21828,-17.3059041341146
21827,-27.3603220621745
21826,-26.2731079101562
21825,-28.273779296875
21824,-24.3021199544271
21823,-24.5911977132161
21822,-24.478862508138
21821,-29.8555308024088
21820,-32.4323638916015
21819,-23.9417989095052
21818,-23.145859781901
21817,-19.5136372884114
21816,-27.2108164469401
21815,-26.3585266113281
21814,-27.630972290039
21813,-29.4196787516276
21812,-32.8556070963541
21811,-29.3811299641927
21810,-24.7768564860026
21809,-26.1481486002604
21808,-24.0017761230469
21807,-29.0409301757812
21806,-23.0497344970703
21805,-23.4328521728515
21804,-22.9664316813151
21803,-28.6542673746745
21802,-32.386582438151
21801,-27.6993672688802
21800,-31.344346110026
21799,-26.625835164388
21798,-28.384135945638
21797,-27.7300323486328
21796,-26.4204366048177
21795,-25.5465148925781
21794,-20.9983225504557
21793,-26.8569295247396
21792,-27.5841888427734
21791,-27.8637196858724
21790,-22.2197174072265
21789,-28.5425170898437
21788,-25.7948415120442
21787,-20.6150115966797
21786,-28.6086334228515
21785,-24.0068776448567
21784,-27.8901326497396
21783,-26.9777028401692
21782,-27.536973063151
21781,-21.58798828125
21780,-27.1601470947265
21779,-24.998149617513
21778,-25.7626505533854
21777,-23.4241292317708
21776,-22.3767456054687
21775,-19.9867970784505
21774,-25.9613047281901
21773,-25.7064575195312
21772,-25.596304321289
21771,-29.6249806722005
21770,-20.3580993652344
21769,-28.0912638346354
21768,-22.8639383951823
21767,-25.860693359375
21766,-31.1544555664062
21765,-28.6112223307291
21764,-25.1826538085937
21763,-22.8518890380859
21762,-21.0415608723958
21761,-25.5075541178385
21760,-19.5553700764974
21759,-27.1362518310547
21758,-27.1672373453776
21757,-26.5340637207031
21756,-18.4655008951823
21755,-25.6916564941406
21754,-27.3289194742838
21753,-29.9741729736328
21752,-29.4757497151692
21751,-30.617524210612
21750,-24.1429097493489
21749,-20.5497446695963
21748,-19.4584157307942
21747,-28.2087972005208
21746,-25.1618153889974
21745,-19.6632548014323
21744,-22.6721506754557
21743,-23.6194620768229
21742,-25.9815226236979
21741,-24.6770538330078
21740,-27.1053883870442
21739,-30.1975260416666
21738,-28.971787516276
21737,-26.7459269205729
21736,-26.3382222493489
21735,-25.9882517496745
21734,-27.3215087890625
21733,-30.6851257324219
21732,-20.770366414388
21731,-25.3399973551432
21730,-17.6289377848307
21729,-23.9636291503906
21728,-26.6119394938151
21727,-35.3078572591146
21726,-24.0766408284505
21725,-29.2276214599609
21724,-20.5520690917969
21723,-28.7433888753255
21722,-29.8605662027995
21721,-28.2587036132812
21720,-24.5019388834635
21719,-28.9111796061198
21718,-27.6869873046875
21717,-27.2433888753255
21716,-27.9826110839844
21715,-25.9706888834635
21714,-28.9617879231771
21713,-29.1641347249349
21712,-24.2025665283203
21711,-24.0044209798177
21710,-26.2549296061198
21709,-30.9098063151041
21708,-32.1533772786458
21707,-27.5491953531901
21706,-20.8950256347656
21705,-25.9849456787109
21704,-25.8513651529948
21703,-30.7179270426432
21702,-28.1777862548828
21701,-20.5924794514974
21700,-29.915874226888
21699,-30.6528737386067
21698,-29.5298319498698
21697,-27.5788330078125
21696,-24.8054921468099
21695,-27.4731201171875
21694,-26.0483103434245
21693,-25.9697835286458
21692,-27.7106791178385
21691,-20.4601094563802
21690,-22.8175008138021
21689,-24.5958669026692
21688,-17.0018829345703
21687,-28.4233917236328
21686,-19.0900939941406
21685,-27.0055552164713
21684,-25.2501230875651
21683,-26.0210784912109
21682,-25.8055684407552
21681,-25.1969309488932
21680,-31.4956471761067
21679,-21.910258992513
21678,-26.1104136149088
21677,-18.4505981445312
21676,-22.1566274007161
21675,-30.8573313395182
21674,-23.6767435709635
21673,-28.276719156901
21672,-22.9547637939453
21671,-25.6121022542317
21670,-23.7404897054036
21669,-30.585791015625
21668,-24.9068105061849
21667,-23.0402180989583
21666,-26.6270711263021
21665,-23.1204437255859
21664,-25.2983510335286
21663,-26.7393961588541
21662,-26.8888407389323
21661,-30.371674601237
21660,-31.0837056477864
21659,-25.9359141031901
21658,-25.2524119059245
21657,-32.9486551920573
21656,-28.3806467692057
21655,-27.4304514567057
21654,-27.5135101318359
21653,-22.8473419189453
21652,-26.3508412679036
21651,-27.7175099690755
21650,-26.0407979329427
21649,-21.235220336914
21648,-27.2303731282552
21647,-26.8588724772135
21646,-24.2434906005859
21645,-23.2709004720052
21644,-29.1303314208984
21643,-25.7134307861328
21642,-20.7005269368489
