"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-15.944267018636
21998,-11.7997637430827
21997,-14.4988108317057
21996,-13.8560623168945
21995,-16.1632764180501
21994,-15.3093818664551
21993,-13.3983126322428
21992,-12.9537846883138
21991,-16.2807144165039
21990,-15.8163068135579
21989,-16.414715830485
21988,-15.4265477498372
21987,-13.4317115783691
21986,-14.9017369588216
21985,-11.5256942749023
21984,-9.58709182739256
21983,-14.6027918497721
21982,-12.8459126790364
21981,-15.1938296000163
21980,-14.8600321451823
21979,-13.6137616475423
21978,-11.4826861063639
21977,-14.0791776021321
21976,-15.1332954406738
21975,-13.1496604919433
21974,-12.9005531311035
21973,-14.92308400472
21972,-14.2707644144694
21971,-15.2833872477213
21970,-17.4006764729817
21969,-15.8222030639648
21968,-13.6155558268229
21967,-15.6496770222982
21966,-14.718738301595
21965,-13.5508000691732
21964,-13.5590779622396
21963,-14.9734430948893
21962,-11.5063156127929
21961,-13.8269040425618
21960,-15.0667874654134
21959,-14.0369832356771
21958,-17.2829040527344
21957,-13.901283009847
21956,-13.8723968505859
21955,-11.2162651062011
21954,-11.3840329488118
21953,-13.8137064615885
21952,-14.0451911926269
21951,-14.2252855936686
21950,-14.6465642293294
21949,-11.9561803181966
21948,-12.8052708943685
21947,-13.6835464477539
21946,-15.3410921732584
21945,-16.2763745625814
21944,-15.103987121582
21943,-12.4684102376302
21942,-13.6494481404622
21941,-15.1541923522949
21940,-19.3184735616048
21939,-14.3881540934245
21938,-14.5850471496582
21937,-12.706947072347
21936,-12.5400515238444
21935,-14.5544914245605
21934,-14.8616813659668
21933,-17.5365267435709
21932,-12.5208686828613
21931,-14.7475201924642
21930,-15.7007901509603
21929,-14.4503908793131
21928,-13.8936218261719
21927,-13.3962793986002
21926,-11.6546997070312
21925,-12.6311045328776
21924,-12.4399233500163
21923,-14.3398460388183
21922,-14.8487419128418
21921,-12.9615615844726
21920,-13.8584541320801
21919,-16.1601623535156
21918,-15.9170516967773
21917,-15.2619677225748
21916,-14.7993250528971
21915,-15.610038503011
21914,-16.9661913553873
21913,-13.8748395284017
21912,-14.58523534139
21911,-13.7809382120768
21910,-16.6199020385742
21909,-15.2536478678385
21908,-15.6107480367025
21907,-13.8112307230631
21906,-13.1994664510091
21905,-13.7713391621907
21904,-13.381393178304
21903,-16.1956415812174
21902,-14.2674494425455
21901,-14.7413060506185
21900,-15.0003888448079
21899,-13.3811731974284
21898,-12.4195325215657
21897,-14.4102094014485
21896,-13.5472396850586
21895,-15.0216621398926
21894,-13.0648534138997
21893,-11.045876566569
21892,-12.3499435424804
21891,-13.637075805664
21890,-13.334647878011
21889,-15.0270230611165
21888,-15.9953661600748
21887,-13.0014696756998
21886,-14.6544606526692
21885,-15.3721895853678
21884,-15.2309046427409
21883,-14.8417686462402
21882,-12.03396581014
21881,-13.7849487304687
21880,-15.5690216064453
21879,-15.328342183431
21878,-16.4583763122558
21877,-14.677961730957
21876,-15.5855061848958
21875,-14.227039082845
21874,-11.2259646097819
21873,-13.7157844543457
21872,-14.3275309244791
21871,-16.4265668233235
21870,-14.7731956481933
21869,-13.761759185791
21868,-16.3379666646321
21867,-17.3456100463867
