"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-13.3011739095052
21997,-12.44265721639
21996,-14.6654037475586
21995,-13.8453493754069
21994,-18.4619583129883
21993,-12.0277656555176
21992,-13.6886149088541
21991,-14.9205281575521
21990,-16.6692476908366
21989,-14.9368957519531
21988,-16.7762067159017
21987,-13.4199546813965
21986,-14.3829139709472
21985,-12.8586334228515
21984,-10.9125834147135
21983,-12.4135383605957
21982,-14.1149645487467
21981,-12.6820994059245
21980,-15.5856880187988
21979,-15.56908009847
21978,-11.5634521484375
21977,-12.9063222249349
21976,-13.485085550944
21975,-14.5312726338704
21974,-12.3351692199707
21973,-14.6172495524088
21972,-15.7133786519368
21971,-14.7680000305176
21970,-15.6268575032552
21969,-16.7214505513509
21968,-14.9494028727213
21967,-13.3724502563476
21966,-16.8124374389648
21965,-13.6239710489909
21964,-12.5665407816569
21963,-14.5263198852539
21962,-13.43240331014
21961,-13.2715845743815
21960,-14.2702049255371
21959,-14.3238192240397
21958,-15.379559580485
21957,-16.3913622538248
21956,-14.3217923482259
21955,-11.8108060201009
21954,-10.9524978637695
21953,-12.0689529418945
21952,-14.8339790344238
21951,-14.1203788757324
21950,-14.0766840616862
21949,-12.8051793416341
21948,-13.0942100524902
21947,-12.2960151672363
21946,-16.2913637797038
21945,-15.8495010375976
21944,-15.1149124145508
21943,-14.0098302205403
21942,-12.5202863057454
21941,-12.9885314941406
21940,-18.8589309692383
21939,-16.4279426574707
21938,-15.404327138265
21937,-12.3575538635254
21936,-13.0496149698893
21935,-14.1778485616048
21934,-14.5014734903971
21933,-16.3905446370442
21932,-14.7240356445312
21931,-13.1680842081705
21930,-16.1158368428548
21929,-15.4618057250976
21928,-13.4015920003255
21927,-13.5697705586751
21926,-12.4510686238607
21925,-12.0987660725911
21924,-12.1266273498535
21923,-14.1521718343099
21922,-13.4065053304036
21921,-15.40701268514
21920,-13.0941134134928
21919,-15.6197405497233
21918,-15.4118904113769
21917,-15.9098355611165
21916,-13.9170199076334
21915,-15.2022867838541
21914,-16.3863599141439
21913,-15.2503341674804
21912,-15.665396118164
21911,-12.9847282409668
21910,-15.3126180013021
21909,-16.706411743164
21908,-15.1146339416504
21907,-15.190906270345
21906,-13.3952697753906
21905,-13.0346728006998
21904,-14.074877166748
21903,-14.0677462259928
21902,-15.9895907084147
21901,-13.4973765055338
21900,-16.4279464721679
21899,-12.8060618082682
21898,-13.1745272318522
21897,-12.8471880594889
21896,-14.7838920593261
21895,-13.7055559794108
21894,-14.0467030843099
21893,-10.6469024658203
21892,-12.4829785664876
21891,-13.9959396362304
21890,-14.1315928141276
21889,-12.1997296651204
21888,-16.7502833048502
21887,-14.0639238993327
21886,-13.735339864095
21885,-15.2071594238281
21884,-15.7982251485189
21883,-15.2178405761719
21882,-12.7318773905436
21881,-13.5595789591471
21880,-15.3270515441894
21879,-14.9471560160319
21878,-16.0205914815267
21877,-16.7490346272786
21876,-13.063756052653
21875,-16.1793401082357
21874,-11.2452123006185
21873,-12.7299204508463
21872,-13.9810852050781
21871,-15.4126202901204
21870,-16.7211860656738
21869,-13.1173843383789
21868,-14.0753870646159
21867,-19.1169609069824
21866,-14.7216425577799
21865,-13.5927350362142
21864,-16.4375493367513
21863,-16.345198059082
21862,-13.8532903035482
21861,-12.532822672526
21860,-16.0278216044108
21859,-14.7909339904785
21858,-15.408986155192
21857,-14.2760134379069
21856,-12.2507690429687
21855,-12.1175839742025
21854,-14.7540954589844
21853,-14.9350723266601
21852,-14.973626200358
21851,-14.0655654907226
21850,-12.9616467793782
21849,-15.196017964681
21848,-14.088720703125
21847,-15.0453425089518
21846,-13.0117782592773
21845,-10.6689577738444
21844,-10.9010579427083
21843,-17.060093943278
21842,-17.7469581604004
21841,-15.3521179199219
21840,-13.4088793436686
21839,-15.4100733439127
21838,-15.4087623596191
21837,-14.6395490010579
21836,-15.9249582926432
21835,-15.7414459228515
21834,-15.2231188456217
21833,-13.8463450113932
21832,-10.830305480957
