"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-20.3430541992187
21997,-17.2251469930013
21996,-22.1408243815104
21995,-20.6130050659179
21994,-28.2845977783203
21993,-17.3454523722331
21992,-21.0234639485677
21991,-21.8609018961588
21990,-23.7919347127278
21989,-22.0993865966797
21988,-24.9231119791666
21987,-20.383029683431
21986,-21.7482589721679
21985,-19.4880991617838
21984,-16.885590616862
21983,-16.4838928222656
21982,-21.5343205769857
21981,-18.0375630696614
21980,-23.6508392333984
21979,-23.7705698649088
21978,-16.4955657958984
21977,-17.5650619506836
21976,-19.3509633382161
21975,-21.9383021036784
21974,-18.1413762410482
21973,-21.0688969930013
21972,-22.2002777099609
21971,-22.4800552368164
21970,-22.4334243774414
21969,-25.5189651489258
21968,-22.128396097819
21967,-20.2010559082031
21966,-26.8818878173828
21965,-20.7485056559245
21964,-18.7268814086914
21963,-22.4608673095703
21962,-21.9689468383789
21961,-18.6426452636719
21960,-20.8756952921549
21959,-21.9542602539062
21958,-22.7383967081706
21957,-26.4746536254883
21956,-21.5906509399414
21955,-17.4654017130534
21954,-15.9814946492513
21953,-17.7282826741536
21952,-22.0988220214844
21951,-22.0913375854492
21950,-20.6802963256836
21949,-19.6691599527995
21948,-18.7714701334635
21947,-18.55199025472
21946,-24.1400995890299
21945,-24.2042475382487
21944,-23.2983052571614
21943,-20.6523676554362
21942,-17.8086532592773
21941,-18.9955912272135
21940,-29.0390253702799
21939,-25.5267852783203
21938,-23.5923904418945
21937,-18.8363733927409
21936,-20.3442087809245
21935,-20.0802902221679
21934,-21.1145690917969
21933,-23.5216278076172
21932,-21.5398518880208
21931,-18.9499318440755
21930,-23.8026540120442
21929,-23.5770528157552
21928,-20.6784372965495
21927,-20.4901514689127
21926,-17.8163386027018
21925,-17.1959849039713
21924,-17.1411117553711
21923,-21.8180653889974
21922,-19.1009023030599
21921,-23.863986714681
21920,-18.8873860677083
21919,-23.776350402832
21918,-23.3157969156901
21917,-23.4568567911784
21916,-21.9438054402669
21915,-23.6262318929036
21914,-25.1087631225586
21913,-22.0841303507487
21912,-22.9205713907877
21911,-18.5353123982747
21910,-21.9272140502929
21909,-25.9298919677734
21908,-22.7116658528646
21907,-21.5237258911133
21906,-18.6186177571614
21905,-18.8936752319336
21904,-19.8745508829752
21903,-20.3520187377929
21902,-24.38060353597
21901,-18.9286432902018
21900,-26.1945149739583
21899,-18.6431538899739
21898,-18.7629837036133
21897,-17.7679987589518
21896,-22.6074025472005
21895,-18.9695673624674
21894,-22.7155771891276
21893,-15.8511566162109
21892,-19.8436111450195
21891,-21.3907353719075
21890,-20.4901769002278
21889,-16.0090520222982
21888,-25.1892761230469
21887,-21.6960535685221
21886,-20.8995752970377
21885,-22.765966796875
21884,-24.0788914998372
21883,-23.5689351399739
21882,-20.7668085734049
21881,-19.715190633138
21880,-22.7893152872721
21879,-20.980083211263
21878,-24.2252843221028
21877,-26.6477162679036
21876,-18.8518102010091
21875,-23.3088389078776
21874,-17.1250569661458
21873,-18.9519154866536
21872,-20.8928334554036
21871,-22.3400151570638
21870,-26.7759333292643
21869,-19.3556274414062
21868,-20.407827758789
21867,-29.80185546875
21866,-23.514501953125
21865,-20.5773300170898
21864,-24.5463063557942
21863,-24.6472381591797
21862,-21.8609069824219
