"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-4.69709879557289
21998,-4.44030354817706
21997,-4.67342732747394
21996,-5.12236124674477
21995,-4.06886393229164
21994,-6.55871175130206
21993,-4.81121419270831
21992,-5.30521240234373
21991,-4.7220520019531
21990,-6.1528381347656
21989,-7.0520080566406
21988,-5.2701477050781
21987,-3.64112955729164
21986,-4.93584798177081
21985,-3.91810709635414
21984,-3.86211751302081
21983,-5.85533243815102
21982,-3.71621297200519
21981,-5.69268391927081
21980,-5.62396850585935
21979,-6.69377237955727
21978,-5.11528116861977
21977,-5.35976765950519
21976,-5.71788126627602
21975,-5.66039632161456
21974,-4.2884582519531
21973,-4.40725301106769
21972,-6.07584228515623
21971,-5.21535847981769
21970,-5.19340616861977
21969,-4.41361083984373
21968,-4.76605834960935
21967,-4.44209391276039
21966,-4.98859252929685
21965,-5.17662150065102
21964,-3.62725423177081
21963,-3.24346516927081
21962,-4.15061035156248
21961,-5.27602742513019
21960,-4.8366760253906
21959,-5.67548217773435
21958,-5.12440592447914
21957,-4.5712951660156
21956,-4.60627848307289
21955,-3.3033508300781
21954,-3.74839884440102
21953,-4.35855712890623
21952,-3.97324218749998
21951,-3.67389526367185
21950,-4.83744913736977
21949,-2.77751261393227
21948,-4.46026204427081
21947,-4.0937561035156
21946,-5.06947428385414
21945,-4.38945109049477
21944,-4.47357788085935
21943,-3.54845784505206
21942,-5.33818155924477
21941,-4.26301676432289
21940,-4.71146240234373
21939,-5.08896484374998
21938,-5.35007324218748
21937,-2.75173543294269
21936,-3.28928222656248
21935,-5.94075113932289
21934,-4.19339599609373
21933,-6.28370768229164
21932,-5.25254923502602
21931,-5.63353068033852
21930,-5.81371663411456
21929,-5.53829549153644
21928,-3.84006347656248
21927,-5.7269348144531
21926,-3.33827311197914
21925,-4.79338175455727
21924,-4.81600545247394
21923,-4.81742960611977
21922,-4.62281901041664
21921,-4.18602091471352
21920,-4.36141560872394
21919,-5.81026814778644
21918,-5.77440999348956
21917,-6.44112752278644
21916,-4.35369466145831
21915,-4.00346476236977
21914,-5.48520507812498
21913,-4.63908487955727
21912,-4.86777343749998
21911,-4.04361572265623
21910,-6.40591023763019
21909,-6.7319396972656
21908,-4.82145792643227
21907,-6.23404541015623
21906,-4.08063354492185
21905,-4.78647460937498
21904,-4.95527750651039
21903,-5.71013997395831
21902,-4.94832967122394
21901,-4.24708658854164
21900,-5.25859171549477
21899,-5.11250406901039
21898,-4.89205525716144
21897,-5.67135213216144
21896,-3.99849039713539
21895,-5.59853719075519
21894,-4.25795084635414
21893,-4.08921915690102
21892,-5.14179077148435
21891,-4.04657592773435
21890,-4.49149169921873
21889,-4.62349039713539
