"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-9.01482238769529
21997,-9.67683258056638
21996,-9.41397959391274
21995,-9.3078420003255
21994,-10.2855463663737
21993,-9.22538350423175
21992,-8.44880015055336
21991,-8.76651611328123
21990,-11.625845336914
21989,-10.6618001302083
21988,-10.4903854370117
21987,-8.78207753499347
21986,-9.11308898925779
21985,-8.06736857096352
21984,-8.03444010416664
21983,-10.3102274576823
21982,-8.82172495524086
21981,-10.5699981689453
21980,-10.4192209879557
21979,-10.4661239624023
21978,-9.50420735677081
21977,-10.5408564249674
21976,-10.4333201090495
21975,-10.0827265421549
21974,-9.53371531168617
21973,-10.1221450805664
21972,-11.5829986572265
21971,-9.37039794921873
21970,-11.2157831827799
21969,-10.5342213948567
21968,-9.83547566731769
21967,-8.74440867106117
21966,-9.608257039388
21965,-9.5342341105143
21964,-8.89415842692055
21963,-8.59279225667315
21962,-7.13576609293618
21961,-9.39799092610675
21960,-10.6256062825521
21959,-9.42196756998696
21958,-10.8581171671549
21957,-8.39913279215492
21956,-9.34245656331378
21955,-8.80099589029946
21954,-8.24230550130206
21953,-8.88752339680987
21952,-9.24273783365883
21951,-8.45544535319008
21950,-9.69627227783201
21949,-8.34335683186847
21948,-9.27924194335935
21947,-8.16309458414711
21946,-11.0480967203776
21945,-9.86978759765623
21944,-9.2582585652669
21943,-9.7627243041992
21942,-9.67157084147133
21941,-8.76588795979815
21940,-10.7708216349284
21939,-10.1440083821614
21938,-9.36061452229815
21937,-7.77551625569659
21936,-8.07924753824867
21935,-10.8443384806315
21934,-10.3434432983398
21933,-11.6716445922851
21932,-10.4482711791992
21931,-10.4521774291992
21930,-10.4334269205729
21929,-9.45333709716795
21928,-8.22015736897784
21927,-9.21693776448565
21926,-9.2389460245768
21925,-9.52677001953123
21924,-9.639262898763
21923,-8.75829162597654
21922,-9.8683405558268
21921,-8.84515482584633
21920,-9.59691721598305
21919,-9.76897786458331
21918,-9.67441660563149
21917,-10.9470250447591
21916,-7.97475789388019
21915,-8.82186482747394
21914,-10.1903238932291
21913,-10.0565628051758
21912,-10.4606740315755
21911,-9.31507975260414
21910,-11.0717274983724
21909,-10.2583450317383
21908,-9.79719136555987
21907,-11.1017364501953
21906,-9.61993509928383
21905,-9.43198242187498
21904,-10.6145512898763
21903,-9.65725301106769
21902,-10.3952189127604
21901,-9.70819956461586
21900,-9.74362538655597
21899,-8.74743754069008
21898,-10.2701349894205
21897,-9.93863779703774
21896,-8.89057769775388
21895,-10.7406829833984
21894,-8.16242065429685
21893,-8.58143971761065
21892,-8.13658752441404
21891,-8.54854939778644
21890,-10.2335901896159
21889,-10.291237894694
21888,-10.4457916259765
21887,-9.2509572347005
21886,-9.36077982584633
21885,-10.0410293579101
21884,-11.5024576822916
21883,-9.877300008138
21882,-7.77514750162758
21881,-10.3768753051758
21880,-10.472156270345
21879,-11.1984568277995
21878,-10.4126444498698
21877,-8.77597147623696
21876,-9.44021708170571
21875,-11.4393193562825
21874,-8.26759948730466
21873,-8.82133585611977
21872,-9.49764607747394
21871,-10.9402374267578
21870,-8.73492787679034
21869,-9.61913655598956
21868,-10.1344818115234
21867,-10.4663579305013
21866,-8.50561116536456
21865,-9.03183085123696
21864,-10.2123092651367
21863,-10.4209197998047
21862,-8.16828002929685
21861,-9.7564758300781
21860,-9.60802561442055
21859,-11.1509231567383
21858,-11.2762969970703
21857,-9.24880574544269
21856,-9.66099650065102
21855,-9.35522308349607
21854,-8.30470886230466
21853,-10.2778889973958
21852,-8.48888244628904
21851,-9.20384572347003
21850,-8.52948354085284
21849,-9.25627237955727
21848,-9.96581115722654
21847,-9.09127655029295
21846,-6.65401814778644
21845,-7.68839111328123
21844,-8.31942596435545
21843,-9.17836863199867
21842,-10.5171239217122
21841,-10.5036605834961
21840,-8.20477396647133
21839,-8.88207600911456
21838,-11.7004455566406
21837,-10.914050801595
21836,-9.29896901448565
21835,-10.3295984903971
21834,-10.4930379231771
21833,-10.1152633666992
21832,-8.57687733968097
21831,-9.45410257975258
21830,-9.80516662597654
21829,-10.1114944458008
21828,-8.82404174804685
21827,-11.2068644205729
21826,-9.31144053141274
21825,-9.55566253662107
21824,-9.02843322753904
21823,-8.54767964680987
21822,-9.96851450602211
21821,-11.2698552449544
21820,-8.88091125488279
21819,-9.93495788574216
21818,-9.20353291829425
21817,-9.45455780029295
21816,-10.8467035929362
21815,-9.40173187255857
21814,-10.161245727539
21813,-9.40273386637367
21812,-9.03622029622394
21811,-9.97859039306638
21810,-10.1423985799153
21809,-9.2514455159505
21808,-9.44712931315102
21807,-9.86839141845701
21806,-8.6814025878906
21805,-7.9806935628255
21804,-8.29232635498045
21803,-9.25823822021482
21802,-11.8344380696614
21801,-8.92275085449216
21800,-10.0279754638672
21799,-8.90455220540362
21798,-9.04073689778644
21797,-10.9664393107096
21796,-10.7575770060221
21795,-9.8411188761393
21794,-11.3203491210937
21793,-9.33844350179034
21792,-10.7651377360026
21791,-8.65089009602862
21790,-8.42304585774737
21789,-8.32554982503253
21788,-9.70713907877602
21787,-9.89862925211586
21786,-9.34539388020831
21785,-10.7748830159505
21784,-11.2661677042643
21783,-8.72189432779946
21782,-10.6243347167969
21781,-10.1426503499349
21780,-8.9694402058919
21779,-9.74737141927081
21778,-8.79654286702472
21777,-9.71388092041013
21776,-8.75065968831378
21775,-10.1723007202148
21774,-9.28199869791664
21773,-8.87795104980466
21772,-9.93082021077472
21771,-10.1879638671875
21770,-8.19113006591795
21769,-11.0290664672851
21768,-7.90698343912758
21767,-9.68201802571612
21766,-8.19686737060545
21765,-9.14766540527341
21764,-10.8720509847005
21763,-7.95425516764321
21762,-9.81444651285805
