"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-45.8140065511068
21997,-45.7252817789713
21996,-46.6879994710286
21995,-45.2697560628255
21994,-47.2604482014974
21993,-46.2133544921875
21992,-49.0868082682291
21991,-45.6503611246745
21990,-46.389273071289
21989,-49.026459757487
21988,-50.6459665934245
21987,-48.5962534586588
21986,-50.2521931966146
21985,-48.537934366862
21984,-46.4533955891927
21983,-47.7541971842448
21982,-47.9475972493489
21981,-50.5910858154297
21980,-46.3569040934245
21979,-45.233755493164
21978,-48.4055847167969
21977,-50.0278177897135
21976,-47.0892598470052
21975,-47.7016560872396
21974,-47.4797475179036
21973,-44.6170155843099
21972,-46.536001586914
21971,-47.2018442789713
21970,-47.5741434733073
21969,-49.2429972330729
21968,-46.171743774414
21967,-47.6791849772135
21966,-47.805029296875
21965,-46.4385538736979
21964,-47.882416788737
21963,-48.4711161295573
21962,-49.5629333496094
21961,-48.5976267496745
21960,-45.56796875
21959,-49.4379180908203
21958,-48.4457407633463
21957,-48.2340810139974
21956,-48.3107411702474
21955,-50.3148305257161
21954,-48.4428466796875
21953,-48.808203125
21952,-47.1864990234375
21951,-46.3924214680989
21950,-47.3474538167318
21949,-45.4972595214844
21948,-47.4663706461588
21947,-48.8270579020182
21946,-47.0357421875
21945,-45.8881032307943
21944,-47.1786814371745
21943,-47.795751953125
21942,-46.9462697347005
21941,-45.8480845133463
21940,-46.9246938069661
21939,-48.3224090576172
21938,-45.4724385579427
21937,-44.0154988606771
21936,-46.4631561279297
21935,-46.6123362223307
21934,-47.1867228190104
21933,-48.2629252115885
21932,-44.8211985270182
21931,-47.4225830078125
21930,-46.2573710123698
21929,-48.1693328857422
21928,-45.5519978841146
21927,-49.0852620442708
21926,-49.1186838785807
21925,-47.1589670817057
21924,-45.6206929524739
21923,-48.210801188151
21922,-50.144888305664
21921,-49.5952514648437
21920,-46.3981333414713
21919,-48.6931874593099
21918,-47.3006652832031
21917,-46.087744140625
21916,-49.3105885823568
21915,-46.9468953450521
21914,-46.7826802571614
21913,-48.304052734375
21912,-46.8074961344401
21911,-44.7210856119791
21910,-49.2624114990234
21909,-46.2951873779297
21908,-47.5337534586588
21907,-46.0541086832682
21906,-46.0460774739583
21905,-45.7147328694661
21904,-46.9077463785807
21903,-49.8659474690755
21902,-46.134858194987
21901,-47.4290374755859
21900,-44.203716023763
21899,-49.1354787190755
21898,-46.4309956868489
21897,-46.8128621419271
21896,-47.7668924967448
21895,-47.907334391276
21894,-47.1010040283203
21893,-49.2406982421875
21892,-49.6274831136068
21891,-44.7600921630859
21890,-46.5562703450521
21889,-47.8772796630859
21888,-48.8059855143229
21887,-46.119248453776
21886,-48.4280303955078
21885,-47.2788401285807
21884,-48.3251352945963
21883,-47.4038604736328
21882,-49.6959645589193
21881,-47.3412333170573
21880,-47.373393758138
21879,-48.4923716227213
21878,-49.309189860026
21877,-48.9084075927734
21876,-47.5969401041666
21875,-45.2240152994791
21874,-48.0525675455729
21873,-47.3435526529948
21872,-45.4623016357422
21871,-47.8621836344401
21870,-46.3998270670573
21869,-47.4289560953776
21868,-47.4811360677083
21867,-47.9576985677083
21866,-45.5089223225911
21865,-47.906103515625
21864,-47.5522165934245
21863,-45.8598134358724
21862,-47.081401570638
21861,-49.3850769042969
21860,-47.3227498372396
21859,-48.9540517171224
21858,-48.2455301920573
21857,-46.9221201578776
21856,-47.8717559814453
21855,-49.3894917805989
21854,-48.0814422607422
21853,-46.2725331624349
21852,-49.2243509928385
21851,-46.1263641357422
21850,-46.6642923990885
21849,-48.4080159505208
21848,-47.7892364501953
21847,-47.2408203125
21846,-47.259369913737
21845,-46.727885945638
21844,-47.1672017415364
21843,-44.5701100667318
21842,-50.7608042399088
21841,-44.8020385742187
21840,-49.6774403889974
21839,-47.4023447672526
21838,-47.8307657877604
21837,-47.1365926106771
21836,-50.6579447428385
21835,-50.5064656575521
21834,-46.7795623779297
21833,-47.6579905192057
21832,-46.4053304036458
21831,-45.6789560953776
21830,-50.4518900553385
21829,-45.2509368896484
21828,-48.2651072184245
21827,-48.1129974365234
21826,-48.6298583984375
21825,-47.6061208089193
21824,-47.1584838867187
21823,-47.3670918782552
21822,-47.7548177083333
21821,-47.1854817708333
21820,-46.8674275716146
21819,-48.2567759195963
21818,-48.2732452392578
21817,-48.2003489176432
21816,-46.7246103922526
21815,-47.6862548828125
21814,-48.069937133789
21813,-48.0556650797526
21812,-48.5734263102213
21811,-47.1691802978515
21810,-51.2168436686198
21809,-48.8138793945312
21808,-49.25888671875
21807,-47.374853515625
21806,-46.5335754394531
21805,-46.722036743164
21804,-46.1964782714844
21803,-48.4962371826172
21802,-47.9046997070312
21801,-48.177099609375
21800,-47.2350016276041
21799,-47.2701680501302
21798,-46.9904541015625
21797,-47.0204833984375
21796,-49.9539805094401
21795,-50.2028818766276
21794,-48.9541687011719
21793,-46.299917602539
21792,-46.5352437337239
21791,-47.8117024739583
21790,-47.29453125
21789,-46.2364613850911
21788,-45.8291839599609
21787,-46.4238444010416
21786,-45.3175669352213
21785,-48.1492930094401
21784,-46.8746856689453
21783,-47.9000305175781
21782,-49.0429036458333
21781,-46.6808481852213
21780,-47.8735666910807
21779,-47.9674438476562
21778,-50.8512888590495
21777,-46.1757822672526
21776,-47.8831288655599
21775,-47.1711181640625
21774,-45.5160481770833
21773,-48.6963205973307
21772,-47.1218475341797
21771,-48.2715515136719
21770,-48.0089172363281
21769,-46.9459696451823
21768,-46.8210917154948
21767,-50.2627522786458
21766,-48.9228780110677
21765,-46.9036265055338
21764,-50.5881968180338
21763,-45.977158610026
21762,-48.6762349446614
21761,-49.7619842529297
21760,-47.9591990152995
21759,-48.4911407470703
21758,-48.2342539469401
21757,-46.4054117838541
21756,-48.9890096028646
21755,-45.6708791097005
21754,-48.8056599934896
21753,-50.8538421630859
21752,-47.8948323567708
21751,-51.093374633789
21750,-45.1296854654948
21749,-48.9289052327474
21748,-47.466909790039
21747,-45.8764455159505
21746,-48.9235137939453
21745,-46.0070505777995
21744,-47.1410837809245
21743,-47.6380879720052
21742,-45.8301249186198
21741,-49.1437032063802
21740,-48.0347045898437
21739,-45.9624643961588
21738,-49.4637512207031
21737,-46.4781097412109
21736,-48.2493041992187
21735,-48.6902170817057
21734,-46.2033040364583
21733,-47.2050994873047
21732,-43.9526580810547
21731,-51.2410339355469
21730,-47.8664459228515
21729,-46.8367421468099
21728,-46.623627726237
21727,-47.7961334228515
21726,-48.1759653727213
21725,-47.9022837320963
21724,-45.1512817382812
21723,-46.4679575602213
21722,-47.628042602539
21721,-47.3331665039062
21720,-47.4584055582682
21719,-50.0148935953776
21718,-45.9363159179687
21717,-48.5947784423828
21716,-45.6431131998698
21715,-51.0496785481771
21714,-48.6377471923828
21713,-50.7594716389974
21712,-48.3245452880859
21711,-51.7663228352864
21710,-47.0327209472656
21709,-46.0629384358724
21708,-46.4278930664062
21707,-48.1432149251302
21706,-48.8018147786458
21705,-45.0870778401693
21704,-46.3899648030599
21703,-47.7980509440104
21702,-49.074819946289
21701,-47.8198099772135
21700,-49.4517323811849
21699,-47.630473836263
21698,-48.8388122558594
21697,-46.0824645996094
21696,-46.6427927652995
21695,-48.3938608805338
21694,-44.7085530598958
21693,-47.1259724934896
21692,-50.1565104166666
21691,-47.2761342366536
21690,-48.9663553873698
21689,-48.219590250651
21688,-46.9775807698568
21687,-48.4619913736979
21686,-47.2363138834635
21685,-44.5280466715495
21684,-48.1906392415364
21683,-46.3786682128906
21682,-47.2185729980469
21681,-46.1663930257161
21680,-47.0248728434245
21679,-46.6839813232422
21678,-49.0855061848958
21677,-46.1791900634765
21676,-48.2641815185547
21675,-48.4864766438802
21674,-45.862153116862
21673,-46.3116566975911
21672,-48.225922648112
21671,-49.7773651123047
21670,-46.6270914713541
21669,-49.3603424072265
21668,-47.2163808186849
21667,-45.9809173583984
21666,-45.7336486816406
21665,-48.8607340494791
21664,-46.7056182861328
21663,-48.9922139485677
21662,-47.0229604085286
21661,-49.7455657958984
21660,-45.3137725830078
21659,-48.2149210611979
21658,-45.5956532796224
21657,-47.2310038248698
21656,-50.6801717122396
21655,-47.9187784830729
21654,-47.1871500651041
21653,-47.1281494140625
21652,-47.8794413248698
21651,-49.0294860839844
21650,-48.2374633789062
21649,-46.6747192382812
21648,-47.5866811116536
21647,-49.3571482340495
21646,-49.0798146565755
21645,-46.2981374104818
21644,-47.4415751139323
21643,-50.0307271321614
21642,-46.8503021240234
21641,-48.1236531575521
21640,-45.9130004882812
21639,-45.8271291097005
21638,-48.275727335612
21637,-45.7732604980469
21636,-48.0081899007161
21635,-47.2317260742187
21634,-47.9768890380859
21633,-50.4723571777344
21632,-47.7180491129557
21631,-46.3505716959635
21630,-49.2826293945312
21629,-46.2821512858073
21628,-47.2664398193359
21627,-48.8200490315755
21626,-46.0824289957682
21625,-47.1367909749349
21624,-47.2609517415364
21623,-48.0362711588541
21622,-48.6242431640625
21621,-46.4834197998047
21620,-48.5044209798177
21619,-47.8416249593099
21618,-47.7994903564453
21617,-45.7297170003255
