"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-25.9809377034505
21997,-25.4925979614258
21996,-26.3516448974609
21995,-26.0414031982422
21994,-26.6260869344075
21993,-26.4287297566732
21992,-27.3443842569987
21991,-27.1433776855469
21990,-27.5904754638672
21989,-26.0824213663737
21988,-26.272563680013
21987,-26.9187784830729
21986,-26.2029403686523
21985,-26.3053344726562
21984,-26.0316833496094
21983,-28.2259251912435
21982,-27.0029281616211
21981,-25.6687581380208
21980,-26.5656341552734
21979,-24.9864817301432
21978,-27.0309458414713
21977,-27.2317947387695
21976,-25.3377797444661
21975,-26.0891682942708
21974,-24.5927973429362
21973,-26.1711029052734
21972,-24.5810684204101
21971,-25.2615315755208
21970,-25.1186660766601
21969,-26.9589803059896
21968,-27.8544779459635
21967,-25.680652364095
21966,-26.5475524902344
21965,-27.4745010375976
21964,-27.926003519694
21963,-27.1960255940755
21962,-25.7933486938476
21961,-27.3465128580729
21960,-25.0568501790364
21959,-27.101176961263
21958,-26.1857284545898
21957,-25.9894978841146
21956,-26.2397750854492
21955,-25.7882166544596
21954,-26.4572611490885
21953,-25.7814977010091
21952,-25.8018732706706
21951,-27.4651397705078
21950,-25.4547993977864
21949,-26.692973836263
21948,-26.0233139038086
21947,-25.094211324056
21946,-26.4066350301107
21945,-27.2375116984049
21944,-24.9321273803711
21943,-26.3607391357422
21942,-26.6328796386719
21941,-27.0783854166666
21940,-25.4384801228841
21939,-25.6387135823567
21938,-27.0466700236002
21937,-26.9243733723958
21936,-25.232888285319
21935,-26.0047108968099
21934,-25.8229507446289
21933,-25.899267578125
21932,-26.7965911865234
21931,-26.9727513631185
21930,-26.843369547526
21929,-26.9313618977864
21928,-25.6238082885742
21927,-26.9392303466797
21926,-27.2519999186198
21925,-27.2084055582682
21924,-25.8742228190104
21923,-27.2143081665039
21922,-26.4163014729817
21921,-26.3722849527995
21920,-27.1153447469075
21919,-26.8504674275716
21918,-25.7930562337239
21917,-26.0882603963216
21916,-26.4912424723307
21915,-28.0072235107422
21914,-24.7028818766276
21913,-25.9792465209961
21912,-25.348725382487
21911,-26.8471969604492
21910,-25.9361455281575
21909,-26.7162536621094
21908,-26.5854909261067
21907,-27.0614761352539
21906,-25.3240417480469
21905,-25.4028254191081
21904,-26.3806620279948
21903,-26.7412094116211
21902,-26.2650894165039
21901,-26.6124354044596
21900,-28.5089935302734
21899,-26.9481872558594
21898,-27.2795674641927
21897,-26.4512491861979
21896,-25.202012125651
21895,-26.950412495931
21894,-25.7570251464844
21893,-25.8171396891276
21892,-25.9431391398112
21891,-26.6383702596028
21890,-26.6087987263997
21889,-27.2610610961914
21888,-25.3242833455403
21887,-26.9346552530924
21886,-26.0429697672526
21885,-26.3302088419596
21884,-26.5793924967448
21883,-26.4567220052083
21882,-25.9014572143554
21881,-26.5708043416341
21880,-26.5510340372721
21879,-25.8579416910807
21878,-25.2712209065755
21877,-26.6473754882812
21876,-26.0210632324219
21875,-25.0692428588867
21874,-26.6371749877929
21873,-26.2401234944661
21872,-26.0946767171224
21871,-25.4032831827799
21870,-25.4301335652669
21869,-27.3249776204427
21868,-26.1404174804687
21867,-24.7386967976888
21866,-24.3384969075521
21865,-27.392078145345
21864,-26.9129750569661
21863,-27.2802363077799
21862,-26.9091400146484
21861,-25.1365315755208
21860,-27.0255060831706
21859,-25.7728001912435
21858,-27.0525853474935
21857,-26.8183680216471
21856,-24.884380086263
21855,-24.797834777832
21854,-25.9076166788737
21853,-24.5355361938476
21852,-25.1541325887044
21851,-25.3846674601237
21850,-25.1501398722331
21849,-27.1875213623047
21848,-26.0828180948893
21847,-27.7832906087239
21846,-26.3552688598633
21845,-26.2201446533203
21844,-28.4314432779948
21843,-27.2388900756836
21842,-25.2354619344075
21841,-27.8595464070638
21840,-26.6073364257812
21839,-25.7091328938802
21838,-27.5953913370768
21837,-29.0756210327148
21836,-27.1187932332357
21835,-26.4939915974935
21834,-24.343857828776
21833,-25.4617141723633
21832,-26.5911519368489
21831,-27.1323862711588
21830,-26.3598108927409
21829,-25.120090230306
21828,-26.9265731811523
21827,-26.3664840698242
21826,-25.604963684082
21825,-25.4117416381836
21824,-26.627793375651
21823,-27.0245803833008
21822,-25.831645711263
21821,-27.9399703979492
21820,-27.4054397583008
21819,-28.2106435139974
21818,-24.8257837931315
21817,-25.7672256469726
21816,-27.3680760701497
21815,-25.1635599772135
21814,-26.180522664388
21813,-25.7066024780273
21812,-27.9485432942708
21811,-25.0999257405599
21810,-26.4589345296224
21809,-26.6822087605794
21808,-26.2077799479166
21807,-25.7232955932617
21806,-25.7354797363281
21805,-27.3646479288737
21804,-25.2027369181315
21803,-27.2886464436849
21802,-25.5710535685221
21801,-27.3164199829101
21800,-26.0636734008789
21799,-24.8700775146484
21798,-26.3195353190104
21797,-25.9693359375
21796,-26.0461410522461
21795,-26.2110656738281
21794,-26.1050526936849
21793,-24.5753412882487
21792,-25.4532709757487
21791,-26.3249114990234
21790,-26.1800572713216
21789,-26.7903477986653
21788,-25.0327438354492
21787,-25.6359390258789
21786,-27.2943557739258
21785,-26.2673909505208
21784,-27.5905059814453
21783,-27.6128092447916
21782,-25.3461542765299
21781,-27.0387507120768
21780,-26.1857233683268
