"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-46.9693664550781
21997,-46.9271352132161
21996,-46.7642222086588
21995,-46.992544555664
21994,-48.0115315755208
21993,-48.6215830485026
21992,-51.7039093017578
21991,-44.2199208577474
21990,-48.3586283365885
21989,-47.5969706217448
21988,-53.0780395507812
21987,-49.9756174723307
21986,-51.9614318847656
21985,-51.1579854329427
21984,-47.4169474283854
21983,-48.7726298014323
21982,-50.1135976155599
21981,-49.9942586263021
21980,-47.7111470540364
21979,-45.9974019368489
21978,-49.9339914957682
21977,-52.1525990804036
21976,-48.7727366129557
21975,-46.5881306966146
21974,-48.0426951090495
21973,-45.099223836263
21972,-47.072856648763
21971,-46.2879191080729
21970,-49.1032114664713
21969,-51.3836018880208
21968,-47.704692586263
21967,-49.8871622721354
21966,-49.5937917073568
21965,-48.3088643391927
21964,-48.8547322591146
21963,-48.5600850423177
21962,-50.7622639973958
21961,-48.7970336914062
21960,-45.7827616373698
21959,-50.6625681559245
21958,-49.1852884928385
21957,-47.5856180826823
21956,-51.1566477457682
21955,-51.5894226074219
21954,-49.742783610026
21953,-50.4084431966146
21952,-49.1729949951172
21951,-46.3596150716146
21950,-47.5397755940755
21949,-47.2093617757161
21948,-48.3481150309245
21947,-51.5383209228515
21946,-48.1679138183594
21945,-45.4822347005208
21944,-47.1069702148437
21943,-49.9209248860677
21942,-47.3784088134765
21941,-47.5337585449219
21940,-47.9003712972005
21939,-49.6639465332031
21938,-43.6374369303385
21937,-43.5780802408854
21936,-45.7278350830078
21935,-45.7128255208333
21934,-47.0050059000651
21933,-47.9643107096354
21932,-45.6344868977864
21931,-48.2562622070312
21930,-46.9168253580729
21929,-49.7880767822265
21928,-45.0395212809245
21927,-49.0594899495443
21926,-49.5375223795573
21925,-45.5202850341797
21924,-48.0520233154297
21923,-48.4496317545573
21922,-52.0252288818359
21921,-51.315288289388
21920,-45.1498372395833
21919,-47.8547373453776
21918,-48.6832997639974
21917,-46.8992014567057
21916,-50.8017232259114
21915,-46.5071014404297
21914,-47.0370798746745
21913,-49.5215159098307
21912,-45.6503509521484
21911,-44.7318684895833
21910,-50.8981740315755
21909,-47.1296295166015
21908,-49.826773071289
21907,-44.7379465738932
21906,-46.0606343587239
21905,-44.9091552734375
21904,-49.4691833496094
21903,-52.5478068033854
21902,-46.2837890625
21901,-46.5754048665364
21900,-44.6181193033854
21899,-49.7989512125651
21898,-47.1453867594401
21897,-44.2773142496745
21896,-48.3273935953776
21895,-46.0396382649739
21894,-48.0564737955729
21893,-51.7924509684245
21892,-52.3453531901041
21891,-45.5224466959635
21890,-48.48837890625
21889,-48.3068959554036
21888,-51.5732788085937
21887,-47.8711405436198
21886,-47.3290262858073
21885,-48.5822764078776
21884,-49.3091033935547
21883,-50.0935780843099
21882,-50.6043050130208
21881,-48.8026234944661
21880,-48.2789469401041
21879,-49.6636973063151
21878,-49.5137390136719
21877,-46.7695933024088
21876,-50.5784210205078
21875,-44.5470998128255
21874,-49.714453125
21873,-48.04697265625
21872,-46.3367014567057
21871,-48.3723866780599
21870,-47.9660095214844
21869,-49.5893107096354
21868,-47.6942657470703
21867,-50.8103495279948
21866,-45.9942128499349
21865,-49.4530853271484
21864,-47.1983093261719
21863,-45.5178029378255
21862,-48.269140625
21861,-48.6435760498047
21860,-49.9783538818359
21859,-48.4326131184896
21858,-48.3299774169922
21857,-48.4007731119791
21856,-49.7000793457031
21855,-49.9706075032552
21854,-48.7294830322265
21853,-45.1845052083333
21852,-49.9914306640625
21851,-45.8241180419922
21850,-46.2327484130859
21849,-50.2990732828776
21848,-46.6464955647786
21847,-48.2045450846354
21846,-49.1660827636719
21845,-46.6251230875651
21844,-49.8141591389974
21843,-45.3002482096354
21842,-53.6723388671875
21841,-42.3090830485026
21840,-50.4624440511068
21839,-50.3285481770833
21838,-47.443451944987
21837,-47.616807047526
21836,-52.2592427571614
21835,-51.5217905680338
21834,-45.1194620768229
21833,-47.6874450683594
21832,-47.2627319335937
21831,-45.6397003173828
21830,-51.4384318033854
21829,-44.6281188964844
21828,-47.9201466878255
21827,-50.0886138916015
21826,-49.1384185791015
21825,-46.583354695638
21824,-46.567495727539
21823,-49.0869761149088
21822,-49.1663319905599
21821,-48.4299631754557
21820,-46.9647633870443
21819,-49.0296641031901
21818,-49.5362609863281
21817,-49.9687866210937
21816,-46.5959635416666
21815,-49.0415557861328
21814,-49.1923227945963
21813,-49.0015625
21812,-50.6015736897786
21811,-48.4518035888672
21810,-54.9357869466146
21809,-49.8123128255208
21808,-50.4413513183594
21807,-50.0241404215495
21806,-45.219574991862
21805,-46.1488606770833
21804,-46.4201721191406
21803,-49.1762400309245
21802,-45.5996205647786
21801,-46.1536265055338
21800,-48.0674092610677
21799,-46.5167348225911
21798,-49.0360219319661
21797,-47.8855194091797
21796,-49.5707814534505
21795,-51.8395395914713
21794,-48.8625142415364
21793,-47.6301381429036
21792,-46.9954895019531
21791,-47.3669087727864
21790,-48.6620188395182
21789,-47.1247721354166
21788,-46.2062591552734
21787,-45.8615071614583
21786,-46.8119517008463
21785,-48.4561981201172
21784,-48.4424245198568
21783,-49.1690684000651
21782,-49.3638366699219
21781,-47.8134419759114
21780,-49.7122151692708
21779,-45.3590555826823
21778,-51.145366414388
21777,-45.8512176513672
21776,-47.8625854492187
21775,-49.3482777913411
21774,-46.7805592854818
21773,-47.3137064615885
21772,-47.1357584635416
21771,-50.940049235026
21770,-50.4966440836588
21769,-49.8854431152344
21768,-47.6985636393229
21767,-50.5582590738932
21766,-50.2802185058594
21765,-47.3832458496094
21764,-53.1408447265625
21763,-46.8636739095052
21762,-49.1289072672526
21761,-51.2477223714193
21760,-48.5488240559896
21759,-49.2331909179687
21758,-48.1049713134765
21757,-45.3244028727213
21756,-49.2362426757812
21755,-44.9582784016927
21754,-50.6639058430989
21753,-51.8495493570963
21752,-48.3569295247396
21751,-52.0044209798177
21750,-45.8066365559896
21749,-50.7156026204427
21748,-47.335068766276
21747,-45.8244944254557
21746,-48.4104878743489
21745,-45.4406239827474
21744,-48.0379699707031
21743,-48.6792867024739
21742,-44.1547861735026
21741,-51.4807342529297
21740,-48.3016469319661
21739,-46.2018493652344
21738,-52.1645161946614
21737,-47.7702036539713
21736,-47.8679056803385
21735,-50.4005950927734
21734,-46.1932332356771
21733,-46.5828257242838
21732,-42.5335144042969
21731,-51.292832438151
21730,-51.3816182454427
21729,-46.794058227539
21728,-45.2141174316406
21727,-49.4178120930989
21726,-48.1505187988281
21725,-49.4473225911458
21724,-42.3308369954427
21723,-48.3175313313802
21722,-49.0373392740885
21721,-49.6609761555989
21720,-47.2097635904948
21719,-51.8105428059896
21718,-47.7370208740234
21717,-48.690771484375
21716,-43.5312459309896
21715,-52.2445536295573
21714,-48.5528574625651
21713,-50.9821838378906
21712,-49.8258728027344
21711,-53.3672088623047
21710,-49.0300354003906
21709,-46.9421956380208
21708,-48.1304026285807
21707,-48.4056610107422
21706,-50.1938639322916
21705,-45.3497375488281
21704,-47.5867523193359
21703,-49.3881693522135
21702,-51.7245493570963
21701,-48.623871866862
21700,-51.7690338134765
21699,-48.6138315836588
21698,-49.9740458170573
21697,-46.2388061523437
21696,-45.6648671468099
21695,-49.8590708414713
21694,-46.9793151855469
21693,-48.6007954915364
21692,-52.6729848225911
21691,-48.1850443522135
21690,-50.2663228352864
21689,-46.8935811360677
21688,-48.1224375406901
21687,-48.415884399414
21686,-47.6610371907552
21685,-45.525991821289
21684,-50.2511657714844
21683,-46.9692647298177
21682,-49.6147420247396
21681,-47.9302480061849
21680,-47.4531514485677
21679,-48.3537302652995
21678,-51.6893473307291
21677,-47.6951304117838
21676,-50.8284413655599
21675,-47.8112701416015
21674,-46.075532023112
21673,-47.7644866943359
21672,-47.1804463704427
21671,-50.9191955566406
21670,-46.4114593505859
21669,-47.869980875651
21668,-47.2057301839193
21667,-45.7389282226562
21666,-45.3139455159505
21665,-50.1475179036458
21664,-46.3862925211588
21663,-49.9153198242187
21662,-48.2714548746745
21661,-51.0455078125
21660,-45.3762166341146
21659,-50.4269215901693
21658,-47.4580902099609
21657,-47.5899261474609
21656,-51.4053456624349
21655,-47.6160847981771
21654,-48.9425516764323
21653,-48.9221405029297
21652,-46.1129821777344
21651,-52.1132212320963
21650,-49.6813466389974
21649,-48.3350789388021
21648,-48.5395772298177
21647,-48.6837626139323
21646,-49.1542928059896
21645,-48.1493286132812
21644,-47.5312255859375
21643,-50.5725463867187
21642,-47.1322998046875
21641,-49.6133687337239
21640,-47.4069274902344
21639,-46.5552276611328
21638,-51.0306406656901
21637,-45.6741394042969
21636,-48.779165649414
21635,-48.1082417805989
21634,-50.0829477945963
21633,-51.803315226237
21632,-47.2953959147135
21631,-46.5181030273437
21630,-51.5350962320963
21629,-46.3750671386719
21628,-46.7056437174479
21627,-49.2431243896484
21626,-47.7580780029297
21625,-47.8251302083333
21624,-43.3841105143229
21623,-47.6569427490234
21622,-49.0535339355469
21621,-47.0741333007812
21620,-51.1382710774739
21619,-46.5410369873047
21618,-49.4180409749349
21617,-44.7279927571614
21616,-48.0885172526041
21615,-49.9895538330078
21614,-49.456655883789
21613,-44.7970896402995
21612,-45.4454762776693
21611,-49.6940572102864
21610,-47.3084777832031
21609,-45.4221150716146
21608,-47.2948771158854
21607,-45.9451202392578
21606,-42.8133605957031
21605,-48.2637898763021
21604,-49.4679423014323
21603,-50.1288869222005
