"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-23.5037343343099
21998,-22.7390146891276
21997,-20.4478363037109
21996,-21.710053507487
21995,-24.0252644856771
21994,-22.671967569987
21993,-22.6468770345052
21992,-23.4279947916666
21991,-22.9104522705078
21990,-23.296733601888
21989,-22.8335276285807
21988,-22.5450449625651
21987,-23.0654866536458
21986,-23.9343627929687
21985,-22.3356333414713
21984,-22.849457804362
21983,-25.1025451660156
21982,-21.6354380289713
21981,-21.3287414550781
21980,-23.7523356119791
21979,-22.7217061360677
21978,-23.0556854248047
21977,-24.6734375
21976,-21.246201578776
21975,-21.81748046875
21974,-20.3748077392578
21973,-20.8713795979817
21972,-22.3517262776692
21971,-22.9536142985026
21970,-22.362641398112
21969,-22.3974924723307
21968,-23.2098551432291
21967,-20.8899088541666
21966,-23.6831726074219
21965,-23.7957061767578
21964,-23.7765309651692
21963,-24.0219075520833
21962,-21.2641916910807
21961,-24.0372884114583
21960,-20.3067230224609
21959,-21.2957214355469
21958,-23.0302744547526
21957,-23.4250498453776
21956,-21.2498891194661
21955,-20.5772155761719
21954,-23.7956502278646
21953,-21.0532541910807
21952,-22.0686655680338
21951,-24.4936228434245
21950,-22.1541402180989
21949,-23.5371256510416
21948,-21.0619466145833
21947,-21.9618184407552
21946,-23.6646026611328
21945,-24.5971537272135
21944,-22.0220194498698
21943,-23.8228261311849
21942,-22.6148742675781
21941,-22.9972188313802
21940,-21.2311462402344
21939,-23.0062622070312
21938,-23.3188232421875
21937,-23.2314565022786
21936,-21.2176676432291
21935,-21.9475006103515
21934,-21.8801940917969
21933,-21.4149434407552
21932,-23.708588663737
21931,-23.7312530517578
21930,-21.7055318196614
21929,-23.2602752685547
21928,-21.1341817220052
21927,-22.7730316162109
21926,-22.0676737467448
21925,-22.9685017903646
21924,-21.9963897705078
21923,-23.3868723551432
21922,-25.1861887613932
21921,-22.3249064127604
21920,-22.2264465332031
21919,-23.3671885172526
21918,-23.1936045328776
21917,-22.7965606689453
21916,-23.7062693277995
21915,-24.7160959879557
21914,-20.590678914388
21913,-22.0756235758463
21912,-20.4137074788411
21911,-22.6834218343099
21910,-23.4152384440104
21909,-22.7270874023437
21908,-21.3067026774088
21907,-22.4145009358724
21906,-23.0622568766276
21905,-23.6204182942708
21904,-22.8035237630208
21903,-23.6076517740885
21902,-23.9584920247396
21901,-23.2583424886067
21900,-24.6248179117838
21899,-24.3213765462239
21898,-22.7890329996745
21897,-22.1524159749349
21896,-23.6445831298828
21895,-24.6735239664713
21894,-23.308930460612
21893,-21.8648132324219
21892,-23.0775512695312
21891,-21.1340443929036
21890,-23.347514851888
21889,-23.473989868164
21888,-20.7749338785807
21887,-21.5028900146484
21886,-22.253525797526
21885,-21.1923787434896
21884,-23.5199035644531
21883,-22.7681335449219
21882,-21.0855977376302
21881,-22.0001841227213
21880,-24.3243367513021
21879,-24.1768249511719
21878,-22.1615610758463
21877,-23.1725321451823
21876,-21.5396484375
21875,-21.71591796875
21874,-21.996689860026
21873,-21.115835571289
21872,-21.3397633870442
21871,-21.7487091064453
21870,-23.3629516601562
21869,-22.792832438151
21868,-23.8219055175781
21867,-20.513525390625
21866,-21.6062225341797
21865,-23.8906209309896
21864,-22.4221303304036
21863,-24.0476745605469
21862,-22.7974965413411
21861,-20.6740885416666
21860,-23.1360687255859
21859,-21.7761138916015
21858,-22.7489125569661
21857,-21.9833638509114
21856,-21.1233683268229
21855,-22.0079813639323
21854,-22.5531575520833
21853,-20.1625071207682
21852,-21.0252899169922
21851,-23.2420969645182
21850,-21.253998819987
21849,-22.8743448893229
21848,-23.2200480143229
21847,-22.7968811035156
21846,-23.6205810546875
21845,-22.5641235351562
21844,-24.2189036051432
21843,-21.227641805013
21842,-21.3458669026692
21841,-24.9407969156901
21840,-23.9985768636067
21839,-23.4457509358724
21838,-24.1068634033203
21837,-24.8639739990234
21836,-23.4965728759765
21835,-22.4785980224609
21834,-22.7141021728515
21833,-21.3738972981771
21832,-22.9189361572265
21831,-21.8346008300781
21830,-20.7904266357422
21829,-20.2802591959635
21828,-23.2144429524739
21827,-23.1413075764974
21826,-21.8154815673828
21825,-20.9169321695963
21824,-21.9148824055989
21823,-23.3920349121094
21822,-21.8384765625
21821,-24.8374847412109
21820,-24.8875233968099
21819,-23.1202046712239
21818,-20.6674967447916
21817,-23.2366394042969
21816,-22.6394663492838
21815,-21.5513977050781
21814,-23.2194122314453
21813,-20.9794169108073
21812,-24.3956919352213
21811,-21.8621022542317
21810,-22.5340840657552
21809,-22.5846110026041
21808,-23.1443084716797
21807,-23.0249237060547
21806,-21.0811319986979
21805,-23.8954121907552
21804,-23.0100463867187
21803,-23.402944946289
21802,-21.9863189697265
21801,-22.4103251139323
21800,-23.0595509847005
21799,-20.1339986165364
21798,-22.9484059651692
21797,-22.7769785563151
21796,-21.5750742594401
21795,-22.3666239420573
21794,-23.0896057128906
21793,-21.0067860921224
21792,-21.2290252685547
21791,-23.1671407063802
21790,-23.265961710612
21789,-21.303325398763
21788,-20.2263854980469
21787,-21.2724365234375
21786,-21.3308319091797
21785,-22.276225789388
21784,-23.0145375569661
21783,-23.9435943603515
21782,-24.0621398925781
21781,-23.8701843261719
21780,-22.2363189697265
21779,-22.9338999430338
21778,-24.4428568522135
21777,-20.5234741210937
21776,-21.4220286051432
21775,-23.3110819498698
21774,-22.8431762695312
21773,-21.6033589680989
21772,-20.6985636393229
21771,-23.0472778320312
21770,-22.0097208658854
21769,-21.5019744873047
21768,-23.8111226399739
21767,-23.0592763264974
21766,-22.9470631917317
21765,-21.580430094401
21764,-22.5070963541666
21763,-22.2323720296224
21762,-22.2947652180989
21761,-23.016714477539
21760,-20.8375203450521
21759,-21.9618235270182
21758,-21.1716115315755
21757,-22.174668375651
21756,-21.3178568522135
21755,-22.8565887451172
21754,-22.5062978108724
21753,-21.9442708333333
21752,-21.9401713053385
21751,-20.5240488688151
21750,-22.5604817708333
21749,-23.8862111409505
21748,-22.5642913818359
21747,-22.9484771728515
21746,-21.928813680013
21745,-22.5275889078776
21744,-23.1078348795573
21743,-21.9352427164713
21742,-22.8151255289713
21741,-22.6901306152344
21740,-20.983012898763
21739,-22.1147623697916
21738,-21.5147359212239
21737,-23.2763020833333
21736,-23.4894673665364
21735,-22.4892384847005
21734,-23.5087900797526
21733,-21.8438374837239
21732,-21.9624491373698
21731,-21.9286254882812
21730,-22.7155924479166
21729,-24.0895802815755
21728,-21.995708211263
21727,-22.4909627278646
21726,-23.2527018229166
21725,-21.8969736735026
21724,-22.3735310872396
21723,-21.5406555175781
21722,-22.3918416341146
21721,-21.0579081217448
21720,-21.3708862304687
21719,-22.225942993164
21718,-22.6640584309896
21717,-23.6540130615234
21716,-21.9710703531901
21715,-21.6949422200521
21714,-20.5645406087239
21713,-23.3778544108073
21712,-21.81552734375
21711,-21.6349446614583
21710,-22.7234100341797
21709,-22.2669789632161
21708,-21.5192525227864
21707,-23.3134165445963
21706,-21.6542724609375
21705,-22.7113352457682
21704,-23.7927663167317
21703,-23.0155548095703
21702,-21.9086059570312
21701,-21.8963785807291
21700,-23.5437581380208
21699,-22.7384450276692
21698,-23.1404429117838
21697,-22.3643198649088
21696,-22.1132771809896
21695,-21.5542104085286
21694,-22.614350382487
21693,-23.5745198567708
21692,-22.9117899576823
21691,-22.9925954182942
21690,-21.2848317464192
21689,-25.302359008789
21688,-24.530869547526
21687,-22.4861155192057
21686,-21.3692281087239
21685,-22.0933288574219
21684,-22.0287180582682
21683,-23.2955586751302
21682,-22.899521891276
21681,-22.3142049153646
21680,-21.1300059000651
21679,-22.4506998697916
21678,-23.3759826660156
21677,-21.1178649902344
21676,-23.2946482340495
21675,-23.4115559895833
21674,-23.6247517903646
21673,-21.7064829508463
21672,-21.9068105061849
21671,-22.8093017578125
21670,-22.4768890380859
21669,-23.9187632242838
21668,-22.3442138671875
21667,-20.7815358479817
21666,-22.1192281087239
21665,-21.4595041910807
21664,-21.7565216064453
21663,-21.7242797851562
21662,-22.9996856689453
21661,-21.7111826578776
21660,-19.9963083902995
21659,-21.9949503580729
21658,-22.8745992024739
21657,-21.7122812906901
21656,-23.5968994140625
21655,-20.5572113037109
21654,-21.8901682535807
21653,-24.567241414388
21652,-21.9311991373698
21651,-21.6227884928385
21650,-22.6775624593099
21649,-22.5975351969401
21648,-23.3035441080729
21647,-23.3630686442057
21646,-22.3516042073567
21645,-23.5418050130208
21644,-22.7149058024088
21643,-22.2514302571614
21642,-21.7918762207031
21641,-21.7326924641927
21640,-21.2765970865885
21639,-21.3568583170573
21638,-20.6536519368489
21637,-21.4845947265625
21636,-23.5066741943359
21635,-21.6545725504557
21634,-21.0121012369791
21633,-22.5711273193359
21632,-23.1850596110026
21631,-21.7818868001302
21630,-23.0356404622396
21629,-25.411967976888
21628,-21.4836741129557
21627,-23.0704406738281
21626,-23.0253509521484
21625,-23.4229288736979
21624,-21.9268096923828
21623,-23.5611175537109
21622,-22.0240590413411
21621,-21.5328328450521
21620,-22.536962890625
21619,-22.1243906656901
21618,-22.581406656901
21617,-21.6825775146484
21616,-23.4231475830078
21615,-23.2880869547526
21614,-20.6423197428385
21613,-22.8181722005208
21612,-22.7863220214844
21611,-22.1342224121094
21610,-22.2144989013672
21609,-20.9882364908854
21608,-22.1480977376302
21607,-21.7023834228515
21606,-24.1632904052734
21605,-23.7702341715495
21604,-22.9533447265625
21603,-23.2434855143229
21602,-23.0495971679687
21601,-22.6157084147135
21600,-20.6398325602213
21599,-21.8088287353515
21598,-22.0247100830078
21597,-22.4694478352864
21596,-21.786245727539
21595,-20.3988606770833
21594,-20.3124603271484
21593,-21.1113545735677
21592,-21.6559865315755
21591,-20.7678080240885
21590,-22.237158203125
21589,-22.6139078776041
21588,-21.851182047526
21587,-22.084585571289
21586,-22.687348429362
21585,-24.9721282958984
21584,-25.135855102539
21583,-23.1023162841797
21582,-22.0822713216146
21581,-23.6853088378906
21580,-22.9759684244791
21579,-22.2738403320312
21578,-21.6446950276692
21577,-22.2667246500651
21576,-23.100190226237
21575,-22.2160807291666
21574,-23.2447621663411
21573,-23.1201232910156
21572,-21.9552113850911
21571,-22.9720774332682
21570,-23.0537933349609
21569,-22.8860331217448
21568,-23.2014780680338
21567,-23.2230438232422
21566,-22.9999450683594
21565,-21.9725301106771
21564,-24.2609975179036
21563,-22.6563883463541
21562,-23.7216044108073
21561,-21.1738901774088
21560,-20.9608673095703
21559,-22.4973866780599
21558,-21.5602478027344
21557,-22.8902954101562
21556,-22.3760487874349
21555,-22.5331431070963
21554,-22.4068105061849
21553,-25.2953145345052
21552,-23.3720815022786
21551,-22.5634267171224
21550,-21.4255076090495
21549,-22.3851938883463
21548,-24.1710825602213
21547,-23.2917490641276
21546,-21.7946634928385
21545,-22.4277201334635
21544,-22.5658579508463
21543,-20.9755767822265
21542,-23.0033426920573
21541,-21.4311330159505
21540,-24.2320007324219
21539,-22.4212198893229
21538,-22.9420939127604
21537,-24.0471913655599
21536,-22.7597106933594
21535,-22.2993174235026
21534,-23.5496988932291
21533,-23.3378356933594
21532,-23.4306447347005
21531,-21.5675720214844
21530,-23.2040568033854
21529,-23.1113342285156
21528,-21.4491892496745
21527,-21.7289031982422
21526,-22.4595397949219
21525,-21.1266845703125
21524,-23.0309865315755
21523,-22.4037384033203
21522,-23.3113362630208
21521,-22.4648752848307
21520,-22.6881724039713
21519,-21.5573079427083
21518,-21.5258544921875
21517,-23.450791422526
21516,-21.6081960042317
21515,-24.4540618896484
21514,-21.8872690836588
21513,-22.8068705240885
21512,-22.3439951578776
21511,-24.5259155273437
21510,-23.2867899576823
21509,-23.32724609375
21508,-24.9136617024739
21507,-21.5594594319661
21506,-22.4269571940104
21505,-21.95908203125
21504,-22.7301035563151
21503,-20.2743743896484
21502,-22.1112070719401
21501,-23.0173706054687
21500,-22.6164764404297
21499,-22.2027089436849
21498,-22.5582946777344
21497,-22.2819274902344
21496,-22.6949778238932
21495,-22.0827087402344
21494,-21.1204945882161
21493,-25.0604868570963
21492,-24.5800282796224
21491,-23.191275024414
21490,-23.5638844807942
21489,-23.4821024576823
21488,-23.7026733398437
21487,-23.4540720621745
21486,-22.7823699951172
21485,-22.1873840332031
21484,-21.974473063151
21483,-22.5580708821614
21482,-22.5619517008463
21481,-21.9011952718099
21480,-23.3902954101562
21479,-22.2214670817057
21478,-23.2869934082031
21477,-23.9189971923828
21476,-22.8091033935547
21475,-24.2141174316406
21474,-23.4430043538411
21473,-24.4494486490885
21472,-23.102402750651
21471,-21.3658457438151
21470,-21.8529774983724
21469,-22.8884897867838
21468,-21.2018849690755
21467,-23.2626963297526
21466,-24.0513570149739
21465,-22.3136454264323
21464,-22.6071533203125
21463,-21.322861735026
21462,-21.9677693684896
21461,-23.3788716634114
21460,-23.2836924235026
21459,-21.5487121582031
21458,-21.4940399169922
21457,-22.233257039388
21456,-22.7474019368489
21455,-20.4757751464844
21454,-23.2804270426432
21453,-22.8802805582682
21452,-22.3192962646484
21451,-22.0103922526041
21450,-24.0465403238932
21449,-22.6804361979166
21448,-23.4279439290364
21447,-18.7940277099609
21446,-23.0866556803385
21445,-22.0268666585286
21444,-23.4143941243489
21443,-22.9529581705729
21442,-23.1557118733724
21441,-23.1585652669271
21440,-20.3408671061198
21439,-21.8778442382812
21438,-23.7616027832031
21437,-22.4813954671224
21436,-23.5927337646484
21435,-21.6246500651041
21434,-22.7336690266927
21433,-21.4548807779948
21432,-22.8204915364583
21431,-23.7832550048828
21430,-23.3114786783854
21429,-24.7614552815755
21428,-21.1163950602213
21427,-21.5441599527995
21426,-20.6484842936198
21425,-22.0740570068359
21424,-21.2613026936849
21423,-22.8699147542317
21422,-24.2351643880208
21421,-22.9774892171224
21420,-24.0941630045573
21419,-23.4665486653646
21418,-21.1931976318359
21417,-23.2689422607422
21416,-20.9810445149739
21415,-20.8336344401041
21414,-22.8350840250651
21413,-23.9043690999349
21412,-24.2114267985026
21411,-20.2472035725911
21410,-21.8535268147786
21409,-22.2642120361328
21408,-20.5900939941406
21407,-22.8749704996745
21406,-22.3314524332682
21405,-23.3764556884765
21404,-22.0928405761719
21403,-20.3902750651041
21402,-21.6786356608073
21401,-22.5952616373698
21400,-22.6951202392578
21399,-23.4284627278646
21398,-23.3352569580078
21397,-20.1324879964192
21396,-22.5651000976562
21395,-21.6696787516276
21394,-20.7974456787109
21393,-23.1333272298177
21392,-22.3947814941406
21391,-23.4518646240234
21390,-23.3130605061849
21389,-22.2137563069661
21388,-21.5607309977213
21387,-22.8916432698567
21386,-22.7459981282552
