"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-36.6443478902181
21998,-34.9222778320312
21997,-36.1230148315429
21996,-36.0654726664225
21995,-35.6852605183919
21994,-35.0550280253092
21993,-36.4934181213379
21992,-36.8215126037597
21991,-36.8977480570475
21990,-36.6943038940429
21989,-35.8287745157877
21988,-36.9817171732584
21987,-35.9909334818522
21986,-37.8007428487142
21985,-36.7344866434733
21984,-35.5451530456543
21983,-36.5990661621094
21982,-37.3730606079101
21981,-35.5626358032226
21980,-35.8218317667643
21979,-34.7522745768229
21978,-37.5815478006998
21977,-37.4253143310547
21976,-35.6411994934082
21975,-35.7316485087077
21974,-34.3160143534342
21973,-34.3037640889485
21972,-34.8832356770833
21971,-35.8778849283854
21970,-36.3894816080729
21969,-37.9860939025879
21968,-35.994669342041
21967,-35.0556777954101
21966,-37.0899197896321
21965,-36.2307202657064
21964,-37.1866172790527
21963,-36.3238128662109
21962,-35.3485384623209
21961,-35.9718510945638
21960,-34.3934679667155
21959,-37.2131879170735
21958,-36.5682510375976
21957,-34.9566177368164
21956,-37.5380271911621
21955,-35.7072141011556
21954,-37.4117950439453
21953,-36.1456219991048
21952,-35.5775970458984
21951,-36.458957417806
21950,-35.1515614827474
21949,-36.4010935465495
21948,-35.8068425496419
21947,-35.723314666748
21946,-35.4383440653483
21945,-35.4690307617187
21944,-34.313890838623
21943,-35.7306427001953
21942,-34.8418029785156
21941,-35.8690310160319
21940,-35.4682055155436
21939,-35.5968421936035
21938,-35.3066251118978
21937,-34.9870208740234
21936,-34.5685549418131
21935,-35.6624486287435
21934,-34.3695905049642
21933,-36.3254086812337
21932,-35.0702575683594
21931,-35.6510248819987
21930,-35.3743245442708
21929,-36.6168833414713
21928,-34.8903513590495
21927,-36.4694313049316
21926,-36.2185119628906
21925,-35.4073992411295
21924,-34.9964241027832
21923,-37.3553337097168
21922,-37.0013692220052
21921,-36.1795753479004
21920,-34.3943300882975
21919,-35.2525314331054
21918,-35.851545715332
21917,-36.4483792622884
21916,-36.7791631062825
21915,-35.3377377827962
21914,-34.9842717488607
21913,-35.3180920918782
21912,-34.0899210611979
21911,-35.8032313028971
21910,-34.5672185262044
21909,-36.5725947062174
21908,-35.4579592386881
21907,-35.6959403991699
21906,-34.0222915649414
21905,-35.0926930745443
21904,-36.1542889912923
21903,-37.2798611958821
21902,-36.0513455708821
21901,-34.9668830871582
21900,-37.0499443054199
21899,-35.7223571777344
21898,-34.1666041056315
21897,-34.7666661580403
21896,-34.353867594401
21895,-34.449866994222
21894,-36.1865880330403
21893,-36.9701077779134
21892,-37.2738606770833
21891,-36.3938888549804
21890,-36.5728337605794
21889,-38.287020111084
21888,-36.2974723815918
21887,-35.0326395670573
21886,-35.041305287679
21885,-35.6042236328125
21884,-37.3114634195963
21883,-37.7365211486816
21882,-36.1592035929362
21881,-36.2084576924642
21880,-36.2187115987142
21879,-35.433950805664
21878,-35.2874486287435
21877,-36.7634325663248
21876,-35.4370686848958
21875,-34.7256403605143
21874,-35.9390650431315
21873,-36.2234659830729
21872,-34.3324607849121
21871,-35.725740814209
21870,-34.9640411376953
21869,-37.8199829101562
21868,-35.8687881469726
21867,-34.9993118286133
21866,-34.2206545511881
21865,-36.6059834798177
21864,-35.3608243306478
21863,-35.6783139546712
21862,-37.1166964213053
21861,-35.0194038391113
21860,-38.2574155171712
21859,-35.3060872395833
21858,-36.6655385335286
21857,-35.7705139160156
21856,-35.2749033610026
21855,-35.3315528869629
21854,-36.2807843526204
21853,-34.0647491455078
21852,-34.9823694864909
21851,-35.1104199727376
21850,-34.062654876709
21849,-36.8217389424642
21848,-35.4237642923991
21847,-36.4987180074056
21846,-36.4265553792318
21845,-35.3547030131022
21844,-37.8829483032226
21843,-36.1239723205566
21842,-35.4487022399902
21841,-36.3906921386719
21840,-36.8654134114583
21839,-36.9666427612304
21838,-36.5570612589518
21837,-37.6454795837402
21836,-38.18093846639
21835,-36.3491386413574
21834,-34.3579633076985
21833,-35.0294403076172
21832,-35.6336832682291
21831,-36.6615242004394
21830,-36.5715799967448
21829,-35.0125996907552
21828,-36.3335301717122
21827,-35.7818728129069
21826,-35.5938896179199
21825,-34.4662549336751
21824,-35.9593427022298
21823,-35.621684773763
21822,-36.7050587972005
21821,-38.1192853291829
21820,-36.6119776407877
21819,-37.2956235249837
21818,-35.5716473897298
21817,-35.5995722452799
21816,-36.0842994689941
21815,-36.4809313456217
21814,-35.3011128743489
21813,-36.2849169413248
21812,-36.8082400004069
21811,-35.5032702128092
21810,-38.1677472432454
21809,-35.7417638142903
21808,-35.9245590209961
21807,-35.878406270345
21806,-35.7200289408366
21805,-36.6862345377604
21804,-34.528350575765
21803,-36.5904563903808
21802,-34.4256958007812
21801,-35.1719853719075
21800,-35.3601402282715
21799,-33.3606730143229
21798,-36.5715367635091
21797,-34.8785601298014
21796,-36.006014251709
21795,-34.7170216878255
21794,-36.3812850952148
21793,-34.0347122192383
21792,-35.0246236165364
21791,-36.4985870361328
21790,-34.9298983256022
21789,-34.5186205546061
21788,-34.1572835286458
21787,-36.0808204650879
21786,-36.5516749064127
21785,-35.9533701578776
21784,-36.9252787272135
21783,-35.5778055826823
21782,-35.1601051330566
21781,-36.3295221964518
21780,-36.0075503031413
21779,-35.1249450683594
21778,-36.660066986084
21777,-34.8007250467936
21776,-35.325718943278
21775,-36.7650487263997
21774,-34.5780471801758
21773,-35.2481369018554
21772,-35.500533803304
21771,-36.4827051798502
21770,-36.2144493103027
21769,-36.3699834187825
21768,-36.3749031066894
21767,-37.5039594014485
21766,-36.0694208780924
21765,-36.425400797526
21764,-37.0624514261881
21763,-35.3829037984212
21762,-36.6095235188802
21761,-36.4174611409505
21760,-35.0670570373535
21759,-35.2133138020833
21758,-35.3383913675944
21757,-35.1488899230957
21756,-36.6463493347168
21755,-36.3533767700195
21754,-36.3110832214355
21753,-35.9395774841308
21752,-36.1074457804362
21751,-34.8793891906738
21750,-36.7569869995117
21749,-36.884369913737
21748,-35.5941782633463
21747,-34.9232569376627
21746,-36.3283536275228
21745,-33.2266779581705
21744,-34.3784647623698
21743,-35.466157023112
21742,-34.5573766072591
21741,-36.6029457092285
21740,-34.955435180664
21739,-35.5364962259928
21738,-37.2950754801432
21737,-35.856179300944
21736,-36.5144803365071
21735,-36.926138305664
21734,-35.6711435953776
21733,-34.1198104858398
21732,-34.9804608662923
21731,-36.7238741556803
21730,-36.9046984354655
21729,-35.9979512532552
21728,-35.2991406758626
21727,-36.1181663513183
21726,-35.466349029541
21725,-35.3947153727213
21724,-34.9026499430338
21723,-35.437114461263
21722,-37.3684638977051
21721,-35.9074564615885
21720,-36.4335083007812
21719,-36.4792109171549
21718,-36.3192059834798
21717,-36.3703381856282
21716,-35.1223688761393
21715,-36.8637502034505
21714,-35.4038681030273
21713,-36.108558400472
21712,-34.8597689310709
21711,-37.84251759847
