"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-34.2405672709147
21997,-35.1054290771484
21996,-36.1747230529785
21995,-35.8489707946777
21994,-35.6690493265788
21993,-35.8197031656901
21992,-37.473808034261
21991,-35.6237981160482
21990,-37.2431688944498
21989,-35.7591219584147
21988,-37.1403475443522
21987,-36.3677810668945
21986,-36.6986030578613
21985,-37.4528551737467
21984,-36.2392855326334
21983,-36.595384979248
21982,-36.2229866027832
21981,-36.8439519246419
21980,-36.2153444925944
21979,-33.8192212422689
21978,-36.9957628885905
21977,-38.0540412902832
21976,-35.6601826985677
21975,-35.6261377970377
21974,-34.6958437601725
21973,-34.8174779256185
21972,-34.3691480000814
21971,-35.6566947937011
21970,-35.9490989685058
21969,-37.419671122233
21968,-36.6052828470866
21967,-35.6236289978027
21966,-37.109550221761
21965,-36.453970336914
21964,-36.7295682271321
21963,-36.0635589599609
21962,-35.7031349182129
21961,-36.5023114522298
21960,-33.8215914408366
21959,-37.0109008789062
21958,-36.3615948994954
21957,-35.4644671122233
21956,-37.0961288452148
21955,-36.556327565511
21954,-36.6082099914551
21953,-36.5528040568034
21952,-35.0851450602213
21951,-36.6876447041829
21950,-35.0368420918782
21949,-36.6749252319336
21948,-35.5343752543131
21947,-36.5665573120117
21946,-35.5525942484538
21945,-34.9698026021321
21944,-34.1912953694661
21943,-35.9566139221191
21942,-34.6483266194661
21941,-36.3858156840006
21940,-35.0212514241536
21939,-36.0872431437174
21938,-34.8595286051432
21937,-35.2658663431803
21936,-34.5180063883463
21935,-35.1123082478841
21934,-34.8235928853353
21933,-35.4525665283203
21932,-35.662580871582
21931,-36.0802393595377
21930,-34.7990542093913
21929,-36.8709726969401
21928,-34.8014269510905
21927,-36.3116668701172
21926,-36.5369667053222
21925,-35.055595143636
21924,-35.587884012858
21923,-36.3744529724121
21922,-36.6037404378255
21921,-37.0315714518229
21920,-35.2395589192708
21919,-34.8198404947916
21918,-35.6471110026041
21917,-36.473969523112
21916,-36.38699315389
21915,-36.6078463236491
21914,-33.7509000142415
21913,-36.4270436604818
21912,-33.6524922688802
21911,-35.3601745605469
21910,-35.2926900227864
21909,-35.6477327982584
21908,-36.3840482076009
21907,-35.108251953125
21906,-34.5467615763346
21905,-34.4784390767415
21904,-35.3980328877767
21903,-38.2818066914876
21902,-35.2857040405273
21901,-35.92459081014
21900,-35.8762268066406
21899,-36.9586840311686
21898,-34.7392550150553
21897,-33.9060386657715
21896,-34.812431081136
21895,-34.2219261169433
21894,-35.6815106709798
21893,-36.9957959493001
21892,-37.1597796122233
21891,-36.5130701700846
21890,-36.7551355997721
21889,-37.0696014404297
21888,-37.1778027852376
21887,-36.0294809977213
21886,-34.2466962178548
21885,-35.4704905192057
21884,-36.8119796752929
21883,-37.8989573160807
21882,-36.4150553385416
21881,-36.0081899007161
21880,-36.1355791727702
21879,-36.1466506958008
21878,-35.288973236084
21877,-35.7570747375488
21876,-37.0050275166829
21875,-34.1049929300944
21874,-36.101904296875
21873,-35.5611709594726
21872,-35.0184387207031
21871,-35.0737518310547
21870,-35.3166603088379
21869,-36.9254173278808
21868,-36.8253641764323
21867,-35.1903849283854
21866,-34.0567344665527
21865,-36.1371584574381
21864,-36.0031812032064
21863,-35.4959561665853
21862,-36.2850504557291
21861,-35.3702059427897
21860,-37.6761065165202
21859,-36.534526570638
21858,-36.3087766011556
21857,-36.3466781616211
21856,-35.0475931803385
21855,-35.1131907145182
21854,-35.8823519388834
21853,-34.491807047526
21852,-35.7732757568359
21851,-34.6996495564778
21850,-33.9961456298828
21849,-36.7277231852213
21848,-35.3791984558105
21847,-35.9030275980631
21846,-36.7058293660482
21845,-35.2193817138672
21844,-37.6115389506022
21843,-35.8482714335123
21842,-36.9622673034668
21841,-34.8443969726562
21840,-37.2450368245443
21839,-36.8884122212728
21838,-37.0817855834961
21837,-37.1711041768392
21836,-37.8388020833333
21835,-37.3711367289225
21834,-34.1837181091308
21833,-35.1001190185547
21832,-35.7622665405273
21831,-35.4684661865234
21830,-36.9889218648275
21829,-35.3535026550293
21828,-36.3622701009114
21827,-36.0821924845377
21826,-35.5358121236165
21825,-34.7301150004069
21824,-34.8760513305664
21823,-36.0344922383626
21822,-36.274568939209
21821,-37.7428599039713
21820,-37.3512329101562
21819,-37.2353513081868
21818,-35.5148020426432
21817,-36.1895113627116
21816,-36.0244366963704
21815,-35.6455469767252
21814,-36.347385152181
21813,-35.4687878926595
21812,-36.9939280192057
21811,-35.3169425964355
21810,-38.2679555257161
21809,-36.4395202636719
21808,-35.8690361022949
21807,-35.9775286356608
21806,-35.0941515604655
21805,-36.3124666849772
21804,-35.1098821004232
21803,-36.8308916727702
21802,-34.8184328715006
21801,-35.2183555603027
21800,-34.9314165751139
21799,-33.979719543457
21798,-35.0073837280273
21797,-36.1292569478353
21796,-35.5473147074381
21795,-35.7466542561849
21794,-35.0047960917155
21793,-34.5388003031413
21792,-35.0630643208821
21791,-36.2411852518717
21790,-35.2178469340006
21789,-35.2892555236816
21788,-33.9616213480631
21787,-35.2043492635091
21786,-35.8804585774739
21785,-36.3644813537597
21784,-37.0454760233561
21783,-36.3549471537272
21782,-35.1155151367187
21781,-35.713596089681
21780,-36.1480354309082
21779,-35.4542920430501
21778,-36.6575518290202
21777,-34.2832499186198
21776,-35.6178293863932
21775,-36.0927363077799
21774,-34.8078114827474
21773,-35.2861567179362
21772,-35.1914276123047
21771,-36.4518671671549
21770,-36.6118161519368
21769,-36.0954142252604
21768,-36.4542030334472
21767,-37.1099533081054
21766,-36.9454928080241
21765,-35.5000467936198
21764,-37.9187848409017
21763,-35.3659779866536
21762,-36.2375167846679
21761,-37.0065165201823
21760,-34.4203488667806
21759,-35.3254137674967
21758,-35.7921788533528
21757,-34.645610555013
21756,-36.7283716837565
21755,-36.2480593363444
21754,-36.1486152648926
21753,-36.1585614522298
21752,-36.1499109903971
21751,-35.7687756856282
21750,-35.6669576009114
21749,-37.1017033894857
21748,-36.2299140930176
21747,-35.432777150472
21746,-34.5760431925455
21745,-34.9593223571777
21744,-34.2565419514974
21743,-35.1828839619954
21742,-34.5989059448242
21741,-36.0847025553385
21740,-35.6643114725748
21739,-34.6892189025879
21738,-36.8530957539876
21737,-36.6353401184082
21736,-36.1122383117676
21735,-36.8951489766439
21734,-36.0242688496907
21733,-34.5119054158528
21732,-34.1454999287923
21731,-36.966780090332
21730,-36.6157020568847
21729,-36.7701260884603
