"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-26.365222676595
21997,-25.3869054158528
21996,-27.1798589070638
21995,-26.6043126424153
21994,-26.7345464070638
21993,-26.5938858032226
21992,-28.2860244750976
21991,-27.5958236694336
21990,-27.5090876261393
21989,-26.7518625895182
21988,-26.9651194254557
21987,-27.0264266967773
21986,-26.5771138509114
21985,-27.0300354003906
21984,-25.9375035603841
21983,-28.8167251586914
21982,-26.9047327677409
21981,-26.1724075317383
21980,-27.9025355021159
21979,-24.9769653320312
21978,-27.4043411254883
21977,-28.2647028605143
21976,-26.0029154459635
21975,-26.3895579020182
21974,-24.9784428914388
21973,-26.0833394368489
21972,-24.9332641601562
21971,-26.4643895467122
21970,-25.8920298258463
21969,-27.5830952962239
21968,-27.2636957804362
21967,-24.7597895304362
21966,-27.3531987508138
21965,-28.2102798461914
21964,-28.6905680338541
21963,-27.3798227945963
21962,-25.4199940999349
21961,-27.7637898763021
21960,-25.245209757487
21959,-27.2670221964518
21958,-27.7150685628255
21957,-26.4268096923828
21956,-26.8698308308919
21955,-25.494492594401
21954,-27.4272013346354
21953,-26.6649256388346
21952,-25.8795939127604
21951,-28.7109639485677
21950,-25.2451105753581
21949,-27.6192738850911
21948,-26.3074910481771
21947,-25.9849355061849
21946,-26.7117472330729
21945,-27.6557881673177
21944,-24.7942489624023
21943,-26.4888061523437
21942,-25.7591969807942
21941,-28.0511586507161
21940,-26.1293268839518
21939,-26.3264755249023
21938,-27.0805623372396
21937,-27.1936096191406
21936,-26.1138290405273
21935,-26.0387074788411
21934,-25.9799179077148
21933,-26.9183715820312
21932,-26.696137491862
21931,-27.4591125488281
21930,-26.2948669433594
21929,-27.9211410522461
21928,-25.6103424072265
21927,-27.0845830281575
21926,-27.5627248128255
21925,-26.7100840250651
21924,-25.9630340576172
21923,-27.5511561075846
21922,-26.4767084757487
21921,-26.6810821533203
21920,-27.1862828572591
21919,-27.2249486287435
21918,-26.1849782307942
21917,-27.3503707885742
21916,-26.7121973673502
21915,-28.0837997436523
21914,-24.2452123006185
21913,-26.1507807413737
21912,-24.9841649373372
21911,-26.3385706583659
21910,-25.2516769409179
21909,-27.3587275187174
21908,-26.8330825805664
21907,-27.0116231282552
21906,-26.3390131632487
21905,-26.2766810099284
21904,-26.5920954386393
21903,-27.8723180135091
21902,-26.7936309814453
21901,-27.3888559977213
21900,-29.3679387410482
21899,-27.4516103108724
21898,-26.6348073323567
21897,-26.1899551391601
21896,-25.8633967081706
21895,-25.8174550374349
21894,-27.176247660319
21893,-26.7297373453776
21892,-27.1286427815755
21891,-27.340928141276
21890,-27.5169459025065
21889,-28.5983846028646
21888,-26.0244939168294
21887,-26.9957921346028
21886,-25.3725163777669
21885,-25.9693918863932
21884,-26.9330352783203
21883,-27.6008488972982
21882,-25.9495910644531
21881,-26.708110555013
21880,-27.8676666259765
21879,-26.6581253051758
