"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-42.1159118652344
21997,-44.823952738444
21996,-45.1695871988932
21995,-45.0936289469401
21994,-44.6035522460937
21993,-45.0455205281575
21992,-46.6615915934245
21991,-43.6517725626627
21990,-46.9772501627604
21989,-44.7663813273112
21988,-47.3155756632487
21987,-45.7091354370117
21986,-46.8200922648112
21985,-47.8756749471028
21984,-46.5410675048828
21983,-44.3740447998047
21982,-45.5412404378255
21981,-47.5154963175455
21980,-44.5281534830729
21979,-42.6614771525065
21978,-46.5871846516927
21977,-47.8433797200521
21976,-45.3174499511719
21975,-44.8627176920573
21974,-44.4132446289062
21973,-43.551616414388
21972,-43.8050318400065
21971,-44.8490000406901
21970,-46.0061681111653
21969,-47.2562469482422
21968,-45.946869913737
21967,-46.4874684651693
21966,-46.8659016927083
21965,-44.6976608276367
21964,-44.7685684204101
21963,-44.7472951253255
21962,-45.9862757364909
21961,-45.2408330281575
21960,-42.3979731241862
21959,-46.7547795613607
21958,-45.0081212361653
21957,-44.5021245320638
21956,-47.3224268595377
21955,-47.6181625366211
21954,-45.7892186482747
21953,-46.4406824747721
21952,-44.2906962076823
21951,-44.6643254597982
21950,-44.8285736083984
21949,-45.730576578776
21948,-44.7612594604492
21947,-47.1481791178385
21946,-44.3934412638346
21945,-42.2838170369466
21944,-43.5883417765299
21943,-45.4244216918945
21942,-43.537456258138
21941,-44.7204727172851
21940,-43.9131759643554
21939,-45.8480107625325
21938,-42.6384948730469
21937,-43.33812306722
21936,-42.9221837361653
21935,-44.1859090169271
21934,-43.6672678629557
21933,-43.9867614746094
21932,-44.6290242513021
21931,-44.7013661702474
21930,-43.3032414754232
21929,-45.8208043416341
21928,-43.9925114949544
21927,-45.5387507120768
21926,-45.511208597819
21925,-43.401106262207
21924,-45.2127339680989
21923,-45.1977498372396
21922,-46.7307723999023
21921,-47.3820607503255
21920,-43.2928349812825
21919,-42.4147323608398
21918,-45.109243774414
21917,-45.5975682576497
21916,-46.0617889404297
21915,-45.1318929036458
21914,-43.2565877278646
21913,-46.7033065795898
21912,-42.3208196004232
21911,-44.3817784627278
21910,-45.3337031046549
21909,-43.9367380777995
21908,-45.9350138346354
21907,-43.2048807779948
21906,-42.7545099894205
21905,-42.6801971435547
21904,-44.203970336914
21903,-48.6912953694661
21902,-43.7777770996094
21901,-44.4603256225586
21900,-42.384514872233
21899,-46.4657577514648
21898,-42.8437026977539
21897,-41.6221221923828
21896,-43.7614654541015
21895,-42.6263971964518
21894,-44.1867736816406
21893,-47.2618545532226
21892,-47.1909164428711
21891,-45.6852121988932
21890,-45.9933252970377
21889,-45.5408182779948
21888,-48.3311116536458
21887,-45.0631698608398
21886,-43.1208760579427
21885,-44.9715891520182
21884,-46.6909240722656
21883,-48.1970657348633
21882,-46.8805196126302
21881,-45.3082692464193
21880,-44.4034917195638
21879,-45.6351760864258
21878,-44.8540608723958
21877,-43.6860031127929
21876,-46.8398956298828
21875,-41.7542963663737
21874,-45.8332224527995
21873,-44.1160619099935
21872,-44.5119817097982
21871,-44.4554809570312
21870,-44.3676386515299
21869,-45.2191986083984
21868,-46.3325586954752
21867,-44.8985173543294
21866,-43.2749923706054
21865,-44.0939086914062
21864,-45.3303716023763
21863,-42.8839172363281
21862,-44.787092590332
21861,-45.2382034301758
21860,-46.749131266276
21859,-46.5281636555989
21858,-45.5096674601237
21857,-45.7801905314127
21856,-45.1291183471679
21855,-45.1092183430989
21854,-44.8853108723958
21853,-44.2618520100911
21852,-45.4679779052734
21851,-43.3806111653646
21850,-43.4602315266927
21849,-45.3695332845052
21848,-44.4028788248698
21847,-44.1089640299479
21846,-46.0038411458333
21845,-44.1315953572591
21844,-46.1264912923177
21843,-43.7224665323893
21842,-48.670632425944
21841,-41.2995869954427
21840,-46.9600509643554
21839,-46.8127451578776
21838,-45.6714157104492
21837,-44.7690999348958
21836,-47.5937052408854
21835,-47.1191696166992
21834,-42.8728749593099
21833,-44.3289220174153
21832,-44.5812235514323
21831,-43.0792500813802
21830,-47.4997924804687
21829,-44.761218770345
21828,-44.902072652181
21827,-45.986062113444
21826,-44.8951426188151
21825,-43.7342539469401
21824,-43.0280008951823
21823,-44.9007781982422
21822,-45.0531906127929
21821,-46.6831827799479
21820,-46.6025349934896
21819,-46.6663472493489
21818,-45.373648071289
21817,-46.0314264933268
21816,-44.2965098063151
21815,-45.6529373168945
21814,-46.184309387207
21813,-45.0138966878255
21812,-45.9461120605469
21811,-45.2069432576497
21810,-49.2743743896484
21809,-46.2877868652344
21808,-44.9950088500976
21807,-45.466416422526
21806,-43.2670399983724
21805,-44.7917999267578
21804,-44.5304677327474
21803,-45.9349884033203
21802,-43.3845860799153
21801,-43.2690287272135
21800,-44.0331329345703
21799,-42.9350214640299
21798,-43.8682210286458
21797,-45.6608413696289
21796,-44.9457585652669
21795,-45.294292195638
21794,-42.181379699707
21793,-44.4417811075846
21792,-43.8237162272135
21791,-44.3086583455403
21790,-44.3743143717448
21789,-43.7389841715495
21788,-42.2908564249674
21787,-43.4819676717122
21786,-44.6582194010416
21785,-46.137553914388
21784,-45.696137491862
21783,-44.9769678751627
21782,-43.5617050170898
21781,-43.3850082397461
21780,-46.0329956054687
21779,-44.3866231282552
21778,-46.1773971557617
21777,-43.9982513427734
21776,-44.7191274007161
21775,-44.9797856648763
21774,-44.1637685139974
21773,-44.5906967163086
21772,-44.9445709228515
21771,-46.3074910481771
21770,-46.5280136108398
21769,-45.9657526652018
21768,-45.0450475056966
21767,-47.4290730794271
21766,-46.9631688435872
21765,-45.1144597371419
21764,-48.8915339152018
21763,-44.4465876261393
21762,-46.1303466796875
21761,-46.7530934651693
21760,-43.7205210367838
21759,-45.1921473185221
21758,-45.419406636556
21757,-42.7643722534179
21756,-46.4588073730469
21755,-45.3655329386393
21754,-46.8126358032226
21753,-46.4696131388346
21752,-45.9311660766601
21751,-46.5988016764323
21750,-44.0696268717448
21749,-46.5122233072916
21748,-45.0463088989258
21747,-43.7485158284505
21746,-43.9837275187174
21745,-44.4193176269531
21744,-43.2838500976562
21743,-44.189182027181
21742,-42.0692174275716
21741,-45.2882751464844
21740,-44.8984283447265
21739,-43.2524983723958
21738,-47.4134073893229
21737,-45.6826716105143
21736,-45.1537511189778
21735,-46.8721399943034
21734,-44.7187739054362
21733,-43.3385096232096
21732,-42.0108220418294
21731,-47.2792724609375
21730,-46.1221883138021
21729,-44.6205123901367
21728,-43.8161885579427
21727,-45.0365305582682
21726,-44.6300364176432
21725,-45.3429295857747
21724,-41.7597895304362
21723,-45.5775716145833
21722,-44.4705159505208
21721,-45.4423990885416
21720,-44.6989298502604
21719,-48.4438817342122
21718,-45.6120030721028
21717,-45.3016901652018
21716,-42.6028376261393
21715,-47.1399520874023
21714,-45.3731521606445
21713,-45.9621897379557
21712,-44.5992925008138
21711,-47.5543884277344
21710,-47.0002578735351
21709,-43.3605407714844
21708,-43.9955556233724
21707,-45.3729436238607
21706,-43.6153218587239
21705,-42.7995717366536
21704,-43.8208145141601
21703,-46.4176137288411
21702,-47.4026702880859
21701,-45.267930094401
21700,-47.7982671101888
21699,-44.5835301717122
21698,-45.5367772420247
21697,-44.8645411173502
21696,-44.0761372884114
21695,-45.0611353556315
21694,-44.9544459025065
21693,-46.2303654988607
21692,-48.5556345621745
21691,-45.2592046101888
21690,-47.1373606363932
21689,-45.4028940836588
21688,-45.3953536987304
21687,-45.096039835612
21686,-45.7497034708659
21685,-44.3334920247396
21684,-46.5553904215495
21683,-43.9559794108073
21682,-46.2661626180013
21681,-44.3403305053711
21680,-44.1782491048177
21679,-46.0681187947591
21678,-47.7859176635742
21677,-43.7686192830403
21676,-47.2485539754232
21675,-44.8358240763346
21674,-44.4531921386719
21673,-43.7913065592448
21672,-45.0835378011068
21671,-47.6410710652669
