"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-47.076020304362
21997,-46.7707377115885
21996,-47.7177490234375
21995,-45.684927368164
21994,-50.0275126139323
21993,-45.6232513427734
21992,-49.0506805419922
21991,-49.0064046223958
21990,-46.3690958658854
21989,-49.813823445638
21988,-48.9670674641927
21987,-48.6331339518229
21986,-49.7699544270833
21985,-47.2979339599609
21984,-46.1019348144531
21983,-47.7771514892578
21982,-47.3319814046224
21981,-50.3636993408203
21980,-47.8648844401041
21979,-49.1499694824219
21978,-48.4581817626953
21977,-49.2360646565755
21976,-48.111441040039
21975,-49.0245524088541
21974,-47.6483520507812
21973,-46.4328877766927
21972,-44.7984375
21971,-47.4067443847656
21970,-47.8829508463541
21969,-49.4048573811849
21968,-46.388286336263
21967,-46.4650939941406
21966,-48.9489145914713
21965,-47.4431365966797
21964,-48.5526692708333
21963,-50.312368774414
21962,-49.0725056966146
21961,-50.5995646158854
21960,-45.9382588704427
21959,-49.6195383707682
21958,-48.3334055582682
21957,-50.4440775553385
21956,-49.3416809082031
21955,-47.7482818603515
21954,-47.6051595052083
21953,-47.5757405598958
21952,-44.4003458658854
21951,-50.0409250895182
21950,-48.0775919596354
21949,-46.381450398763
21948,-45.1106475830078
21947,-46.819692993164
21946,-45.0053975423177
21945,-49.1001495361328
21944,-47.7416951497396
21943,-48.8192606608073
21942,-47.3647521972656
21941,-44.4996653238932
21940,-48.3040985107422
21939,-47.0240437825521
21938,-47.9574747721354
21937,-49.633169555664
21936,-46.1088368733724
21935,-50.1219797770182
21934,-48.2782094319661
21933,-47.865571085612
21932,-45.6005818684896
21931,-47.5152903238932
21930,-47.09482421875
21929,-48.7849792480469
21928,-46.7481953938802
21927,-51.761587524414
21926,-48.8829762776693
21925,-50.1047526041666
21924,-44.5835428873698
21923,-49.0561737060547
21922,-49.6980041503906
21921,-48.1580159505208
21920,-49.0734720865885
21919,-49.1682952880859
21918,-47.0583709716797
21917,-48.0128692626953
21916,-48.834565226237
21915,-48.7122151692708
21914,-49.1387390136719
21913,-47.3798380533854
21912,-49.1826792399088
21911,-46.8925333658854
21910,-47.9689697265625
21909,-46.6896270751953
21908,-46.4399627685547
21907,-49.3087320963541
21906,-48.3044240315755
21905,-47.8129892985026
21904,-45.1233327229818
21903,-48.810415649414
21902,-48.3773813883463
21901,-49.258154296875
21900,-46.5021982828776
21899,-49.7166961669922
21898,-48.5742757161458
21897,-50.0204935709635
21896,-47.0611073811849
21895,-52.0532897949219
21894,-48.8192504882812
21893,-48.1230885823568
21892,-49.3869995117187
21891,-45.5793924967448
21890,-47.1651265462239
21889,-47.6036743164062
21888,-48.1755584716797
21887,-46.2250834147135
21886,-49.7758290608724
21885,-48.2136596679687
21884,-49.6733103434245
21883,-45.099478149414
21882,-50.3841562906901
21881,-46.7260498046875
21880,-48.0630554199219
21879,-48.6862752278646
21878,-49.072114054362
21877,-53.3713338216146
21876,-48.7787434895833
21875,-47.0480967203776
21874,-48.9973714192708
21873,-47.3828643798828
21872,-46.319682820638
21871,-50.3038798014323
21870,-46.6629648844401
21869,-47.9644378662109
21868,-48.1900695800781
21867,-45.3178212483724
21866,-48.915385945638
21865,-48.1648569742838
21864,-50.0600341796875
21863,-48.8579620361328
21862,-47.012543741862
21861,-49.6032775878906
21860,-45.3044036865234
21859,-51.0851399739583
21858,-47.4061798095703
21857,-46.1876637776693
21856,-47.5285858154297
21855,-51.8744720458984
21854,-47.261343383789
21853,-48.2844807942708
21852,-48.9272064208984
21851,-44.5567077636719
21850,-48.731293741862
21849,-47.3211730957031
21848,-47.0067555745443
21847,-49.2061828613281
21846,-47.7099314371745
21845,-47.0698862711588
21844,-46.920034790039
21843,-47.0133778889974
21842,-50.3735209147135
21841,-49.779638671875
21840,-50.980561319987
21839,-47.1083028157552
21838,-49.7213602701823
21837,-48.9375569661458
21836,-51.7529612223307
21835,-50.1663421630859
21834,-50.6097778320312
21833,-47.6128245035807
21832,-45.9778605143229
21831,-45.683950805664
21830,-49.390961710612
21829,-47.2916473388672
21828,-50.9149485270182
21827,-48.1299448649088
21826,-49.2748372395833
21825,-48.7410339355469
21824,-48.7542073567708
21823,-47.0067403157552
21822,-46.5751861572265
21821,-48.0386413574219
21820,-48.2045908610026
21819,-49.229116821289
21818,-48.157573445638
21817,-49.4459950764974
21816,-48.001811726888
21815,-47.5482289632161
21814,-49.0844787597656
21813,-48.2971150716146
21812,-48.772324625651
21811,-47.6816060384114
21810,-49.7541158040364
21809,-48.0713256835937
21808,-48.6712961832682
21807,-48.0051890055338
