"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-18.4133616129557
21998,-17.5408233642578
21997,-16.9712890625
21996,-18.5119181315104
21995,-17.8095764160156
21994,-18.6632141113281
21993,-17.934662882487
21992,-18.4189870198567
21991,-17.6087961832682
21990,-19.0561940511067
21989,-17.7074239095052
21988,-18.0162872314453
21987,-18.0036682128906
21986,-18.8287618001302
21985,-17.3262084960937
21984,-16.1261606852213
21983,-18.5656341552734
21982,-19.8626668294271
21981,-16.8241129557291
21980,-18.6478688557942
21979,-18.352891031901
21978,-18.3023335774739
21977,-17.6994842529297
21976,-16.6267354329427
21975,-19.2171234130859
21974,-17.588969930013
21973,-18.1419687906901
21972,-17.8938303629557
21971,-17.3818878173828
21970,-18.3116007486979
21969,-18.696625773112
21968,-17.6291056315104
21967,-17.6211710611979
21966,-17.440537516276
21965,-18.3422709147135
21964,-18.6165730794271
21963,-17.8890645345052
21962,-17.3003245035807
21961,-18.2728637695312
21960,-18.4546620686849
21959,-17.8822489420573
21958,-18.2103535970052
21957,-19.0224924723307
21956,-17.7534189860026
21955,-18.2183288574219
21954,-18.0588592529297
21953,-16.3963684082031
21952,-16.8483388264974
21951,-18.3667816162109
21950,-17.9753021240234
21949,-17.1666422526041
21948,-16.1926432291666
21947,-16.5293182373047
21946,-16.8978332519531
21945,-18.5176300048828
21944,-16.914902750651
21943,-18.8785868326823
21942,-20.1062072753906
21941,-18.5639607747396
21940,-17.1987467447916
21939,-17.4799051920573
21938,-20.0724192301432
21937,-18.6251790364583
21936,-15.8196065266927
21935,-17.7770853678385
21934,-16.5434020996094
21933,-17.187114461263
21932,-19.4773010253906
21931,-18.5917877197265
21930,-18.7967895507812
21929,-18.4307006835937
21928,-17.1654571533203
21927,-18.4581919352213
21926,-17.4863342285156
21925,-18.7683420817057
21924,-15.99228515625
21923,-19.3557291666666
21922,-17.7214060465495
21921,-17.5895548502604
21920,-17.8720916748047
21919,-19.0113993326823
21918,-18.9464986165364
21917,-16.4311991373698
21916,-20.2767293294271
21915,-19.6862904866536
21914,-18.141470336914
21913,-17.8720815022786
21912,-16.4234934488932
21911,-20.7260345458984
21910,-18.3132893880208
21909,-18.1886810302734
21908,-17.7380228678385
21907,-20.6770080566406
21906,-16.9781453450521
21905,-17.3103597005208
21904,-17.7683522542317
21903,-18.3291585286458
21902,-19.070166015625
21901,-18.6392476399739
21900,-19.6882537841797
21899,-19.4274200439453
21898,-18.9250244140625
21897,-18.8816691080729
21896,-18.2185577392578
21895,-18.7846181233724
21894,-16.9648040771484
21893,-16.962250773112
21892,-17.2724619547526
21891,-17.1828063964844
21890,-18.6247619628906
21889,-17.4156453450521
21888,-15.2402201334635
21887,-18.6308553059896
21886,-17.5819508870442
21885,-18.3578094482422
21884,-18.8306488037109
21883,-17.8981587727864
21882,-17.5081339518229
21881,-18.8119313557942
21880,-18.4220438639323
21879,-17.661967976888
21878,-16.5988220214844
21877,-18.2015441894531
21876,-16.8942474365234
21875,-15.9652974446614
21874,-18.7570048014323
21873,-17.4102945963541
21872,-17.5048685709635
21871,-18.0341501871745
21870,-17.4566304524739
21869,-17.3498291015625
21868,-17.7845418294271
21867,-16.3930419921875
21866,-17.713980102539
21865,-19.266470336914
21864,-18.149771118164
21863,-17.3906616210937
21862,-16.1706451416015
21861,-16.2755594889323
21860,-18.4435740152995
21859,-17.0530100504557
21858,-17.5829274495442
21857,-18.4119832356771
21856,-17.2804880777995
21855,-18.7423055013021
21854,-17.2410390218099
21853,-17.1333424886067
21852,-17.0730143229166
21851,-16.9285390218099
21850,-17.1350565592448
21849,-17.3501088460286
21848,-17.0923370361328
21847,-19.3706573486328
21846,-18.7651835123698
21845,-17.8440612792969
21844,-17.6302144368489
21843,-18.2941548665364
21842,-18.7174743652344
21841,-19.7538309733073
21840,-17.9113271077474
21839,-18.8198150634765
21838,-18.6739969889323
21837,-19.6161000569661
21836,-18.1922821044922
21835,-17.9758260091146
21834,-16.4948588053385
21833,-17.1994028727213
21832,-19.2548126220703
21831,-18.2824106852213
21830,-17.086274210612
21829,-15.1378946940104
21828,-18.5525370279948
21827,-19.3114125569661
21826,-17.0004333496094
21825,-18.1804311116536
21824,-18.4817667643229
21823,-20.3395701090495
21822,-16.3503885904948
21821,-18.4580647786458
21820,-19.0627807617187
21819,-19.9423533121745
21818,-16.8786682128906
21817,-17.4113321940104
21816,-18.486669921875
21815,-16.5731923421224
21814,-17.8905954996745
21813,-16.4930379231771
21812,-18.8788564046224
21811,-16.5585286458333
21810,-19.1842152913411
21809,-17.8673512776692
21808,-17.9915069580078
21807,-17.318451944987
21806,-18.1637023925781
21805,-18.7685607910156
21804,-16.2205922444661
21803,-19.0095275878906
21802,-17.1827911376953
21801,-18.4182393391927
21800,-18.2710174560547
21799,-15.9546875
21798,-18.9109558105469
21797,-19.8115905761719
21796,-18.9814565022786
21795,-17.1568817138672
21794,-18.0114603678385
21793,-17.2268178304036
21792,-17.6207895914713
21791,-16.4587310791015
21790,-19.4634511311849
21789,-17.9770619710286
21788,-16.784760538737
21787,-17.2236846923828
21786,-19.1752685546875
21785,-19.0341959635416
21784,-18.2942413330078
21783,-18.7586273193359
21782,-17.406342569987
21781,-18.8576212565104
21780,-18.5011962890625
21779,-19.8381256103515
21778,-19.4883687337239
21777,-18.0657918294271
21776,-16.4225423177083
21775,-18.6264200846354
21774,-18.8745992024739
21773,-17.3982757568359
21772,-16.9574900309245
21771,-18.5229248046875
21770,-18.0598409016927
21769,-17.6661590576172
21768,-18.3102783203125
21767,-19.1523345947265
21766,-17.3817962646484
21765,-17.1479502360026
21764,-18.4001068115234
21763,-17.8351247151692
21762,-16.0028289794922
21761,-18.5527303059896
21760,-16.5802419026692
21759,-17.7476257324219
21758,-17.3643859863281
21757,-18.01767578125
21756,-18.9213368733724
21755,-17.6519226074219
21754,-18.0802927652995
21753,-18.4775451660156
21752,-16.932241821289
21751,-16.8524841308594
21750,-18.173432413737
21749,-17.7510640462239
21748,-18.5438700358073
21747,-16.9969034830729
21746,-17.0548360188802
21745,-18.7753662109375
21744,-19.5298014322916
21743,-19.1431131998698
21742,-17.837016805013
21741,-17.2398132324219
21740,-16.7050231933594
21739,-16.9123240152995
21738,-17.4374908447265
21737,-17.5909383138021
21736,-17.9515594482422
21735,-17.8987996419271
21734,-18.3294077555338
21733,-18.9555572509765
21732,-19.1162373860677
21731,-16.7673299153646
21730,-17.8108632405599
21729,-18.9098368326823
21728,-18.2167266845703
21727,-17.6118581136067
21726,-18.0788686116536
21725,-19.340200805664
21724,-18.7127899169922
21723,-19.5444549560547
21722,-17.9918477376302
21721,-17.6890319824219
21720,-17.8701232910156
21719,-17.1576802571614
21718,-18.4504252115885
21717,-17.7533833821614
21716,-18.3817352294922
21715,-17.6384999593099
21714,-17.2199157714844
21713,-18.5574096679687
21712,-16.3085591634114
21711,-15.8661458333333
21710,-19.2182220458984
21709,-15.8935302734375
21708,-16.5506551106771
21707,-18.9323893229166
21706,-18.023057047526
21705,-17.7583374023437
21704,-18.8152374267578
21703,-18.2553670247396
21702,-16.863638305664
21701,-16.5458841959635
21700,-18.1518056233724
21699,-18.0131540934245
21698,-18.3670969645182
21697,-17.9862325032552
21696,-18.4848337809245
21695,-18.1955627441406
21694,-16.227392578125
21693,-17.6390696207682
21692,-16.5739400227864
21691,-18.8412892659505
21690,-17.7606872558594
21689,-19.7517913818359
21688,-18.1300567626953
21687,-18.6669779459635
21686,-18.0312917073567
21685,-15.1101338704427
21684,-17.4265808105469
21683,-16.3615936279297
21682,-15.6642873128255
21681,-18.6711435953776
21680,-17.2837585449219
21679,-17.2573354085286
21678,-17.6345275878906
21677,-18.3993693033854
21676,-16.8285176595052
21675,-18.8577077229817
21674,-20.5140848795573
21673,-18.103384399414
21672,-18.3283854166666
21671,-17.8207560221354
21670,-18.0087544759114
21669,-19.1618815104166
21668,-16.4110575358073
21667,-16.9327504475911
21666,-17.6320760091146
21665,-16.0532084147135
21664,-18.4505625406901
21663,-17.646103922526
21662,-15.8866485595703
21661,-16.3768320719401
21660,-17.956406656901
21659,-17.9305480957031
21658,-18.4382080078125
21657,-17.4626271565755
21656,-17.8382527669271
21655,-16.0065826416015
21654,-18.1156321207682
21653,-18.3401295979817
21652,-17.1517547607422
21651,-18.1829996744791
21650,-17.5671803792317
21649,-16.3774831136067
21648,-17.7516693115234
21647,-16.6855275472005
21646,-16.6110646565755
21645,-17.1047831217448
21644,-18.8599049886067
21643,-18.5844635009765
21642,-17.6216135660807
21641,-16.5118876139323
21640,-18.7485107421875
21639,-17.9562184651692
21638,-16.9424397786458
21637,-16.9071411132812
21636,-18.6656453450521
21635,-17.1596486409505
21634,-16.7574981689453
21633,-19.308706665039
21632,-17.2808034261067
21631,-18.2775889078776
21630,-18.6398071289062
21629,-19.9868479410807
21628,-15.8446258544922
21627,-17.6728881835937
21626,-18.4323282877604
21625,-18.7241424560547
21624,-16.8367472330729
21623,-18.4216115315755
21622,-19.6109680175781
21621,-17.475444539388
21620,-17.3872792561849
21619,-18.9139923095703
21618,-16.5576029459635
21617,-16.1745768229166
21616,-17.1368774414062
21615,-18.748892211914
21614,-17.9490366617838
21613,-18.1570241292317
21612,-16.7594716389974
21611,-17.275732421875
21610,-16.6493133544922
21609,-17.1798665364583
21608,-16.896103922526
21607,-18.4169525146484
21606,-17.7410135904948
21605,-17.9955047607422
21604,-17.1179667154948
21603,-19.2299967447916
21602,-18.6701721191406
21601,-19.6174987792969
21600,-16.8230346679687
21599,-17.9838623046875
21598,-19.8596201578776
21597,-15.4900370279948
21596,-18.6191314697265
21595,-16.4812174479166
21594,-16.4758565266927
21593,-15.5407063802083
21592,-17.5195678710937
21591,-17.0029205322265
21590,-17.2764088948567
21589,-19.2084259033203
21588,-18.481802368164
21587,-17.6939809163411
21586,-16.9499318440755
21585,-18.1473347981771
21584,-19.3395853678385
21583,-19.4783081054687
21582,-17.8151814778646
21581,-17.7536427815755
21580,-17.7158620198567
21579,-16.4535837809245
21578,-16.2836975097656
21577,-17.0472371419271
21576,-19.8243723551432
21575,-17.7972880045573
21574,-18.1204844156901
21573,-18.3103647867838
21572,-18.6478485107422
21571,-17.9762532552083
21570,-18.1819417317708
21569,-18.5474355061849
21568,-17.3060618082682
21567,-18.5528778076172
21566,-17.104116821289
21565,-17.3071146647135
21564,-18.8662119547526
21563,-18.3694213867187
21562,-19.4318044026692
21561,-17.3700012207031
21560,-15.9453999837239
21559,-19.499116007487
21558,-16.7953755696614
21557,-18.3034525553385
21556,-17.9646260579427
21555,-18.6027842203776
21554,-18.023545328776
21553,-18.8225463867187
21552,-18.1548573811849
21551,-18.8125417073567
21550,-16.2660074869791
21549,-18.7423970540364
21548,-18.776459757487
21547,-19.0172739664713
21546,-16.8378356933594
21545,-16.7663635253906
21544,-18.1312622070312
21543,-18.5243845621745
21542,-19.5334228515625
21541,-16.5552073160807
21540,-18.1469889322916
21539,-18.7806660970052
21538,-16.7428853352864
21537,-18.6648315429687
21536,-19.2496704101562
21535,-17.6664693196614
21534,-17.4126495361328
21533,-18.9120239257812
21532,-17.3082234700521
21531,-17.8468892415364
21530,-17.8827016194661
21529,-17.9147349039713
21528,-17.0082102457682
21527,-17.7319753011067
21526,-18.0424051920573
21525,-18.8588724772135
21524,-17.3532623291015
21523,-16.9238037109375
21522,-19.2029530843099
21521,-18.2715464274088
21520,-18.6251993815104
21519,-17.3949188232422
21518,-16.0277465820312
21517,-19.3500834147135
21516,-18.9685831705729
21515,-19.0265462239583
21514,-17.6342834472656
21513,-17.7190409342448
21512,-17.0782023111979
21511,-18.0256357828776
21510,-18.5333363850911
21509,-20.1846323649088
21508,-20.1077891031901
21507,-16.0672668457031
21506,-19.3402974446614
21505,-17.8881947835286
21504,-17.4802103678385
21503,-19.2836212158203
21502,-17.7936208089192
21501,-19.3113108317057
21500,-18.2109842936198
21499,-17.7165079752604
21498,-18.056005859375
21497,-16.1108001708984
21496,-17.4893402099609
21495,-16.9192159016927
21494,-17.9776112874349
