"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-33.7189392089844
21998,-32.8785003662109
21997,-34.2926124572754
21996,-33.7009249369303
21995,-33.2076782226562
21994,-33.8883880615234
21993,-33.9701370239258
21992,-33.3916178385416
21991,-34.1030970255534
21990,-33.6917798360189
21989,-33.4562337239583
21988,-33.3217872619629
21987,-34.4867067972819
21986,-34.2551470438639
21985,-33.7144442240397
21984,-33.1949562072754
21983,-34.4022137959798
21982,-35.298375193278
21981,-33.1091471354166
21980,-33.7382720947265
21979,-33.7052686055501
21978,-34.4498949686686
21977,-34.3723052978515
21976,-33.0941846211751
21975,-33.4904337565104
21974,-33.6998161315918
21973,-33.3418131510416
21972,-33.4859464009603
21971,-33.4844930013021
21970,-34.0564000447591
21969,-34.4203272501627
21968,-33.503448232015
21967,-33.5660003662109
21966,-33.9991439819336
21965,-34.3097963968913
21964,-33.8741109212239
21963,-34.8728164672851
21962,-34.854849243164
21961,-34.2391380310058
21960,-34.0281420389811
21959,-35.0046905517578
21958,-33.5115392049153
21957,-33.8028600056966
21956,-33.1114168802897
21955,-33.5786829630534
21954,-33.2891894022623
21953,-33.5075045267741
21952,-33.4093269348144
21951,-34.0226399739583
21950,-33.0981035868327
21949,-33.9905303955078
21948,-32.5603711446126
21947,-32.7312962849935
21946,-32.7150634765625
21945,-33.164040629069
21944,-33.2584925333659
21943,-33.7426106770833
21942,-33.9783538818359
21941,-33.5993141174316
21940,-34.0418253580729
21939,-33.2382212320963
21938,-34.7066622416178
21937,-33.2644091288248
21936,-33.3557902018229
21935,-34.3176495869954
21934,-32.8327011108398
21933,-33.5447156270345
21932,-33.6334671020508
21931,-33.8808438618978
21930,-34.0124114990234
21929,-32.9529747009277
21928,-34.0688690185547
21927,-34.0781272888183
21926,-33.2127174377441
21925,-34.4884272257487
21924,-32.7544782002767
21923,-33.5311836242676
21922,-35.5474927266439
21921,-33.621129099528
21920,-33.7518600463867
21919,-33.6959671020508
21918,-33.8469223022461
21917,-33.8588356018066
21916,-34.0232821146647
21915,-35.3647878011068
21914,-34.4620396931966
21913,-33.2643506368001
21912,-33.8096450805664
21911,-34.6540969848633
21910,-33.4906105041504
21909,-33.3840532938639
21908,-33.6021204630534
21907,-34.4682843526204
21906,-32.1138430277506
21905,-33.1617085774739
21904,-32.9380973815918
21903,-33.6762349446614
21902,-33.4965970357259
21901,-33.7352877298991
21900,-34.934189860026
21899,-34.194926961263
21898,-33.755832417806
21897,-34.4862909952799
21896,-33.6077560424804
21895,-35.3356880187988
21894,-33.2622563680013
21893,-33.8035822550455
21892,-33.218291982015
21891,-33.945420328776
21890,-33.3739074707031
21889,-33.4130373636881
21888,-32.8416007995605
21887,-33.8731267293294
21886,-34.8721120198568
21885,-34.0007957458496
21884,-34.7848698933919
21883,-33.5707623799642
21882,-34.1340876261393
21881,-34.0180610656738
21880,-33.7779614766439
21879,-33.6701009114583
21878,-34.3980061848958
21877,-35.8193954467773
21876,-32.8965438842773
21875,-32.9360069274902
21874,-34.6156613667806
21873,-33.7814544677734
21872,-33.1738507588704
21871,-34.2310228983561
21870,-33.0621462504069
21869,-33.8717063903808
21868,-34.0418774922689
21867,-32.193716430664
21866,-34.8168306986491
21865,-34.193046315511
21864,-35.1788976033528
21863,-32.4701573689778
21862,-33.6881342569987
21861,-33.7516960144043
