"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-33.4945536295573
21997,-33.3295145670573
21996,-33.9196266174316
21995,-33.3170570373535
21994,-34.2402137756347
21993,-33.9867576599121
21992,-33.5559232076009
21991,-33.8543851216634
21990,-33.4927797953288
21989,-33.6847073872884
21988,-33.0232515970866
21987,-34.1611325581868
21986,-34.6483952840169
21985,-33.6672602335612
21984,-33.3199396769205
21983,-34.3075571695963
21982,-34.7301862080892
21981,-33.9333162943522
21980,-33.2995424906413
21979,-34.1936948140462
21978,-33.5460800170898
21977,-34.3027659098307
21976,-33.6669258117676
21975,-34.12425587972
21974,-32.9590260823568
21973,-33.9404523213704
21972,-33.1516695658366
21971,-33.3675127665202
21970,-33.3289754231771
21969,-35.0157531738281
21968,-33.3787267049153
21967,-33.8461568196614
21966,-33.8789721171061
21965,-34.3759508768717
21964,-34.0274579366048
21963,-34.3765167236328
21962,-34.612703704834
21961,-35.1729339599609
21960,-33.7191655476888
21959,-34.9866826375325
21958,-33.200173441569
21957,-34.4077323913574
21956,-33.2552627563476
21955,-33.7064867655436
21954,-32.8445711771647
21953,-33.2439801534017
21952,-33.2303833007812
21951,-34.690465037028
21950,-32.8341100056966
21949,-34.1135696411133
21948,-32.3124997456868
21947,-33.2314425150553
21946,-32.4054944356282
21945,-33.9205535888672
21944,-32.3670906066894
21943,-34.3443957010905
21942,-33.6504819234212
21941,-33.0843643188476
21940,-34.4622367858886
21939,-33.2727238972982
21938,-34.0138636271159
21937,-34.2841756184896
21936,-32.8968338012695
21935,-34.5762199401855
21934,-32.8981943766276
21933,-33.1944145202636
21932,-33.4010859171549
21931,-33.8140357971191
21930,-33.9360997517903
21929,-33.4595448811849
21928,-33.3443550109863
21927,-34.6323303222656
21926,-33.725984954834
21925,-34.5238873799642
21924,-32.1356287638346
21923,-34.0103541056315
21922,-34.0991462707519
21921,-34.3891128540039
21920,-33.6509651184082
21919,-34.454926554362
21918,-33.3400634765625
21917,-33.4915667215983
21916,-34.5511637369791
21915,-34.7730405171712
21914,-34.3985872904459
21913,-33.6594680786133
21912,-33.3826176961263
21911,-35.0914138793945
21910,-34.1655703226725
21909,-32.7481229146321
21908,-33.6199287414551
21907,-34.2408724466959
21906,-33.4142784118652
21905,-32.6332827250163
21904,-32.7581314086914
21903,-33.7711395263672
21902,-32.9583737691243
21901,-34.0262334187825
21900,-34.4383084615071
21899,-34.8424985249837
21898,-34.0122741699219
21897,-34.040682220459
21896,-33.1391052246094
21895,-35.7223457336426
21894,-33.3671096801758
21893,-33.4486310323079
21892,-33.936745707194
21891,-32.9999654134114
21890,-34.4795593261719
21889,-32.8144579569498
21888,-32.9271593729655
21887,-33.5855748494466
21886,-34.852766418457
21885,-33.9924517313639
21884,-34.6024739583333
21883,-33.5968828837077
21882,-34.177899424235
21881,-34.0735000610351
21880,-33.9699094136556
21879,-34.0927731831868
21878,-33.7783467610677
21877,-35.5401036580403
21876,-33.4685450236002
21875,-32.6774721781413
21874,-34.9546035766601
21873,-33.8073956807454
21872,-32.9773289998372
21871,-33.9240160624186
21870,-33.4687967936198
21869,-33.3638989766439
21868,-34.4090993245443
21867,-32.7669726053873
21866,-33.9912437438965
21865,-34.7093554178873
21864,-34.5142552693685
21863,-33.6345403035482
21862,-32.7228492736816
21861,-33.9017611185709
21860,-34.1768796284993
21859,-35.0214358011881
21858,-33.9089124043782
21857,-33.852646891276
21856,-33.3093449910482
21855,-34.8215799967448
21854,-33.4909945170084
21853,-33.0499214172363
21852,-34.1283821105957
21851,-32.3358647664388
21850,-33.8097124735514
21849,-33.2404121398926
21848,-33.4557111104329
21847,-33.7875897725423
21846,-34.3014612833659
21845,-33.7468856811523
21844,-33.7074162801107
21843,-33.6572263081868
21842,-34.6077573140462
21841,-34.728670501709
21840,-33.6824389139811
21839,-33.5808382670084
21838,-34.9886294047038
21837,-34.7596254984538
21836,-35.8124654134114
21835,-34.5535034179687
21834,-33.576456451416
21833,-33.0752916971842
21832,-32.9084482828776
21831,-33.0962903340657
21830,-34.4866241455078
21829,-32.9746587117513
21828,-34.6467371622721
21827,-34.0941426595052
21826,-33.9192693074544
21825,-33.674351755778
21824,-33.7839098612467
21823,-34.0598243713379
21822,-32.7564173380534
21821,-34.3968592325846
21820,-34.3626502990722
21819,-34.5814956665039
21818,-32.9955060323079
21817,-33.9959536234538
21816,-33.7006159464518
21815,-33.687976582845
21814,-33.8911168416341
21813,-33.471917215983
21812,-34.4117607116699
21811,-34.0044845581054
21810,-34.3770838419596
21809,-33.9164019266764
21808,-33.7900998433431
21807,-33.5262079874674
21806,-34.2036206563314
21805,-34.7404261271159
21804,-31.6631556193034
21803,-34.3244473775228
21802,-34.5155370076497
21801,-35.1201499938965
21800,-34.568778737386
21799,-32.6970949808756
21798,-33.6852096557617
21797,-34.0280949910482
21796,-34.1324231465657
21795,-34.3323387145996
21794,-34.14755859375
21793,-33.4734303792318
21792,-34.2551508585612
21791,-34.2164990743001
21790,-33.3822832743327
21789,-34.2846956888834
21788,-33.1061373392741
21787,-33.3668502807617
21786,-34.3967905680338
21785,-33.9622367858886
21784,-33.9461057027181
21783,-34.6711105346679
21782,-33.8472160339355
21781,-34.4013720194498
21780,-34.6333869934082
21779,-35.4990486145019
21778,-34.7491325378418
21777,-34.2466161092122
21776,-34.0665051778157
21775,-33.8533971150716
21774,-34.364412689209
21773,-34.9319836934407
21772,-33.8277280171712
21771,-33.6533073425293
21770,-32.736669921875
21769,-32.6672398885091
21768,-33.2874257405599
21767,-35.0561698913574
21766,-34.1967173258463
21765,-32.9337842305501
21764,-34.1065671284993
21763,-33.3207661946614
21762,-34.3858640034993
21761,-34.5315778096517
21760,-34.0729316711426
21759,-34.2446502685547
21758,-33.4855458577474
21757,-34.5357816060384
21756,-34.0945215861002
21755,-33.7615938822428
21754,-34.213486735026
21753,-34.1548853556315
21752,-34.4151125590006
21751,-33.7311436971028
21750,-33.6206217447916
21749,-33.3264297485351
21748,-34.8111022949219
21747,-33.6296956380208
21746,-33.4296223958333
21745,-33.9820045471191
21744,-33.060717010498
21743,-33.9610872904459
21742,-34.6721455891927
21741,-33.1902959187825
21740,-34.1222035725911
21739,-33.0616414388021
21738,-33.5344960530599
21737,-33.7494338989258
21736,-34.7352063496907
21735,-34.7449478149414
21734,-33.0299972534179
21733,-34.7569730122884
21732,-33.7350016276041
21731,-33.9395418802897
21730,-33.8485092163086
21729,-34.7949699401855
21728,-34.0171951293945
21727,-33.4342241923014
21726,-34.6861989339193
21725,-34.7426450093587
21724,-34.5116511027018
21723,-33.1726033528646
21722,-34.9002479553222
21721,-32.8611028035482
21720,-33.9224049886068
21719,-34.4039494832357
21718,-33.1991180419922
21717,-34.2823890686035
21716,-34.6698504130045
21715,-35.1161305745443
21714,-34.3112904866536
21713,-35.0335512797038
21712,-32.8291013081868
21711,-33.6380599975586
21710,-33.7768526713053
21709,-33.0868985493978
21708,-33.1256711324056
21707,-34.9171724955241
21706,-34.7655026753743
21705,-34.1156499226888
21704,-34.2955307006836
21703,-34.8190088907877
21702,-34.6555872599284
21701,-33.0489995320638
21700,-34.4752588907877
