"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-23.9124638875325
21997,-23.1578404744466
21996,-23.4486526489258
21995,-22.9552520751953
21994,-23.7553187052409
21993,-24.104584757487
21992,-23.5603775024414
21991,-23.3530029296875
21990,-23.9438919067383
21989,-23.096657816569
21988,-23.373159790039
21987,-23.8978256225586
21986,-23.0701965332031
21985,-23.188693745931
21984,-22.6496032714844
21983,-24.2604838053385
21982,-24.4912729899088
21981,-22.9226643880208
21980,-23.0797815958659
21979,-22.9389353434245
21978,-23.5575088500976
21977,-23.8535751342773
21976,-22.2467941284179
21975,-23.6827860514323
21974,-23.1401936848958
21973,-23.9706380208333
21972,-23.2839213053385
21971,-22.6900975545247
21970,-22.9732320149739
21969,-24.6525227864583
21968,-23.0951370239258
21967,-23.9495173136393
21966,-23.0399637858073
21965,-23.8864857991536
21964,-24.0865997314453
21963,-23.3081039428711
21962,-23.4188318888346
21961,-23.5756998697916
21960,-23.7371938069661
21959,-24.1764231363932
21958,-22.8279505411784
21957,-23.3790954589844
21956,-22.790131632487
21955,-23.7258895874023
21954,-22.9081787109375
21953,-22.8053446451823
21952,-23.1457046508789
21951,-23.7934275309245
21950,-22.9851186116536
21949,-24.0494267781575
21948,-22.7832270304362
21947,-22.2702290852864
21946,-22.7035252888997
21945,-23.5370722452799
21944,-22.5184590657552
21943,-23.7906097412109
21942,-24.6455012003581
21941,-23.5879425048828
21940,-23.4972722371419
21939,-23.0079432169596
21938,-24.3721476236979
21937,-23.4054804484049
21936,-22.3766311645508
21935,-24.0186904907226
21934,-22.219829305013
21933,-22.8769744873047
21932,-24.5070302327474
21931,-23.4189743041992
21930,-23.8774373372396
21929,-23.0045939127604
21928,-23.2979110717773
21927,-23.6100168863932
21926,-22.5987787882487
21925,-23.9167872111002
21924,-22.5479314168294
21923,-23.3454778035482
21922,-23.7228022257487
21921,-23.2460286458333
21920,-23.3545669555664
21919,-23.6968826293945
21918,-23.1745107014974
21917,-21.9923792521159
21916,-24.5637827555338
21915,-23.9739237467448
21914,-22.5186396280924
21913,-22.9144831339518
21912,-21.9896428426107
21911,-24.9297266642252
21910,-23.0395263671875
21909,-23.6530848185221
21908,-22.9746688842773
21907,-23.8054667154948
21906,-21.8324315388997
21905,-22.7186442057291
21904,-22.8296366373698
21903,-23.5835581461588
21902,-22.6676747639974
21901,-23.4246861775716
21900,-24.9201899210612
21899,-23.7465677897135
21898,-23.7223114013672
21897,-23.6541885375976
21896,-22.5379419962565
21895,-24.8686660766601
21894,-22.4215530395508
21893,-23.0173324584961
21892,-22.4926996866862
21891,-22.9818939208984
21890,-23.9797627766927
21889,-23.051860555013
21888,-21.5769714355469
21887,-24.2761291503906
21886,-23.4577850341797
21885,-22.9882797241211
21884,-23.8867350260416
21883,-23.0018473307291
21882,-22.8971059163411
21881,-23.6750854492187
21880,-23.0597849527995
21879,-23.194075012207
21878,-23.021706644694
21877,-23.4378646850586
21876,-22.0647745768229
21875,-22.3989878336588
21874,-24.5561508178711
21873,-23.0150512695312
21872,-22.6918039957682
21871,-22.5356709798177
21870,-22.8170888264974
21869,-22.9604298909505
21868,-23.5414693196614
21867,-22.1573776245117
21866,-23.8915390014648
21865,-24.298442586263
21864,-24.380224609375
21863,-22.6285792032877
21862,-22.8574864705403
21861,-22.2807754516601
21860,-24.065771484375
21859,-22.2699315388997
21858,-23.8129028320312
21857,-23.9514628092448
21856,-22.1110315958659
21855,-22.2065083821614
21854,-22.2659108479817
21853,-22.1050552368164
21852,-23.6425308227539
21851,-22.7712946573893
21850,-23.3532953898112
21849,-23.139741007487
21848,-23.4900217692057
21847,-23.5004333496094
21846,-23.4791320800781
21845,-23.8141184488932
21844,-22.9144322713216
21843,-23.6763366699219
21842,-23.5885070800781
21841,-23.9258585611979
21840,-22.5410166422526
21839,-22.990950012207
21838,-24.2804779052734
21837,-25.0795756022135
21836,-24.2736190795898
21835,-23.9754292805989
21834,-21.5751302083333
21833,-22.5925099690755
21832,-22.9738169352213
21831,-22.721294148763
21830,-23.0570714314778
21829,-21.7542200724284
21828,-24.8320729573567
21827,-23.7873825073242
21826,-22.8001897176107
21825,-23.6800369262695
21824,-23.3644470214844
21823,-24.3736506144206
21822,-21.9402475992838
21821,-24.5274261474609
21820,-23.6363510131836
21819,-24.5229120890299
21818,-21.8953257242838
21817,-22.4607681274414
21816,-23.4537439982096
21815,-22.5513748168945
21814,-23.0183802286784
21813,-23.0644541422526
21812,-24.0024958292643
21811,-23.005473836263
21810,-23.9188395182291
21809,-24.4141805013021
21808,-23.3625116984049
21807,-22.6593485514323
21806,-23.4924402872721
21805,-23.5988805135091
21804,-21.1564188639323
21803,-23.7339920043945
21802,-22.461897277832
21801,-24.1832387288411
21800,-24.5498184204101
21799,-21.6265141805013
21798,-24.0538416544596
21797,-24.2118362426758
21796,-23.267073059082
21795,-23.5645151774088
21794,-22.9127766927083
21793,-23.2051961263021
21792,-22.712494913737
21791,-23.0293741861979
21790,-23.9179545084635
21789,-24.1941716512044
21788,-22.5922353108724
21787,-22.9336405436198
21786,-24.1536824544271
21785,-23.478992207845
21784,-23.352527364095
21783,-24.4952555338541
21782,-22.689182027181
21781,-23.8441350301107
