"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-43.076643371582
21997,-43.5011886596679
21996,-44.3906005859375
21995,-43.6788619995117
21994,-44.7251088460286
21993,-43.8689305623372
21992,-43.5514689127604
21991,-44.3557673136393
21990,-43.0416676839193
21989,-44.2727569580078
21988,-42.6733434041341
21987,-44.4244394938151
21986,-46.2265940348307
21985,-44.1458267211914
21984,-43.9902760823568
21983,-44.3546305338541
21982,-44.9690994262695
21981,-44.9439682006836
21980,-43.5193033854166
21979,-45.4484542846679
21978,-43.534651184082
21977,-44.7519566853841
21976,-45.0870574951172
21975,-44.5657257080078
21974,-42.7778584798177
21973,-43.9102666219075
21972,-43.0194178263346
21971,-44.0449279785156
21970,-43.6847188313802
21969,-45.3789835611979
21968,-43.6623163859049
21967,-43.7427963256836
21966,-44.7179804484049
21965,-44.8654159545898
21964,-43.9683161417643
21963,-45.4449295043945
21962,-45.8065755208333
21961,-46.7701680501302
21960,-43.7011372884114
21959,-45.7969421386719
21958,-43.5723963419596
21957,-45.4363693237304
21956,-43.7203938802083
21955,-43.6870839436849
21954,-42.7809636433919
21953,-43.6826156616211
21952,-43.3150619506836
21951,-45.5875025431315
21950,-42.6831013997396
21949,-44.177712504069
21948,-41.8417724609375
21947,-44.1926559448242
21946,-42.1074635823568
21945,-44.3040349324544
21944,-42.2157221476237
21943,-44.89818166097
21942,-42.6554626464844
21941,-42.5807861328125
21940,-45.4272013346354
21939,-43.5375045776367
21938,-43.6555796305338
21937,-45.1628707885742
21936,-43.4170364379883
21935,-45.1337493896484
21934,-43.5765594482422
21933,-43.5118545532226
21932,-42.2951416015625
21931,-44.209097290039
21930,-43.9947621663411
21929,-43.9144958496094
21928,-43.3907989501953
21927,-45.654643758138
21926,-44.8531911214193
21925,-45.1309875488281
21924,-41.7233261108398
21923,-44.6752304077148
21922,-44.4754903157552
21921,-45.5321970621745
21920,-43.94736328125
21919,-45.2129704793294
21918,-43.5056162516276
21917,-44.9907541910807
21916,-44.5385447184245
21915,-45.5721572875976
21914,-46.2785349527995
21913,-44.4044530232747
21912,-44.7755925496419
21911,-45.2531010945638
21910,-45.2916142781575
21909,-41.8431610107422
21908,-44.2651885986328
21907,-44.6762781778971
21906,-44.9961252848307
21905,-42.5479212443034
21904,-42.686626180013
21903,-43.9587209065755
21902,-43.2490727742513
21901,-44.6277806599935
21900,-43.9564270019531
21899,-45.9384292602539
21898,-44.3022369384765
21897,-44.4271759033203
21896,-43.7402684529622
21895,-46.576025390625
21894,-44.3126663208008
21893,-43.8799296061198
21892,-45.3807917277018
21891,-43.0180369059245
21890,-44.979355875651
21889,-42.5770553588867
21888,-44.2773473103841
21887,-42.8950205485026
21886,-46.2477478027344
21885,-44.9966237386068
21884,-45.318212890625
21883,-44.1919184366862
21882,-45.4586929321289
21881,-44.4719146728515
21880,-44.8800338745117
21879,-44.9914713541666
21878,-44.5349868774414
21877,-47.6423426310221
21876,-44.8723154703776
21875,-42.9559565226237
21874,-45.3530563354492
21873,-44.5997400919596
21872,-43.2628540039062
21871,-45.3123611450195
21870,-44.1205047607422
21869,-43.7673680623372
21868,-45.2767293294271
21867,-43.376567586263
21866,-44.0909484863281
21865,-45.1202682495117
21864,-44.648285929362
21863,-44.6405014038086
21862,-42.5882120768229
21861,-45.5227467854818
21860,-44.2879877726237
21859,-47.7729400634765
21858,-44.0049219767252
21857,-43.7538309733073
21856,-44.5076583862304
21855,-47.4366516113281
21854,-44.7160781860351
21853,-43.9947875976562
21852,-44.6142333984375
21851,-41.9004348754883
21850,-44.2661295572916
21849,-43.3410832722982
21848,-43.4214004516601
21847,-44.0747461954752
21846,-45.1237904866536
21845,-43.6796529134114
21844,-44.5004002888997
21843,-43.6381159464518
21842,-45.6270075480143
21841,-45.53148244222
21840,-44.8238611857096
21839,-44.1707265218099
21838,-45.6967809041341
21837,-44.439675394694
21836,-47.351311747233
21835,-45.1315775553385
21834,-45.5777826944987
21833,-43.5580734252929
21832,-42.8430796305338
21831,-43.4712865193685
21830,-45.9161768595377
21829,-44.1950973510742
21828,-44.4614013671875
21827,-44.4009028116862
21826,-45.0383488972982
21825,-43.6686665852864
21824,-44.2033727010091
21823,-43.7459981282552
21822,-43.5725870768229
21821,-44.2662923177083
21820,-45.0889495849609
21819,-44.6400792439778
21818,-44.095686340332
21817,-45.5311391194661
21816,-43.947487894694
21815,-44.8245783487955
21814,-44.7638534545898
21813,-43.8793802897135
21812,-44.8210255940755
21811,-45.0034952799479
21810,-44.8353281656901
21809,-43.4186233520508
21808,-44.2176879882812
21807,-44.3930674235026
21806,-44.9148010253906
21805,-45.8819717407226
21804,-42.1698923746745
21803,-44.914902750651
21802,-46.5691767374674
21801,-46.0570612589518
21800,-44.587739054362
21799,-43.76767578125
21798,-43.3165776570638
21797,-43.8443537394205
21796,-44.9977732340495
21795,-45.1001622517903
21794,-45.3823404947916
21793,-43.7416646321614
21792,-45.7978068033854
21791,-45.4036239624023
21790,-42.8466120402018
21789,-44.3752197265625
21788,-43.6200393676758
21787,-43.8000600179036
21786,-44.6398986816406
21785,-44.4454813639323
21784,-44.5396840413411
21783,-44.8469655354818
21782,-45.0052500406901
21781,-44.958609008789
21780,-45.3834289550781
21779,-46.7275527954101
21778,-45.6873916625976
21777,-46.0362533569336
21776,-45.9719502766927
21775,-43.5976852416992
21774,-45.2457565307617
21773,-47.1543869018554
21772,-45.0493504842122
21771,-43.5808802286784
21770,-43.0305643717448
21769,-42.7986485799153
21768,-42.564555867513
21767,-46.3392369588216
21766,-45.4506134033203
21765,-43.4694147745768
21764,-45.2326110839844
21763,-43.7944931030273
21762,-45.5148529052734
21761,-44.9201136271159
21760,-45.6811024983724
21759,-44.787575785319
21758,-44.9394999186198
21757,-46.4711466471354
21756,-44.4637741088867
21755,-43.7750940958659
21754,-45.1436294555664
21753,-45.2842595418294
21752,-46.3625549316406
21751,-45.7602701822916
21750,-43.5615854899088
21749,-43.6704111735026
21748,-45.1884063720703
21747,-44.5475474039713
21746,-45.1618611653646
21745,-44.2997294108073
21744,-42.7871739705403
21743,-44.2692296346028
21742,-45.4148569742838
21741,-44.3368108113607
21740,-45.6554601033528
21739,-44.1711334228515
21738,-43.5991246541341
21737,-43.6301381429036
21736,-46.0842524210612
21735,-45.1180862426758
21734,-42.6893829345703
21733,-45.2681131998698
21732,-43.3915033976237
21731,-45.0499710083008
21730,-44.1436777750651
21729,-44.7012415568034
21728,-44.211419169108
21727,-44.2931808471679
21726,-45.709097290039
21725,-45.2550669352213
21724,-45.4372009277344
21723,-42.2949457804362
21722,-45.2697179158528
21721,-43.1955881754557
21720,-44.4401280721028
21719,-46.1709808349609
21718,-43.6579167683919
21717,-45.1915623982747
21716,-45.9310389200846
21715,-46.7683776855469
21714,-44.9073827107747
21713,-46.2603846232096
21712,-43.8664942423502
21711,-45.6815755208333
21710,-43.7927510579427
21709,-43.877658589681
21708,-43.1496668497721
21707,-44.9500818888346
21706,-45.5045049031575
21705,-45.5261316935221
21704,-44.9712356567383
21703,-45.0408615112304
21702,-46.1524998982747
21701,-43.7365478515625
21700,-45.2971684773763
21699,-43.8621938069661
21698,-45.5116867065429
21697,-44.7089345296224
21696,-45.1450383504232
21695,-44.2052724202474
21694,-41.84970703125
21693,-44.7327611287435
21692,-44.5425603230794
21691,-43.4314966837565
21690,-44.0323750813802
21689,-46.9304361979166
21688,-42.7733317057291
21687,-45.9775044759114
21686,-45.3853057861328
21685,-43.9624618530273
21684,-44.1277348836263
21683,-42.9887145996094
21682,-42.2017400105794
21681,-43.2459981282552
21680,-44.3414952596028
21679,-43.8286524454752
21678,-43.2124033610026
21677,-41.966401163737
21676,-43.1070948282877
21675,-44.6618103027344
21674,-44.8510421752929
21673,-44.0471862792969
21672,-45.7067296346028
21671,-45.0169179280599
21670,-42.3827829996745
21669,-46.5852620442708
21668,-44.0648534138997
21667,-44.5279118855794
21666,-45.4110855102539
21665,-44.802961730957
21664,-43.6128219604492
21663,-45.4379206339518
21662,-43.7262430826823
21661,-45.5986923217773
21660,-44.208713277181
21659,-45.3401117960612
21658,-42.2494313557943
21657,-45.5998341878255
21656,-44.7660100301107
21655,-45.8108072916666
21654,-44.4428415934245
21653,-42.74241994222
21652,-46.0304346720377
21651,-43.2109359741211
21650,-46.3857482910156
21649,-43.6829945882161
21648,-45.5434580485026
21647,-47.4790837605794
21646,-45.2165156046549
21645,-42.870822652181
21644,-45.6510782877604
21643,-46.5863708496094
21642,-43.2494237263997
21641,-44.0887969970703
21640,-45.7191324869791
21639,-43.9373051961263
21638,-44.0411336263021
21637,-45.0948420206705
21636,-45.0462148030599
21635,-43.990591430664
21634,-43.9438385009765
21633,-42.4386530558268
21632,-44.2298975626627
21631,-44.6194900512695
21630,-45.6829513549804
21629,-45.2785756429036
21628,-45.3714279174804
21627,-44.9435612996419
21626,-43.6963358561198
21625,-44.1025655110677
21624,-45.898057047526
21623,-45.9651016235351
21622,-45.8760131835937
21621,-44.0864980061849
21620,-43.7832677205403
21619,-44.8830627441406
21618,-42.3522755940755
21617,-44.9212682088216
21616,-45.8017028808594
21615,-44.9632832845052
21614,-46.2633550008138
21613,-43.799299621582
21612,-42.718613688151
21611,-44.801611328125
21610,-42.7147379557291
21609,-43.8511617024739
21608,-43.9307337443034
21607,-43.4628306070963
21606,-46.8388682047526
21605,-45.98544921875
21604,-43.6156448364258
21603,-44.6437464396159
21602,-46.2505249023437
21601,-45.3888534545898
21600,-45.3281260172526
21599,-43.2171463012695
21598,-44.5863479614258
21597,-44.1452112833659
21596,-46.1749811808268
21595,-44.001318359375
21594,-43.602288309733
21593,-44.8880752563476
21592,-44.652825419108
21591,-44.4436096191406
21590,-44.5843948364258
21589,-45.4526707967122
21588,-43.9616302490234
21587,-42.5311798095703
21586,-45.6146606445312
21585,-41.6048797607422
21584,-45.2536783854166
21583,-43.9621846516927
21582,-44.9448582967122
21581,-44.3695332845052
21580,-44.082736714681
21579,-44.1104619344075
21578,-43.8657719930013
21577,-43.3851379394531
21576,-45.2663940429687
21575,-44.3221165974935
21574,-43.6282129923502
21573,-45.8706624348958
21572,-44.4966389973958
21571,-43.3636077880859
21570,-45.9636978149414
21569,-45.0604359944661
21568,-45.7349355061849
21567,-44.8778671264648
21566,-43.3992039998372
21565,-44.5112874348958
21564,-44.5035029093424
21563,-44.8949722290039
21562,-44.7165435791015
21561,-44.4529123942057
21560,-43.8647140502929
21559,-44.5841812133789
21558,-44.5764500935872
21557,-45.2329696655273
21556,-44.687857055664
21555,-42.6380243937174
21554,-42.8737269083659
21553,-45.5882705688476
21552,-45.8259643554687
21551,-44.6688802083333
21550,-45.3425252278646
21549,-43.5805953979492
21548,-43.9025990804036
21547,-43.3285736083984
21546,-43.1499211629232
21545,-44.7188934326172
21544,-45.850937906901
21543,-43.9459696451823
21542,-41.4274861653646
21541,-44.198459370931
21540,-43.4068283081054
21539,-44.7522516886393
21538,-46.6119827270508
21537,-45.8506861368815
21536,-47.619851175944
21535,-43.9531285603841
21534,-43.8589589436849
21533,-43.0491902669271
21532,-46.9650177001953
21531,-44.2300806681315
21530,-45.0140340169271
21529,-45.5365687052409
21528,-44.8996973673502
21527,-44.0359252929687
21526,-45.9100504557291
21525,-43.1309443155924
21524,-44.527944946289
21523,-44.6844823201497
21522,-44.3768600463867
21521,-43.2620885213216
21520,-45.5619491577148
21519,-43.0743927001953
21518,-44.5826629638672
21517,-45.1013397216797
21516,-44.0670633951823
21515,-44.9339330037435
21514,-44.3839146931966
21513,-43.4768585205078
21512,-45.2477249145508
21511,-43.221044921875
21510,-43.4377807617187
21509,-45.7109588623047
21508,-46.1677332560221
21507,-44.5828791300455
21506,-45.0844736735026
21505,-46.8112701416015
21504,-44.1327016194661
21503,-44.6667160034179
21502,-44.3228439331054
21501,-44.5917037963867
21500,-41.2215688069661
21499,-44.497900390625
21498,-44.2842213948568
21497,-45.3824447631836
21496,-44.8844487508138
21495,-42.7460439046224
21494,-43.7394444783528
21493,-44.1187754313151
21492,-43.9938975016276
21491,-44.4902709960937
21490,-44.7791122436523
21489,-43.1999623616536
21488,-45.8685872395833
21487,-42.8198303222656
21486,-44.7356628417969
21485,-43.9907262166341
21484,-43.1029088338216
