"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-50.6726440429687
21997,-46.721543375651
21996,-48.4478820800781
21995,-48.1532958984375
21994,-50.072856648763
21993,-49.660986328125
21992,-47.4759887695312
21991,-46.6523549397786
21990,-50.7431599934896
21989,-46.9296783447265
21988,-50.3351399739583
21987,-53.3327545166015
21986,-50.8486440022786
21985,-49.3110260009765
21984,-49.1693125406901
21983,-47.6468566894531
21982,-49.3779103597005
21981,-47.4239766438802
21980,-46.374858601888
21979,-46.494248453776
21978,-49.8304758707682
21977,-47.1024841308594
21976,-52.6119852701823
21975,-50.1431488037109
21974,-48.613628133138
21973,-50.4188344319661
21972,-46.000341796875
21971,-46.9969492594401
21970,-49.6764027913411
21969,-50.0649983723958
21968,-48.4111338297526
21967,-50.7307037353515
21966,-51.1008056640625
21965,-51.3756927490234
21964,-47.9754852294922
21963,-50.0612243652344
21962,-51.4647939046224
21961,-52.0019897460937
21960,-49.782817586263
21959,-50.2929494222005
21958,-49.6236226399739
21957,-51.9003000895182
21956,-45.9516967773437
21955,-48.2542073567708
21954,-47.1510070800781
21953,-48.6134297688802
21952,-47.9579020182291
21951,-47.8966328938802
21950,-49.6802530924479
21949,-50.7944244384765
21948,-45.7024342854818
21947,-48.4485534667969
21946,-47.2499399820963
21945,-49.6835642496745
21944,-49.0312306722005
21943,-48.6282206217448
21942,-49.5942392985026
21941,-49.9143178304036
21940,-51.5589711507161
21939,-49.2413441975911
21938,-48.9597686767578
21937,-54.2051554361979
21936,-49.1697397867838
21935,-50.6463836669922
21934,-51.5779683430989
21933,-47.096548461914
21932,-51.7025309244791
21931,-48.300650024414
21930,-47.0612701416015
21929,-50.394135538737
21928,-49.8219207763672
21927,-50.1259623209635
21926,-52.8615936279297
21925,-48.1945760091146
21924,-48.0151631673177
21923,-49.9070241292318
21922,-51.61044921875
21921,-50.163666788737
21920,-46.5390838623047
21919,-48.5616923014323
21918,-48.9713907877604
21917,-50.5722259521484
21916,-51.2909403483073
21915,-50.3607798258463
21914,-49.0966094970703
21913,-49.8284973144531
21912,-48.0116180419922
21911,-48.511338297526
21910,-48.5061147054036
21909,-47.6711537679036
21908,-51.0555735270182
21907,-53.6896982828776
21906,-51.8786478678385
21905,-52.7410034179687
21904,-48.2595479329427
21903,-49.7555145263672
21902,-48.7796284993489
21901,-51.0662190755208
21900,-49.0054433186849
21899,-51.1728322347005
21898,-52.2777720133463
21897,-49.6283782958984
21896,-48.3383341471354
21895,-52.6321421305338
21894,-51.2567504882812
21893,-51.7759511311849
21892,-50.0748809814453
21891,-48.7081970214844
21890,-48.4565745035807
21889,-51.1286682128906
21888,-49.7996276855469
21887,-48.2675944010416
21886,-50.8552459716797
21885,-50.4134785970052
21884,-50.5984202067057
21883,-49.7333435058594
21882,-52.0103820800781
21881,-48.2235626220703
21880,-47.3923655192057
21879,-48.2101348876953
21878,-48.7848520914713
21877,-51.0327565511068
21876,-47.7199920654297
21875,-51.1618815104166
21874,-50.8646352132161
21873,-47.4951334635416
21872,-48.6581431070963
21871,-51.3612375895182
21870,-49.2412272135416
21869,-49.1812245686849
21868,-51.1472025553385
21867,-45.5245320638021
21866,-51.1347564697265
21865,-50.9217742919922
21864,-47.3926503499349
21863,-50.0189524332682
21862,-47.9986836751302
21861,-50.5912994384765
21860,-49.9532633463541
21859,-51.0813049316406
21858,-51.9978495279948
21857,-48.5904551188151
21856,-53.1088216145833
21855,-51.7935445149739
21854,-49.6855021158854
21853,-51.946401977539
21852,-50.9076090494791
21851,-50.7681996663411
21850,-52.689555867513
21849,-49.9633900960286
21848,-46.609228515625
21847,-47.4838317871094
21846,-48.2019510904948
21845,-48.9586140950521
21844,-50.2312632242838
21843,-50.627055867513
21842,-48.8570515950521
21841,-54.0086069742838
21840,-51.9593973795573
21839,-50.6499847412109
21838,-48.8656372070312
21837,-47.8888559977213
21836,-52.0781717936198
21835,-51.1749430338541
21834,-52.8839884440104
21833,-47.0260274251302
21832,-45.5746368408203
21831,-48.6967274983724
21830,-48.9455780029297
21829,-51.0724650065104
21828,-51.3420827229818
21827,-47.6479451497396
21826,-50.4889180501302
21825,-45.1668965657552
21824,-47.1466074625651
21823,-50.4403086344401
21822,-48.7883717854818
21821,-50.090185546875
21820,-51.4597839355469
21819,-50.3195505777995
21818,-48.4137329101562
21817,-49.9117543538411
21816,-49.7360595703125
21815,-50.985693359375
21814,-50.5554260253906
21813,-49.3827321370443
21812,-48.6448374430338
21811,-50.0346740722656
21810,-47.3118041992187
21809,-46.0450093587239
21808,-48.5713460286458
21807,-47.5423136393229
21806,-49.1686055501302
21805,-50.5340026855469
21804,-49.8463297526041
21803,-52.1276713053385
21802,-52.141948445638
21801,-53.0751454671224
21800,-50.6167205810547
21799,-55.761343383789
21798,-47.4359446207682
21797,-51.5056009928385
21796,-51.622422281901
21795,-52.2338012695312
21794,-50.9970408121745
21793,-52.1174479166666
21792,-50.4994923909505
21791,-51.6467346191406
21790,-50.442734781901
21789,-49.7308868408203
21788,-49.350190226237
21787,-50.4628306070963
21786,-52.6018330891927
21785,-51.1952982584635
21784,-49.8658101399739
21783,-50.581411743164
21782,-49.7447519938151
21781,-47.3098917643229
21780,-50.5382700602213
21779,-48.9980936686198
21778,-51.3617207845052
21777,-51.4301666259765
21776,-50.2253224690755
21775,-47.8463806152344
21774,-51.9249582926432
21773,-52.5142171223958
21772,-50.9754852294922
21771,-47.1222391764323
21770,-51.0946512858073
21769,-49.4930430094401
21768,-52.2764292399088
21767,-49.2988800048828
21766,-45.8662933349609
21765,-47.6127431233724
21764,-50.0068318684896
21763,-48.153178914388
21762,-49.6030385335286
21761,-47.9743001302083
21760,-50.3457295735677
21759,-49.0295420328776
