"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-20.6544504801432
21998,-21.4747985839844
21997,-19.7744150797526
21996,-22.3559885660807
21995,-21.8667460123698
21994,-21.2662719726562
21993,-21.3816741943359
21992,-22.1727762858073
21991,-20.1620086669922
21990,-22.0115061442057
21989,-21.9291544596354
21988,-20.8875030517578
21987,-21.0005503336588
21986,-22.9109405517578
21985,-22.1021026611328
21984,-20.7731892903646
21983,-19.7095703125
21982,-21.3210255940755
21981,-21.3905802408854
21980,-21.5061604817708
21979,-22.1565002441406
21978,-21.4706787109375
21977,-22.21787109375
21976,-21.547710164388
21975,-22.3692789713541
21974,-21.2596038818359
21973,-21.9050150553385
21972,-22.568212890625
21971,-21.4691680908203
21970,-21.3924519856771
21969,-21.3162190755208
21968,-22.8046579996745
21967,-21.4653533935547
21966,-23.1294464111328
21965,-23.9773569742838
21964,-21.7562825520833
21963,-23.1820332845052
21962,-22.3257253011067
21961,-21.4802154541015
21960,-21.2347524007161
21959,-21.3940236409505
21958,-21.7317667643229
21957,-22.4723063151041
21956,-20.5629028320312
21955,-20.1690734863281
21954,-22.8093577067057
21953,-21.6188873291015
21952,-20.5800638834635
21951,-21.2584645589192
21950,-21.5281585693359
21949,-20.3488728841146
21948,-21.4555063883463
21947,-19.9360768636067
21946,-20.9873616536458
21945,-21.4160929361979
21944,-22.6486470540364
21943,-23.9991465250651
21942,-21.794536336263
21941,-22.4796356201172
21940,-21.1693430582682
21939,-22.3881947835286
21938,-21.7028564453125
21937,-23.7412882486979
21936,-22.2320159912109
21935,-22.0154073079427
21934,-22.0455790201823
21933,-21.2020426432291
21932,-21.7985239664713
21931,-21.3997049967448
21930,-22.7306681315104
21929,-21.7269500732422
21928,-20.608750406901
21927,-20.1076517740885
21926,-22.5065775553385
21925,-21.7307647705078
21924,-20.6757110595703
21923,-21.9411834716797
21922,-20.915141805013
21921,-21.2720397949219
21920,-21.7515116373698
21919,-22.0712799072265
21918,-23.1655690511067
21917,-21.5531626383463
21916,-22.6951507568359
21915,-22.0822814941406
21914,-21.4202178955078
21913,-21.8383900960286
21912,-21.868266805013
21911,-21.1934112548828
21910,-21.3556376139323
21909,-22.452251180013
21908,-20.9367685953776
21907,-22.1189585367838
21906,-22.3752705891927
21905,-21.5829121907552
21904,-21.6081146240234
21903,-21.7784688313802
21902,-22.3234873453776
21901,-24.2716278076172
21900,-21.5847432454427
21899,-20.9685119628906
21898,-21.6490692138672
21897,-22.8241333007812
21896,-22.8561258951823
21895,-22.5303456624349
21894,-21.4437215169271
21893,-21.6679697672526
21892,-22.3182434082031
21891,-20.9909729003906
21890,-21.7343454996745
21889,-22.5710662841797
21888,-19.2301086425781
