"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-36.7235359191894
21998,-37.2017590840657
21997,-35.1286186218261
21996,-36.6366943359375
21995,-35.2659706115722
21994,-36.6790540059407
21993,-36.419344329834
21992,-36.0554374694824
21991,-34.7355471293131
21990,-36.7039716084798
21989,-35.7318481445312
21988,-36.3776674906413
21987,-36.6588081359863
21986,-36.4520426432291
21985,-36.3162635803222
21984,-35.9955975850423
21983,-36.1719853719075
21982,-35.2480987548828
21981,-34.7032811482747
21980,-34.3660402933756
21979,-35.9798467000325
21978,-34.9965665181478
21977,-35.9685335795084
21976,-35.770730082194
21975,-35.5450284322103
21974,-35.9786984761556
21973,-37.2001963297526
21972,-35.2666445414225
21971,-35.7258794148763
21970,-36.6734146118164
21969,-35.6926419576009
21968,-36.4311266581217
21967,-35.8332987467448
21966,-37.9310656229655
21965,-37.4521608988444
21964,-36.2575388590495
21963,-37.4769907633463
21962,-37.3857686360677
21961,-37.2977762858073
21960,-36.3587198893229
21959,-36.9387026468913
21958,-36.0395619710286
21957,-36.2638954162597
21956,-34.885356648763
21955,-35.3921506245931
21954,-36.3587491353353
21953,-36.1406374613444
21952,-35.7011614481608
21951,-35.9094566345215
21950,-36.7132082621256
21949,-36.6164039611816
21948,-35.7976440429687
21947,-35.9171152750651
21946,-36.0473782857259
21945,-36.9570729573568
21944,-37.1830861409505
21943,-36.711518351237
21942,-36.0069157918294
21941,-36.811371866862
21940,-36.5882553100586
21939,-37.1238413492838
21938,-36.5749064127604
21937,-37.9908279418945
21936,-36.950532023112
21935,-36.4498606363932
21934,-36.9525983174642
21933,-34.7116162618001
21932,-36.9118230183919
21931,-35.2375256856282
21930,-36.2313535054525
21929,-36.9454839070638
21928,-36.9491549173991
21927,-35.1197532653808
21926,-36.6325642903646
21925,-35.5096801757812
21924,-36.021768951416
21923,-36.3290974934896
21922,-36.2678932189941
21921,-36.3331499735514
21920,-36.6470512390136
21919,-35.2710199991862
21918,-36.3328905741373
21917,-35.2578809102376
21916,-36.9324312845866
21915,-37.3139010111491
21914,-36.1475713094075
21913,-36.8739646911621
21912,-36.4535303751627
21911,-35.678559366862
21910,-35.9209465026855
21909,-35.6705968221028
21908,-37.2986981709798
21907,-37.5646448771159
21906,-36.1452634175618
21905,-37.2696327209472
21904,-36.0380246480306
21903,-36.7916053771972
21902,-35.6098782857259
21901,-37.8589881896972
21900,-36.7807729085286
21899,-37.6501983642578
21898,-36.9419642130534
21897,-37.1754147847493
21896,-36.222649637858
21895,-37.0991335550944
21894,-36.9377388000488
21893,-37.1018890380859
21892,-36.7443667093913
21891,-36.2220876057943
21890,-36.0364517211914
21889,-36.9561790466308
21888,-36.4364634195963
21887,-36.5257756551107
21886,-37.0893030802409
21885,-35.5566607157389
21884,-36.8375254313151
21883,-37.676673634847
21882,-37.0338793436686
21881,-36.2260434468587
21880,-36.5727104187011
21879,-34.7445638020833
21878,-34.9431645711263
21877,-37.2381551106771
21876,-37.0679382324219
21875,-36.4366299947103
21874,-36.6598241170247
21873,-35.539108022054
21872,-35.9207799275716
21871,-37.1715657552083
21870,-36.7899726867676
21869,-36.5742172241211
21868,-35.6363090515136
21867,-36.5625429789225
21866,-37.3182968139648
21865,-36.2168856302897
21864,-36.8192250569661
21863,-35.7907508850097
21862,-36.4701268513997
21861,-36.6030042012532
21860,-37.6519543965657
21859,-36.8456100463867
21858,-36.4262934366862
21857,-37.5126569112142
21856,-36.7736979166666
21855,-36.3762763977051
21854,-36.8606183369954
21853,-36.9077794392903
21852,-38.0268742879232
21851,-36.9454813639323
21850,-38.4835456848144
21849,-35.353929901123
21848,-37.4017789204915
21847,-35.1112681070963
21846,-37.733994547526
21845,-36.1541898091634
21844,-35.8725354512532
21843,-35.0018727620443
21842,-36.2977991739909
21841,-37.5962534586588
21840,-36.8492886861165
21839,-36.4353279113769
21838,-35.7094596862793
21837,-36.9052986145019
21836,-37.2900286356608
21835,-36.8387092590332
21834,-35.815594736735
21833,-34.115347290039
21832,-36.9206527709961
21831,-35.6893969217936
21830,-37.2881810506185
21829,-36.3602292378743
21828,-36.8325981140136
21827,-35.6975934346517
21826,-35.8106343587239
21825,-35.4634002685547
21824,-34.2967997233073
21823,-37.6339948018392
21822,-35.0802151997884
21821,-36.322747294108
21820,-36.6941093444824
21819,-36.2056538899739
21818,-37.3520136515299
21817,-34.7945159912109
21816,-36.7985290527344
21815,-35.6223320007324
21814,-37.7033154805501
21813,-36.914586130778
21812,-35.8978319803873
21811,-36.3054667154948
21810,-36.6225163777669
21809,-35.4396868387858
21808,-35.5830317179362
21807,-35.9703061421712
21806,-37.2404922485351
21805,-36.5129620869954
21804,-34.5972579956054
21803,-38.1539240519205
21802,-37.5459185282389
21801,-37.5817728678385
21800,-36.1029596964518
21799,-37.2509585062663
21798,-38.0168314615885
21797,-37.031908416748
21796,-36.4867551167806
21795,-38.5858851114909
21794,-37.1434730529785
21793,-37.7335749308268
21792,-38.2292274475097
21791,-37.6929306030273
21790,-36.881814066569
21789,-37.6855720520019
21788,-36.3245732625325
21787,-37.0746355692545
21786,-37.7104934692383
21785,-36.2092600504557
21784,-36.4122909545898
21783,-37.1203292846679
21782,-36.3775123596191
21781,-34.6060508728027
21780,-37.5613133748372
21779,-35.5873931884765
21778,-36.5250851949056
21777,-36.8262161254883
21776,-36.1149454752604
21775,-35.777986907959
21774,-36.7814506530761
21773,-37.8780934651693
21772,-36.573090616862
21771,-35.9752334594726
21770,-35.7497797648112
21769,-36.2807703653971
21768,-36.3551963806152
21767,-36.9756340026855
21766,-34.6993927001953
21765,-35.9409355163574
21764,-36.6728907267252
21763,-36.2588689168294
21762,-35.6813936869303
21761,-36.4744120279948
21760,-35.894576772054
21759,-36.7010698954264
21758,-35.9262209574381
21757,-35.4468355814616
21756,-36.9904452006022
21755,-37.181509399414
21754,-37.8025662740071
21753,-36.7248354593913
21752,-37.1300669352213
21751,-36.8331932067871
21750,-35.9670013427734
21749,-35.8033813476562
21748,-37.4115127563476
21747,-36.5423250834147
21746,-37.5311175028483
21745,-36.6989947001139
21744,-37.0398696899414
21743,-36.1225062052409
21742,-38.285004679362
21741,-36.337577565511
21740,-37.7578821818034
21739,-36.4902964274088
21738,-37.4066986083984
21737,-37.3632008870443
21736,-37.8289105733235
21735,-37.3436823527018
21734,-37.0749483744303
21733,-36.5990343729655
21732,-36.6948570251465
21731,-36.1390848795573
21730,-35.9347366333008
21729,-35.8077224731445
21728,-36.6108599344889
21727,-36.8191029866536
21726,-36.5484209696452
21725,-37.4756479899088
21724,-35.7868179321289
21723,-36.8324137369791
21722,-37.7390134175618
21721,-36.4127385457357
21720,-35.7431409200032
21719,-37.374442799886
