"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-38.0256484985351
21997,-34.6193794250488
21996,-36.2732973734538
21995,-35.8466044108073
21994,-36.7463249206543
21993,-37.0543986002604
21992,-35.9488192240397
21991,-34.4924466451009
21990,-36.4338045756022
21989,-35.6622299194336
21988,-36.1600377400716
21987,-36.9592511494954
21986,-36.6659238179525
21985,-35.9203590393066
21984,-36.3795176188151
21983,-35.4882301330566
21982,-35.8718360900879
21981,-34.9150451660156
21980,-34.110386912028
21979,-35.9419031778971
21978,-35.204089864095
21977,-34.9397198994954
21976,-36.1944501241048
21975,-36.5636085510254
21974,-35.3030380249023
21973,-36.6379455566406
21972,-36.1509498596191
21971,-35.2810895284017
21970,-36.151843770345
21969,-36.769208017985
21968,-35.3610684712728
21967,-36.7557828267415
21966,-37.275384012858
21965,-38.1413914998372
21964,-35.506398264567
21963,-37.4707766215006
21962,-37.5660321553548
21961,-37.5962331136068
21960,-36.1108828226725
21959,-37.0997617085775
21958,-35.8592488606771
21957,-37.1370859781901
21956,-34.1463874816894
21955,-35.6069180806478
21954,-36.5282272338867
21953,-35.8869918823242
21952,-35.782386525472
21951,-36.2649317423502
21950,-35.8845110575358
21949,-37.0476351420084
21948,-35.6317771911621
21947,-36.1408739725748
21946,-35.5820653279622
21945,-36.774708811442
21944,-36.9585581461588
21943,-37.8019444783528
21942,-35.3281171162923
21941,-37.5260159810384
21940,-36.1061475118001
21939,-37.2475201924642
21938,-35.6410405476888
21937,-38.6680371602376
21936,-36.6881355285644
21935,-36.6593955993652
21934,-37.2995857238769
21933,-35.0731605529785
21932,-36.3270807902018
21931,-35.5720848083496
21930,-35.7483467102051
21929,-36.723382059733
21928,-37.0419321695963
21927,-35.6159805297851
21926,-36.7311538696289
21925,-35.7393020629883
21924,-35.2700014750163
21923,-36.5704343159993
21922,-36.1720756530761
21921,-36.7066177368164
21920,-35.4979766845703
21919,-36.1085825602213
21918,-36.4858968098958
21917,-35.3624888102213
21916,-37.0956036885579
21915,-36.7853619893392
21914,-35.6819569905599
21913,-37.6110557556152
21912,-35.7620427449544
21911,-36.4954551696777
21910,-35.4118789672851
21909,-35.8856135050455
21908,-36.3875615437825
21907,-37.8783681233724
21906,-37.2051058451334
21905,-36.8024136861165
21904,-36.1374229431152
21903,-36.9361824035644
21902,-35.5422004699707
