"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-27.9159378051758
21997,-24.8478022257487
21996,-26.4574620564778
21995,-25.3637705485026
21994,-26.3879302978515
21993,-28.1427775065104
21992,-27.3658635457357
21991,-24.9043538411458
21990,-26.7281453450521
21989,-26.2608957926432
21988,-25.9107676188151
21987,-26.1194620768229
21986,-26.8167658487956
21985,-27.1342961629232
21984,-26.0173578898112
21983,-25.5097030639648
21982,-25.3194107055664
21981,-25.7099873860677
21980,-25.856428527832
21979,-27.2976440429687
21978,-24.8526087443034
21977,-25.510850016276
21976,-25.5716715494791
21975,-25.4730183919271
21974,-25.8570719401041
21973,-26.1508824666341
21972,-26.1493515014648
21971,-25.9110066731771
21970,-26.2242111206054
21969,-26.8417317708333
21968,-25.7181889851888
21967,-25.8020919799804
21966,-28.5028162638346
21965,-28.3312667846679
21964,-26.7336766560872
21963,-27.802224222819
21962,-26.918071492513
21961,-26.8235814412435
21960,-26.7005650838216
21959,-27.0341654459635
21958,-26.6140502929687
21957,-26.5567586263021
21956,-25.14951171875
21955,-25.82333984375
21954,-28.0179021199544
21953,-26.4781326293945
21952,-25.5586761474609
21951,-27.1018458048502
21950,-25.9293986002604
21949,-26.2667068481445
21948,-26.9795745849609
21947,-25.9964482625325
21946,-26.1650451660156
21945,-27.7805999755859
21944,-27.4925369262695
21943,-28.285134379069
21942,-26.4821024576823
21941,-27.3942728678385
21940,-25.8531962076823
21939,-27.8585978190104
21938,-25.6779006958008
21937,-27.4164642333984
21936,-26.656960550944
21935,-26.3516169230143
21934,-26.7605575561523
21933,-25.9999221801758
21932,-27.0987813313802
21931,-26.7838907877604
21930,-26.7580907185872
21929,-26.417951965332
21928,-26.7746490478515
21927,-24.7903579711914
21926,-26.6131805419922
21925,-26.6616297403971
21924,-25.6470957438151
21923,-26.2816248575846
21922,-25.420034790039
21921,-26.1594604492187
21920,-26.7277231852213
21919,-26.3557469685872
21918,-26.4872319539388
21917,-24.8010467529297
21916,-27.5863759358724
21915,-26.3016647338867
21914,-25.5925481160482
21913,-27.9184605916341
21912,-26.7179092407226
21911,-25.7425776163737
21910,-25.9945078531901
21909,-26.2984375
21908,-25.8810511271159
21907,-26.7409678141276
21906,-26.8078013102213
21905,-26.2479207356771
21904,-26.375217183431
21903,-27.2143208821614
21902,-26.4210520426432
21901,-28.9016530354817
21900,-27.1923278808594
21899,-26.9111745198567
21898,-26.9760447184245
21897,-27.8628677368164
21896,-25.9936228434245
21895,-26.3777374267578
21894,-27.0059773763021
21893,-27.5073226928711
21892,-26.8804255167643
21891,-25.7742446899414
21890,-25.9979970296224
21889,-27.4375239054362
21888,-25.7843917846679
21887,-27.5411844889323
21886,-26.377533976237
21885,-24.9259552001953
21884,-26.045991007487
21883,-28.024028523763
21882,-26.2091761271159
21881,-27.3373219807942
21880,-28.0466801961263
21879,-25.5515833536784
21878,-24.7594690958659
21877,-27.3869588216146
21876,-26.2907419840495
21875,-25.9952580769857
21874,-26.0832784016927
21873,-26.5087188720703
21872,-25.4541661580403
21871,-27.0007334391276
21870,-28.2876749674479
21869,-25.2688786824544
21868,-25.0796722412109
21867,-27.4038426717122
21866,-27.7379796346028
21865,-27.0876144409179
21864,-27.9854975382487
21863,-26.4814946492513
21862,-26.3278742472331
21861,-26.1782465616862
21860,-27.1864456176758
21859,-26.1308858235677
21858,-26.2169784545898
21857,-27.5916275024414
21856,-24.6975947062174
21855,-25.6047602335612
21854,-26.0535135904948
21853,-27.4630416870117
21852,-28.238144938151
21851,-26.7129425048828
21850,-27.2901494344075
21849,-26.1394841512044
21848,-27.630847676595
21847,-25.76390431722
21846,-27.6063268025716
21845,-26.5833216349284
21844,-25.5565450032552
21843,-24.8292958577474
21842,-25.9068359375
21841,-27.0701100667317
21840,-26.0922607421875
21839,-25.6720235188802
21838,-25.9005315144857
21837,-27.0245015462239
21836,-27.0532313028971
21835,-26.2286514282226
21834,-23.8805018107096
21833,-24.6848663330078
21832,-27.231548055013
21831,-26.0106363932291
21830,-27.3970067342122
21829,-26.9613759358724
21828,-26.7382339477539
21827,-25.6542953491211
21826,-26.8820887247721
21825,-27.254990641276
21824,-26.1430979410807
21823,-27.1566045125325
21822,-25.5995798746745
21821,-26.8153060913086
21820,-26.5875813802083
21819,-26.9709101359049
21818,-26.5749013264974
21817,-25.4014521280924
21816,-25.3583638509114
21815,-26.0090774536133
21814,-27.3976374308268
21813,-27.5336263020833
21812,-26.40697072347
21811,-26.0808522542317
21810,-27.6337315877278
21809,-26.6308959960937
21808,-25.6745793660482
21807,-26.2538106282552
21806,-27.6790552775065
21805,-26.265493774414
21804,-23.3167709350586
21803,-28.7837636311849
21802,-26.8776611328125
21801,-26.8867045084635
21800,-24.9967127482096
21799,-26.3380264282226
21798,-28.9424524943034
21797,-26.4900065104166
21796,-25.5182098388672
21795,-27.6048110961914
21794,-27.2482386271159
21793,-27.2233973185221
21792,-28.7622080485026
21791,-27.631704711914
21790,-28.6367248535156
21789,-27.6654113769531
21788,-25.8804916381836
21787,-26.963725789388
21786,-27.418320719401
21785,-25.4443979899088
21784,-25.5938501993815
21783,-28.0092249552409
21782,-25.796125793457
21781,-25.4801696777344
21780,-27.2162460327148
21779,-25.6576497395833
21778,-26.6613220214844
21777,-26.3759724934896
21776,-25.9717493693034
21775,-27.2892491658528
21774,-26.6668151855469
21773,-26.8199422200521
21772,-27.1582270304362
21771,-27.4573120117187
21770,-25.3447657267252
21769,-26.1531458536784
21768,-26.8784698486328
21767,-26.1134017944336
21766,-24.8513320922851
21765,-26.3660847981771
21764,-25.3986063639323
21763,-26.8911371866862
21762,-26.1350565592448
21761,-26.4038655598958
21760,-26.590315246582
21759,-27.0580098470052
21758,-25.0850001017252
21757,-25.0477940877278
21756,-26.5051127115885
21755,-27.5760965983073
21754,-26.1866821289062
21753,-25.7255335489909
21752,-27.1045542399088
21751,-25.8937286376953
21750,-27.775862121582
21749,-26.3024302164713
21748,-27.4350392659505
21747,-24.9129114786784
21746,-27.1687250773112
21745,-26.5412734985351
21744,-26.4563303629557
21743,-26.701035563151
21742,-28.4809199015299
21741,-25.8895782470703
21740,-26.5958440144857
21739,-26.9797500610351
21738,-27.3609680175781
21737,-26.1493515014648
21736,-25.6426478068034
21735,-26.5820831298828
21734,-26.8287541707357
21733,-27.4287857055664
21732,-26.5372350056966
21731,-26.3253336588541
21730,-25.6542114257812
21729,-26.8107055664062
21728,-26.3957199096679
21727,-25.4916392008463
21726,-26.5268056233724
21725,-27.40013478597
21724,-25.9829722086588
21723,-26.9370559692383
21722,-26.8218292236328
21721,-25.7845062255859
21720,-24.9351791381836
21719,-26.271462504069
21718,-26.9167770385742
21717,-26.3772338867187
21716,-27.318701171875
21715,-26.7597157796224
21714,-28.6939961751302
21713,-28.3241536458333
21712,-25.8585545857747
21711,-26.6143147786458
21710,-26.5343663533528
21709,-27.2585662841797
21708,-25.3358037312825
21707,-27.1547403971354
21706,-26.6919667561849
21705,-25.1175572713216
21704,-28.0341145833333
21703,-26.8882837931315
21702,-27.1168426513672
21701,-26.375710550944
21700,-25.9421854654948
21699,-26.3633916219075
21698,-27.695778910319
21697,-26.7212025960286
21696,-27.3869664510091
21695,-26.7247960408528
21694,-26.2952891031901
21693,-25.7282470703125
21692,-25.8380594889323
21691,-25.7578236897786
21690,-29.2372065226237
21689,-26.1876434326172
21688,-26.6752482096354
21687,-27.4528259277344
21686,-26.3031575520833
21685,-24.7512725830078
21684,-27.7006642659505
21683,-26.400503540039
21682,-25.9498453776041
21681,-27.0170501708984
21680,-26.2558578491211
21679,-25.215180460612
21678,-25.0450093587239
21677,-26.7061294555664
21676,-25.1224934895833
21675,-26.9210698445638
21674,-27.8173990885416
21673,-25.1976506551107
21672,-27.4923817952474
21671,-27.7490219116211
21670,-27.2648529052734
21669,-26.59140625
21668,-27.5371943155924
21667,-24.9807622273763
21666,-25.3968668619791
21665,-24.3105580647786
21664,-26.4490315755208
21663,-25.1317454020182
21662,-25.829702758789
21661,-27.1488174438476
21660,-26.5127192179362
21659,-26.2576939900716
21658,-28.1241414388021
21657,-28.4085805257161
21656,-25.428071085612
21655,-26.8313049316406
21654,-27.686875406901
21653,-26.7487930297851
21652,-24.5084111531575
21651,-25.9052973429362
21650,-25.5732838948567
21649,-25.1159652709961
21648,-26.3767354329427
21647,-27.9524495442708
21646,-25.8270757039388
21645,-26.705903116862
21644,-26.4408121744791
21643,-26.9622812906901
21642,-26.7978932698567
21641,-27.2904342651367
21640,-27.6286809285482
21639,-25.6676086425781
21638,-27.4422007242838
21637,-26.2595403035482
21636,-25.950776163737
21635,-26.9228144327799
21634,-26.8674479166666
21633,-25.5543197631836
21632,-26.0857452392578
21631,-26.7673095703125
21630,-26.0437657674153
21629,-26.8127451578776
21628,-26.2506571451823
21627,-26.2125635782877
21626,-26.7229955037435
21625,-25.4599543253581
21624,-26.6374038696289
21623,-26.2024876912435
21622,-26.870827738444
21621,-27.1807312011719
21620,-26.6837727864583
21619,-27.7368097941081
21618,-25.0952819824219
21617,-27.0121342976888
21616,-25.2425674438476
21615,-26.8344380696614
21614,-24.59740041097
21613,-28.3329884847005
21612,-26.1028681437174
21611,-26.5603317260742
21610,-25.0875356038411
21609,-26.4530192057291
21608,-26.4598627726237
21607,-27.1682240804036
21606,-26.5680399576823
21605,-26.680642191569
21604,-24.7346659342448
21603,-25.6896397908528
21602,-26.9613911946614
21601,-26.374006652832
21600,-27.508169555664
21599,-28.1484512329101
21598,-26.9825068155924
21597,-24.3542897542317
21596,-25.3616724650065
21595,-26.6784169514974
21594,-26.4896275838216
21593,-25.0640268961588
21592,-26.0526362101237
21591,-27.1930959065755
21590,-25.9499369303385
21589,-27.3178873697916
21588,-26.6950083414713
21587,-26.1775853474935
21586,-25.8621073404948
21585,-27.1979202270508
21584,-26.6284596761067
21583,-25.0163965861002
21582,-27.3711634318034
21581,-24.663442993164
21580,-26.7421859741211
21579,-25.7177108764648
21578,-25.0978429158528
21577,-26.0604792277018
21576,-25.459331258138
21575,-26.2858998616536
21574,-27.7745625813802
21573,-26.9225270589192
21572,-26.8005177815755
21571,-25.2959325154622
21570,-24.5185404459635
21569,-26.0704839070638
21568,-26.1273788452148
21567,-28.0836140950521
21566,-25.7746185302734
21565,-26.1009557088216
21564,-27.094953918457
21563,-26.1662455240885
21562,-26.9920995076497
21561,-26.9114288330078
21560,-24.881564839681
21559,-26.8806162516276
21558,-25.4654424031575
21557,-26.4529657999674
21556,-26.3624710083008
21555,-27.6227020263672
21554,-26.3679590861002
21553,-27.2820470174153
21552,-26.3717356363932
21551,-27.5398544311523
21550,-26.380842590332
21549,-26.9005696614583
21548,-26.5344655354817
21547,-26.8740982055664
21546,-25.9579045613607
21545,-25.9468343098958
21544,-25.8313201904297
21543,-26.071157836914
21542,-27.7539250691732
21541,-25.9899403889974
21540,-26.0949640909831
21539,-26.6618306477864
21538,-27.5275507609049
21537,-27.3030049641927
21536,-25.841042582194
21535,-26.8368209838867
21534,-28.0916020711263
21533,-26.2588562011719
21532,-26.7814188639323
21531,-27.1239481608073
21530,-28.3359868367513
21529,-26.5951497395833
21528,-26.6274602254232
21527,-26.2436660766601
21526,-25.8776916503906
21525,-27.1094268798828
21524,-26.8622243245442
21523,-26.4457331339518
21522,-26.2647994995117
21521,-26.7855209350586
21520,-26.3396591186523
21519,-25.25609181722
21518,-26.34154103597
21517,-27.2525466918945
21516,-27.1328694661458
21515,-26.9999476114909
21514,-25.0552607218424
21513,-27.2437067667643
21512,-26.0338297526041
21511,-26.1368596394857
21510,-26.4485102335612
21509,-27.8407246907552
21508,-26.2212305704752
21507,-25.8008814493815
21506,-27.2043263753255
21505,-25.7485870361328
21504,-24.7461736043294
21503,-27.971667989095
21502,-26.2390172322591
21501,-27.7431167602539
21500,-25.6717208862304
21499,-26.5836369832357
21498,-27.8873504638672
21497,-25.712863667806
21496,-24.5090621948242
21495,-25.2352305094401
21494,-26.562483215332
21493,-26.7971811930338
21492,-25.7431320190429
21491,-27.2648249308268
21490,-26.1232004801432
21489,-25.2831659952799
21488,-28.4639063517252
21487,-27.6520955403646
21486,-25.9208002726237
21485,-28.5518885294596
21484,-27.4520553588867
21483,-26.7953348795573
21482,-25.9531895955403
21481,-26.8423650105794
21480,-27.227163696289
21479,-25.4640741984049
21478,-25.8210433959961
21477,-26.2777720133463
21476,-26.4297520955403
21475,-26.2998209635416
21474,-27.1960459391276
21473,-25.2561630249023
21472,-25.3085642496745
21471,-27.3081166585286
21470,-25.8803085327148
21469,-27.0925684611002
21468,-25.6780659993489
21467,-26.9221354166666
21466,-26.2785247802734
21465,-26.9920435587565
21464,-27.1986017862956
21463,-27.8271240234375
21462,-25.7736979166666
21461,-26.5822408040364
21460,-26.2644282023112
21459,-26.7279444376627
21458,-25.890488688151
21457,-26.3499359130859
21456,-26.8099426269531
21455,-26.5649347941081
21454,-26.6601877848307
21453,-27.0760381062825
21452,-26.8295043945312
21451,-26.7774693806966
21450,-25.9216267903646
21449,-26.2377507527669
21448,-27.5019922892252
21447,-25.3311828613281
21446,-26.6332509358724
21445,-25.454807027181
21444,-25.6877883911133
21443,-26.0698633829752
21442,-26.4374908447265
21441,-26.4440444946289
21440,-25.7575363159179
21439,-25.6646230061849
21438,-26.0569442749023
21437,-26.6186635335286
21436,-25.5177698771159
21435,-26.7693110148112
21434,-26.8284413655599
21433,-25.154643758138
21432,-26.6728652954101
21431,-25.9749206542969
21430,-24.9140050252278
21429,-27.5752344767252
21428,-27.9011876424153
21427,-24.6279307047526
21426,-26.3793853759765
21425,-26.0619822184245
21424,-25.7628972371419
21423,-28.0227951049804
21422,-26.0745808919271
21421,-26.3352340698242
21420,-26.1917200724284
21419,-27.5193389892578
21418,-26.1842076619466
21417,-27.0794408162435
21416,-26.2179194132487
21415,-26.0580657958984
21414,-25.9023498535156
21413,-27.6856521606445
21412,-26.5039937337239
21411,-25.7853429158528
21410,-25.7428522745768
21409,-24.8840596516927
21408,-27.2415857950846
21407,-27.0072413126627
21406,-25.1420984903971
21405,-27.3976959228515
21404,-26.191140238444
21403,-25.6029037475586
21402,-27.3319051106771
21401,-26.1756322224935
21400,-28.0477635701497
21399,-27.2963445027669
21398,-25.9257975260416
21397,-27.7197453816732
21396,-26.8987869262695
21395,-26.8362233479817
21394,-26.8673029581706
21393,-26.4477015177409
21392,-26.2049443562825
21391,-26.3508794148763
21390,-26.0278127034505
21389,-24.8110310872396
21388,-26.2006922403971
21387,-24.8846216837565
21386,-25.4109151204427
21385,-26.8401779174804
21384,-27.5003901163737
21383,-25.8933827718099
21382,-25.3834060668945
21381,-27.0453679402669
21380,-26.3699452718099
21379,-26.3417877197265
21378,-26.0693878173828
21377,-25.1288284301758
21376,-27.489853922526
21375,-26.8480590820312
21374,-26.6594273885091
21373,-27.5502532958984
21372,-27.2288091023763
21371,-27.1782618204752
21370,-26.2754119873047
21369,-27.1268371582031
21368,-28.647937520345
21367,-25.4055287679036
21366,-27.3896748860677
21365,-25.5265920003255
21364,-25.7668492635091
21363,-25.0791763305664
21362,-27.1492141723633
21361,-25.5134592692057
21360,-26.1278493245442
21359,-26.8667561848958
21358,-25.3470113118489
21357,-27.2869298299153
21356,-25.7988265991211
21355,-26.7091227213541
21354,-25.4851516723633
21353,-25.7082682291666
21352,-27.0432139078776
21351,-26.3659194946289
21350,-26.2428573608398
21349,-25.8616978963216
21348,-27.4926564534505
21347,-24.6653020222982
21346,-24.5297556559245
21345,-25.0357040405273
21344,-26.1697347005208
21343,-27.8889195760091
21342,-25.7874308268229
21341,-26.4570831298828
21340,-26.5742604573567
21339,-27.1498728434245
21338,-27.5145655314127
21337,-27.2870697021484
21336,-25.7016789754232
21335,-25.4667114257812
21334,-26.550759379069
21333,-24.8341278076172
21332,-25.3537582397461
21331,-26.2909378051758
21330,-27.418559773763
21329,-26.278303527832
