"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-48.1353591918945
21997,-44.3909566243489
21996,-46.0891326904297
21995,-46.329438273112
21994,-47.104719543457
21993,-45.9660196940104
21992,-44.5317749023437
21991,-44.080539449056
21990,-46.1394638061523
21989,-45.0635640462239
21988,-46.4093078613281
21987,-47.7990402221679
21986,-46.5150817871094
21985,-44.7064219156901
21984,-46.741677347819
21983,-45.4667572021484
21982,-46.4242614746094
21981,-44.1201029459635
21980,-42.3643452962239
21979,-44.5861623128255
21978,-45.5555709838867
21977,-44.3685897827148
21976,-46.8172286987304
21975,-47.6541987101237
21974,-44.7490041097005
21973,-47.1250086466471
21972,-46.1525482177734
21971,-44.6511723836263
21970,-46.0794764200846
21969,-46.6966842651367
21968,-45.0039479573568
21967,-47.7094736735026
21966,-46.0479517618815
21965,-47.9515162150065
21964,-44.2791198730469
21963,-47.1393290201823
21962,-48.2139928181966
21961,-48.36888478597
21960,-45.5212005615234
21959,-47.1653579711914
21958,-45.1044474283854
21957,-47.7174133300781
21956,-43.1432632446289
21955,-45.3904963175455
21954,-45.038552347819
21953,-45.2958511352539
21952,-46.006096903483
21951,-45.4280176798502
21950,-45.8396235148112
21949,-47.8285634358724
21948,-44.2839797973633
21947,-46.2852996826172
21946,-44.9990854899088
21945,-45.7688176472982
21944,-46.4245793660482
21943,-47.3187545776367
21942,-44.1741317749023
21941,-47.6577590942383
21940,-46.3590988159179
21939,-46.6364425659179
21938,-45.6041803995768
21937,-49.9196100870768
21936,-46.7193105061849
21935,-46.9671742757161
21934,-47.8386138916015
21933,-44.1463989257812
21932,-45.5553802490234
21931,-44.3602788289388
21930,-44.7386027018229
21929,-47.0288121541341
21928,-47.3092152913411
21927,-46.4416030883789
21926,-46.8491271972656
21925,-44.8169743855794
21924,-44.8929072062174
21923,-46.859243774414
21922,-46.9241165161133
21921,-47.253775024414
21920,-44.2682301839193
21919,-45.8614181518554
21918,-46.4845616658528
21917,-45.923930867513
21916,-46.6048314412435
21915,-47.2690592447916
21914,-45.7713658650716
21913,-47.3036509195963
21912,-44.8061762491862
21911,-47.2483327229818
21910,-44.8292500813802
21909,-45.4727895100911
21908,-46.8940719604492
21907,-49.0157684326172
21906,-47.6024103800455
21905,-47.356906636556
21904,-45.8996287027995
21903,-46.6580439249674
21902,-44.6633488972982
21901,-46.5146621704101
21900,-45.893044535319
21899,-48.2985163370768
21898,-47.6760721842448
21897,-46.5678517659505
21896,-45.5324615478515
21895,-47.6580184936523
21894,-47.1280934651693
21893,-46.9817057291666
21892,-47.5600774129232
21891,-45.387444559733
21890,-46.965185546875
21889,-46.6429326375325
21888,-46.340559387207
21887,-45.9025456746419
21886,-46.8215774536133
21885,-46.6219619750976
21884,-47.4275446573893
21883,-46.8581960042318
21882,-48.2523483276367
21881,-45.5817830403646
21880,-45.6510782877604
21879,-44.1054239908854
21878,-44.9941899617513
21877,-47.1883783976237
21876,-45.9580062866211
21875,-47.1553507486979
21874,-48.1752100626627
21873,-46.2293940226237
21872,-44.0385879516601
21871,-48.2425699869791
21870,-46.7891194661458
21869,-45.3408111572265
21868,-47.5044565836588
21867,-44.5402740478515
21866,-48.2205286661784
21865,-45.7357696533203
21864,-44.1060470581054
21863,-47.2067423502604
21862,-44.8883295694987
21861,-46.6691904703776
21860,-47.9245513916015
21859,-48.3365844726562
21858,-47.2038533528646
21857,-45.8261703491211
21856,-49.1616246541341
21855,-47.7603337605794
21854,-46.9920257568359
21853,-47.6290293375651
21852,-47.5556879679362
21851,-46.7325373331705
21850,-48.3915517171224
21849,-47.8986317952474
21848,-44.8288253784179
21847,-45.5956329345703
21846,-47.127289835612
21845,-46.1143224080403
21844,-46.3397379557291
21843,-45.8812545776367
21842,-44.9963897705078
21841,-48.4643361409505
21840,-47.4889587402344
21839,-47.6529551188151
21838,-45.5614329020182
21837,-45.286469523112
21836,-48.3535776774088
21835,-47.6923940022786
21834,-48.0649907430013
21833,-44.8267552693685
21832,-44.4428059895833
21831,-46.5360549926758
21830,-46.4696563720703
21829,-47.5182250976562
21828,-46.3363123575846
21827,-44.2996225992838
21826,-47.4691553751627
21825,-42.4797220865885
21824,-43.7052978515625
21823,-45.6474060058594
21822,-45.6187067667643
21821,-44.9842361450195
21820,-46.6944132486979
21819,-45.8811579386393
21818,-47.0107177734375
21817,-46.6214838663737
21816,-45.8950764973958
21815,-47.7570709228515
21814,-45.4239919026693
21813,-47.2449732462565
21812,-45.7277409871419
21811,-47.0420593261719
21810,-45.2664423624674
21809,-43.9270614624023
21808,-45.6893091837565
21807,-45.8315897623698
21806,-45.7502146402995
21805,-47.2677012125651
21804,-46.074934387207
21803,-47.8317576090495
21802,-47.7968200683594
21801,-48.6426096598307
21800,-47.0126022338867
21799,-48.7848724365234
21798,-46.13499806722
21797,-47.1589874267578
21796,-47.1606455485026
21795,-49.3082539876302
21794,-47.6264200846354
21793,-47.4136032104492
21792,-48.349582417806
21791,-47.455066426595
21790,-46.8729029337565
21789,-47.3905395507812
21788,-46.6655181884765
21787,-46.1990112304687
21786,-48.5676228841146
21785,-46.5717147827148
21784,-47.3746170043945
21783,-47.5267929077148
21782,-45.0712265014648
21781,-45.4792032877604
21780,-46.9896072387695
21779,-45.9225652058919
21778,-46.2350931803385
21777,-46.5786371866862
21776,-46.8928181966146
21775,-45.1933120727539
21774,-45.5698811848958
21773,-49.05687306722
21772,-46.2433303833008
21771,-45.6681477864583
21770,-45.3295501708984
21769,-46.0769434611002
21768,-47.5752141316732
21767,-45.9062255859375
21766,-44.4543136596679
21765,-45.636946105957
21764,-46.8870045979818
21763,-45.8302749633789
21762,-46.3921620686849
21761,-45.5243591308594
21760,-46.8430287679036
21759,-45.7147328694661
21758,-46.3164225260416
21757,-46.0369323730469
21756,-47.3042739868164
21755,-46.3767100016276
21754,-48.0182810465495
21753,-48.7822123209635
21752,-49.3093551635742
21751,-46.1714614868164
21750,-45.8976501464844
21749,-45.0071701049804
21748,-46.4220591227213
21747,-45.7582204182943
21746,-50.5541366577148
21745,-46.7718083699544
21744,-46.9725809733073
21743,-46.2437906901041
21742,-46.9526936848958
21741,-47.1560195922851
21740,-48.6516708374023
21739,-47.2162460327148
21738,-47.415515645345
21737,-47.4244394938151
21736,-49.0689351399739
21735,-48.9057195027669
21734,-47.5193669637044
21733,-46.5184488932291
21732,-46.6032521565755
21731,-45.9676066080729
21730,-46.2207524617513
21729,-45.9087763468424
21728,-44.6585245768229
21727,-48.1396850585937
21726,-47.6061208089193
21725,-46.6976684570312
21724,-47.3232686360677
21723,-45.5868642171224
21722,-48.116547648112
21721,-47.1437845865885
21720,-47.4825525919596
21719,-48.2569208780924
21718,-47.5581115722656
21717,-46.721533203125
21716,-47.0975301106771
21715,-49.7870137532552
21714,-45.634369913737
21713,-48.1085367838541
21712,-44.8645182291666
21711,-47.0528015136719
21710,-46.7046544392903
21709,-46.8011688232422
21708,-46.1241134643554
21707,-45.3447479248047
21706,-45.3907150268554
21705,-45.9491663614909
21704,-46.6769470214844
21703,-48.0086603800455
21702,-47.1441685994466
21701,-46.1812779744466
21700,-46.2897043863932
21699,-47.0652857462565
21698,-48.1372894287109
21697,-45.9495122273763
21696,-45.7296127319336
21695,-44.562717183431
21694,-43.8464441935221
21693,-44.7649266560872
21692,-47.4999526977539
21691,-45.3672266642252
21690,-45.5161677042643
21689,-47.2636957804362
21688,-45.6640177408854
21687,-46.1302652994791
21686,-47.571272277832
21685,-45.879133605957
21684,-44.9656407674153
21683,-44.7202336629232
21682,-45.6099278767903
21681,-46.7234456380208
21680,-48.2304748535156
21679,-46.083962504069
21678,-44.6672398885091
21677,-47.5676915486653
21676,-44.9708236694336
21675,-45.5584676106771
21674,-46.3830652872721
21673,-46.8733225504557
21672,-46.3609959920247
21671,-44.1544072469075
21670,-44.3082590738932
21669,-48.9975443522135
21668,-45.6900009155273
21667,-47.0998011271159
21666,-48.3859848022461
21665,-44.4333480834961
21664,-45.3015833536784
21663,-44.873019917806
21662,-45.8157892862955
21661,-47.2613662719726
21660,-46.6878850301107
21659,-47.6803115844726
21658,-44.8809366861979
21657,-47.3305699666341
21656,-46.3653676350911
21655,-47.3071477254232
21654,-47.1726033528646
21653,-44.8037399291992
21652,-45.214697265625
21651,-45.3099909464518
21650,-45.8964014689127
21649,-44.4179723103841
21648,-47.6014032999674
21647,-47.5859563191732
21646,-47.2513056437174
21645,-47.3087549845377
21644,-46.6518157958984
21643,-47.0199620564778
21642,-44.2662796020508
21641,-43.4996398925781
21640,-48.8583282470703
21639,-46.7193283081054
21638,-47.7842646280924
21637,-47.4417938232422
21636,-46.7419825236002
21635,-45.6305374145508
21634,-44.7558985392252
21633,-42.0570358276367
21632,-46.5169942220052
21631,-47.437239074707
21630,-47.9623474121094
21629,-44.4339075724284
21628,-47.39915822347
21627,-47.7373438517252
21626,-44.3228591918945
21625,-45.8047063191732
21624,-47.1154261271159
21623,-45.6468338012695
21622,-47.6244771321614
21621,-44.6044092814127
21620,-44.4634943644205
21619,-46.9138041178385
21618,-45.7418604532877
21617,-49.2917617797851
21616,-45.0997706095377
21615,-46.4670827229818
21614,-46.4109685262044
21613,-47.5485214233398
21612,-47.3595108032226
21611,-47.4135904947916
21610,-47.5578241984049
21609,-45.7196080525716
21608,-47.3255142211914
21607,-46.119970703125
21606,-47.9901743570963
21605,-47.8308547973633
21604,-45.0714604695638
21603,-46.6517471313476
21602,-48.3966201782226
21601,-47.0659215291341
21600,-47.2627497355143
21599,-46.6715301513672
21598,-46.1204462687174
21597,-46.3949874877929
21596,-45.8022827148437
21595,-48.1076466878255
21594,-46.7205922444661
21593,-46.9467936197916
21592,-44.5428985595703
21591,-48.1194646199544
21590,-44.6214558919271
21589,-46.3007797241211
21588,-46.9184733072916
21587,-44.7503341674804
21586,-44.4893885294596
21585,-46.0015650431315
21584,-45.5782735188802
21583,-46.8624913533528
21582,-45.9138931274414
21581,-46.0466623942057
21580,-45.7700866699219
21579,-46.9270640055338
21578,-45.6770360310872
21577,-43.2285878499349
21576,-47.4364913940429
21575,-46.2612467447916
21574,-46.311272684733
21573,-46.2849563598633
21572,-47.5706110636393
21571,-45.255832417806
21570,-47.1203598022461
21569,-48.5103057861328
21568,-47.1105051676432
21567,-45.8632441202799
21566,-48.1726186116536
21565,-46.6046305338541
21564,-46.3521153767903
21563,-45.6767740885416
21562,-48.7149108886719
21561,-41.8094848632812
21560,-43.2958206176758
21559,-46.7894068400065
21558,-46.5314086914062
21557,-47.015971883138
21556,-48.8406814575195
21555,-46.417707824707
21554,-45.001816813151
21553,-46.9261637369791
21552,-47.1384643554687
21551,-46.8041671752929
21550,-47.4627466837565
21549,-47.8181493123372
21548,-44.691643778483
21547,-45.3497095743815
21546,-43.9131683349609
21545,-46.6331848144531
21544,-46.1092641194661
21543,-45.6127100626627
21542,-45.144644165039
21541,-47.1327804565429
21540,-46.8857635498047
21539,-45.8650293986002
21538,-48.3596328735351
21537,-47.784287516276
21536,-48.9397211710612
21535,-45.549673461914
21534,-46.9751571655273
21533,-45.928813680013
21532,-46.6251205444336
21531,-47.5469039916992
21530,-45.1553278605143
21529,-46.5025187174479
21528,-47.0059773763021
21527,-44.5723963419596
21526,-47.9118077596028
21525,-44.8863942464193
21524,-44.3387435913086
21523,-45.2140869140625
21522,-44.3065704345703
21521,-46.858506266276
21520,-48.4123062133789
21519,-46.5241404215495
21518,-47.9624694824219
21517,-47.1952626546224
21516,-46.7743845621745
21515,-43.3427185058594
21514,-46.8869715372721
21513,-44.9038146972656
21512,-46.2566436767578
21511,-43.5964670817057
21510,-45.2484191894531
21509,-45.5682103474935
21508,-47.4300064086914
21507,-47.1887191772461
21506,-48.718972269694
21505,-46.864614868164
21504,-46.9912857055664
21503,-47.4189641316732
21502,-45.6123540242513
21501,-45.7591740926107
21500,-44.9687967936198
21499,-47.6375106811523
21498,-47.9329793294271
21497,-45.0228383382161
21496,-45.7226038614909
21495,-44.123772684733
21494,-44.768911743164
21493,-43.3532470703125
21492,-43.9471013387044
21491,-46.1921880086263
21490,-46.782199605306
21489,-45.5155217488607
21488,-47.5460545857747
21487,-44.8712473551432
21486,-49.4206120808919
21485,-46.7030776977539
21484,-44.682236735026
21483,-45.1233861287435
21482,-45.5155573527018
21481,-47.7536809285482
21480,-47.7921712239583
21479,-46.7925857543945
21478,-46.5655629475911
21477,-46.6133229573568
21476,-47.3782587687174
21475,-44.6376632690429
21474,-48.2229548136393
21473,-49.4765253702799
21472,-47.205559794108
21471,-44.0516876220703
21470,-45.441887919108
21469,-47.5461385091146
21468,-46.6361145019531
21467,-47.0577809651693
21466,-44.4332717895508
21465,-44.8924723307291
21464,-46.3679056803385
21463,-47.4950724283854
21462,-47.212136332194
21461,-45.1503662109375
21460,-43.7018722534179
21459,-46.9644607543945
21458,-45.8095662434896
21457,-46.0386617024739
21456,-47.0959838867187
21455,-46.2010126749674
21454,-46.1507502237955
21453,-43.1097295125325
21452,-46.4634435017903
21451,-46.6059478759765
21450,-49.8642664591471
21449,-46.8385884602864
21448,-46.584460957845
21447,-47.4791269938151
21446,-46.0440404256185
21445,-47.8221369425455
21444,-46.7688303629557
21443,-46.0690902709961
21442,-47.0938756306966
21441,-47.2006820678711
21440,-44.8923706054687
21439,-47.7879725138346
21438,-45.1323252360026
21437,-49.1036514282226
21436,-46.4699768066406
21435,-45.8059244791666
21434,-46.2504638671875
21433,-46.7925247192383
21432,-47.678813680013
21431,-47.0377029418945
21430,-44.9105717976888
21429,-48.7172658284505
21428,-46.9300801595052
21427,-47.6493515014648
21426,-49.1127939860026
21425,-46.9516026814778
21424,-45.2900502522786
21423,-47.265717569987
21422,-49.1804463704427
21421,-45.3599990844726
21420,-48.8410858154297
21419,-45.7097941080729
21418,-45.3696248372396
21417,-47.567111714681
21416,-47.6930501302083
21415,-46.1673568725586
21414,-46.4170644124349
21413,-45.1773259480794
21412,-45.2763631184896
21411,-45.6790298461914
21410,-45.9547866821289
21409,-46.4987243652344
21408,-47.6389017740885
21407,-44.3570846557617
21406,-43.9152816772461
21405,-46.195789082845
21404,-44.7434931437174
21403,-47.3698740641276
21402,-46.6426122029622
21401,-47.4552902221679
21400,-45.2902791341146
21399,-46.9392481486002
21398,-47.3994990030924
21397,-47.4559107462565
21396,-45.1657038370768
21395,-46.897568766276
21394,-47.7057632446289
21393,-44.835671488444
21392,-42.9362548828125
21391,-48.022927347819
21390,-46.5077779134114
21389,-46.1386805216471
21388,-45.6413736979166
21387,-45.2500391642252
21386,-46.4082321166992
21385,-45.4965728759765
21384,-44.708718363444
21383,-45.8084269205729
21382,-47.9185343424479
21381,-44.5259689331054
21380,-46.5762059529622
21379,-44.3005991617838
21378,-44.5825688680013
21377,-45.8253896077474
21376,-47.3290033976237
21375,-44.927463277181
21374,-46.3414774576823
21373,-46.6946116129557
21372,-43.3215469360351
21371,-44.0747385660807
21370,-45.2680521647135
21369,-47.3916585286458
21368,-47.7067448933919
21367,-47.2124186197916
21366,-47.4444895426432
21365,-45.3321111043294
21364,-44.7318684895833
21363,-45.7759511311849
21362,-43.708349609375
21361,-47.3410909016927
21360,-44.7402989705403
21359,-45.5211471557617
21358,-45.5985931396484
21357,-46.2648147583008
21356,-45.0412226359049
21355,-44.2456166585286
21354,-46.7103230794271
21353,-47.4685653686523
21352,-46.1294413248698
21351,-45.8550298055013
21350,-47.6852020263672
21349,-46.7730290730794
21348,-47.8314676920573
21347,-48.9636622111002
21346,-47.0163864135742
21345,-46.7694458007812
21344,-45.9027542114258
21343,-47.4446675618489
21342,-46.6528076171875
21341,-47.3198710123698
21340,-47.610090637207
21339,-47.4131810506185
21338,-47.2585764567057
21337,-46.2998082478841
21336,-47.2989817301432
21335,-44.2633168538411
21334,-46.6032801310221
21333,-47.0182861328125
21332,-45.1753931681315
21331,-45.5474685668945
21330,-47.2817036946614
21329,-48.881206258138
21328,-46.4956166585286
21327,-44.6775497436523
21326,-49.1176462809245
21325,-46.108750406901
21324,-46.2645960489909
21323,-47.0782608032226
21322,-46.2858362833659
21321,-46.220556640625
21320,-46.059060160319
21319,-47.232026163737
21318,-50.3175771077474
21317,-46.6202072143554
21316,-46.3764658610026
21315,-45.6940546671549
21314,-49.541123453776
21313,-45.7278045654297
21312,-47.181265258789
21311,-43.5014175415039
21310,-46.1585474650065
21309,-47.3865392049153
21308,-46.4840784708659
21307,-45.706635538737
21306,-45.6946904500325
21305,-45.3863357543945
21304,-45.1907613118489
21303,-46.6400080362955
21302,-45.4452346801758
21301,-44.2464177449544
21300,-44.7613510131836
21299,-46.9409138997396
21298,-44.2034286499023
21297,-46.7934199015299
21296,-44.4462315877278
21295,-43.5354039510091
21294,-44.5791203816732
21293,-44.5802291870117
21292,-46.9188446044922
21291,-44.7611424763997
21290,-47.911723836263
21289,-47.1764511108398
21288,-45.6982762654622
21287,-49.3338912963867
21286,-48.3522959391276
21285,-45.614360555013
21284,-47.4775502522786
21283,-44.8835408528646
21282,-46.5894073486328
21281,-44.976182047526
21280,-47.7674774169922
21279,-46.3407119750976
21278,-46.2086166381836
21277,-45.855571492513
21276,-45.3847310384114
21275,-45.2741022745768
21274,-46.3368998209635
21273,-46.450053914388
21272,-45.9432764689127
21271,-47.4390141805013
21270,-45.541850789388
21269,-46.526235961914
21268,-46.7838704427083
21267,-46.4641784667969
21266,-47.0764373779297
21265,-44.4671691894531
21264,-46.7008702596028
21263,-46.6740961710612
21262,-48.1273076375325
21261,-45.8846471150716
21260,-46.3039866129557
21259,-45.7104985555013
21258,-46.2091252644857
21257,-45.8151178995768
21256,-46.1822062174479
21255,-45.4545883178711
21254,-46.6507400512695
21253,-47.2242696126302
21252,-46.4687128702799
21251,-46.8882354736328
21250,-46.9291595458984
21249,-48.318581644694
21248,-49.095442199707
21247,-47.8772694905599
21246,-48.4850016276041
21245,-45.1775802612304
21244,-46.5217549641927
21243,-47.4843734741211
21242,-47.2466161092122
21241,-47.4185292561849
21240,-47.8058303833008
21239,-47.5793136596679
21238,-47.1232869466146
21237,-46.6422231038411
21236,-48.0154429117838
21235,-48.3834950764974
21234,-45.8932785034179
21233,-47.8057896931966
21232,-46.5231689453125
21231,-47.1939910888672
21230,-48.2247324625651
21229,-46.0725260416666
21228,-47.929675801595
21227,-47.1228164672851
21226,-48.9161692301432
21225,-45.9102106730143
21224,-49.8117660522461
21223,-45.8123382568359
21222,-46.6280832926432
21221,-46.2850173950195
21220,-47.2252563476562
21219,-48.9357945760091
21218,-45.7988138834635
21217,-47.8340311686198
21216,-48.8829889933268
21215,-47.9763422648112
21214,-44.0333872477213
21213,-47.2303400675455
21212,-46.5537526448568
21211,-48.0549021402995
21210,-48.8319279988607
21209,-48.014138285319
21208,-45.8905039469401
21207,-45.4932083129883
21206,-47.263052368164
21205,-47.2877843221028
21204,-47.0518783569336
21203,-45.9290120442708
21202,-46.7861948649088
21201,-46.4854034423828
21200,-48.249733988444
21199,-47.9998865763346
21198,-45.0727905273437
21197,-45.9293884277344
21196,-44.1311350504557
21195,-45.8165929158528
21194,-45.8738794962565
21193,-46.2350372314453
21192,-46.2061294555664
21191,-47.9351282755534
21190,-48.8293060302734
21189,-46.1934087117513
21188,-47.4918604532877
21187,-41.2727111816406
21186,-46.3937082926432
21185,-45.5667938232422
21184,-44.389023844401
21183,-44.3485397338867
21182,-46.6767283121745
21181,-46.1253239949544
21180,-46.5053873697916
21179,-46.8304835001627
21178,-46.8355875651041
21177,-45.8228973388672
21176,-43.8090805053711
21175,-47.7727798461914
21174,-47.9574213663737
21173,-47.297346496582
21172,-45.9940602620443
21171,-44.1060801188151
21170,-45.6484893798828
21169,-46.2128458658854
21168,-45.5267496744791
21167,-45.9271224975586
