"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-36.7937886555989
21997,-32.3713694254557
21996,-38.9606180826823
21995,-31.6508392333984
21994,-34.4338185628255
21993,-30.957876586914
21992,-31.3568837483724
21991,-36.736664835612
21990,-32.0471455891927
21989,-32.7886362711588
21988,-31.6423655192057
21987,-36.1803700764974
21986,-32.7874053955078
21985,-30.6013244628906
21984,-33.4659484863281
21983,-31.8849955240885
21982,-35.0659495035807
21981,-30.8683939615885
21980,-27.7822174072265
21979,-33.8817301432291
21978,-28.1587585449219
21977,-29.7868560791015
21976,-32.7399098714193
21975,-36.0886088053385
21974,-28.6144927978515
21973,-32.2751169840495
21972,-33.3145050048828
21971,-34.6554982503255
21970,-32.5788330078125
21969,-39.311616007487
21968,-32.1358805338541
21967,-33.7519287109375
21966,-30.0328531901041
21965,-33.4472615559896
21964,-31.0223602294922
21963,-36.7259582519531
21962,-37.3149729410807
21961,-31.4533142089844
21960,-33.4346221923828
21959,-33.7499857584635
21958,-31.8420369466146
21957,-33.9497690836588
21956,-28.7290863037109
21955,-32.9167338053385
21954,-28.6389170328776
21953,-31.8747873942057
21952,-28.400732421875
21951,-36.1039133707682
21950,-35.7643798828125
21949,-34.7942311604818
21948,-30.772319539388
21947,-29.4644226074219
21946,-29.001557413737
21945,-33.1136739095052
21944,-33.2438008626302
21943,-29.5438496907552
21942,-33.6822926839193
21941,-32.1817891438802
21940,-36.787690226237
21939,-34.8173685709635
21938,-33.4827891031901
21937,-38.8245859781901
21936,-35.0626841227213
21935,-32.9790506998698
21934,-32.1489115397135
21933,-33.3120585123698
21932,-34.3977213541666
21931,-30.7344624837239
21930,-32.6661895751953
21929,-34.5378682454427
21928,-31.7746744791666
21927,-32.4604349772135
21926,-33.2970133463541
21925,-34.260122680664
21924,-30.8778594970703
21923,-33.8584554036458
21922,-36.8623718261719
21921,-33.3623463948568
21920,-29.2739878336588
21919,-30.8589385986328
21918,-32.9361938476562
21917,-34.6010599772135
21916,-35.1840525309245
21915,-31.7331400553385
21914,-33.4482889811198
21913,-32.392914835612
21912,-32.9939737955729
21911,-29.4858968098958
21910,-31.831411743164
21909,-30.0417694091797
21908,-31.8650472005208
21907,-36.4473327636719
21906,-34.0249694824219
21905,-35.5152038574219
21904,-29.3467264811198
21903,-33.4603942871094
21902,-36.9302632649739
21901,-31.59970703125
21900,-34.9106302897135
21899,-33.4941111246745
21898,-32.5233927408854
21897,-36.0515350341797
21896,-34.9248514811198
21895,-32.4382893880208
21894,-33.03134765625
21893,-30.6297210693359
21892,-30.3454701741536
21891,-30.9105285644531
21890,-28.1313791910807
21889,-33.1062886555989
21888,-32.3667714436849
21887,-28.7318176269531
21886,-36.7855285644531
21885,-35.5922709147135
21884,-35.5053466796875
21883,-32.8327138264974
21882,-33.8952850341797
21881,-30.5856333414713
21880,-31.6042338053385
21879,-34.1157796223958
21878,-33.5999206542969
21877,-37.679541015625
21876,-30.4854034423828
21875,-33.807964070638
21874,-36.128520711263
21873,-31.1374471028646
21872,-32.3735768636068
21871,-31.2690541585286
21870,-36.0522064208984
21869,-32.8103546142578
21868,-33.4682322184245
21867,-29.5153259277344
21866,-33.5297963460286
21865,-35.7213195800781
21864,-33.2698577880859
21863,-34.7073272705078
21862,-34.8400583902995
21861,-34.8580383300781
21860,-33.510346476237
21859,-36.4990091959635
21858,-32.7370107014974
21857,-34.1859090169271
21856,-32.4473531087239
21855,-34.4313110351562
21854,-31.1394765218099
21853,-33.4301259358724
21852,-32.9706787109375
21851,-34.5536712646484
21850,-34.0983286539713
21849,-30.8522806803385
21848,-34.0704711914062
21847,-34.6448425292969
21846,-34.5196492513021
21845,-29.9028228759765
21844,-28.9682576497396
21843,-33.3967803955078
21842,-33.6180989583333
21841,-35.147553507487
21840,-33.8954783121745
21839,-34.7429361979166
21838,-30.5886647542317
21837,-33.3054514567057
21836,-36.1582448323568
21835,-33.2787536621094
21834,-36.7230794270833
21833,-34.2648427327474
21832,-30.802826944987
21831,-32.4919799804687
21830,-33.7902689615885
21829,-31.5724904378255
21828,-32.1908681233724
21827,-33.0023661295573
21826,-36.7777618408203
21825,-34.557241821289
21824,-29.261333211263
21823,-36.0283009847005
21822,-28.957627360026
21821,-31.2666483561198
21820,-35.4366770426432
21819,-29.9537007649739
21818,-34.1784576416015
21817,-30.879507446289
21816,-32.7184611002604
21815,-33.2738352457682
21814,-31.0780141194661
21813,-30.5832987467448
21812,-33.7236338297526
21811,-33.2087259928385
21810,-32.5956583658854
21809,-36.5545867919922
21808,-31.8651590983073
21807,-34.0435445149739
21806,-34.0672770182291
21805,-36.7082021077474
21804,-39.4221557617187
21803,-36.2196512858073
21802,-40.1423807779948
21801,-41.1857259114583
21800,-34.544037882487
21799,-40.4418192545573
21798,-35.0305796305338
21797,-33.6231038411458
21796,-32.0822052001953
21795,-38.910757446289
21794,-34.8293162027995
21793,-33.1538655598958
21792,-34.901225789388
21791,-33.6089080810547
21790,-32.9052897135416
21789,-37.4919138590495
21788,-29.252055867513
21787,-30.8385986328125
21786,-37.6973225911458
21785,-32.4329386393229
21784,-34.1411753336588
21783,-38.0247253417969
21782,-34.0673634847005
21781,-30.9618184407552
21780,-32.3760437011719
21779,-35.9899403889974
21778,-36.7070933024088
21777,-31.9704701741536
21776,-31.0681467692057
21775,-28.8200286865234
21774,-35.0306050618489
21773,-36.2582967122396
21772,-32.1642161051432
21771,-31.4863342285156
21770,-32.7685811360677
21769,-33.2401590983073
21768,-31.5708882649739
21767,-35.5991933186849
21766,-37.0371714274088
21765,-31.6382558186849
21764,-33.0391245524088
21763,-31.3115041097005
21762,-33.5416524251302
21761,-30.149750773112
21760,-30.7978220621745
21759,-30.1792053222656
21758,-33.4496266682943
21757,-32.8190012613932
21756,-32.1472330729166
21755,-34.2531392415364
21754,-33.9558675130208
21753,-34.4978546142578
21752,-37.4857950846354
21751,-33.3367980957031
21750,-30.6422281901041
21749,-31.6073364257812
21748,-33.4779825846354
21747,-34.0952768961588
21746,-32.5133473714193
21745,-33.1468922932943
21744,-33.4127360026041
21743,-33.8806416829427
21742,-37.7750356038411
21741,-31.6716064453125
21740,-35.4357208251953
21739,-34.2413340250651
21738,-35.6822926839193
21737,-35.784765625
21736,-38.9627797444661
21735,-36.733979288737
21734,-32.3573923746745
21733,-33.040151977539
21732,-34.1236175537109
21731,-32.5355183919271
21730,-31.4437723795573
21729,-29.8076131184896
21728,-36.1730255126953
21727,-35.619980875651
21726,-36.0289367675781
21725,-36.0631266276041
21724,-34.4421142578125
21723,-33.4510660807291
21722,-32.9875396728515
21721,-32.8002736409505
21720,-35.1190297444661
21719,-33.7597106933594
21718,-36.8645334879557
21717,-37.5929473876953
21716,-33.9144958496094
21715,-37.2360493977864
21714,-31.9677083333333
21713,-38.6780151367187
21712,-32.3314931233724
21711,-37.7198954264323
21710,-33.0536153157552
21709,-33.2013051350911
21708,-31.9682983398437
21707,-36.1379862467448
21706,-27.4425567626953
21705,-33.0281026204427
21704,-30.2110707600911
21703,-33.9767822265625
21702,-32.7711344401041
21701,-31.2441111246745
21700,-30.8278564453125
21699,-34.5121775309245
21698,-40.4409647623698
21697,-33.0395263671875
21696,-33.055512491862
21695,-32.2805236816406
21694,-30.6680104573567
21693,-31.9450541178385
21692,-26.7132069905599
21691,-31.3757080078125
21690,-34.7118693033854
21689,-37.1189483642578
21688,-34.6863159179687
21687,-33.3716491699219
21686,-32.2143056233724
21685,-36.2860880533854
21684,-29.1093404134114
21683,-30.5700083414713
21682,-30.2522186279297
21681,-31.2130544026692
21680,-36.1852681477864
21679,-30.490087890625
21678,-30.0990509033203
21677,-30.9444691975911
21676,-32.4109608968099
21675,-36.6409210205078
21674,-34.0028188069661
21673,-33.0480967203776
21672,-32.7853912353515
21671,-33.1108866373698
21670,-34.5819407145182
21669,-36.2619893391927
21668,-31.1054189046224
21667,-35.5452026367187
21666,-35.1933095296224
21665,-36.5273498535156
21664,-33.127793375651
21663,-30.9025736490885
21662,-34.9448964436849
21661,-33.8500376383463
21660,-36.4621592203776
21659,-35.1471822102864
21658,-26.0936543782552
21657,-37.0564737955729
21656,-29.9364685058594
21655,-32.4661519368489
21654,-34.1155507405599
21653,-30.0698760986328
21652,-34.2511047363281
21651,-35.4066986083984
21650,-30.7686218261719
21649,-28.9120340983073
21648,-32.8385884602864
21647,-34.6620544433594
21646,-35.4667521158854
21645,-34.3579925537109
21644,-32.9997467041015
21643,-35.6339731852213
21642,-31.2954010009765
21641,-30.0587270100911
21640,-33.7455607096354
21639,-32.0805674235026
21638,-33.9270843505859
21637,-34.3947306315104
21636,-34.0793009440104
21635,-33.1021942138672
21634,-27.7236287434896
21633,-26.0796417236328
21632,-31.3630330403646
21631,-34.2902943929036
21630,-35.0387990315755
21629,-34.2944295247396
21628,-38.0601206461588
21627,-33.0758728027344
21626,-28.3904174804687
21625,-32.7813781738281
21624,-33.7824615478515
21623,-32.3869842529297
21622,-34.7350880940755
21621,-35.1835286458333
21620,-30.0642303466797
21619,-38.0117401123047
21618,-33.9615895589193
21617,-35.1032419840495
21616,-33.9777791341146
21615,-30.3971008300781
21614,-35.2864593505859
21613,-34.9999959309896
21612,-37.4560251871745
21611,-33.2373616536458
21610,-30.9564880371094
21609,-31.6314198811849
21608,-35.3612070719401
21607,-32.3106648763021
21606,-33.9610911051432
21605,-31.3803721110026
21604,-30.7307851155599
21603,-34.1267201741536
21602,-32.7177388509114
21601,-31.8133605957031
21600,-31.9151011149088
21599,-31.9152689615885
21598,-33.0342417399088
21597,-33.9843760172526
21596,-31.845805867513
21595,-35.0533711751302
21594,-33.8918721516927
21593,-29.2115030924479
21592,-30.6899678548177
21591,-33.8553070068359
21590,-30.4760294596354
21589,-34.7975830078125
21588,-32.6176717122396
21587,-30.2006795247396
21586,-31.7162994384765
21585,-35.0061350504557
21584,-34.4308380126953
21583,-31.6017567952474
21582,-31.8942321777344
21581,-34.127294921875
21580,-30.7535715738932
21579,-32.9131378173828
21578,-29.8564158121745
21577,-32.9545654296875
