"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-13.8088439941406
21998,-12.0800231933594
21997,-14.8312337239583
21996,-14.2683573404948
21995,-11.8669698079427
21994,-13.8783935546875
21993,-13.3500528971354
21992,-11.9989176432291
21991,-14.4545450846354
21990,-12.1096659342448
21989,-11.3314473470052
21988,-13.8272867838541
21987,-12.0339213053385
21986,-14.7207092285156
21985,-13.3879760742187
21984,-12.4753987630208
21983,-12.8797973632812
21982,-12.8600728352864
21981,-13.9059000651041
21980,-12.8093424479166
21979,-14.3226379394531
21978,-11.9240580240885
21977,-12.7310953776041
21976,-15.8108683268229
21975,-14.410996500651
21974,-14.0782531738281
21973,-14.765488688151
21972,-14.0374816894531
21971,-12.4643819173177
21970,-13.2455708821614
21969,-14.2293050130208
21968,-13.8887084960937
21967,-13.6414347330729
21966,-13.0856079101562
21965,-15.1773132324219
21964,-11.4821533203125
21963,-11.3152628580729
21962,-17.5429799397786
21961,-14.1724202473958
21960,-13.4225728352864
21959,-11.3511922200521
21958,-13.3521382649739
21957,-13.8390869140625
21956,-13.3208780924479
21955,-12.3768575032552
21954,-11.6469075520833
21953,-11.4657145182291
21952,-13.2559163411458
21951,-13.0245524088541
21950,-14.0863810221354
21949,-13.6552591959635
21948,-13.9652262369791
21947,-13.1263590494791
21946,-10.8836018880208
21945,-13.4598042805989
21944,-12.8391886393229
21943,-12.7129170735677
21942,-14.4990498860677
21941,-13.5019694010416
21940,-12.6204996744791
21939,-14.3009958902995
21938,-14.5005554199219
21937,-14.3488830566406
21936,-14.4422719319661
21935,-14.3450276692708
21934,-12.8981384277344
21933,-12.4646260579427
21932,-12.13876953125
21931,-13.2817545572916
21930,-12.7378702799479
21929,-12.6389322916666
21928,-13.3093017578125
21927,-12.8252827962239
21926,-12.3188741048177
21925,-12.3112854003906
21924,-14.159765625
21923,-11.9383707682291
21922,-12.1678934733073
21921,-11.0524658203125
21920,-12.5125183105469
21919,-11.6928771972656
21918,-13.5327921549479
21917,-13.4291544596354
21916,-14.5760101318359
21915,-12.8104512532552
21914,-14.4280049641927
21913,-16.0804555257161
21912,-14.5057484944661
21911,-10.5359151204427
21910,-13.4916951497396
21909,-16.427847290039
21908,-14.0678365071614
21907,-17.0676076253255
21906,-14.981298828125
21905,-14.7933410644531
21904,-13.3122924804687
21903,-11.5383870442708
21902,-12.0396077473958
21901,-14.3688771565755
21900,-12.826279703776
21899,-11.7146565755208
21898,-14.5528218587239
21897,-16.0126251220703
21896,-11.1694193522135
21895,-14.2985087076823
21894,-13.9540873209635
21893,-12.4935974121094
21892,-15.6558441162109
21891,-13.1259012858073
21890,-13.344101969401
21889,-12.9198771158854
21888,-13.2370666503906
21887,-11.4489298502604
21886,-13.9442810058594
21885,-14.7280843098958
21884,-11.4979614257812
21883,-12.6038879394531
21882,-12.4557149251302
21881,-13.3188028971354
21880,-14.261572265625
21879,-9.04157104492185
21878,-14.6745157877604
21877,-13.9870768229166
21876,-10.4367838541666
21875,-13.7006388346354
21874,-14.2358866373698
21873,-12.0822916666666
21872,-13.2811950683594
21871,-13.0380615234375
21870,-13.3325052897135
21869,-13.7083089192708
21868,-12.9403951009114
21867,-14.1805684407552
21866,-15.0826782226562
21865,-12.8753824869791
21864,-14.232773844401
21863,-14.7011423746745
21862,-12.8696350097656
21861,-10.0630452473958
21860,-13.0071166992187
21859,-14.1963256835937
21858,-14.4270487467448
21857,-12.8641011555989
21856,-12.861191813151
21855,-14.0044565836588
21854,-13.4585428873698
21853,-13.0082458496094
21852,-12.3295654296875
21851,-12.3686177571614
21850,-10.6939147949219
21849,-10.2234761555989
21848,-10.9377095540364
21847,-12.2341878255208
21846,-11.089463297526
21845,-12.3444274902344
21844,-14.0924540201823
21843,-12.5298217773437
21842,-12.94931640625
21841,-14.0500244140625
21840,-13.4468648274739
21839,-11.4841267903646
21838,-13.7342590332031
21837,-14.9857645670573
21836,-11.9268249511719
21835,-14.2061218261719
21834,-13.3843343098958
21833,-13.5471964518229
21832,-13.5888732910156
21831,-14.515244547526
21830,-12.2360087076823
21829,-13.5692911783854
21828,-11.0446736653646
21827,-15.5743825276692
21826,-14.1430419921875
21825,-11.6092488606771
21824,-13.0026204427083
21823,-12.7000895182291
21822,-13.2839518229166
21821,-12.6614644368489
21820,-11.4218811035156
21819,-14.7819885253906
21818,-12.9221659342448
21817,-14.2680318196614
21816,-12.362646484375
21815,-11.9205281575521
21814,-13.0587778727213
21813,-13.9178934733073
21812,-11.9916849772135
21811,-15.1186584472656
21810,-13.5334025065104
21809,-13.7559468587239
21808,-13.5663411458333
21807,-13.0598205566406
21806,-13.9098368326823
21805,-13.0839904785156
21804,-12.1486267089844
21803,-14.3845682779948
21802,-14.7057556152344
21801,-13.9991109212239
21800,-11.8268188476562
21799,-13.8423421223958
21798,-14.9496826171875
21797,-14.3982452392578
21796,-13.8292907714844
21795,-12.3407348632812
21794,-13.8421997070312
21793,-14.3847819010416
21792,-15.0124674479166
21791,-11.9199279785156
21790,-15.0140391031901
21789,-15.105078125
21788,-14.0727091471354
21787,-11.4193888346354
21786,-13.9867919921875
21785,-13.7872375488281
21784,-15.1672424316406
21783,-14.1110900878906
21782,-14.7999379475911
21781,-12.9562133789062
21780,-12.5101684570312
21779,-13.7427327473958
21778,-13.9856018066406
21777,-14.2763834635416
21776,-12.5593017578125
21775,-12.6646382649739
21774,-15.3024810791015
21773,-12.5559956868489
21772,-14.6145385742187
21771,-13.1122294108073
21770,-12.0961364746094
21769,-15.0369018554687
21768,-12.585312906901
21767,-13.4683390299479
21766,-12.4166015625
21765,-11.9512084960937
21764,-16.7365783691406
21763,-12.3435323079427
21762,-12.8676513671875
21761,-12.8916076660156
21760,-13.8983927408854
21759,-10.8734802246094
21758,-13.0642761230469
21757,-13.0188557942708
21756,-13.5935628255208
21755,-13.2004760742187
21754,-13.2501993815104
21753,-10.3599304199219
21752,-14.2997599283854
21751,-12.2121337890625
21750,-14.0852569580078
21749,-14.087505086263
21748,-14.2091023763021
