"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-26.3263763427734
21998,-22.3819679260254
21997,-23.8775212605794
21996,-25.567054494222
21995,-21.8135449727376
21994,-23.2041280110677
21993,-25.034162902832
21992,-21.3738934834798
21991,-24.5414413452148
21990,-23.2404235839844
21989,-24.3093017578125
21988,-24.3433949788411
21987,-23.8075520833333
21986,-23.7724149068196
21985,-23.8416758219401
21984,-21.796001180013
21983,-23.051434580485
21982,-23.0605033874511
21981,-22.9319989522298
21980,-21.983802541097
21979,-24.2687960306803
21978,-20.5124203999837
21977,-23.5396179199219
21976,-25.7651301066081
21975,-24.6377510070801
21974,-23.1250887552897
21973,-24.1359580993652
21972,-23.4330607096354
21971,-24.0315333048502
21970,-24.6947858174642
21969,-24.4104484558105
21968,-25.0622759501139
21967,-22.2046315511067
21966,-24.6852109273275
21965,-25.3100290934245
21964,-22.3209518432617
21963,-26.4577545166015
21962,-27.3264907836914
21961,-23.3145698547363
21960,-23.9943616231282
21959,-23.25120900472
21958,-22.1251675923665
21957,-22.8886385599772
21956,-22.3008420308431
21955,-21.918798828125
21954,-20.5675656636556
21953,-22.4131301879883
21952,-23.4136756896972
21951,-25.6105827331543
21950,-24.558930460612
21949,-22.7629786173502
21948,-23.7276875813802
21947,-23.0706250508626
21946,-21.597998046875
21945,-24.4531260172526
21944,-23.7806851704915
21943,-22.0356582641601
21942,-25.2362820943196
21941,-22.941519165039
21940,-24.9824750264485
21939,-25.5282920837402
21938,-24.9791231791178
21937,-25.8671579996745
21936,-25.2583081563314
21935,-23.6408281962077
21934,-22.8703623453776
21933,-25.1602462768554
21932,-23.7208185831706
21931,-22.5330731709798
21930,-23.3561640421549
21929,-23.5677513122558
21928,-23.8115524291992
21927,-23.442911529541
21926,-22.1988128662109
21925,-22.0354446411133
21924,-23.5504923502604
21923,-24.0712214152018
21922,-25.3355290730794
21921,-21.6651761372884
21920,-21.8375330607096
21919,-22.8357363382975
21918,-25.2092842102051
21917,-24.4814539591471
21916,-23.1967071533203
21915,-24.1013511657715
21914,-24.838912709554
21913,-25.9816701253255
21912,-24.9596504211426
21911,-22.3533704121907
21910,-24.7990656534831
21909,-24.1407989501953
21908,-25.466421508789
21907,-25.6419598897298
21906,-24.6509752909342
21905,-24.4155639648437
21904,-23.0176516215006
21903,-23.7103307088216
21902,-23.5478474934896
21901,-24.1936159769694
21900,-23.8246966044108
21899,-24.4096092224121
21898,-22.4570856730143
21897,-24.5124203999837
21896,-24.2116060892741
21895,-24.1912165323893
21894,-23.3713198343913
21893,-22.14720509847
21892,-22.3819157918294
21891,-23.0667912801107
21890,-22.478608194987
21889,-23.1913513183594
21888,-23.2680877685547
21887,-22.1909431457519
21886,-24.5973139444987
21885,-25.8409866333008
21884,-23.8244550069173
21883,-24.0643040974935
21882,-22.4858573913574
21881,-23.8482752482096
21880,-24.5857566833496
21879,-22.624983215332
21878,-23.7861134847005
21877,-23.4582745869954
21876,-23.7872756958008
21875,-24.0371027628581
