"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-23.9902442932129
21997,-22.6884254455566
21996,-25.6320315043131
21995,-22.6806752522786
21994,-23.3999745686849
21993,-24.003572845459
21992,-22.3452209472656
21991,-24.0791407267252
21990,-22.9595410664876
21989,-23.5497408548991
21988,-24.3099833170573
21987,-24.6327321370442
21986,-24.4409812927246
21985,-22.9210940043131
21984,-23.8360097249349
21983,-21.3452730814616
21982,-23.783253733317
21981,-22.4237248738607
21980,-21.616978708903
21979,-25.0223500569661
21978,-20.9421676635742
21977,-21.50529200236
21976,-25.3784049987793
21975,-25.727891031901
21974,-22.9038515726725
21973,-23.7751475016276
21972,-24.7034680684407
21971,-23.1894109090169
21970,-23.6289199829101
21969,-25.9581893920898
21968,-23.853000386556
21967,-24.4012550354004
21966,-22.7307126363118
21965,-25.344699605306
21964,-22.3789772033691
21963,-26.1829144795735
21962,-27.58812306722
21961,-24.1434221903483
21960,-23.9981038411458
21959,-23.7051274617513
21958,-22.2858400980631
21957,-23.4907084147135
21956,-21.4161577860514
21955,-22.6405103047689
21954,-20.1234230041504
21953,-21.9530967712402
21952,-22.6673467000325
21951,-25.0235376993815
21950,-24.515291595459
21949,-24.2414802551269
21948,-23.1177200317383
21947,-23.2444124857584
21946,-21.4152498881022
21945,-24.774693552653
21944,-23.5565818786621
21943,-22.7844286600748
21942,-24.0577491760254
21941,-23.7992818196614
21940,-24.7392639160156
21939,-24.6341702779134
21938,-24.7172518412272
21937,-27.2653106689453
21936,-24.5080958048502
21935,-24.5435521443685
21934,-23.4289255777995
21933,-23.0343307495117
21932,-24.6995185852051
21931,-22.674673461914
21930,-23.3763018290202
21929,-24.2008689880371
21928,-23.1998046875
21927,-23.7223991394043
21926,-22.672216796875
21925,-22.2160006205241
21924,-22.256460571289
21923,-23.7677253723144
21922,-25.3882253011067
21921,-23.6274080912272
21920,-20.5375249226888
21919,-23.2623580932617
21918,-24.2917414347331
21917,-24.3455159505208
21916,-24.673385365804
21915,-22.6409184773763
21914,-25.1922999064127
21913,-24.9057729085286
21912,-25.5061185201009
21911,-23.2338673909505
21910,-24.2581097920735
21909,-24.2715209960937
21908,-24.0879297892252
21907,-26.4739339192708
21906,-25.783607228597
21905,-24.4349604288737
21904,-22.8784037272135
21903,-23.2851559956868
21902,-24.2853543599446
21901,-22.6368761698405
21900,-24.6265841166178
21899,-23.8444236755371
21898,-23.8478416442871
21897,-24.0595802307129
21896,-23.2223101298014
21895,-24.2211110432942
21894,-24.2212598164876
21893,-22.3316724141439
21892,-22.6419675191243
21891,-22.445970916748
21890,-23.1177378336588
21889,-22.8854838053385
21888,-23.4695266723633
21887,-21.4803070068359
21886,-24.7540280659993
21885,-25.0326065063476
21884,-24.4713793436686
21883,-23.8348068237304
21882,-23.1126693725586
21881,-23.3497756958008
21880,-24.5642990112304
21879,-22.8096984863281
21878,-23.589151763916
21877,-24.7511734008789
21876,-21.7425928751627
21875,-24.060348256429
21874,-25.7101298014323
21873,-22.3580332438151
21872,-21.9121345520019
21871,-22.184548441569
21870,-26.8954172770182
21869,-23.7875122070312
21868,-24.0902364095052
21867,-23.560639444987
21866,-25.0486434936523
21865,-24.5520601908366
21864,-24.684854888916
21863,-25.0132456461588
21862,-23.3055252075195
21861,-23.3730262756347
21860,-23.7202234903971
21859,-26.264444732666
21858,-24.7508961995442
21857,-24.0233151753743
21856,-24.4074602762858
21855,-23.5854743957519
21854,-24.0769116719564
21853,-23.6228342692057
21852,-23.9984967549642
21851,-23.6852452596028
21850,-23.9055236816406
21849,-22.5787122090657
21848,-24.6773818969726
