"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-15.9247624715169
21997,-17.3698308308919
21996,-17.5680196126302
21995,-15.6612482706705
21994,-16.8450861612956
21993,-17.9761566162109
21992,-15.1815653483073
21991,-17.6141749064127
21990,-16.5042811075846
21989,-15.8619827270508
21988,-17.8728190104166
21987,-16.8354019165039
21986,-17.3424718221028
21985,-17.6431716918945
21984,-17.3197082519531
21983,-15.616194152832
21982,-16.6345937093099
21981,-17.0497548421224
21980,-15.7385798136393
21979,-18.2611704508463
21978,-15.3344126383463
21977,-16.5603698730469
21976,-18.647683207194
21975,-17.2847071329752
21974,-17.8352060953776
21973,-17.5099599202474
21972,-17.2355433146159
21971,-16.6091827392578
21970,-16.7978093465169
21969,-18.2160451253255
21968,-17.0235809326172
21967,-16.4331878662109
21966,-17.2290939331054
21965,-16.9228958129883
21964,-14.7846995035807
21963,-17.6985051472982
21962,-19.9208689371745
21961,-16.7958333333333
21960,-17.466421508789
21959,-15.7711725870768
21958,-16.2332977294922
21957,-16.9296249389648
21956,-16.4288467407226
21955,-15.7054377237955
21954,-14.8260991414388
21953,-15.3360631306966
21952,-17.5328709920247
21951,-16.8583663940429
21950,-15.7858642578125
21949,-15.745713297526
21948,-18.2983764648437
21947,-17.7091379801432
21946,-14.6334365844726
21945,-18.0321640014648
21944,-16.3790725708008
21943,-16.6421366373698
21942,-18.2610254923502
21941,-16.4395991007487
21940,-17.1850646972656
21939,-18.8534378051758
21938,-17.2781941731771
21937,-18.9270792643229
21936,-17.979465230306
21935,-17.6753448486328
21934,-17.6042872111002
21933,-16.7972498575846
21932,-16.9358581542969
21931,-16.5194534301758
21930,-16.651948038737
21929,-16.4234502156575
21928,-16.6927551269531
21927,-16.2213882446289
21926,-15.7202285766601
21925,-14.4832875569661
21924,-17.4149180094401
21923,-15.7060175577799
21922,-16.7306172688802
21921,-15.2472442626953
21920,-16.3726028442383
21919,-15.7515268961588
21918,-18.1318572998047
21917,-16.9184478759765
21916,-17.6982915242513
21915,-16.1413202921549
21914,-18.2290837605794
21913,-19.8519831339518
21912,-17.9229771931966
21911,-16.2356399536133
21910,-17.6553939819336
21909,-18.0055450439453
21908,-17.0024576822916
21907,-19.0104634602864
21906,-18.5121063232422
21905,-18.1410736083984
21904,-17.3055964152018
21903,-16.1888412475586
21902,-16.3065577189127
21901,-16.7881225585937
21900,-17.3535725911458
21899,-15.9084457397461
21898,-16.9489679972331
21897,-17.6895533243815
21896,-15.5479212443034
21895,-17.052353922526
21894,-16.8955291748047
21893,-15.4440292358398
21892,-16.3581934611002
21891,-16.6903976440429
21890,-18.1577234903971
21889,-17.1612686157226
21888,-16.6230173746745
21887,-15.1074813842773
21886,-17.6137145996094
21885,-17.3795837402344
21884,-16.6761891682942
21883,-16.4134709676107
21882,-14.3724349975586
21881,-16.6792129516601
21880,-17.8829762776692
21879,-13.9724131266276
21878,-16.8366175333659
21877,-16.1595189412435
21876,-15.6193832397461
21875,-16.9419514973958
21874,-17.0533177693685
21873,-15.188937886556
21872,-15.4226465861002
21871,-16.1471516927083
21870,-17.2377965291341
21869,-17.0136805216471
21868,-16.2579813639323
21867,-16.9034561157226
21866,-17.8755249023437
21865,-16.4441207885742
21864,-18.5263147989909
21863,-17.3790217081706
21862,-16.2986028035482
21861,-14.4156046549479
