"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-32.0557261149088
21997,-28.0070200602213
21996,-33.6960433959961
21995,-29.7001022338867
21994,-29.9548629760742
21993,-30.030989074707
21992,-29.5088765462239
21991,-30.5441065470377
21990,-29.4148010253906
21989,-31.2374989827474
21988,-30.7471476236979
21987,-32.4300623575846
21986,-31.5394907633463
21985,-28.1990163167317
21984,-30.3523111979166
21983,-27.0743520100911
21982,-30.9319137573242
21981,-27.7976949055989
21980,-27.4953776041666
21979,-31.7835296630859
21978,-26.5499226888021
21977,-26.4502141316732
21976,-32.1091267903646
21975,-34.1710749308268
21974,-27.9724970499674
21973,-30.0403350830078
21972,-32.1713928222656
21971,-29.769639078776
21970,-30.4600306193034
21969,-33.7003336588541
21968,-30.6824198404948
21967,-32.3693222045898
21966,-28.2323313395182
21965,-33.7665033976237
21964,-29.9732549031575
21963,-34.6673238118489
21962,-35.2553771972656
21961,-31.4910110473633
21960,-30.5297861735026
21959,-31.6390823364258
21958,-28.3383824666341
21957,-30.0517918904622
21956,-26.4034688313802
21955,-29.5755828857422
21954,-25.420746866862
21953,-28.5701304117838
21952,-27.8018224080403
21951,-33.18870900472
21950,-33.2447189331054
21949,-32.7372472127278
21948,-27.9370635986328
21947,-28.7796869913737
21946,-28.1970631917317
21945,-31.5172231038411
21944,-30.7340911865234
21943,-28.9267206827799
21942,-29.8544728597005
21941,-31.1589645385742
21940,-32.2934631347656
21939,-30.414902750651
21938,-32.1563095092773
21937,-35.6035420735677
21936,-31.0367263793945
21935,-31.4117594401041
21934,-29.2535639444987
21933,-29.2714116414388
21932,-32.4631790161133
21931,-28.8298934936523
21930,-30.1006556193034
21929,-31.9782877604166
21928,-29.7068542480469
21927,-31.2234100341797
21926,-29.6242050170898
21925,-29.948713684082
21924,-27.098003133138
21923,-31.8294331868489
21922,-34.0458333333333
21921,-32.0075719197591
21920,-24.7024470011393
21919,-30.7731892903646
21918,-30.4516255696614
21917,-31.7725840250651
21916,-31.6484792073567
21915,-29.1405166625976
21914,-32.1555160522461
21913,-29.9595626831054
21912,-33.0892598470052
21911,-30.2320948282877
21910,-30.8608256022135
21909,-30.5374969482422
21908,-31.1734018961588
21907,-33.9374043782552
21906,-33.0551081339518
21905,-30.7288472493489
21904,-28.4512110392252
21903,-30.3814707438151
21902,-32.2641510009765
21901,-28.4856297810872
21900,-31.8995956420898
21899,-31.7804016113281
21898,-30.7467152913411
21897,-30.4296071370442
21896,-30.8966990152995
21895,-31.3898681640625
21894,-31.5469904581706
21893,-29.2193155924479
21892,-28.9257415771484
21891,-28.2015441894531
21890,-28.0777521769206
21889,-28.6096989949544
21888,-30.3160359700521
21887,-27.8531326293945
21886,-31.8943415323893
21885,-32.6856292724609
21884,-32.2665695190429
21883,-31.2561426798502
21882,-31.8529037475586
21881,-30.0203384399414
21880,-31.2456217447916
21879,-31.6469838460286
21878,-30.3416859944661
21877,-33.3428278605143
21876,-27.8658025105794
21875,-31.1787450154622
21874,-34.3669418334961
21873,-29.5271286010742
21872,-28.4016225179036
21871,-28.2219451904297
21870,-36.5530380249023
21869,-30.5613438924153
21868,-31.9224914550781
21867,-30.2178227742513
21866,-32.2217620849609
21865,-32.6599995930989
21864,-30.8433949788411
21863,-32.6474695841471
21862,-30.3124476114909
21861,-32.3304478963216
21860,-30.9221989949544
21859,-34.1550481160482
21858,-31.4190862019857
21857,-30.5423136393229
21856,-30.9794830322265
21855,-30.6778523763021
21854,-31.1270584106445
21853,-31.3002304077148
21852,-30.2141886393229
21851,-30.479600016276
21850,-32.242409769694
21849,-29.7723983764648
21848,-32.5122360229492
21847,-30.2237508138021
21846,-32.8651285807291
21845,-28.806867980957
21844,-26.4285212198893
21843,-30.5610056559245
21842,-31.5734873453776
21841,-33.5922403971354
21840,-32.738030497233
21839,-32.4981674194336
21838,-28.1224858601888
21837,-28.5433486938476
21836,-34.05736134847
21835,-32.4657475789388
21834,-34.1347666422526
21833,-30.1495651245117
21832,-29.3549713134765
21831,-29.4365854899088
21830,-31.1072575887044
21829,-31.1311731974284
21828,-28.4822728474935
21827,-30.7076019287109
21826,-32.4802307128906
21825,-29.6470347086588
21824,-28.5385370890299
21823,-34.3025217692057
21822,-26.5725006103515
21821,-28.3644368489583
21820,-35.0967900594075
21819,-28.2495330810547
21818,-30.8026463826497
21817,-29.9667775472005
21816,-29.6750930786133
21815,-31.4539220174153
21814,-29.3513498942057
21813,-29.53294728597
21812,-30.803081258138
21811,-32.8674224853515
21810,-29.2341801961263
21809,-33.649033610026
21808,-31.0487782796224
21807,-31.3701156616211
21806,-30.2446731567383
21805,-33.6311884562174
21804,-33.6382227579752
21803,-31.8614639282226
21802,-36.4819727579752
21801,-35.8711176554362
21800,-32.8311091105143
21799,-35.081765238444
21798,-32.5205927530924
21797,-29.993500773112
21796,-28.136707051595
21795,-36.2043060302734
21794,-32.2063252766927
21793,-30.9892130533854
21792,-33.8083455403646
21791,-31.7063023885091
21790,-30.2092702229817
21789,-36.130484008789
21788,-29.6533696492513
21787,-30.7977228800456
21786,-32.2669687906901
21785,-28.3532826741536
21784,-32.4861206054687
21783,-33.2957214355469
21782,-30.1116953531901
21781,-31.4480982462565
21780,-30.3717356363932
21779,-32.0127751668294
21778,-33.6185796101888
21777,-29.2759104410807
21776,-29.4218811035156
21775,-26.9028584798177
21774,-31.3245961507161
21773,-32.7072713216146
21772,-29.4619812011719
21771,-30.7527221679687
21770,-31.5676864624023
21769,-29.5122817993164
21768,-31.4376637776692
21767,-30.9856145222982
21766,-32.6691980997721
21765,-29.6178090413411
21764,-32.6509638468424
21763,-29.9478134155273
21762,-32.1002639770508
21761,-26.4817337036133
21760,-28.9929845174153
21759,-30.4289484659831
21758,-32.7890024820963
21757,-33.2774185180664
21756,-27.5559727986653
21755,-29.5906458536784
21754,-31.0370264689127
21753,-32.6719802856445
21752,-33.5379750569661
21751,-31.288074239095
21750,-28.4898030598958
21749,-28.6349624633789
21748,-29.3789123535156
21747,-29.7999430338541
21746,-31.9526173909505
21745,-30.5190338134765
21744,-31.7964920043945
21743,-30.3693501790364
21742,-31.9839869181315
21741,-30.9935821533203
21740,-32.9737940470377
21739,-31.6803497314453
21738,-33.5755345662435
21737,-33.5591211954752
21736,-34.1814178466797
