"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-9.87838465372719
21998,-14.1792905171712
21997,-11.4886662801107
21996,-8.78262049357094
21995,-9.59719187418617
21994,-7.66577250162758
21993,-9.19010518391925
21992,-9.28304773966469
21991,-9.15020726521808
21990,-10.1254905700683
21989,-12.2736012776692
21988,-9.25448328653969
21987,-10.4726076761881
21986,-9.49337997436521
21985,-10.3704449971517
21984,-9.47197570800779
21983,-9.27913513183591
21982,-8.463725789388
21981,-10.3083964029948
21980,-9.56610717773435
21979,-9.00375976562498
21978,-9.00954793294269
21977,-9.15834528605141
21976,-8.40665664672849
21975,-7.66480356852211
21974,-8.49257253011065
21973,-9.00663731892901
21972,-8.82060343424477
21971,-8.41636759440102
21970,-9.90838851928709
21969,-9.72026163736977
21968,-8.70637232462563
21967,-8.44035441080727
21966,-10.224961344401
21965,-10.6721989949544
21964,-9.11537272135414
21963,-8.48630371093748
21962,-8.91040776570636
21961,-9.63305002848305
21960,-9.3868698120117
21959,-10.6489204406738
21958,-9.66213328043617
21957,-8.03572184244789
21956,-8.83263498942055
21955,-8.03127644856769
21954,-9.41561228434242
21953,-9.49584554036456
21952,-11.1797711690267
21951,-9.04434432983396
21950,-8.58312072753904
21949,-8.84521204630532
21948,-10.1540473937988
21947,-8.42723439534503
21946,-8.94946263631183
21945,-8.55330505371091
21944,-7.26209360758461
21943,-11.0150105794271
21942,-8.20138651529946
21941,-11.3421081542969
21940,-8.19088592529295
21939,-9.39271392822263
21938,-8.64965794881183
21937,-8.89609502156573
21936,-10.4722223917643
21935,-9.32800394694008
21934,-5.93118896484373
21933,-9.11331278483071
21932,-8.56817347208657
21931,-10.3291114807129
21930,-8.17208455403644
21929,-8.45619557698565
21928,-9.49303156534828
21927,-9.35861562093097
21926,-8.42237192789711
21925,-9.05334574381508
21924,-9.11070226033526
21923,-9.37150166829425
21922,-12.4896453857422
21921,-8.89569829305011
21920,-10.8179852803548
21919,-8.52517293294269
21918,-8.87329203287758
21917,-10.2043365478515
21916,-8.77370681762693
21915,-8.99725189208982
21914,-9.53454182942706
21913,-9.85706049601235
21912,-8.75287984212237
21911,-9.77460708618162
21910,-9.20400594075519
21909,-8.29938990275063
21908,-9.44293823242185
21907,-8.08392181396482
21906,-9.51432139078774
21905,-8.01649068196612
21904,-9.12535196940102
21903,-9.70594126383461
21902,-9.40876235961912
21901,-9.06092936197914
21900,-11.1892316182454
21899,-8.28567097981769
21898,-10.7319625854492
21897,-9.95826314290362
21896,-8.83744150797524
21895,-7.8812800089518
21894,-8.41779301961261
21893,-9.70567932128904
21892,-13.4021235148112
21891,-11.547471110026
21890,-11.4936177571614
21889,-10.3459292093913
21888,-13.6150459289551
21887,-10.9215682983398
21886,-8.5086730957031
21885,-9.18774007161456
21884,-9.58651199340818
21883,-10.0346537272135
21882,-13.2907178243001
21881,-8.902202351888
21880,-9.78263320922849
21879,-9.35001475016274
21878,-9.36791585286456
21877,-8.27840525309242
21876,-8.38554229736326
21875,-10.6383702596028
21874,-12.9873527526855
21873,-10.2399848937988
21872,-8.79717102050779
21871,-8.53908131917315
21870,-8.63638025919594
21869,-10.6909762064616
21868,-9.02143452962237
21867,-8.63020044962563
21866,-8.49701919555662
21865,-9.5141039530436
21864,-8.41097615559894
21863,-9.60438639322914
21862,-9.13829142252602
21861,-8.27714894612628
21860,-11.5174672444661
21859,-7.84354629516599
21858,-8.21086476643878
21857,-9.72791392008461
21856,-10.7940366109212
21855,-8.1122484842936
21854,-8.06017405192055
21853,-8.73113861083982
21852,-8.53648605346677
21851,-8.65046157836912
21850,-7.98282979329425
21849,-9.23026885986326
21848,-9.75404968261716
21847,-10.7022384643554
21846,-9.04799626668292
21845,-8.28398234049477
21844,-10.5627909342448
21843,-10.5462020874023
21842,-11.6105344136556
21841,-9.84414647420245
21840,-8.66362737019855
21839,-11.1296206156413
21838,-9.1424850463867
21837,-9.52757110595701
21836,-9.43103764851886
21835,-10.414663696289
21834,-7.57558288574216
21833,-8.01781819661456
21832,-8.04673868815102
21831,-8.06706848144529
21830,-8.72038879394529
21829,-9.96165313720701
21828,-9.26326471964516
21827,-9.35679473876951
21826,-8.87394943237302
21825,-9.05199661254881
21824,-9.64347050984698
21823,-8.43869501749672
21822,-9.39226888020831
21821,-10.7591664632161
21820,-10.1593701680501
21819,-8.57342122395831
21818,-8.95615615844724
21817,-10.0310590108235
21816,-11.4537490844726
21815,-9.53679122924802
21814,-8.95366388956703
21813,-9.16250839233396
21812,-9.98181635538735
21811,-8.26294809977211
21810,-12.3758097330729
21809,-8.96617228190102
21808,-11.2042538960775
21807,-9.21969451904295
21806,-9.25399881998696
21805,-10.8152997334798
21804,-8.79628982543943
21803,-8.66039886474607
21802,-8.36683120727537
21801,-7.56074371337888
21800,-8.69446538289386
21799,-8.84487126668292
21798,-9.42566146850584
21797,-12.1092653910319
21796,-9.68518040974933
21795,-8.49128952026365
21794,-8.55328089396157
21793,-7.58362172444659
21792,-7.77322870890297
21791,-8.46940205891925
21790,-8.66665115356443
21789,-9.22111231486
21788,-9.43630193074542
21787,-12.5703376770019
21786,-12.3766095479329
21785,-8.81954167683917
21784,-10.5676177978515
21783,-9.76102422078448
21782,-8.48643468221026
21781,-8.43243255615232
21780,-7.96759897867836
21779,-9.35471827189125
21778,-12.4071601867676
21777,-8.12608057657875
21776,-9.2000793457031
21775,-10.7476397196452
21774,-9.845868174235
21773,-7.41000213623045
21772,-9.68517913818357
21771,-8.64861653645831
21770,-8.98387247721352
21769,-9.69099273681638
21768,-8.415874226888
21767,-9.95008443196612
21766,-11.0191012064616
21765,-10.7020184834798
21764,-9.46514994303383
21763,-8.51535135904946
21762,-10.6144215901692
21761,-10.3984919230143
21760,-9.18651809692381
21759,-8.14241892496742
21758,-9.63439280192055
21757,-8.25492960611977
21756,-7.95489476521808
21755,-9.17361551920571
21754,-8.45648422241209
21753,-7.86225484212237
21752,-8.69682668050128
21751,-8.08415832519529
21750,-9.20372238159177
21749,-9.71926218668617
21748,-8.79705657958982
21747,-8.74411748250323
21746,-9.00738754272459
21745,-8.81064198811847
21744,-7.69380798339841
21743,-10.472691599528
21742,-9.53796488444008
21741,-8.57240397135414
21740,-8.29273579915362
21739,-7.9073178609212
21738,-9.96115341186521
21737,-10.0349589029948
21736,-9.66299540201821
21735,-8.89437459309894
21734,-9.46521352132159
21733,-9.4998102823893
21732,-9.6358080546061
21731,-8.71348927815753
21730,-10.9711975097656
21729,-9.48994420369464
21728,-9.31557947794594
21727,-8.60520019531248
21726,-8.34548034667966
21725,-7.85375951131183
21724,-6.89199930826821
21723,-11.2021240234375
21722,-7.7165105183919
21721,-8.64131393432615
21720,-8.65556564331052
21719,-8.49274291992185
21718,-8.85006306966144
21717,-9.27479400634763
21716,-9.74181722005206
21715,-11.7635775248209
21714,-9.97000223795571
21713,-9.11056111653644
21712,-7.99908548990883
21711,-9.62213363647459
21710,-10.7288294474284
21709,-8.88997879028318
21708,-8.54308039347328
21707,-8.7217938741048
21706,-8.11387608846026
21705,-9.69120635986326
21704,-11.5017773946126
21703,-9.29679209391274
21702,-8.45080032348631
21701,-11.6320747375488
21700,-9.63256683349607
21699,-10.2546295166015
21698,-10.5273676554362
21697,-9.2375663757324
21696,-8.66576487223305
21695,-10.9846087137858
21694,-11.2719596862793
21693,-10.2545481363932
21692,-9.28409932454425
21691,-11.5191685994466
21690,-12.1476603190104
21689,-9.25505040486651
21688,-9.9892016092936
21687,-8.56486485799151
21686,-9.73166885375974
21685,-8.5728083292643
21684,-7.6980524698893
21683,-9.2556327819824
21682,-9.58383280436196
21681,-7.72082621256508
21680,-7.55943400065102
21679,-9.37313435872394
21678,-10.191202545166
21677,-10.319371287028
21676,-11.2006083170573
21675,-9.15668843587237
21674,-9.09743601481117
21673,-8.81999562581378
21672,-9.59467290242511
21671,-10.5090761820475
21670,-8.19270553588865
21669,-7.96117121378578
21668,-12.4055554707845
21667,-9.35907719930011
21666,-8.82365264892576
21665,-10.0684239705403
21664,-10.2795534769694
21663,-9.26636479695636
21662,-11.5084938049316
21661,-10.5491953531901
21660,-11.6930717468261
21659,-10.418674214681
21658,-9.06514841715492
21657,-8.54879353841144
21656,-10.3150911966959
21655,-10.6732200622558
21654,-9.63575464884438
21653,-10.2904406229655
21652,-8.52965265909828
21651,-9.91693089803058
21650,-9.61426010131834
21649,-10.6542419433594
21648,-10.2322156270345
21647,-8.01979675292966
21646,-9.19327519734698
21645,-8.38409016927081
21644,-8.92442042032875
21643,-9.59494756062823
21642,-7.94637908935545
21641,-8.53399378458657
21640,-9.72690811157224
21639,-10.0901741027832
21638,-8.96130218505857
21637,-9.05040334065753
21636,-9.22596206665037
21635,-8.83310292561847
21634,-8.10353444417315
21633,-8.93851191202797
21632,-8.66006698608396
21631,-8.98082453409828
21630,-9.1550354003906
21629,-10.5882108052571
21628,-7.37881571451821
21627,-9.15555547078448
21626,-10.7327573140462
21625,-8.65295003255206
21624,-8.82982991536456
21623,-9.11811803181964
21622,-11.0535669962565
21621,-10.269706471761
21620,-9.66642481486
21619,-8.36841303507485
21618,-9.91323954264321
21617,-9.40141906738279
21616,-10.5537742614746
21615,-10.1801310221354
21614,-9.3528490702311
21613,-9.6566337585449
21612,-8.96049474080401
21611,-7.61297709147133
21610,-10.8363123575846
21609,-7.18639475504555
21608,-9.66907857259112
21607,-9.73141199747719
21606,-9.25314814249672
21605,-10.5281750996907
21604,-11.8229405721028
21603,-10.8982159932454
21602,-10.9907796223958
21601,-9.37424189249672
21600,-8.83275833129881
21599,-10.8247932434082
21598,-8.94738362630206
21597,-9.08876775105792
21596,-11.7152275085449
21595,-10.3739596048991
21594,-7.56793823242185
21593,-8.57558288574216
21592,-8.20720392862953
21591,-7.44399617513019
21590,-8.47304128011065
21589,-9.70438359578448
21588,-10.0893603006998
21587,-7.88817698160805
21586,-7.59503402709959
21585,-9.83260320027667
21584,-11.2825492858886
21583,-8.76955769856769
21582,-9.81736729939776
21581,-9.93878529866534
21580,-8.9206972757975
21579,-8.62030766805011
21578,-9.74822591145831
21577,-9.646098836263
21576,-9.81175333658852
21575,-8.70969492594399
21574,-8.04911651611326
21573,-9.00481770833331
21572,-8.62202936808266
21571,-8.47133229573565
21570,-9.50064697265623
21569,-8.12897084554034
21568,-9.75940170288084
21567,-8.2398971557617
21566,-10.1025629679362
21565,-10.0254348754883
21564,-11.627923075358
21563,-11.7037490844726
21562,-9.93802235921222
21561,-6.96721242268878
21560,-8.44753112792966
21559,-9.53542683919269
21558,-8.16626841227211
21557,-9.8778137207031
21556,-8.24707387288409
21555,-9.29680989583331
21554,-9.32248407999672
21553,-8.42421824137367
21552,-9.06573842366534
21551,-8.77963485717771
21550,-8.89019241333006
21549,-8.11950531005857
21548,-9.95594635009763
21547,-13.5680692036946
21546,-10.9703646341959
21545,-8.31161600748696
21544,-10.5744728088379
21543,-14.0455205281575
21542,-8.62049713134763
21541,-8.19597473144529
21540,-10.1240994771321
21539,-8.7776054382324
21538,-9.40316874186196
21537,-8.92152125040688
21536,-10.6835566202799
21535,-10.9586407979329
21534,-8.41144409179685
21533,-11.4600992838541
21532,-7.80804672241209
21531,-9.82827733357745
21530,-8.61655273437498
21529,-10.4193138122558
21528,-10.6498385111491
21527,-12.7227945963541
21526,-9.89433135986326
21525,-9.26198806762693
21524,-9.35544179280597
21523,-8.46673685709633
21522,-10.251266225179
21521,-9.54869689941404
21520,-9.62664260864256
21519,-9.13829905192055
21518,-10.4156631469726
21517,-10.1692311604817
21516,-11.7098691304525
21515,-10.6731208801269
21514,-9.18206888834633
21513,-9.0668268839518
21512,-10.3119911193847
21511,-10.6296396891276
21510,-11.5409835815429
21509,-11.8295349121094
21508,-9.9073776245117
21507,-10.5101353963216
21506,-9.68360112508136
21505,-11.3457194010416
21504,-9.20696868896482
21503,-10.0472854614258
21502,-8.82814000447589
21501,-9.29947128295896
21500,-11.0288096110026
21499,-9.4182304382324
21498,-11.1616284688314
21497,-8.45298105875649
21496,-9.18516260782875
21495,-10.1560666402181
21494,-9.35763015747068
21493,-9.43036626180011
21492,-10.3653956095377
21491,-10.1836354573567
21490,-8.83868001302081
21489,-7.90377527872719
21488,-8.81313171386716
21487,-8.02316004435219
21486,-8.89404017130532
21485,-10.5403299967448
21484,-8.43990046183266
21483,-9.14455134073891
21482,-9.70005009969073
21481,-9.76943562825519
21480,-9.60576477050779
21479,-8.45944951375323
21478,-9.70855941772459
21477,-7.99997685750323
21476,-9.15433349609373
21475,-8.27773513793943
21474,-9.04772033691404
21473,-10.18644434611
21472,-10.3492530822754
21471,-9.32359288533526
21470,-9.10348739624021
21469,-8.07804209391274
21468,-9.96410598754881
21467,-9.90203831990558
21466,-8.91808675130206
21465,-9.21767145792641
21464,-7.9876286824544
21463,-9.57986679077146
21462,-10.8740727742513
21461,-10.4845273335775
21460,-9.71580479939776
