"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-21.4773391723633
21997,-18.9313084920247
21996,-15.4586573282877
21995,-15.0387329101562
21994,-13.3948348999023
21993,-13.5651967366536
21992,-14.8386520385742
21991,-13.2960647583008
21990,-14.5969629923502
21989,-18.2630676269531
21988,-14.5088587443034
21987,-16.4673039754232
21986,-14.1777379353841
21985,-15.656955464681
21984,-16.3558436075846
21983,-12.3097518920898
21982,-14.8924621582031
21981,-14.1090326944987
21980,-14.08359375
21979,-15.8604721069336
21978,-11.3286905924479
21977,-15.5576970418294
21976,-13.158440653483
21975,-11.1977650960286
21974,-13.1018534342448
21973,-13.0126988728841
21972,-15.6251230875651
21971,-12.2777567545573
21970,-16.2918279012044
21969,-14.4808334350586
21968,-14.5431681315104
21967,-12.2315836588541
21966,-14.0599197387695
21965,-16.9590947469075
21964,-15.1235616048177
21963,-13.3342803955078
21962,-14.1458165486653
21961,-14.3349848429362
21960,-15.6613169352213
21959,-16.8684600830078
21958,-13.6875162760416
21957,-13.4994618733724
21956,-13.6532806396484
21955,-11.6397867838541
21954,-14.7770141601562
21953,-12.0561686197916
21952,-16.6110265096028
21951,-17.427961730957
21950,-11.4994517008463
21949,-15.8192835489909
21948,-13.3578552246094
21947,-14.0227900187174
21946,-13.2436050415039
21945,-15.0380055745442
21944,-10.8284261067708
21943,-17.0806488037109
21942,-12.7893280029297
21941,-16.4486806233724
21940,-12.6883860270182
21939,-13.4401865641276
21938,-13.3077606201172
21937,-13.9384038289388
21936,-17.5858189900716
21935,-16.7360443115234
21934,-9.74877522786456
21933,-11.2649546305338
21932,-14.9834325154622
21931,-13.7237686157226
21930,-15.1108968098958
21929,-14.4811564127604
21928,-11.845083618164
21927,-16.9404790242513
21926,-13.7604990641276
21925,-13.7429616292317
21924,-14.7754247029622
21923,-14.7651224772135
21922,-16.6993342081706
21921,-17.2722381591797
21920,-15.4055669148763
21919,-13.6339884440104
21918,-12.8912007649739
21917,-15.2540852864583
21916,-14.9249354044596
21915,-12.4448303222656
21914,-16.1188618977864
21913,-16.2659439086914
21912,-13.2322499593099
21911,-15.8455439249674
21910,-16.5489715576172
21909,-11.3532699584961
21908,-14.37216796875
21907,-11.9055643717448
21906,-15.4886891682942
21905,-12.3097086588541
21904,-13.895122273763
21903,-15.055512491862
21902,-13.4003585815429
21901,-13.6102457682291
21900,-16.4744603474935
21899,-13.1100626627604
21898,-18.8633280436198
21897,-11.8381815592448
21896,-14.4966008504232
21895,-14.1409744262695
21894,-12.4942459106445
21893,-12.7651173909505
21892,-21.1551930745442
21891,-15.4768788655599
21890,-21.2465881347656
21889,-13.2338394165039
21888,-22.3643173217773
21887,-15.4794576009114
21886,-13.050629679362
21885,-13.7185424804687
21884,-14.159885152181
21883,-14.9702870686849
21882,-21.2439000447591
21881,-15.6212371826172
21880,-13.8102274576823
21879,-15.4623448689778
21878,-14.65794728597
21877,-13.0189041137695
21876,-13.1644653320312
21875,-16.0603444417317
21874,-19.5244252522786
21873,-15.3979731241862
21872,-15.3528783162435
21871,-12.9505828857422
21870,-12.6413253784179
21869,-17.1914962768554
21868,-14.3205118815104
21867,-11.8890340169271
21866,-14.029773457845
21865,-14.3133046468099
21864,-12.8308776855469
21863,-14.1856852213541
21862,-14.0924133300781
21861,-12.8845275878906
21860,-16.848486328125
21859,-14.0294682820638
21858,-11.6898356119791
21857,-15.2698577880859
21856,-16.1408879597982
21855,-13.1342300415039
21854,-11.748892211914
21853,-14.1759094238281
21852,-11.8290390014648
21851,-13.2140436808268
