"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-13.1693277994791
21997,-8.36155802408852
21996,-13.4660095214844
21995,-8.33248494466144
21994,-13.8250895182291
21993,-7.68531901041664
21992,-7.46771850585935
21991,-14.9302988688151
21990,-13.1047322591146
21989,-11.5406758626302
21988,-11.6455444335937
21987,-11.2786315917969
21986,-9.87179158528644
21985,-7.01330159505206
21984,-9.03300577799477
21983,-8.47196044921873
21982,-11.0849060058594
21981,-7.58327840169269
21980,-6.24626261393227
21979,-11.2218790690104
21978,-7.15954182942706
21977,-7.73764648437498
21976,-9.60384724934894
21975,-12.4341084798177
21974,-8.3509582519531
21973,-9.95810546874998
21972,-10.5852111816406
21971,-12.6158508300781
21970,-9.12826131184894
21969,-14.1938639322916
21968,-9.58082682291664
21967,-11.3395955403646
21966,-13.0312459309896
21965,-10.5695353190104
21964,-8.90525919596352
21963,-12.9334777832031
21962,-11.5010131835937
21961,-9.4880432128906
21960,-11.1856750488281
21959,-12.0521199544271
21958,-10.3759928385416
21957,-12.9632222493489
21956,-10.639023844401
21955,-8.92497355143227
21954,-8.48398437499998
21953,-8.46522623697914
21952,-8.8847717285156
21951,-12.0396077473958
21950,-11.5345113118489
21949,-9.85508829752602
21948,-8.70158487955727
21947,-6.04533487955727
21946,-9.37443644205727
21945,-13.5122639973958
21944,-11.4720520019531
21943,-8.40143432617185
21942,-9.55239461263019
21941,-8.44819742838539
21940,-15.2162231445312
21939,-12.2481750488281
21938,-10.5861572265625
21937,-11.2863627115885
21936,-12.6916870117187
21935,-9.35115152994789
21934,-9.39287923177081
21933,-12.1110188802083
21932,-10.7377176920573
21931,-7.02096150716144
21930,-11.4764872233073
21929,-16.2828887939453
21928,-10.042822265625
21927,-9.9552062988281
21926,-11.6680155436198
21925,-8.94076131184894
21924,-7.9827941894531
21923,-11.249853515625
21922,-10.3663899739583
21921,-12.7820088704427
21920,-8.90171915690102
21919,-12.6913411458333
21918,-12.1528584798177
21917,-11.6321472167969
21916,-12.8661254882812
21915,-13.2807881673177
21914,-10.9855305989583
21913,-8.98414713541664
21912,-10.7648579915364
21911,-8.37191365559894
21910,-10.1577412923177
21909,-10.7305460611979
21908,-10.6370808919271
21907,-10.8360046386719
21906,-10.5322733561198
21905,-10.7531799316406
21904,-9.28294474283852
21903,-11.05625
21902,-11.8856567382812
21901,-8.87895304361977
21900,-16.2611806233724
21899,-10.2501993815104
21898,-8.95750528971352
21897,-9.01059570312498
21896,-11.7449605305989
21895,-8.76242675781248
21894,-8.85105997721352
21893,-8.37918701171873
21892,-9.99568277994789
21891,-7.85215861002602
21890,-9.30161132812498
21889,-6.99511311848956
21888,-10.5876932779948
21887,-6.91334635416664
21886,-10.4723266601562
21885,-11.0040751139323
21884,-9.46451416015623
21883,-12.2027038574219
21882,-11.3499206542969
21881,-9.81887410481769
21880,-10.8467671712239
21879,-10.1470296223958
21878,-11.6674357096354
21877,-15.2587137858073
21876,-8.07838541666664
21875,-9.73076985677081
21874,-11.3613444010416
21873,-8.90438435872394
21872,-9.94276529947914
21871,-10.7662007649739
21870,-13.7589680989583
21869,-8.80779622395831
21868,-9.26114501953123
21867,-12.6661844889323
21866,-11.6550964355469
21865,-11.5192525227864
21864,-11.3499715169271
21863,-14.7030598958333
21862,-11.3528401692708
21861,-10.0530354817708
21860,-10.9461324055989
21859,-10.7101908365885
21858,-8.02155151367185
21857,-8.69780069986977
21856,-8.96501261393227
21855,-9.38914591471352
21854,-10.5107177734375
21853,-10.0534016927083
21852,-11.8537963867187
21851,-11.2727823893229
21850,-9.39389648437498
21849,-9.34102986653644
21848,-9.36720377604164
21847,-11.1044067382812
21846,-12.3254760742187
21845,-6.59037882486977
21844,-6.11562703450519
21843,-15.1533111572265
21842,-13.4673116048177
21841,-11.0696573893229
21840,-11.7085021972656
21839,-11.2901062011719
21838,-9.68405761718748
21837,-9.32918904622394
21836,-13.2541259765625
21835,-9.35273844401039
21834,-12.2240356445312
21833,-10.8460144042969
21832,-7.79160156249998
21831,-9.39999999999998
21830,-9.94050699869789
21829,-9.94075113932289
21828,-7.4869445800781
21827,-11.9718383789062
21826,-14.3690602620442
21825,-11.8274597167969
21824,-9.69623413085935
21823,-13.2785196940104
21822,-8.41334635416664
21821,-11.4594889322916
21820,-15.5787414550781
21819,-9.29934285481769
21818,-9.73092244466144
21817,-7.04503987630206
21816,-10.9447896321614
21815,-9.38186238606769
21814,-11.2336181640625
21813,-12.4491536458333
21812,-16.7170064290364
21811,-13.3482828776041
21810,-9.76464436848956
21809,-13.1849527994791
21808,-10.4806884765625
21807,-12.6825927734375
21806,-9.23082071940102
21805,-10.547471110026
21804,-11.9731913248698
21803,-11.8905192057291
21802,-16.8390360514323
21801,-14.2752339680989
21800,-14.5431528727213
21799,-14.181992594401
21798,-14.3606628417969
21797,-12.0297709147135
21796,-9.4038146972656
21795,-12.9823262532552
21794,-10.8545084635416
21793,-13.1121785481771
21792,-12.5693420410156
21791,-11.7139343261719
21790,-9.25002644856769
21789,-16.8156392415364
21788,-11.2147176106771
21787,-7.62059122721352
21786,-11.7104349772135
21785,-9.50749308268227
21784,-12.2438313802083
21783,-13.1433776855469
21782,-11.7048706054687
21781,-8.87754923502602
21780,-12.0378479003906
21779,-11.08017578125
21778,-11.1190755208333
21777,-8.94451497395831
21776,-7.71927490234373
21775,-8.16021321614581
21774,-10.9744425455729
21773,-12.6047627766927
21772,-10.4787455240885
21771,-13.3188232421875
21770,-9.19240926106769
21769,-12.2645629882812
21768,-8.9376281738281
21767,-11.9000508626302
21766,-13.6328287760416
21765,-10.8102986653646
21764,-11.3541524251302
21763,-8.94786173502602
21762,-10.5260782877604
21761,-8.64735514322914
21760,-8.11369425455727
21759,-9.02305704752602
21758,-10.8910481770833
21757,-11.0193644205729
21756,-6.83834431966144
21755,-11.9476379394531
21754,-12.1459309895833
21753,-13.3678853352864
21752,-13.1765604654948
21751,-13.4743306477864
21750,-9.17077229817706
21749,-8.47562255859373
21748,-8.28614908854164
21747,-12.2364766438802
21746,-9.8658508300781
21745,-8.66437377929685
21744,-11.1190144856771
21743,-10.8696248372396
21742,-11.9624287923177
21741,-10.3603881835937
21740,-13.0658223470052
21739,-14.9595194498698
21738,-14.5493123372396
21737,-11.9415547688802
21736,-13.0533711751302
21735,-10.0013081868489
21734,-13.9782368977864
21733,-14.0195882161458
