"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-7.50903422037758
21998,-5.03641357421873
21997,-6.19873402913409
21996,-6.08327077229815
21995,-5.23947499593097
21994,-6.0835250854492
21993,-4.98811950683591
21992,-3.90448099772133
21991,-7.41572545369464
21990,-5.57645263671873
21989,-6.02159983317055
21988,-6.89716949462888
21987,-5.27957763671873
21986,-5.39264017740883
21985,-4.73470408121743
21984,-3.10637512207029
21983,-5.08324279785154
21982,-4.22249704996743
21981,-4.29370473225909
21980,-3.86811167399086
21979,-5.3893849690755
21978,-2.43788503011065
21977,-4.98711751302081
21976,-6.31103871663409
21975,-5.09004058837888
21974,-4.25702260335284
21973,-5.82707061767576
21972,-5.00716501871743
21971,-6.01269124348956
21970,-6.42040354410805
21969,-6.14613444010414
21968,-5.53239796956378
21967,-5.84447326660154
21966,-6.86961212158201
21965,-5.64484507242836
21964,-5.31771189371743
21963,-6.61124267578123
21962,-5.53802337646482
21961,-5.24059906005857
21960,-5.16061503092446
21959,-5.57977650960284
21958,-5.10128377278644
21957,-5.40675710042315
21956,-4.56395568847654
21955,-3.60381927490232
21954,-3.49668223063149
21953,-4.44213460286456
21952,-4.77909952799477
21951,-6.02865447998045
21950,-6.26196645100909
21949,-4.63892974853513
21948,-5.08618520100909
21947,-4.56005706787107
21946,-5.42832285563149
21945,-7.49973907470701
21944,-5.65967915852862
21943,-4.59512685139972
21942,-5.85370992024737
21941,-5.701030476888
21940,-7.82401631673175
21939,-5.7252741495768
21938,-5.57367553710935
21937,-5.62702026367185
21936,-6.1029113769531
21935,-5.08579355875649
21934,-5.28016510009763
21933,-7.19582722981769
21932,-4.47603963216144
21931,-4.40788879394529
21930,-6.16207478841144
21929,-6.35742416381834
21928,-5.17650705973305
21927,-5.76694081624347
21926,-4.42296193440753
21925,-4.23362070719399
21924,-4.51420186360675
21923,-6.04003753662107
21922,-6.60859273274737
21921,-4.4938771565755
21920,-4.57963155110675
21919,-6.564800008138
21918,-6.654643758138
21917,-6.27384796142576
21916,-5.70874125162758
21915,-6.51999257405597
21914,-6.75006968180336
21913,-5.53506062825519
21912,-5.55665181477862
21911,-4.76119842529295
21910,-6.20619303385414
21909,-6.43733317057289
21908,-7.28681030273435
21907,-5.9717086791992
21906,-6.12230275472003
21905,-5.26486562093097
21904,-5.5716842651367
21903,-5.74484100341795
21902,-4.94375203450519
21901,-5.67495829264321
21900,-6.74394200642901
21899,-5.52232716878253
21898,-3.91038614908852
21897,-5.53978068033852
21896,-5.9643844604492
21895,-5.78654581705727
21894,-5.37768656412758
21893,-4.47482910156248
21892,-4.43528594970701
21891,-4.46309000651039
21890,-5.07222849527993
21889,-4.38634338378904
21888,-5.5263249715169
21887,-4.20667877197263
21886,-5.5472956339518
21885,-5.79170074462888
21884,-4.65690968831378
21883,-6.24852854410805
21882,-4.19475402832029
21881,-5.2713200887044
21880,-6.05876261393227
21879,-5.08414052327472
21878,-6.33845113118487
21877,-5.82642720540362
21876,-5.40385793050128
21875,-5.11613057454425
21874,-5.07116546630857
21873,-5.1627487182617
21872,-4.31413116455076
21871,-6.54334360758461
21870,-6.15899505615232
21869,-5.80236155192055
21868,-6.46392923990883
21867,-6.34707997639972
21866,-6.165630086263
21865,-6.5539840698242
21864,-7.15498453776039
21863,-5.99670766194659
21862,-5.09424692789711
21861,-4.92404276529946
21860,-5.43647867838539
21859,-5.8497858683268
21858,-4.64384816487628
21857,-5.03223520914711
21856,-5.23423614501951
21855,-5.41165771484373
21854,-6.18394317626951
21853,-5.1356999715169
21852,-6.47836914062498
21851,-5.32683919270831
21850,-5.1765680948893
21849,-4.85445760091144
21848,-5.25275268554685
21847,-5.41960245768227
21846,-5.58370819091795
21845,-3.19888916015623
21844,-6.06484196980792
21843,-7.5134338378906
21842,-6.95520375569659
21841,-6.32532857259112
21840,-5.87980753580727
21839,-5.23483378092446
21838,-6.55300496419269
21837,-5.68139241536456
21836,-6.74378814697263
21835,-5.78087209065753
21834,-5.10210011800128
21833,-5.07161051432289
21832,-3.78437906901039
21831,-4.41324208577472
21830,-5.02978363037107
21829,-5.11651967366534
21828,-4.74869639078774
21827,-6.23529408772784
21826,-6.0046562194824
21825,-5.09005584716795
21824,-6.17582295735675
21823,-5.13922475179034
21822,-4.71531524658201
21821,-7.11418507893878
21820,-4.84245656331378
21819,-5.51978912353513
21818,-3.01420694986977
21817,-5.28298288981118
21816,-4.74938303629555
21815,-4.60094553629555
21814,-6.35469919840493
21813,-6.92072143554685
21812,-7.0836471557617
21811,-6.15067901611326
21810,-5.3373601277669
21809,-6.40149281819659
21808,-5.21538391113279
21807,-6.3684880574544
21806,-3.99994761149086
21805,-5.48668009440102
21804,-5.69867299397784
21803,-6.75569763183591
21802,-9.16814778645831
21801,-6.84820404052732
21800,-7.95941899617511
21799,-7.13193359374998
21798,-7.18385162353513
21797,-5.6266667683919
21796,-6.01670684814451
21795,-5.98680979410805
21794,-6.28879140218097
21793,-6.4285466512044
21792,-7.8494565327962
21791,-5.47338205973305
21790,-7.29920806884763
21789,-8.35894877115883
21788,-6.41665242513019
21787,-5.14777221679685
21786,-6.35725250244138
21785,-6.13807525634763
21784,-8.06546885172524
21783,-6.27252553304034
21782,-7.08170928955076
21781,-5.03754018147784
21780,-5.00675557454425
21779,-5.9423405965169
21778,-4.89580383300779
21777,-3.36742248535154
21776,-3.76838785807289
21775,-4.93611246744789
21774,-6.0151428222656
21773,-5.11789550781248
21772,-5.38360188802081
21771,-6.16932271321612
21770,-4.88176574707029
21769,-7.18671264648435
21768,-4.52316131591795
21767,-5.82785135904946
21766,-7.01015574137368
21765,-4.64562072753904
21764,-5.42821604410805
21763,-5.10488484700519
21762,-4.826030476888
21761,-3.82917124430336
21760,-4.7692448933919
21759,-4.50265858968097
21758,-5.3342091878255
21757,-4.24012349446612
21756,-4.26259969075519
21755,-5.40323232014972
21754,-6.11092224121091
21753,-5.77940979003904
21752,-7.61225738525388
21751,-5.89090830485024
21750,-3.84496663411456
21749,-4.80429941813149
21748,-4.87141011555987
21747,-6.52687683105466
21746,-5.18103383382159
21745,-5.11117146809894
21744,-6.54652760823565
21743,-5.4980529785156
21742,-5.57063395182289
21741,-6.42163950602211
21740,-7.2721008300781
21739,-7.60210774739581
21738,-7.11104431152341
21737,-6.17872467041013
21736,-6.16351928710935
21735,-5.61888478597003
21734,-7.52929026285805
21733,-7.01154683430987
21732,-4.99398396809894
21731,-4.98479054768878
21730,-4.03791402180987
21729,-5.3053268432617
21728,-7.83622843424477
21727,-7.7356018066406
21726,-5.34750976562498
21725,-7.13050944010414
21724,-5.6149480183919
21723,-5.95773671468097
21722,-5.69084777832029
21721,-6.75282135009763
21720,-5.24908294677732
21719,-6.96093597412107
21718,-5.17777608235675
21717,-6.68326670328774
21716,-5.88164367675779
21715,-6.09556935628253
21714,-5.6955856323242
21713,-6.13065694173175
21712,-5.62484588623045
21711,-6.52836710611977
21710,-5.58980662027993
21709,-6.77560526529946
21708,-7.96796773274737
21707,-5.22241058349607
21706,-5.56433207194008
21705,-5.08897501627602
21704,-6.2589909871419
21703,-7.05628306070961
21702,-5.88116302490232
21701,-4.79095052083331
21700,-6.9762252807617
21699,-7.32207336425779
21698,-7.16798756917315
21697,-4.77039947509763
21696,-4.79899444580076
21695,-5.48937327067055
21694,-4.69755401611326
21693,-4.59680023193357
21692,-4.30291595458982
21691,-5.68794097900388
21690,-4.74799957275388
21689,-4.91016489664711
21688,-5.13537953694659
21687,-5.45817159016925
21686,-4.81676330566404
21685,-6.12024027506508
21684,-4.40133514404295
21683,-6.08032328287758
21682,-5.47853190104164
21681,-6.90154622395831
21680,-6.18148396809894
21679,-5.62415415445961
21678,-4.8158503214518
21677,-5.47478078206378
21676,-4.64958801269529
21675,-6.09258880615232
21674,-6.10285542805987
21673,-5.17547454833982
21672,-5.21996154785154
21671,-5.00595194498696
21670,-6.00604095458982
21669,-5.3089889526367
21668,-5.54326477050779
21667,-5.5660944620768
21666,-6.24261067708331
21665,-4.7341369628906
21664,-5.00166422526039
21663,-5.48542887369789
21662,-4.996196492513
21661,-7.56025288899737
21660,-7.55107472737628
21659,-5.33169911702472
21658,-5.80588378906248
21657,-7.20272038777667
21656,-5.18583780924477
21655,-4.28693237304685
21654,-5.1442932128906
21653,-4.56226704915362
21652,-5.37114308675128
21651,-5.70797322591144
21650,-5.18938802083331
21649,-5.75075124104815
21648,-5.99331003824868
21647,-5.11278381347654
21646,-5.83977864583331
21645,-6.13818206787107
21644,-6.26841074625649
21643,-5.17755737304685
21642,-3.56122182210284
21641,-5.55698242187498
21640,-4.52336730957029
21639,-5.23660380045571
21638,-5.79943440755206
21637,-5.30807851155597
21636,-5.05308380126951
21635,-5.28954671223956
21634,-3.6218068440755
21633,-4.19031117757159
21632,-6.83576049804685
21631,-5.05577189127602
21630,-4.29465077718097
21629,-6.61615600585935
21628,-6.2845748901367
21627,-4.51589050292966
21626,-4.40310770670571
21625,-5.04121500651039
21624,-3.58054199218748
21623,-5.39710845947263
21622,-5.55254211425779
21621,-6.01470794677732
21620,-5.43841145833331
21619,-6.73391316731769
21618,-5.56691335042315
21617,-6.3512761433919
21616,-5.654399617513
21615,-5.51373138427732
21614,-5.9583801269531
21613,-4.66494344075519
21612,-5.43137207031248
21611,-4.46646474202472
21610,-5.06729990641274
21609,-5.46958007812498
21608,-4.70958557128904
21607,-5.53125101725258
21606,-5.52841288248696
21605,-4.82618560791013
21604,-6.38807779947914
21603,-8.08507258097328
21602,-5.12050984700519
21601,-7.46413523356118
21600,-4.71472269694008
21599,-5.82197163899737
21598,-5.1503712972005
21597,-5.81777038574216
21596,-4.46892140706378
21595,-6.90153096516925
21594,-5.03486862182615
21593,-5.09212595621743
21592,-6.2865051269531
21591,-5.88034667968748
21590,-4.09600677490232
