"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-6.0585006713867
21997,-4.65263214111326
21996,-6.95438995361326
21995,-4.79040374755857
21994,-7.12345225016274
21993,-4.4068664550781
21992,-4.05220133463539
21991,-6.47939529418943
21990,-6.45237070719399
21989,-5.04195505777993
21988,-6.99426625569659
21987,-5.66952107747394
21986,-5.76906178792315
21985,-4.75409291585284
21984,-4.29139048258461
21983,-3.89433644612628
21982,-4.9597966512044
21981,-3.51693318684894
21980,-3.80593210856118
21979,-6.01728668212888
21978,-2.84468180338539
21977,-3.7077214558919
21976,-5.49888712565102
21975,-6.13778788248696
21974,-4.11137746175128
21973,-5.56927337646482
21972,-5.91188659667966
21971,-5.50031890869138
21970,-5.44641469319659
21969,-6.84532267252602
21968,-5.64617513020831
21967,-5.6119674682617
21966,-7.01110687255857
21965,-5.82412821451821
21964,-4.8147771199544
21963,-6.66161193847654
21962,-6.36481577555336
21961,-4.90316365559894
21960,-5.36891276041664
21959,-5.69109954833982
21958,-4.51637115478513
21957,-6.22150268554685
21956,-4.45689239501951
21955,-4.17567799886065
21954,-3.06895548502602
21953,-4.22467905680336
21952,-4.40526428222654
21951,-5.66376597086586
21950,-6.01783345540362
21949,-5.43939056396482
21948,-5.10170593261716
21947,-4.221782430013
21946,-5.19219055175779
21945,-7.7333791097005
21944,-5.65898742675779
21943,-5.07050170898435
21942,-5.46653086344399
21941,-5.01105346679685
21940,-7.77956746419269
21939,-6.52487538655597
21938,-5.5873346964518
21937,-5.61140034993487
21936,-6.06281127929685
21935,-5.61059672037758
21934,-5.07892964680987
21933,-6.04004262288409
21932,-5.6584279378255
21931,-3.95849202473956
21930,-5.96199137369789
21929,-7.26894607543943
21928,-4.70836232503253
21927,-5.71989542643227
21926,-5.03844807942706
21925,-3.89374135335284
21924,-4.39314117431638
21923,-5.49411366780597
21922,-6.26524454752602
21921,-6.06496531168618
21920,-3.87904459635414
21919,-6.59949595133461
21918,-6.21927998860675
21917,-6.29649709065753
21916,-5.65462595621743
21915,-6.09598897298175
21914,-6.89343109130857
21913,-5.73042144775388
21912,-6.06796874999998
21911,-4.6665100097656
21910,-5.90219217936196
21909,-6.46120554606118
21908,-6.37947692871091
21907,-6.80034484863279
21906,-6.67812194824216
21905,-5.39691263834633
21904,-5.36858215332029
21903,-5.33710835774737
21902,-5.47800292968748
21901,-4.68060913085935
21900,-7.52331263224282
21899,-5.05908050537107
21898,-4.92952829996743
21897,-4.79149475097654
21896,-5.42403259277341
21895,-5.83345133463539
21894,-5.50624949137368
21893,-4.75549163818357
21892,-5.07082722981769
21891,-4.16530202229815
21890,-5.47524363199868
21889,-3.59423675537107
