"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-1.66074218749998
21997,-2.28510131835935
21996,-2.25136413574216
21995,-1.84841512044269
21994,-3.01744689941404
21993,-1.2907775878906
21992,-0.933106486002581
21991,-2.7431701660156
21990,-1.72998148600258
21989,-1.32401123046873
21988,-3.30216573079425
21987,-1.40475056966144
21986,-1.57857869466144
21985,-2.1063293457031
21984,-0.699443562825498
21983,-1.91471455891925
21982,-0.972555541992165
21981,-0.534699503580706
21980,-1.17754211425779
21979,-2.49037272135414
21978,-0.211864217122373
21977,-1.82918904622394
21976,-2.09267272949216
21975,-1.0944885253906
21974,-1.19675292968748
21973,-2.47845052083331
21972,-2.49889729817706
21971,-2.04360555013019
21970,-2.32023722330727
21969,-2.57191569010414
21968,-2.30575154622394
21967,-1.33456013997394
21966,-2.64256388346352
21965,-1.19012044270831
21964,-1.77593587239581
21963,-1.91139831542966
21962,-1.85914713541664
21961,-1.85208740234373
21960,-2.08046061197914
21959,-1.2878224690755
21958,-1.13246765136716
21957,-1.63497009277341
21956,-1.44499308268227
21955,-0.738979085286436
21954,-1.04062499999998
21953,-1.139262898763
21952,-1.32103068033852
21951,-1.23443196614581
21950,-1.86693420410154
21949,-1.56543070475258
21948,-2.97374572753904
21947,-1.33535868326821
21946,-1.72144673665362
21945,-3.5567687988281
21944,-1.75824584960935
21943,-1.88632812499998
21942,-2.25052998860675
21941,-1.56875203450519
21940,-2.66635233561196
21939,-2.20754089355466
21938,-2.02627665201821
21937,-1.85685831705727
21936,-2.44003397623696
21935,-2.19097493489581
21934,-2.35263671874998
21933,-2.7193664550781
21932,-1.13210144042966
21931,-1.222026570638
21930,-2.5081848144531
21929,-2.1779846191406
21928,-1.29473470052081
21927,-2.03419596354164
21926,-1.66546223958331
21925,-0.821986897786436
21924,-1.49951273600258
21923,-1.3746398925781
21922,-2.14694824218748
21921,-1.44615783691404
21920,-1.94975382486977
21919,-2.06924540201821
21918,-2.8404602050781
21917,-2.42669270833331
21916,-1.63539225260414
21915,-1.80948994954425
21914,-2.59723002115883
21913,-2.8701232910156
21912,-2.38144022623696
21911,-1.64195861816404
21910,-2.1198537190755
21909,-3.30303548177081
21908,-2.70317179361977
21907,-3.23811950683591
21906,-3.21372070312498
21905,-1.83497212727862
21904,-3.04453124999998
21903,-2.01822509765623
21902,-1.45605570475258
21901,-2.11050008138019
21900,-2.53113911946612
21899,-1.71535339355466
21898,-1.73495585123696
21897,-2.51690775553383
21896,-1.412700398763
21895,-2.7748830159505
21894,-1.33548583984373
21893,-0.956910196940081
21892,-0.803345743815081
21891,-1.23189392089841
21890,-2.89116007486977
21889,-1.42068074544269
21888,-1.82709859212237
21887,-0.958700561523415
21886,-1.63484802246091
21885,-1.354594930013
21884,-0.721029663085915
21883,-1.93351338704425
21882,0.223204549153669
21881,-2.05156555175779
21880,-2.46994628906248
21879,-1.49791564941404
21878,-2.50900370279946
21877,-2.3986623128255
21876,-1.51481730143227
21875,-2.38046366373696
21874,-1.28784281412758
21873,-1.08637084960935
21872,-0.643275960286436
21871,-2.38776245117185
21870,-1.6931213378906
21869,-1.75595703124998
21868,-2.03784281412758
21867,-2.64993387858071
21866,-2.47280476888019
21865,-1.87051493326821
21864,-3.02562052408852
21863,-2.36693929036456
21862,-1.6623596191406
21861,-0.776490275065081
21860,-1.79509582519529
21859,-2.51241149902341
21858,-2.06340128580727
21857,-1.65614929199216
21856,-2.99378560384112
21855,-1.6974904378255
21854,-1.97065836588539
21853,-1.88247273763019
21852,-2.5400451660156
21851,-2.13236592610675
21850,-1.58513488769529
21849,-1.11930440266925
21848,-1.47413736979164
21847,-1.77591044108071
21846,-1.16193237304685
21845,-1.58488057454425
21844,-1.94637145996091
21843,-2.72560729980466
21842,-3.18657023111977
21841,-1.88154703776039
21840,-1.05002441406248
21839,-2.59187927246091
21838,-3.92136230468748
21837,-2.09981892903644
21836,-1.7507385253906
21835,-2.43312174479164
21834,-1.85518493652341
21833,-1.64261983235675
21832,-1.04484659830727
21831,-1.32432657877602
21830,-0.793371582031227
21829,-2.32935689290362
21828,-1.18212483723956
21827,-3.14940490722654
21826,-1.60716857910154
21825,-1.0140441894531
21824,-1.59718933105466
21823,-1.09579569498696
21822,-1.06100056966144
21821,-2.19974365234373
21820,-0.967855834960915
21819,-2.31733805338539
21818,-0.118673706054665
21817,-1.22548014322914
21816,-1.39399312337237
21815,-1.68174845377602
21814,-2.99476216634112
21813,-2.41381937662758
21812,-1.58428548177081
21811,-1.72330830891925
21810,-1.78030497233071
21809,-2.50776774088539
21808,-1.81611735026039
21807,-2.17743530273435
21806,-0.982692464192686
21805,-1.41767476399737
21804,-2.14358113606769
21803,-2.18149414062498
21802,-4.91772562662758
21801,-2.38811848958331
21800,-3.16998392740883
21799,-2.80811665852862
21798,-3.44789733886716
21797,-2.33444315592446
21796,-1.88864746093748
21795,-1.78990783691404
21794,-2.3306945800781
21793,-2.60306396484373
21792,-3.54064534505206
21791,-2.00140482584633
21790,-2.64711608886716
21789,-3.66856486002602
21788,-2.21576029459633
21787,-2.48869934082029
21786,-2.27242126464841
21785,-2.89875895182289
21784,-3.45327860514321
21783,-2.44486592610675
21782,-3.14789937337237
21781,-1.35506795247394
21780,-1.91340230305987
21779,-1.63559061686196
21778,-1.59999694824216
21777,-0.751791381835915
21776,-0.732636515299456
21775,-1.6105763753255
21774,-2.15370788574216
21773,-1.30925089518227
21772,-1.55699259440102
21771,-2.13769632975258
21770,-0.729269409179665
21769,-3.44534403483071
21768,-1.07665100097654
21767,-1.80462748209633
21766,-1.96432596842446
21765,-0.63023986816404
21764,-1.98090718587237
21763,-1.07853800455727
21762,-1.68681945800779
21761,-1.40614420572914
21760,-1.40311279296873
21759,-1.01664835611977
21758,-1.74751892089841
21757,-1.06327921549477
21756,-1.05740458170571
21755,-1.25719807942706
21754,-1.27674458821612
21753,-1.35988972981769
21752,-3.31314188639321
21751,-2.26085510253904
21750,-1.4869445800781
21749,-1.27481689453123
21748,-2.11929423014321
21747,-3.12225443522133
21746,-1.52908935546873
21745,-1.39469502766925
21744,-2.74446716308591
21743,-1.73236694335935
21742,-2.08531290690102
21741,-2.54820353190102
21740,-3.10853678385414
21739,-3.10331319173175
21738,-2.1913869222005
21737,-2.30830485026039
21736,-2.15276184082029
21735,-1.30229288736977
21734,-3.86807861328123
21733,-3.97780456542966
21732,-2.13301696777341
21731,-1.5202443440755
21730,-0.831752522786436
21729,-2.48650716145831
21728,-2.81075642903644
21727,-3.04876302083331
21726,-0.531617228190081
21725,-2.88323567708331
21724,-1.54292399088539
21723,-1.95636596679685
21722,-0.961284383137998
21721,-2.46713867187498
21720,-2.7645324707031
21719,-3.56012064615883
21718,-0.76476135253904
21717,-4.38374938964841
21716,-2.27936401367185
21715,-2.16883951822914
21714,-2.3946594238281
21713,-2.0363830566406
21712,-1.70240885416664
21711,-2.29192199707029
21710,-1.82518107096352
