"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-10.4562591552734
21997,-7.02016296386716
21996,-11.6574157714844
21995,-7.73239237467446
21994,-11.2294576009114
21993,-7.5229553222656
21992,-7.17129618326821
21991,-10.2156204223633
21990,-11.1747599283854
21989,-8.75989888509112
21988,-10.6863667805989
21987,-9.93429158528644
21986,-9.95954488118487
21985,-7.40185648600258
21984,-7.88333740234373
21983,-5.87395833333331
21982,-8.94703776041664
21981,-6.49916687011716
21980,-6.43432210286456
21979,-9.54420064290362
21978,-5.47749938964841
21977,-5.58625386555987
21976,-8.90510152180987
21975,-11.1810872395833
21974,-7.02600199381508
21973,-8.66009623209633
21972,-9.32487589518227
21971,-8.95703226725258
21970,-8.57259216308591
21969,-11.1187296549479
21968,-8.98659871419269
21967,-9.88937479654946
21966,-11.3796498616536
21965,-10.4581359863281
21964,-7.853618367513
21963,-11.4118255615234
21962,-10.8704844156901
21961,-7.95423990885414
21960,-8.65736490885414
21959,-10.0943766276041
21958,-7.9002746582031
21957,-10.8080352783203
21956,-7.46879170735675
21955,-7.61237691243487
21954,-5.09728597005206
21953,-7.31009521484373
21952,-7.48949788411456
21951,-10.0930999755859
21950,-10.1687327067057
21949,-9.31335042317706
21948,-7.22966613769529
21947,-7.10820617675779
21946,-8.66293436686196
21945,-11.9099894205729
21944,-9.55972900390623
21943,-8.25467529296873
21942,-8.68253173828123
21941,-8.45335489908852
21940,-12.8927825927734
21939,-10.8422098795573
21938,-9.14839274088539
21937,-9.36594238281248
21936,-9.68558858235675
21935,-9.03021850585935
21934,-7.80522257486977
21933,-9.36071879069008
21932,-10.1847544352213
21931,-6.69495747884112
21930,-9.41579793294269
21929,-12.3599075317383
21928,-8.12198994954425
21927,-9.40559488932289
21926,-8.41143391927081
21925,-6.96549580891925
21924,-7.28676961263019
21923,-9.61358744303383
21922,-10.3835408528646
21921,-10.6837727864583
21920,-5.80833536783852
21919,-11.129746500651
21918,-9.59809977213539
21917,-10.1663014729817
21916,-9.67385965983071
21915,-10.3824879964192
21914,-11.1896321614583
21913,-8.59071960449216
21912,-9.754497273763
21911,-7.69106140136716
21910,-9.68453063964841
21909,-9.61937561035154
21908,-10.0557820638021
21907,-10.3625701904297
21906,-10.1425231933594
21905,-8.95885314941404
21904,-7.6926330566406
21903,-8.65599161783852
21902,-9.49995015462237
21901,-7.25071818033852
21900,-12.5154861450195
21899,-8.40280761718748
21898,-8.12410074869789
21897,-7.06608174641925
21896,-9.43536478678383
21895,-8.89201965332029
21894,-9.67701314290362
21893,-8.55407307942706
21892,-9.33830871582029
21891,-7.09871012369789
21890,-8.05932718912758
21889,-5.76779276529946
21888,-9.58181864420571
21887,-7.86939595540362
21886,-8.88941548665362
21885,-9.85861816406248
21884,-9.05726216634112
21883,-10.3132436116536
21882,-9.46186421712237
21881,-8.50106404622394
21880,-9.68701273600258
21879,-8.43331502278644
21878,-9.58996683756508
21877,-11.5204833984375
21876,-6.12845458984373
21875,-8.9680236816406
21874,-9.32906188964841
21873,-9.00825093587237
21872,-7.58478902180987
21871,-9.28448588053383
21870,-12.4184580485026
21869,-8.92511596679685
21868,-9.3112599690755
21867,-11.8561360677083
21866,-11.1326456705729
21865,-9.39898783365883
21864,-10.4132904052734
21863,-11.7625233968099
21862,-8.45214945475258
21861,-8.42259318033852
21860,-9.55815226236977
21859,-9.54585367838539
21858,-7.69249064127602
21857,-8.1896779378255
21856,-7.98373514811196
21855,-7.53118489583331
