"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-18.8678624471028
21998,-16.0855087280273
21997,-18.1898559570312
21996,-18.2260714213053
21995,-19.7739878336588
21994,-18.8398473103841
21993,-17.7881950378418
21992,-17.0172688802083
21991,-18.5576143900553
21990,-19.1690366109212
21989,-20.274516805013
21988,-19.2695233662923
21987,-17.1839063008626
21986,-17.9699246724446
21985,-14.7231315612793
21984,-14.4504010518392
21983,-17.9593427022298
21982,-16.8493815104166
21981,-19.9195109049479
21980,-20.0899045308431
21979,-18.275545501709
21978,-16.5489969889323
21977,-18.3500974019368
21976,-19.4520184834798
21975,-17.9615247090657
21974,-17.850075785319
21973,-19.1113100687663
21972,-18.737584177653
21971,-19.1430114746094
21970,-21.4118548075358
21969,-20.0740557352702
21968,-17.5659520467122
21967,-19.5632372538248
21966,-18.4905672709147
21965,-18.0022707621256
21964,-17.8835395812988
21963,-18.771036529541
21962,-15.8420954386393
21961,-16.6561594645182
21960,-19.5758804321289
21959,-18.2439509073893
21958,-21.6854766845703
21957,-17.9252901713053
21956,-18.1698059082031
21955,-16.1972717285156
21954,-16.0747004191081
21953,-18.3326858520508
21952,-17.5287307739258
21951,-17.7777936299642
21950,-19.1279955546061
21949,-16.6955373128255
21948,-16.9223147074381
21947,-18.0289393107096
21946,-19.1475509643554
21945,-20.094714864095
21944,-19.0457366943359
21943,-16.8853833516439
21942,-17.5629015604655
21941,-18.2415540059407
21940,-22.1108866373698
21939,-18.7442687988281
21938,-17.9130615234375
21937,-17.2312708536784
21936,-16.7322448730469
21935,-18.8257062276204
21934,-19.0337292989095
21933,-20.899636332194
21932,-17.2085352579752
21931,-19.7370780944824
21930,-19.3925066630045
21929,-18.3605242411295
21928,-18.0404126485189
21927,-17.7643315633138
21926,-16.2442726135254
21925,-17.4008608500163
21924,-17.3078903198242
21923,-17.9160535176595
21922,-18.6714207967122
21921,-17.2562723795573
21920,-18.2039004007975
21919,-19.5745071411133
21918,-19.3060465494791
21917,-19.1689310709635
21916,-18.3248860677083
21915,-18.7497784932454
21914,-20.919105275472
21913,-17.5525510152181
21912,-18.7260676066081
21911,-17.5595904032389
21910,-20.5664237976074
21909,-19.2111902872721
21908,-19.5076265970866
21907,-17.9891927083333
21906,-16.9600967407226
21905,-17.8188245137532
21904,-17.587920888265
21903,-19.6279040018717
21902,-18.5288884480794
21901,-18.6568397521972
21900,-18.8138031005859
21899,-17.1039451599121
21898,-16.9853881835937
21897,-18.2592859903971
21896,-16.8606590270996
21895,-19.4595296223958
21894,-17.1120971679687
21893,-15.9982182820638
21892,-17.0463546752929
21891,-17.5689707438151
21890,-17.3693412780761
21889,-19.5580289204915
21888,-19.8860649108886
21887,-17.5855951944987
21886,-18.3039166768392
21885,-19.1220242818196
21884,-20.3804484049479
21883,-18.9022989908854
21882,-17.0459706624349
21881,-18.5790364583333
21880,-20.1618230183919
21879,-19.763218943278
21878,-20.9388323465983
21877,-18.442672475179
21876,-19.6284253438314
21875,-19.0001014709472
21874,-16.0956736246745
21873,-17.3346860249837
21872,-18.6563438415527
21871,-20.3074261983235
21870,-18.3899177551269
21869,-18.5148020426432
21868,-20.0352297465006
21867,-21.1854970296224
21866,-17.5322491963704
21865,-19.5907323201497
21864,-20.7674100240071
21863,-18.3745915730794
21862,-16.7500239054362
21861,-18.8557545979817
