"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-30.2579355875651
21997,-25.2360290527344
21996,-32.1086385091146
21995,-29.363150024414
21994,-37.6501881917318
21993,-25.9632934570312
21992,-31.0198577880859
21991,-34.6338511149088
21990,-32.6555287679036
21989,-32.3924519856771
21988,-33.5598510742187
21987,-28.0210428873698
21986,-26.1563273111979
21985,-23.2010101318359
21984,-26.1672526041666
21983,-27.7587748209635
21982,-28.2969421386719
21981,-28.039165242513
21980,-32.9174967447916
21979,-35.7459879557291
21978,-28.2816833496094
21977,-29.6993774414062
21976,-27.6618916829427
21975,-29.364848836263
21974,-28.8321899414062
21973,-29.7621063232422
21972,-32.6974141438802
21971,-31.8568481445312
21970,-33.3293874104818
21969,-35.3543813069661
21968,-31.8257354736328
21967,-29.8689280192057
21966,-33.8629821777344
21965,-29.6539876302083
21964,-27.9826059977213
21963,-32.2170216878255
21962,-29.0089426676432
21961,-28.3726053873698
21960,-32.1292887369791
21959,-29.3900868733724
21958,-33.4066782633463
21957,-34.3541219075521
21956,-34.1305704752604
21955,-27.3058532714844
21954,-31.4741577148437
21953,-28.707373046875
21952,-30.9738118489583
21951,-30.529892985026
21950,-29.4809936523437
21949,-28.6149302164713
21948,-29.8156087239583
21947,-26.5335957845052
21946,-31.7372650146484
21945,-34.8710032145182
21944,-32.1754618326823
21943,-31.1434692382812
21942,-25.3235382080078
21941,-27.4906728108724
21940,-36.0390584309896
21939,-31.4691375732422
21938,-34.6981618245443
21937,-28.204209391276
21936,-31.8137471516927
21935,-26.2940785725911
21934,-29.3034881591797
21933,-32.9313008626302
21932,-28.7963826497396
21931,-28.7921457926432
21930,-33.7998311360677
21929,-33.1140248616536
21928,-32.1325439453125
21927,-27.0460774739583
21926,-30.2663075764974
21925,-28.404409790039
21924,-26.8093322753906
21923,-32.6662760416666
21922,-27.1759145100911
21921,-34.731548055013
21920,-32.6580312093099
21919,-32.7114674886068
21918,-32.6036692301432
21917,-31.6919413248698
21916,-32.5934611002604
21915,-31.6625783284505
21914,-32.3207967122396
21913,-29.3022928873698
21912,-31.4267486572265
21911,-26.2643086751302
21910,-28.3284108479817
21909,-34.7221181233724
21908,-31.1228749593099
21907,-31.6356465657552
21906,-29.255962117513
21905,-28.0731618245442
21904,-31.0143646240234
21903,-29.9069122314453
21902,-35.23837890625
21901,-31.3131469726562
21900,-36.5358540852864
21899,-28.2547821044922
21898,-26.7656514485677
21897,-26.9064646402995
21896,-31.6271169026692
21895,-29.5793365478515
21894,-28.390478515625
21893,-24.3024861653646
21892,-28.2330078125
21891,-31.3601898193359
21890,-30.5046447753906
21889,-26.2520914713541
21888,-33.0012268066406
21887,-27.8032643636067
21886,-26.9629374186198
21885,-30.9784505208333
21884,-31.9878245035807
21883,-31.5391296386719
21882,-29.9423736572265
21881,-28.8408620198567
21880,-34.5607106526693
21879,-31.7681437174479
21878,-35.3167226155599
21877,-39.594091796875
21876,-30.4699005126953
21875,-33.981064860026
21874,-28.5635284423828
21873,-27.9405629475911
21872,-31.6894439697265
21871,-30.2982340494791
21870,-36.5663920084635
21869,-25.2722635904948
21868,-27.7477834065755
21867,-41.4842692057291
