"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-25.5795247395833
21997,-24.416606648763
21996,-26.8960454305013
21995,-27.2266143798828
21994,-32.3029769897461
21993,-24.0812235514323
21992,-27.0203435262044
21991,-26.5978149414062
21990,-27.7230387369791
21989,-27.1456944783528
21988,-30.5126352945963
21987,-25.9088500976562
21986,-25.3420089721679
21985,-24.6038319905599
21984,-22.4444463094075
21983,-22.5356608072916
21982,-25.6160008748372
21981,-25.4168100992838
21980,-30.6606684366862
21979,-30.2420639038086
21978,-23.4526123046875
21977,-24.070046488444
21976,-25.825422668457
21975,-27.6808685302734
21974,-25.094211324056
21973,-27.592881266276
21972,-28.5716283162435
21971,-28.1541758219401
21970,-28.7309326171875
21969,-31.6557932535807
21968,-27.0312154134114
21967,-26.0418736775716
21966,-31.4994262695312
21965,-26.4796203613281
21964,-25.0824111938476
21963,-27.7517913818359
21962,-28.1892278035482
21961,-24.3080505371094
21960,-25.6397537231445
21959,-27.5113688151041
21958,-29.1585194905599
21957,-32.0268870035807
21956,-27.828227742513
21955,-24.3196624755859
21954,-23.349956258138
21953,-24.7149058024088
21952,-27.810036722819
21951,-27.6471771240234
21950,-26.1789052327474
21949,-26.4070622762044
21948,-25.6115020751953
21947,-24.9324579874674
21946,-29.9427093505859
21945,-29.5004155476888
21944,-28.2500391642252
21943,-27.2580551147461
21942,-23.3117660522461
21941,-24.5931813557942
21940,-31.9843760172526
21939,-30.4205459594726
21938,-29.8203592936198
21937,-23.75853322347
21936,-26.8974695841471
21935,-26.0864725748698
21934,-26.5743087768554
21933,-29.3316253662109
21932,-27.0178131103515
21931,-26.0089502970377
21930,-30.0763687133789
21929,-28.0742757161458
21928,-27.0153818766276
21927,-26.8161071777344
21926,-24.7750813802083
21925,-23.6161687215169
21924,-24.6970021565755
21923,-27.5264623006185
21922,-24.4832163492838
21921,-29.8918568929036
21920,-25.5376215616862
21919,-28.490092976888
21918,-28.4168024698893
21917,-28.1984771728515
21916,-27.0479187011719
21915,-28.6186431884765
21914,-30.020859781901
21913,-27.5575266520182
21912,-28.2934529622396
21911,-24.7059743245442
21910,-27.2027699788411
21909,-31.5021779378255
21908,-28.3250513712565
21907,-27.6540842692057
21906,-24.8561564127604
21905,-23.8101816813151
21904,-26.812846883138
21903,-25.248892211914
21902,-29.7179194132487
21901,-25.9342915852864
21900,-30.5431223551432
21899,-24.1870051066081
21898,-24.7362172444661
21897,-24.0418050130208
21896,-27.5139144897461
21895,-25.4175094604492
21894,-27.7141733805338
21893,-22.6935638427734
21892,-25.3028244018554
21891,-27.7708038330078
21890,-26.5651306152344
21889,-22.7173243204752
21888,-30.9953776041666
21887,-27.5499252319336
21886,-26.5690266927083
21885,-27.547221883138
21884,-29.8637222290039
21883,-29.7655726114909
21882,-26.8616978963216
21881,-26.2410669962565
21880,-29.1406997680664
21879,-27.717148844401
21878,-30.9339635213216
21877,-31.5861317952474
21876,-25.4266240437825
21875,-30.3344304402669
21874,-23.7142852783203
21873,-24.5778233846028
21872,-26.8636408487956
21871,-27.447607421875
21870,-31.860578918457
21869,-25.9462926228841
21868,-26.6728805541992
21867,-34.9226643880208
21866,-28.5844024658203
21865,-26.6635065714518
21864,-29.8211858113607
21863,-30.5877822875976
21862,-26.7132019042969
21861,-22.6846018473307
21860,-30.4902862548828
21859,-26.5516621907552
21858,-28.5576080322265
21857,-25.958598836263
21856,-23.3374923706054
21855,-23.0069895426432
21854,-28.6688573201497
21853,-28.2335571289062
21852,-29.6517471313476
21851,-26.6274169921875
21850,-25.2191909790039
21849,-29.6942479451497
21848,-27.675644938151
