"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-50.4526936848958
21997,-49.5225891113281
21996,-50.3359283447265
21995,-49.0686452229818
21994,-53.060400390625
21993,-49.4891520182291
21992,-50.804062906901
21991,-51.1795867919922
21990,-49.0232503255208
21989,-50.6721659342448
21988,-51.5777191162109
21987,-53.0103973388672
21986,-51.3269256591797
21985,-50.8752960205078
21984,-49.9599365234375
21983,-50.9551656087239
21982,-51.622661336263
21981,-51.481787109375
21980,-49.7759358723958
21979,-51.6857716878255
21978,-51.7418884277344
21977,-51.154389444987
21976,-52.3023183186849
21975,-52.9787353515625
21974,-49.7376108805338
21973,-50.3134521484375
21972,-48.2606872558594
21971,-49.4685017903646
21970,-50.7961181640625
21969,-50.3391377766927
21968,-48.6820129394531
21967,-50.7921763102213
21966,-52.4657908121745
21965,-52.2394114176432
21964,-51.661734008789
21963,-51.9728454589844
21962,-51.9626881917318
21961,-55.1396392822265
21960,-49.2065592447916
21959,-52.7236592610677
21958,-50.9379587809245
21957,-53.699321492513
21956,-52.9018056233724
21955,-49.4777435302734
21954,-49.5920420328776
21953,-49.6161509195963
21952,-47.2780670166015
21951,-53.3596048990885
21950,-51.5879069010416
21949,-50.1449289957682
21948,-47.9259094238281
21947,-49.7442637125651
21946,-46.8097646077474
21945,-52.5577351888021
21944,-51.002788289388
21943,-51.9919240315755
21942,-50.5626739501953
21941,-49.0314392089844
21940,-52.8203898111979
21939,-49.1771453857422
21938,-51.8119415283203
21937,-55.9132446289062
21936,-50.2544464111328
21935,-54.259380086263
21934,-52.7713989257812
21933,-50.7865102132161
21932,-50.881704711914
21931,-50.0757405598958
21930,-49.7370208740234
21929,-51.8654439290364
21928,-51.2430735270182
21927,-55.2684336344401
21926,-52.5028594970703
21925,-53.4825907389323
21924,-48.7931528727213
21923,-52.1290700276693
21922,-54.1027486165364
21921,-51.3999491373698
21920,-51.707627360026
21919,-52.8381713867187
21918,-50.8783121744791
21917,-52.3317932128906
21916,-52.3668935139974
21915,-53.2846740722656
21914,-53.0853535970052
21913,-52.851416015625
21912,-51.922221883138
21911,-52.3105580647786
21910,-50.3194132486979
21909,-49.1532653808594
21908,-50.1970733642578
21907,-54.0712290445963
21906,-52.6625783284505
21905,-53.0473490397135
21904,-47.9032755533854
21903,-51.1858327229818
21902,-53.0342366536458
21901,-54.3614156087239
21900,-50.4657857259114
21899,-52.4321756998698
21898,-54.0217651367187
21897,-53.4866902669271
21896,-50.0354471842448
21895,-56.0483612060547
21894,-52.1924041748047
21893,-51.1106221516927
21892,-52.0279754638672
21891,-49.2372955322265
21890,-51.3286244710286
21889,-52.2647766113281
21888,-51.4874786376953
21887,-50.2514404296875
21886,-53.6999420166015
21885,-52.395132446289
21884,-53.2087259928385
21883,-48.1237701416015
21882,-53.1815653483073
21881,-51.0557515462239
21880,-50.5902109781901
21879,-50.7752746582031
21878,-50.6266337076823
21877,-56.4100758870443
21876,-51.97763671875
21875,-53.132421875
21874,-52.249609375
21873,-50.5707916259765
21872,-50.3378712972005
21871,-54.5768849690755
21870,-50.2828887939453
21869,-50.4467122395833
21868,-51.6828216552734
21867,-45.3957834879557
21866,-53.4017903645833
21865,-52.3883371988932
21864,-53.7069458007812
21863,-52.9905965169271
21862,-49.2426208496094
21861,-52.7693440755208
21860,-47.2191223144531
21859,-54.1249094645182
21858,-51.8775288899739
21857,-49.1192077636719
21856,-52.3707387288411
21855,-55.8086252848307
21854,-50.8416961669922
21853,-53.9345408121745
21852,-51.9121866861979
21851,-49.8910481770833
21850,-54.4866190592448
21849,-49.8703267415364
21848,-49.137808227539
21847,-52.9301564534505
21846,-51.2810272216797
21845,-50.6531941731771
21844,-50.7361256917318
21843,-51.3686075846354
21842,-54.0901194254557
21841,-56.2386789957682
21840,-54.4959930419922
21839,-50.8512430826823
21838,-52.9719553629557
21837,-52.7879750569661
21836,-55.5839955647786
21835,-52.972504679362
21834,-55.0356811523437
21833,-50.0104075113932
21832,-48.3884694417318
21831,-49.8910583496094
21830,-50.5061299641927
21829,-51.9371602376302
21828,-53.0705373128255
21827,-51.8061482747396
21826,-53.020122273763
21825,-50.534033203125
21824,-52.0840616861979
21823,-49.4000254313151
21822,-48.7699442545573
21821,-51.3565175374349
21820,-52.2763631184896
21819,-52.9021260579427
21818,-49.8230092366536
21817,-51.6490488688151
21816,-52.2344624837239
21815,-51.827490234375
21814,-52.7650360107422
21813,-51.9723622639974
21812,-51.404155476888
21811,-50.3478098551432
21810,-51.5757253011068
21809,-49.5710968017578
21808,-52.7412729899088
21807,-49.9601094563802
21806,-53.4872701009114
21805,-54.1700805664062
21804,-50.5321767171224
21803,-53.9009969075521
21802,-55.3872334798177
21801,-54.7781433105469
21800,-51.8046478271484
21799,-53.5196187337239
21798,-48.4173238118489
21797,-52.8324442545573
21796,-55.0090393066406
21795,-52.2737996419271
21794,-53.0385142008463
21793,-50.9018208821614
21792,-53.2093566894531
21791,-54.4267893473307
21790,-51.2666076660156
21789,-50.8978586832682
21788,-50.8422353108724
21787,-52.767680867513
21786,-54.4924021402995
21785,-51.2588205973307
21784,-50.5482187906901
21783,-53.1645263671875
21782,-52.364121500651
21781,-50.1544657389323
21780,-51.5871897379557
21779,-55.7252817789713
21778,-55.1334696451823
21777,-55.455908203125
21776,-52.4911712646484
21775,-48.1776336669922
21774,-53.1884572347005
21773,-55.7509368896484
21772,-53.3762522379557
21771,-47.2848876953125
21770,-51.4368398030599
