"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-19.8151204427083
21998,-19.9047353108724
21997,-19.1282155354817
21996,-20.7192036946614
21995,-20.8161529541015
21994,-21.3743448893229
21993,-19.6715403238932
21992,-19.8947916666666
21991,-20.5947835286458
21990,-21.8973856608073
21989,-20.1756856282552
21988,-19.4539296468099
21987,-19.8459431966146
21986,-20.967886352539
21985,-20.970566813151
21984,-18.3669443766276
21983,-19.2206024169922
21982,-20.4834503173828
21981,-19.5262664794922
21980,-19.6021128336588
21979,-20.5349538167317
21978,-19.5094716389974
21977,-21.2033905029297
21976,-19.9707499186198
21975,-22.155132039388
21974,-21.1015533447265
21973,-20.5813608805338
21972,-20.8552968343099
21971,-20.4640055338541
21970,-20.0436564127604
21969,-20.0762440999349
21968,-20.7447469075521
21967,-19.6938028971354
21966,-20.1729390462239
21965,-21.2361358642578
21964,-19.8728291829427
21963,-19.7969319661458
21962,-19.9933736165364
21961,-19.5037394205729
21960,-20.2710581461588
21959,-20.0935780843099
21958,-20.7753814697265
21957,-21.6266235351562
21956,-20.0766103108724
21955,-19.8790496826172
21954,-20.6764434814453
21953,-19.3355875651041
21952,-18.177094523112
21951,-20.1342987060547
21950,-20.7673248291015
21949,-19.1149047851562
21948,-19.2987528483073
21947,-18.9850728352864
21946,-20.1531534830729
21945,-20.3544118245442
21944,-21.116567993164
21943,-21.6347666422526
21942,-21.8188741048177
21941,-20.5488087972005
21940,-19.5705373128255
21939,-20.3931996663411
21938,-21.5104125976562
21937,-21.1608489990234
21936,-18.9839436848958
21935,-20.8774627685547
21934,-20.5726582845052
21933,-19.9139923095703
21932,-20.3017791748047
21931,-19.8312286376953
21930,-22.0457773844401
21929,-20.6381032307942
21928,-18.9095062255859
21927,-19.4392659505208
21926,-19.7266143798828
21925,-20.3639892578125
21924,-19.3106343587239
21923,-20.2770446777344
21922,-19.0597696940104
21921,-19.833848063151
21920,-20.1789510091146
21919,-19.913198852539
21918,-21.536734008789
21917,-19.8794464111328
21916,-22.5119028727213
21915,-20.2831125895182
21914,-20.2564860026041
21913,-20.3697926839192
21912,-19.8378407796224
21911,-21.9993194580078
21910,-20.4399220784505
21909,-21.4894724527995
21908,-19.6900950113932
21907,-22.5001688639323
21906,-20.0464385986328
21905,-20.6076975504557
21904,-20.4192311604817
21903,-20.7304901123047
21902,-20.4592549641927
21901,-21.6232055664062
21900,-21.5828460693359
21899,-21.0081288655599
21898,-20.4409545898437
21897,-22.9899149576823
21896,-20.3827117919922
21895,-20.8383392333984
21894,-19.7709767659505
21893,-19.626328531901
21892,-20.3236958821614
21891,-19.3217783610026
21890,-20.0856282552083
21889,-20.4821838378906
21888,-16.6598063151041
21887,-20.9344492594401
21886,-20.4798645019531
21885,-20.0671295166015
21884,-21.2276265462239
21883,-20.5632130940755
21882,-20.8209696451823
21881,-20.9778299967448
21880,-21.52841796875
21879,-19.4415242513021
21878,-18.7849538167317
21877,-20.9060323079427
21876,-19.1895253499349
21875,-18.8999033610026
21874,-20.6292226155599
21873,-19.4564219156901
21872,-20.1569325764974
21871,-20.5441192626953
21870,-20.8556020100911
21869,-19.2133595784505
21868,-19.1245279947916
21867,-19.8451955159505
21866,-20.4326639811198
21865,-20.3923248291015
21864,-20.0688283284505
21863,-19.4548451741536
21862,-19.6535298665364
21861,-19.1724609375
21860,-21.1640635172526
21859,-19.6636159261067
21858,-19.2851572672526
21857,-20.3860636393229
21856,-18.9270589192708
21855,-20.3473114013672
21854,-19.5180521647135
21853,-19.7277842203776
21852,-20.195649210612
21851,-20.3243367513021
21850,-21.168061319987
21849,-18.9866038004557
21848,-19.3253133138021
21847,-21.6655181884765
21846,-20.7701833089192
21845,-20.6569986979166
21844,-19.6386983235677
21843,-19.4264078776041
21842,-20.7650817871094
21841,-21.2115793863932
21840,-19.8022776285807
21839,-21.1421315511067
21838,-21.0547190348307
21837,-20.0763102213541
21836,-20.0449025472005
21835,-20.8994354248047
21834,-17.8346160888672
21833,-20.3950205485026
21832,-21.3107157389323
21831,-20.0619008382161
21830,-19.4730997721354
21829,-17.9985921223958
21828,-21.0169738769531
21827,-20.9482330322265
21826,-19.2309834798177
21825,-20.525015258789
21824,-19.6895050048828
21823,-22.3025268554687
21822,-17.6629852294922
21821,-21.4494181315104
21820,-20.882182820638
21819,-21.7701833089192
21818,-20.6269236246745
21817,-19.6317403157552
21816,-19.4058492024739
21815,-20.180512491862
21814,-20.7439076741536
21813,-19.8296722412109
21812,-20.4291697184245
21811,-19.3145711263021
21810,-21.8133555094401
21809,-20.0674601236979
21808,-19.9399627685547
21807,-19.1315419514974
21806,-20.3311777750651
21805,-20.5541341145833
21804,-19.5407114664713
21803,-21.0442311604817
21802,-20.0418813069661
21801,-20.3069315592448
21800,-19.9218658447265
21799,-19.0713307698567
21798,-21.1486317952474
21797,-20.9752207438151
21796,-20.6978973388672
21795,-20.1043711344401
21794,-21.2397013346354
21793,-19.6848459879557
21792,-21.7080749511719
21791,-20.174424235026
21790,-22.0055399576823
21789,-20.7604431152344
21788,-20.2340504964192
21787,-20.2368835449219
21786,-21.6193247477213
21785,-21.2548024495442
21784,-20.0151021321614
21783,-20.4726267496745
21782,-19.0340688069661
21781,-20.120942179362
21780,-19.9785725911458
21779,-21.5592356363932
21778,-21.3508056640625
21777,-19.9470886230469
21776,-20.1565256754557
21775,-20.4813395182291
21774,-20.5606699625651
21773,-20.3692026774088
21772,-19.580913289388
21771,-21.3228057861328
21770,-20.232290649414
21769,-20.4285542805989
21768,-19.6401936848958
21767,-21.4638122558594
21766,-19.1371571858724
21765,-19.5492360432942
21764,-20.4807800292969
21763,-20.5348571777344
21762,-18.6245890299479
21761,-20.1082010904948
21760,-19.7976389567057
21759,-19.450547281901
21758,-18.70322265625
21757,-19.2548329671224
21756,-20.9001424153646
21755,-19.7281656901041
21754,-19.9656433105469
21753,-20.051372273763
21752,-20.7583119710286
21751,-18.9404459635416
21750,-20.3642028808594
21749,-19.6672526041666
21748,-20.0516977945963
21747,-19.7982340494791
21746,-21.7342997233073
21745,-20.3681243896484
21744,-20.7409627278646
21743,-20.221772257487
21742,-20.8423522949219
21741,-20.5540934244791
21740,-19.5352132161458
21739,-19.7099212646484
21738,-20.4685170491536
21737,-19.6165120442708
21736,-18.830903116862
21735,-18.5668701171875
21734,-20.004263305664
21733,-21.2882191975911
21732,-21.290141805013
21731,-19.2346710205078
21730,-19.2686777750651
21729,-20.3657592773437
21728,-20.6520395914713
21727,-20.2842163085937
21726,-21.6779388427734
21725,-22.5178588867187
21724,-20.7724009195963
21723,-21.6018076578776
21722,-19.3829813639323
21721,-19.6200317382812
21720,-20.2202056884765
21719,-19.618755086263
21718,-20.1537485758463
21717,-18.6435099283854
21716,-21.2803609212239
21715,-19.428818766276
21714,-21.6182312011719
21713,-20.0500701904297
21712,-20.1595926920573
21711,-19.5429748535156
21710,-19.7245646158854
21709,-18.8341990152995
21708,-19.3496358235677
21707,-20.451518758138
21706,-20.9757853190104
21705,-19.5995747884114
21704,-21.3430541992187
21703,-21.6186126708984
21702,-21.0465454101562
21701,-18.9801289876302
21700,-19.6005869547526
21699,-19.6713419596354
21698,-20.382432047526
21697,-20.1717488606771
21696,-21.0282043457031
21695,-21.5170908610026
21694,-19.4200703938802
21693,-18.7351542154948
21692,-19.8090983072916
21691,-20.9962219238281
21690,-21.298686726888
21689,-21.3384613037109
21688,-19.3405670166015
21687,-20.6251993815104
21686,-20.3904479980469
21685,-17.940283203125
21684,-20.5149800618489
21683,-19.8830627441406
21682,-19.3036865234375
21681,-21.1817281087239
21680,-21.4142974853515
21679,-19.3144134521484
21678,-19.7632659912109
21677,-21.4483957926432
21676,-20.1732645670573
21675,-20.6476603190104
21674,-22.2893330891927
21673,-20.0577453613281
21672,-20.7972574869791
21671,-20.7174845377604
21670,-20.4525156656901
21669,-21.6099914550781
21668,-19.4451965332031
21667,-19.0361185709635
21666,-19.6502085367838
21665,-19.0611633300781
21664,-21.3173177083333
21663,-17.8606119791666
21662,-19.5182301839192
21661,-19.0460164388021
21660,-20.7151702880859
21659,-20.2870086669922
21658,-20.8885813395182
21657,-20.5163838704427
21656,-19.2386535644531
21655,-19.118256632487
21654,-21.3602254231771
21653,-20.7271026611328
21652,-19.2983154296875
21651,-19.3778951009114
21650,-20.2245900472005
21649,-19.3945373535156
21648,-20.941742960612
21647,-19.786723836263
21646,-19.040380859375
21645,-19.2488413492838
21644,-20.1077280680338
21643,-22.2452962239583
21642,-19.6349955240885
21641,-18.9819142659505
21640,-22.2191528320312
21639,-20.7553721110026
21638,-20.3429168701172
21637,-19.9422210693359
21636,-20.4483296712239
21635,-21.9136006673177
21634,-19.8390869140625
21633,-22.2875427246094
21632,-19.6516886393229
21631,-21.2912353515625
21630,-20.2843739827474
21629,-19.6887776692708
21628,-19.9522664388021
21627,-20.1074330647786
21626,-20.7248138427734
21625,-19.8823455810547
21624,-21.1966715494791
21623,-20.5536814371745
