"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-36.3372736612955
21998,-35.9472450256347
21997,-36.50222752889
21996,-35.5519050598144
21995,-35.4292371114095
21994,-36.5439119974772
21993,-36.0836471557617
21992,-35.6600237528483
21991,-35.9164909362793
21990,-35.8388885498047
21989,-35.1677154541015
21988,-35.4949249267578
21987,-36.1931378682454
21986,-36.3217440287272
21985,-37.0042137145996
21984,-36.0869939168294
21983,-37.0811930338541
21982,-36.7210144042969
21981,-34.8428965250651
21980,-35.5745338439941
21979,-36.5750195821126
21978,-36.1209409077962
21977,-36.4233294169108
21976,-35.686148071289
21975,-36.1926445007324
21974,-35.9668411254883
21973,-36.3783541361491
21972,-35.8887593587239
21971,-36.603608194987
21970,-36.7360977172851
21969,-35.3177754720052
21968,-35.1992897033691
21967,-35.8335441589355
21966,-36.9334231058756
21965,-36.7288014729818
21964,-36.1243461608886
21963,-37.4852432250976
21962,-37.6823015848795
21961,-36.8811083475748
21960,-36.5329002380371
21959,-37.2351987202962
21958,-36.2586463928222
21957,-36.5670913696289
21956,-35.2810679117838
21955,-35.3402961730957
21954,-35.5300214131673
21953,-35.6390683492025
21952,-35.7179575602213
21951,-36.7314565022786
21950,-35.7645222981771
21949,-36.4062459309896
21948,-35.4198593139648
21947,-34.8992968241373
21946,-35.1387262980143
21945,-36.4603828430176
21944,-36.7010075887044
21943,-36.7992576599121
21942,-36.2697751363118
21941,-36.7823102315267
21940,-36.4188980102539
21939,-36.245775604248
21938,-37.0609840393066
21937,-36.4997924804687
21936,-36.5352386474609
21935,-36.9241864522298
21934,-36.7723309834798
21933,-35.7751017252604
21932,-35.9842933654785
21931,-35.8755299886068
21930,-36.5857198079427
21929,-35.6322273254394
21928,-36.9566062927246
21927,-35.5971130371094
21926,-35.7787256876627
21925,-36.782204691569
21924,-35.420081837972
21923,-35.8892552693685
21922,-37.6984860738118
21921,-36.1427851359049
21920,-36.8584426879883
21919,-36.1345695495605
21918,-36.9621668497721
21917,-36.669364674886
21916,-36.7131523132324
21915,-37.7140818277995
21914,-37.4669174194336
21913,-36.5850725809733
21912,-37.0622657775879
21911,-37.1770233154297
21910,-36.3835599263509
21909,-34.9616175333659
21908,-36.8847056070963
21907,-36.8055480957031
21906,-35.3703661600748
21905,-36.7232828776041
21904,-35.2778216044108
21903,-36.3704678853353
21902,-35.911484781901
21901,-36.9267791748047
21900,-37.3408620198568
21899,-37.0918207804362
21898,-36.5767425537109
21897,-37.7268089294433
21896,-36.5204401652018
21895,-37.9382970174153
21894,-36.4654144287109
21893,-36.5186548868815
21892,-36.2709144592285
21891,-36.6112948099772
21890,-36.0920382181803
21889,-36.1564468383789
21888,-35.2618952433268
21887,-37.2215446472168
21886,-37.7139724731445
21885,-35.5638641357422
21884,-37.4981801350911
21883,-36.0584167480469
21882,-37.0562156677246
21881,-37.063407643636
21880,-36.5703948974609
21879,-35.6062047322591
21878,-36.44265721639
21877,-38.0892280578613
21876,-36.9672810872396
21875,-36.2438593546549
21874,-37.2598709106445
21873,-35.8302851359049
21872,-36.118687693278
21871,-37.0968218485514
21870,-35.857160949707
21869,-36.1645403544108
21868,-36.2194872538248
21867,-35.5523157755534
21866,-38.1435315450032
21865,-36.4403900146484
21864,-37.8224573771159
21863,-35.070908610026
21862,-35.9180269877116
21861,-36.2016281127929
21860,-36.5655413309733
