"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-37.247407023112
21997,-35.2504600524902
21996,-35.967803700765
21995,-35.4951512654622
21994,-36.9818710327148
21993,-36.1986844380696
21992,-35.4935986836751
21991,-36.1245915730794
21990,-35.5323827107747
21989,-35.2769963582357
21988,-34.9243784586588
21987,-36.3699160257975
21986,-36.7468729654948
21985,-36.2918647766113
21984,-36.2816986083984
21983,-36.6763226826985
21982,-37.0064160664876
21981,-35.4268834431966
21980,-34.9628814697265
21979,-37.2142382303873
21978,-35.3222234090169
21977,-36.1800216674804
21976,-36.0449635823568
21975,-37.1036819458008
21974,-35.2780148824056
21973,-36.2915252685547
21972,-36.1677090962728
21971,-36.0614761352539
21970,-36.4750986735026
21969,-36.4438537597656
21968,-34.6345225016276
21967,-35.760897064209
21966,-36.413193766276
21965,-37.7836593627929
21964,-35.7678461710612
21963,-36.9463473002116
21962,-37.5176414489746
21961,-37.7675219217936
21960,-36.3217732747396
21959,-37.1107671101888
21958,-35.7964424133301
21957,-37.3457600911458
21956,-35.4816942850748
21955,-35.3222310384114
21954,-35.3280764261881
21953,-35.4512657165527
21952,-35.4665613810221
21951,-37.2656908671061
21950,-35.8398104349772
21949,-36.2598899841308
21948,-34.9582618713379
21947,-35.7943188985189
21946,-34.5929372151693
21945,-36.9146827697754
21944,-35.7419342041015
21943,-37.6283401489258
21942,-35.9967648824056
21941,-36.0491940816243
21940,-36.9498212178548
21939,-36.2336652119954
21938,-36.2976465861002
21937,-37.3871495564778
21936,-36.183098856608
21935,-37.7185539245605
21934,-36.288245900472
21933,-36.093130493164
21932,-35.7007074991862
21931,-35.3889767964681
21930,-36.722587331136
21929,-35.8204190572103
21928,-36.3295488993327
21927,-36.5275215148926
21926,-35.6679354349772
21925,-37.1460238138834
21924,-34.8041709899902
21923,-36.3907391866048
21922,-36.5903305053711
21921,-36.6543830871582
21920,-36.0851717631022
21919,-37.2386433919271
21918,-36.4925699869791
21917,-36.5556625366211
21916,-37.2824055989583
21915,-36.9470212300618
21914,-37.1523969014485
21913,-37.1174072265625
21912,-36.462863667806
21911,-38.2063723246256
21910,-36.7824310302734
21909,-34.6813428243001
21908,-35.8436556498209
21907,-37.2369572957357
21906,-36.5567319234212
21905,-36.3449030558268
21904,-35.3434801737467
21903,-36.1167930603027
21902,-35.6234624226888
21901,-37.2512102762858
21900,-36.7163630167643
21899,-37.4445340474446
21898,-36.757240041097
21897,-37.7087844848633
21896,-35.6927513122558
21895,-38.7181864420573
21894,-36.3511070251465
21893,-36.0953404744466
21892,-36.9872891743978
21891,-35.4204671223958
21890,-37.3247093200683
21889,-36.0488100687663
21888,-35.4307896931966
21887,-36.4103085835775
21886,-37.9154139200846
21885,-36.0710599263509
21884,-36.9597585042318
21883,-36.0640803019205
21882,-36.7986841837565
21881,-37.2072408040364
21880,-37.2975143432617
21879,-35.8952837626139
21878,-35.4018895467122
21877,-38.3612019856771
21876,-36.4825907389323
21875,-36.6441889444987
21874,-37.0990127563476
21873,-36.4797208150228
21872,-35.6423082987467
21871,-36.9849062601725
21870,-36.870339457194
21869,-35.3155972798665
21868,-36.4609219868978
21867,-35.2567339579264
21866,-37.7928718566894
21865,-37.145969136556
21864,-36.9747375488281
21863,-36.4522982279459
21862,-35.1841072082519
21861,-36.4239384969075
21860,-35.9515836079915
21859,-37.4259602864583
21858,-36.4337626139323
21857,-36.6442309061686
21856,-36.2962275187174
21855,-37.4370279947916
21854,-36.3352124532064
21853,-36.5556358337402
21852,-36.9465151468913
21851,-35.7160909016927
21850,-37.5462771097819
21849,-35.536728922526
21848,-35.1740694681803
21847,-36.4275662740071
21846,-37.1319005330403
21845,-36.9157114664713
21844,-35.8653116861979
21843,-35.8431686401367
21842,-36.7084932963053
21841,-37.5793492635091
21840,-35.8594395955403
21839,-35.9937385559082
21838,-36.9014559427897
21837,-37.0247571309407
21836,-38.1355855305989
21835,-37.2672714233398
21834,-36.3971542358398
21833,-35.3784075419108
21832,-35.2619804382324
21831,-35.8873746236165
21830,-36.8066441853841
21829,-35.7999557495117
21828,-36.769639078776
21827,-36.1702458699544
21826,-36.885772450765
21825,-35.4122337341308
21824,-35.9487454732259
21823,-36.5725260416666
21822,-34.7933868408203
21821,-36.0932563781738
21820,-36.4873781840006
21819,-36.7231086730957
21818,-35.8112599690755
21817,-36.3427197774251
21816,-35.699685160319
21815,-36.5157442728678
21814,-36.7591473897298
21813,-37.1190373738607
21812,-36.6324244181315
21811,-36.4891939798991
21810,-37.1303632100423
21809,-35.843800608317
21808,-36.8638264973958
21807,-36.3752286275228
21806,-37.1015202840169
21805,-36.9700327555338
21804,-34.0455942789713
21803,-37.5811701456705
21802,-37.3760157267252
21801,-37.7322550455729
21800,-37.0472333272298
21799,-35.4144589742025
21798,-36.7100471496582
21797,-36.3464327494303
21796,-37.1007369995117
21795,-37.6126960754394
21794,-37.630286916097
21793,-36.8313545227051
21792,-38.1346878051758
21791,-37.2465118408203
21790,-36.9783920288086
21789,-37.0239382425944
21788,-36.2611653645833
21787,-36.433524831136
21786,-37.4642178853353
21785,-36.5101964314778
21784,-36.3528007507324
21783,-37.5836051940918
21782,-36.2259417215983
21781,-36.2231163024902
21780,-37.2565305074056
21779,-37.7742408752441
21778,-37.4150578816732
21777,-37.139621480306
21776,-37.1011006673177
21775,-36.3069264729818
21774,-37.3106178283691
21773,-38.5021143595377
21772,-36.7703384399414
21771,-35.8596468607584
21770,-34.9624567667643
21769,-35.2755353291829
21768,-36.0398480733235
21767,-37.0023089090983
21766,-36.4184796651204
21765,-36.1678922017415
21764,-36.3516906738281
21763,-36.7222122192383
21762,-36.7025843302409
21761,-36.5924057006836
21760,-37.270491027832
21759,-36.720384979248
21758,-36.7021901448568
21757,-36.9221977233886
21756,-36.1191441853841
21755,-36.2862648010254
21754,-36.7506304423014
21753,-37.0889673868815
21752,-38.2426717122396
21751,-36.0621220906575
21750,-36.4238494873047
21749,-35.8145329793294
21748,-36.758637491862
21747,-36.0393343607584
21746,-37.9919253031413
21745,-37.3011014302571
21744,-36.1719357808431
21743,-36.1690149943034
21742,-37.8712092081705
21741,-36.3941495259603
21740,-36.9523122151693
21739,-36.6196477254232
21738,-36.0661338806152
21737,-36.0790339152018
21736,-37.4823249816894
21735,-37.1869695027669
21734,-35.8943389892578
21733,-37.3938265482584
21732,-36.8906120300293
21731,-35.9772005716959
21730,-35.9036328633626
21729,-36.7483301798502
21728,-36.592268371582
21727,-36.4299428304036
21726,-37.9989621480306
21725,-38.061875406901
21724,-37.4421549479166
21723,-36.0638005574544
21722,-37.3258893330892
21721,-35.2022588094075
21720,-35.809361521403
21719,-36.9556818644205
21718,-35.7486963907877
21717,-36.883580271403
21716,-38.0107432047526
21715,-37.9974617004394
21714,-37.6527364095052
21713,-37.4790112813314
21712,-35.542271677653
21711,-36.6902908325195
21710,-36.3658533732096
21709,-36.6984008789062
21708,-35.5388982137044
21707,-36.8432678222656
21706,-37.3790064493815
21705,-36.2565279642741
21704,-37.0763585408528
21703,-37.8604390462239
21702,-37.0943499247233
21701,-35.2096122741699
21700,-36.3329325358073
21699,-35.964453125
21698,-37.447929128011
21697,-36.7394368489583
21696,-36.8216105143229
21695,-36.6424545288086
21694,-35.1124252319336
21693,-35.90519434611
21692,-36.44962793986
21691,-35.7569183349609
21690,-36.6041155497233
21689,-37.6817026774088
21688,-35.0725336710612
21687,-37.2369229634603
21686,-37.4981318155924
21685,-35.1304039001465
21684,-37.4068499247233
21683,-34.9861078898112
21682,-35.2592681884765
21681,-36.7449770609538
21680,-37.2383623758952
21679,-35.7877944946289
21678,-34.7327140808105
21677,-36.2278465270996
21676,-35.7261909484863
21675,-36.6764841715495
21674,-36.7835334777832
21673,-35.8464149475097
21672,-37.4734380086263
21671,-36.2147799173991
21670,-35.5483510335286
21669,-37.614246114095
21668,-36.5175155639648
21667,-35.9600344340006
21666,-37.3541727701823
21665,-35.3551849365234
21664,-36.560218556722
21663,-36.0448567708333
21662,-35.67752049764
21661,-36.6895393371582
21660,-36.6655131022135
21659,-36.443696085612
21658,-36.3858105977376
21657,-37.224774424235
21656,-36.0938145955403
21655,-36.9814615885416
21654,-37.2999443054199
21653,-35.5823043823242
21652,-36.3644190470377
21651,-35.2338330586751
21650,-36.8490915934245
21649,-35.2512446085612
21648,-36.4532341003418
21647,-37.8870096842448
21646,-37.1659530639648
21645,-35.860459391276
21644,-37.4118967692057
21643,-37.9896402994791
21642,-35.7444112141927
21641,-35.9207023620605
21640,-38.0774368286133
21639,-35.8393145243327
21638,-36.6414843241373
21637,-37.1593841552734
21636,-36.4345293680827
21635,-36.8674898783366
21634,-36.242648824056
21633,-35.2173726399739
21632,-36.1085990905761
21631,-37.0953913370768
21630,-36.2157107035319
21629,-37.0581319173177
21628,-36.9407346089681
21627,-37.0087646484375
21626,-36.2578516642252
21625,-35.3419288635254
21624,-37.1491086324056
21623,-36.9132484436035
21622,-37.7026962280273
21621,-36.5440912882487
21620,-36.3627507527669
21619,-37.3848200480143
21618,-35.6423515319824
21617,-36.9124893188476
21616,-36.1253074645996
21615,-36.9859680175781
21614,-36.9376688639323
21613,-38.082435353597
21612,-35.8129638671875
21611,-37.1871220906575
21610,-35.214645131429
21609,-35.7612416585286
21608,-36.3790267944336
21607,-36.9051701863607
21606,-38.6238731384277
21605,-37.6785364786784
21604,-35.5299031575521
21603,-36.9442555745443
21602,-37.9856119791666
21601,-36.7475914001465
21600,-36.6606290181478
21599,-36.5733919779459
21598,-36.9925750732422
21597,-34.9757738749186
21596,-37.1514444986979
21595,-36.7952217102051
21594,-34.7793640136719
21593,-36.4360323588053
21592,-35.8799486796061
21591,-36.0957766215006
21590,-36.1029660542806
21589,-37.0493441263834
21588,-36.3796231587728
21587,-35.0121241251627
21586,-36.2393630981445
21585,-35.0949348449707
21584,-36.4738538106282
21583,-35.6511660257975
21582,-36.6272453308105
21581,-35.9093599955241
21580,-36.0837921142578
21579,-36.5872393290202
21578,-34.8915428161621
21577,-36.3214464823405
21576,-36.8332580566406
21575,-36.2301696777344
21574,-36.6416534423828
21573,-36.9146980285644
21572,-36.5042950948079
21571,-36.2596712748209
21570,-37.0367200215657
21569,-37.455658976237
21568,-36.6005449930827
21567,-36.7876126607259
21566,-36.4846913655599
21565,-35.7302014668782
21564,-35.8734179178873
21563,-35.8246991475423
21562,-37.7157145182291
21561,-36.0689211527506
21560,-34.9607477823893
21559,-37.435161336263
21558,-35.623814646403
21557,-36.900809987386
21556,-36.5885871887207
21555,-36.0463979085286
21554,-35.7244832356771
21553,-37.248206837972
21552,-37.6795664469401
21551,-36.7299191792806
21550,-37.323464457194
21549,-37.4888938903808
21548,-36.065096282959
21547,-36.6592760721842
21546,-35.8672368367513
21545,-36.6516835530599
21544,-37.3666417439778
21543,-36.1396291097005
21542,-35.7285980224609
21541,-36.2680216471354
21540,-36.7148066202799
21539,-36.4419845581054
21538,-38.2499717712402
21537,-37.3867184956868
21536,-37.8298655192057
