"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-26.7845570882161
21997,-24.8114151000976
21996,-24.8204686482747
21995,-24.989734395345
21994,-26.1567316691081
21993,-26.3144541422526
21992,-25.4602951049804
21991,-25.8604187011719
21990,-26.0039072672526
21989,-24.8870376586914
21988,-25.035014851888
21987,-25.0001383463541
21986,-25.8640986124674
21985,-26.5027730305989
21984,-25.466157023112
21983,-26.1182973225911
21982,-25.2314666748047
21981,-25.0050949096679
21980,-25.1046254475911
21979,-26.3438196818034
21978,-24.9186284383138
21977,-25.760969543457
21976,-24.5325887044271
21975,-26.1679112752278
21974,-25.3711049397786
21973,-25.7163045247396
21972,-25.8717737833659
21971,-25.7010101318359
21970,-25.9737075805664
21969,-26.2391545613607
21968,-24.28525390625
21967,-25.2051249186198
21966,-25.5554234822591
21965,-26.242290242513
21964,-25.7039957682291
21963,-26.0409708658854
21962,-26.0748682657877
21961,-25.0900939941406
21960,-26.1859903971354
21959,-25.9683186848958
21958,-25.5475219726562
21957,-25.6614288330078
21956,-24.6236709594726
21955,-25.2112335205078
21954,-25.1839914957682
21953,-24.8210840861002
21952,-24.6102508544922
21951,-25.7873850504557
21950,-25.7187535603841
21949,-25.9627695719401
21948,-25.6485224405924
21947,-24.4104471842448
21946,-25.2848749796549
21945,-26.3002558390299
21944,-26.0705830891927
21943,-26.5589075724284
21942,-26.3793217976888
21941,-25.9186004638672
21940,-24.9903498331706
21939,-26.2235092163086
21938,-25.7269856770833
21937,-25.4444590250651
21936,-24.8114685058594
21935,-26.6434997558594
21934,-25.7133773803711
21933,-25.3371719360351
21932,-26.046987915039
21931,-24.8505920410156
21930,-26.3162343343099
21929,-25.1383270263672
21928,-25.7035430908203
21927,-24.343354288737
21926,-24.3536437988281
21925,-26.0457214355469
21924,-24.9248362223307
21923,-25.2987452189127
21922,-25.11435546875
21921,-25.3637858072916
21920,-25.4707651774088
21919,-25.0903940836588
21918,-25.6571563720703
21917,-24.8766260782877
21916,-27.085801188151
21915,-25.0988296508789
21914,-25.0376749674479
21913,-25.7694203694661
21912,-25.2189036051432
21911,-26.9412063598633
21910,-26.0036809285482
21909,-25.5111043294271
21908,-24.6924931844075
21907,-25.4027058919271
21906,-25.002793375651
21905,-25.8377415974935
21904,-24.9738855997721
21903,-26.0219991048177
21902,-24.5451899210612
21901,-26.3902776082357
21900,-26.9362879435221
21899,-26.0265741984049
21898,-25.5317749023437
21897,-27.3724375406901
21896,-24.9090128580729
21895,-27.0214090983073
21894,-25.6143071492513
21893,-25.5981557210286
21892,-24.9845082600911
21891,-25.0757431030273
21890,-25.4413106282552
21889,-25.7962529500325
21888,-23.7282241821289
21887,-27.0842473347982
21886,-26.0208801269531
21885,-24.1972768147786
21884,-26.285866800944
21883,-25.4394694010416
21882,-25.4906753540039
21881,-26.0833190917969
