"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-47.7102569580078
21997,-45.6895050048828
21996,-47.1151387532552
21995,-46.0005681355794
21994,-47.8070103963216
21993,-46.0829147338867
21992,-45.5269022623698
21991,-46.388764444987
21990,-45.0608581542969
21989,-45.6669550577799
21988,-44.8137420654297
21987,-47.7396937052409
21986,-47.6296473185221
21985,-46.0809565226237
21984,-47.0972401936849
21983,-47.234348042806
21982,-48.7813654581705
21981,-45.8486719767252
21980,-44.821137491862
21979,-48.0846567789713
21978,-45.72581837972
21977,-46.5990737915039
21976,-47.5573384602864
21975,-48.0394526163737
21974,-45.1849248250325
21973,-46.8667460123698
21972,-46.4636444091797
21971,-46.4219421386719
21970,-46.9764897664388
21969,-46.6485529581705
21968,-44.9837910970052
21967,-46.3166692097982
21966,-47.2709640502929
21965,-49.3250284830729
21964,-45.8316965738932
21963,-47.8517237345377
21962,-48.9604146321614
21961,-50.4449498494466
21960,-46.4575561523437
21959,-48.2532155354818
21958,-46.0453628540039
21957,-49.0300913492838
21956,-46.3397176106771
21955,-45.4332285563151
21954,-45.472161356608
21953,-46.0814473470052
21952,-46.3228719075521
21951,-48.7439966837565
21950,-45.9608673095703
21949,-46.5570103963216
21948,-44.2680013020833
21947,-47.1781906127929
21946,-43.9009994506836
21945,-47.5291097005208
21944,-45.4132853190104
21943,-48.6977727254232
21942,-45.6142079671224
21941,-46.1797876993815
21940,-48.909292602539
21939,-46.2438212076823
21938,-46.8683074951172
21937,-49.3298400878906
21936,-47.5547292073568
21935,-48.7936080932617
21934,-46.8631144205729
21933,-46.8490890502929
21932,-45.3544270833333
21931,-45.9273615519205
21930,-47.1289403279622
21929,-46.5025110880534
21928,-46.955554707845
21927,-48.7116887410482
21926,-46.9822270711263
21925,-48.24632619222
21924,-44.6835057576497
21923,-47.4827331542969
21922,-48.0663055419922
21921,-47.9449803670247
21920,-46.6995783487955
21919,-49.3868927001953
21918,-47.327983601888
21917,-48.2346989949544
21916,-47.4790100097656
21915,-48.7952128092448
21914,-49.2671188354492
21913,-48.4653940836588
21912,-47.7068237304687
21911,-49.471538289388
21910,-47.5611811319987
21909,-43.8515813191732
21908,-46.9948181152344
21907,-49.0712086995443
21906,-48.1106704711914
21905,-46.8520645141601
21904,-45.7130747477213
21903,-46.2115870157877
21902,-46.7017349243164
21901,-48.1121429443359
21900,-46.4964380900065
21899,-48.8624938964844
21898,-47.9827051798502
21897,-48.0451314290364
21896,-46.4764897664388
21895,-50.4149637858073
21894,-47.0879069010416
21893,-46.5925252278646
21892,-48.9900700887044
21891,-45.7651911417643
21890,-49.2081080118815
21889,-46.3013671875
21888,-47.1333552042643
21887,-45.7363698323568
21886,-49.8099477132161
21885,-47.9448430379232
21884,-47.6336502075195
21883,-46.6886912027995
21882,-48.1066930135091
21881,-48.331162516276
21880,-47.9328750610351
21879,-46.5830851236979
21878,-46.1144215901693
21877,-50.7700052897135
21876,-47.7838144938151
21875,-48.107400004069
21874,-48.0532643636068
21873,-48.3218444824219
21872,-45.8459864298502
21871,-49.1754745483398
21870,-47.6645187377929
21869,-45.5735254923502
21868,-47.6485427856445
21867,-45.2715515136719
21866,-48.4757522583008
21865,-48.5796112060547
21864,-47.23656056722
21863,-47.8797795613607
21862,-45.0568705240885
21861,-48.2809483846028
21860,-46.225085957845
21859,-50.0742833455403
21858,-47.2795725504557
21857,-46.8959411621094
21856,-48.9190938313802
21855,-50.3493865966797
21854,-48.3508158365885
21853,-48.3956512451172
21852,-47.3908981323242
21851,-45.6465159098307
21850,-48.4960489908854
21849,-46.3929046630859
21848,-44.3807637532552
21847,-47.6526982625325
21846,-48.4587387084961
21845,-47.0755599975586
21844,-47.3418462117513
21843,-47.2117930094401
21842,-47.7794072469075
21841,-50.1435709635416
21840,-47.4467274983724
21839,-47.4141677856445
21838,-48.6315394083659
21837,-47.5471227010091
21836,-50.4389200846354
21835,-48.6527389526367
21834,-49.4366948445638
21833,-46.2952077229818
21832,-45.0701939900716
21831,-47.2307088216146
21830,-47.7868026733398
21829,-46.8431864420573
21828,-46.5465988159179
21827,-47.0555404663086
21826,-48.6621917724609
21825,-45.0296946207682
21824,-46.5338857014974
21823,-46.0276321411133
21822,-46.0792602539062
21821,-45.8565887451172
21820,-47.1248662312825
21819,-47.7555653889974
21818,-46.7117497762044
21817,-47.8076410929362
21816,-47.3437128702799
21815,-48.2158315022786
21814,-47.5102727254232
21813,-48.0834004720052
21812,-47.6330703735351
21811,-46.9610326131185
21810,-47.1820002237955
21809,-44.8831619262695
21808,-48.1579447428385
21807,-47.3167327880859
21806,-47.6630767822265
21805,-48.5824569702148
21804,-44.9681279500325
21803,-48.4353978474935
21802,-49.3231135050455
21801,-49.5557413736979
21800,-47.7428268432617
21799,-46.6926355997721
21798,-46.664887491862
21797,-47.1559229532877
21796,-48.9857696533203
21795,-48.9475260416666
21794,-49.3938074747721
21793,-47.407827758789
21792,-49.5099217732747
21791,-48.5316197713216
21790,-47.0986363728841
21789,-47.1723897298177
21788,-47.5742223103841
21787,-47.5332524617513
21786,-48.8687830607096
21785,-47.5322606404622
21784,-47.7180414835612
21783,-48.3286397298177
21782,-47.5932017008463
21781,-47.2809763590495
21780,-48.7457285563151
21779,-49.3660771687825
21778,-49.1698440551758
21777,-49.5987660725911
21776,-49.0127700805664
21775,-46.3924850463867
21774,-48.155007425944
21773,-50.938823445638
21772,-48.2370641072591
21771,-45.5444778442383
21770,-45.6304306030273
21769,-45.4726140340169
21768,-45.7443272908528
21767,-48.3035847981771
21766,-47.4047353108724
21765,-47.0188405354818
21764,-47.926008605957
21763,-47.7675206502278
21762,-47.6713063557943
21761,-47.3803873697916
21760,-49.4674921671549
21759,-47.4389251708984
21758,-49.1067896525065
21757,-49.6930552164713
21756,-46.9390904744466
21755,-46.6219009399414
21754,-47.9490544637044
21753,-48.4760447184245
21752,-50.7277409871419
21751,-48.5348470052083
21750,-46.804182434082
21749,-46.4898742675781
21748,-47.4579223632812
21747,-47.3109141031901
21746,-50.4085525512695
21745,-48.2305384318034
21744,-46.8901758829752
21743,-47.2769887288411
21742,-49.221294148763
21741,-47.9474726359049
21740,-48.6157821655273
21739,-48.5052805582682
21738,-46.0609369913737
21737,-46.7815155029297
21736,-50.3108581542969
21735,-48.8736150105794
21734,-45.9697352091471
21733,-48.5195220947265
21732,-47.521966044108
21731,-46.6034149169922
21730,-46.5044158935547
21729,-47.4147806803385
21728,-47.3049326578776
21727,-47.8360173543294
21726,-49.00609181722
21725,-48.8010925292969
21724,-49.2520151774088
21723,-45.7615239461263
21722,-49.1697143554687
21721,-46.1245737711588
21720,-46.6703323364258
21719,-48.9857594807943
21718,-46.4551249186198
21717,-48.9301055908203
21716,-49.528313700358
21715,-51.1120946248372
21714,-47.5630401611328
21713,-48.8666646321614
21712,-46.0208038330078
21711,-48.1390594482422
21710,-47.2810246785482
21709,-47.9242106119791
21708,-46.0780344645182
21707,-47.2743082682291
21706,-48.0474405924479
21705,-48.0891276041666
21704,-48.0535339355469
21703,-48.9694046020508
21702,-47.8849802652995
21701,-46.1786458333333
21700,-47.5137186686198
21699,-46.5808166503906
21698,-48.8422480265299
21697,-47.715066019694
21696,-47.4294723510742
21695,-47.3474639892578
21694,-44.8178517659505
21693,-46.9679092407226
21692,-47.6410227457682
21691,-46.6233734130859
21690,-46.348974609375
21689,-50.4832595825195
21688,-45.3936345418294
21687,-48.4876592000325
21686,-48.7987299601237
21685,-46.2668848673502
21684,-47.4271581013997
21683,-46.2785858154297
21682,-45.6690658569336
21681,-46.4495376586914
21680,-48.0946716308594
21679,-46.9006764729818
21678,-45.4949147542318
21677,-46.0627426147461
21676,-45.9619608561198
21675,-47.1165222167969
21674,-47.311626180013
21673,-47.0467030843099
21672,-48.38841603597
21671,-46.0952896118164
21670,-44.8849446614583
21669,-49.6400995890299
21668,-47.1229766845703
21667,-47.5601969401041
21666,-49.5422653198242
21665,-46.4510864257812
21664,-47.3409815470377
21663,-47.9232925415039
21662,-46.4299555460612
21661,-48.3156697591146
21660,-48.0206410725911
21659,-48.1362263997396
21658,-46.1253926595052
21657,-48.5761627197265
21656,-47.9963439941406
21655,-47.8524103800455
21654,-48.2174311319987
21653,-44.8819590250651
21652,-48.8937159220377
21651,-45.1871882120768
21650,-49.1348937988281
21649,-45.7458353678385
21648,-48.0402994791666
21647,-50.8493128458659
21646,-49.0917953491211
21645,-46.5121342976888
21644,-49.2674697875976
21643,-49.3809646606445
21642,-45.9028737386068
21641,-45.5724370320638
21640,-49.8594624837239
21639,-46.4292205810547
21638,-47.388291422526
21637,-49.2166300455729
21636,-47.3693806966146
21635,-46.6172597249349
21634,-46.8446131388346
21633,-44.3356613159179
21632,-47.1573801676432
21631,-47.9639241536458
21630,-47.3198811848958
21629,-48.3162928263346
21628,-47.9446192423502
21627,-48.7597971598307
21626,-46.3254684448242
21625,-46.7680852254232
21624,-48.054296875
21623,-48.5591593424479
21622,-48.6111562093099
21621,-47.2202489217122
21620,-46.5950531005859
21619,-48.3983495076497
21618,-46.1095743815104
21617,-48.7992309570312
21616,-47.6302474975586
21615,-48.4807673136393
21614,-48.8606628417969
21613,-48.3764328002929
21612,-46.2067677815755
21611,-48.5491368611653
21610,-46.352517191569
21609,-46.5346054077148
21608,-47.8154663085937
21607,-47.105825805664
21606,-51.3006322224935
21605,-49.9969136555989
21604,-47.1753626505534
21603,-48.4864791870117
21602,-49.5928507486979
21601,-48.0872431437174
21600,-48.8826583862304
21599,-46.9283660888672
