"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-5.47313028971352
21997,-6.37394816080727
21996,-4.5687316894531
21995,-6.52574259440102
21994,-2.44884847005206
21993,-6.1801818847656
21992,-4.43460693359373
21991,-3.76954752604164
21990,-5.41249186197914
21989,-3.80841674804685
21988,-5.50892740885414
21987,-5.47527669270831
21986,-5.83934122721352
21985,-4.74815470377602
21984,-5.2662414550781
21983,-3.78331095377602
21982,-2.6481994628906
21981,-5.15486246744789
21980,-2.70428059895831
21979,-3.45131022135414
21978,-4.0283264160156
21977,-3.84803873697914
21976,-3.17154541015623
21975,-5.16491292317706
21974,-4.44931640624998
21973,-3.97590738932289
21972,-3.22401529947914
21971,-5.61452840169269
21970,-4.90533040364581
21969,-8.64541219075519
21968,-5.87841389973956
21967,-5.72358805338539
21966,-3.34918823242185
21965,-7.05013631184894
21964,-5.75803222656248
21963,-6.28783772786456
21962,-6.52171427408852
21961,-5.38011271158852
21960,-5.63370361328123
21959,-4.20731201171873
21958,-6.41436360677081
21957,-4.05711466471352
21956,-3.19401652018227
21955,-4.51302693684894
21954,-3.93158569335935
21953,-3.72851155598956
21952,-2.93342692057289
21951,-3.88511759440102
21950,-5.76159261067706
21949,-5.46745402018227
21948,-3.32721557617185
21947,-4.43869628906248
21946,-4.2552551269531
21945,-6.8935607910156
21944,-6.34513956705727
21943,-5.03286336263019
21942,-5.50302734374998
21941,-4.91754760742185
21940,-4.6815246582031
21939,-6.99026082356769
21938,-5.56486612955727
21937,-7.27077840169269
21936,-4.29986165364581
21935,-5.28499959309894
21934,-6.63436482747394
21933,-2.34185384114581
21932,-7.18035481770831
21931,-5.88771158854164
21930,-2.78121541341144
21929,-3.96077067057289
21928,-5.20211385091144
21927,-5.44743448893227
21926,-4.50201009114581
21925,-3.61504720052081
21924,-5.44454549153644
21923,-3.74123738606769
21922,-5.80580240885414
21921,-5.47548014322914
21920,-2.26289469401039
21919,-4.1425842285156
21918,-4.89713134765623
21917,-5.80850830078123
21916,-5.79073689778644
21915,-5.30661621093748
21914,-3.24648640950519
21913,-4.37511800130206
21912,-3.70999755859373
21911,-3.47216389973956
21910,-5.15325520833331
21909,-3.90389607747394
21908,-6.02445068359373
21907,-6.13438517252602
21906,-6.04795939127602
21905,-6.37193400065102
21904,-6.30499877929685
21903,-5.0048889160156
21902,-3.74342447916664
21901,-5.44745483398435
21900,-4.43988647460935
21899,-5.18513590494789
21898,-5.93403727213539
21897,-4.70517578124998
21896,-4.28986206054685
21895,-5.95329386393227
21894,-5.94071044921873
21893,-7.40075276692706
21892,-3.97557169596352
21891,-2.94711914062498
21890,-2.67930704752602
21889,-4.73555094401039
21888,-3.33168131510414
21887,-3.2696594238281
21886,-3.7064270019531
21885,-4.68910319010414
21884,-3.95085245768227
21883,-5.10476277669269
21882,-5.09720458984373
21881,-4.8696350097656
21880,-4.50723876953123
21879,-6.05395100911456
21878,-8.12961425781248
21877,-4.67513631184894
21876,-3.19818725585935
21875,-6.31042073567706
21874,-6.13598225911456
21873,-5.37657267252602
21872,-3.43979492187498
21871,-6.19547119140623
21870,-4.10430501302081
21869,-7.00411580403644
21868,-6.54023844401039
21867,-5.41374308268227
21866,-6.34300333658852
21865,-9.17681477864581
21864,-3.85686848958331
21863,-5.91228841145831
21862,-4.14390665690102
21861,-5.6897033691406
21860,-6.17048746744789
21859,-4.74703572591144
21858,-5.56937255859373
21857,-5.11038818359373
21856,-4.78253784179685
21855,-6.8988098144531
21854,-4.70526733398435
21853,-6.13856608072914
21852,-6.49698486328123
21851,-8.19720052083331
21850,-5.53249715169269
21849,-5.03668823242185
21848,-2.57497762044269
21847,-3.36090698242185
21846,-5.92670288085935
21845,-7.28147989908852
21844,-4.21995646158852
21843,-3.46489054361977
21842,-5.93058878580727
21841,-6.06617838541664
21840,-6.57243448893227
21839,-4.54588419596352
21838,-4.51081949869789
21837,-2.89495442708331
21836,-5.42901204427081
21835,-4.30788777669269
21834,-4.69137166341144
21833,-5.47307942708331
21832,-4.61724446614581
21831,-4.34594319661456
21830,-3.83111165364581
21829,-6.20770874023435
21828,-7.89030558268227
21827,-4.0427307128906
21826,-5.76658732096352
21825,-3.49412638346352
21824,-3.57159016927081
21823,-4.96160481770831
21822,-5.87670491536456
21821,-3.38378499348956
21820,-5.9428771972656
21819,-4.8582824707031
21818,-5.20072021484373
21817,-4.57418416341144
21816,-3.51559041341144
21815,-4.41086425781248
21814,-3.66367187499998
21813,-3.54000447591144
21812,-3.61334838867185
21811,-6.06415405273435
21810,-3.93451538085935
21809,-4.29849853515623
21808,-3.20989583333331
21807,-2.91205444335935
21806,-4.40194295247394
21805,-4.29970906575519
21804,-5.15187174479164
21803,-7.05486653645831
21802,-5.3946594238281
21801,-9.20273437499998
21800,-6.5312561035156
21799,-8.59321695963539
21798,-5.21261189778644
21797,-5.3958801269531
21796,-6.00202026367185
21795,-6.22897949218748
21794,-7.33913777669269
21793,-8.9420227050781
21792,-4.50004679361977
21791,-8.22377115885414
21790,-7.99222412109373
21789,-7.56522216796873
21788,-6.76255900065102
21787,-3.24567260742185
21786,-5.37271728515623
21785,-4.46419881184894
21784,-4.24178670247394
21783,-5.21569417317706
21782,-2.82497762044269
21781,-3.85540364583331
21780,-3.30109252929685
21779,-4.39630737304685
21778,-3.3106750488281
21777,-4.10009358723956
21776,-3.81590372721352
21775,-4.05721638997394
21774,-3.85065307617185
21773,-4.60798746744789
21772,-4.21940714518227
21771,-6.12870890299477
21770,-5.6253723144531
21769,-5.82714436848956
21768,-7.43536987304685
21767,-6.76765543619789
21766,-2.35176188151039
21765,-2.12623697916664
21764,-5.19296874999998
21763,-4.32756144205727
21762,-5.11844482421873
21761,-3.08621826171873
21760,-4.87833251953123
21759,-2.58897501627602
21758,-2.66563517252602
21757,-6.59813028971352
21756,-4.96017049153644
21755,-4.12675577799477
21754,-6.65980631510414
21753,-5.58376668294269
21752,-5.36938069661456
21751,-6.76992390950519
21750,-6.01344401041664
21749,-4.57091878255206
21748,-5.0500549316406
21747,-3.06844685872394
21746,-6.05563964843748
21745,-5.78156127929685
21744,-4.15417073567706
21743,-5.69584757486977
21742,-4.6485656738281
21741,-5.04697265624998
21740,-7.83114217122394
21739,-3.68620402018227
21738,-5.91616414388019
21737,-5.81412353515623
21736,-6.41148478190102
21735,-7.90752766927081
21734,-4.25608927408852
21733,-5.63425292968748
21732,-4.77375895182289
21731,-3.00869344075519
21730,-3.69515584309894
21729,-3.11574910481769
21728,-2.23857218424477
21727,-4.98200073242185
21726,-6.08534342447914
21725,-3.85503743489581
21724,-5.22676188151039
21723,-4.91557413736977
21722,-4.42298990885414
21721,-5.80410359700519
21720,-6.31435750325519
21719,-5.84272867838539
21718,-6.55008544921873
21717,-5.17788289388019
21716,-6.25223388671873
21715,-5.44992675781248
21714,-6.21916300455727
21713,-5.90525919596352
21712,-6.84233194986977
21711,-6.96201171874998
21710,-7.9360412597656
21709,-6.18038533528644
21708,-7.82976888020831
21707,-5.03539632161456
21706,-5.80150960286456
21705,-4.97599894205727
21704,-4.82298380533852
21703,-4.95805460611977
21702,-5.84969685872394
21701,-5.55626017252602
21700,-5.26226399739581
21699,-4.56230265299477
21698,-8.03952636718748
21697,-4.73432006835935
21696,-4.69612223307289
21695,-1.99193929036456
21694,-2.77203979492185
21693,-3.22369995117185
21692,-3.44830932617185
21691,-5.01045328776039
21690,-4.57150878906248
21689,-3.50890706380206
21688,-5.20900065104164
21687,-3.16005045572914
21686,-5.4748596191406
21685,-4.32491658528644
21684,-4.38309326171873
21683,-4.64694824218748
21682,-6.09068400065102
21681,-4.9805969238281
21680,-5.47320149739581
21679,-6.60228068033852
21678,-2.49372965494789
21677,-4.6605285644531
21676,-4.13476155598956
21675,-3.12360229492185
21674,-5.33067423502602
21673,-5.33437703450519
21672,-4.10356241861977
21671,-2.33525187174477
21670,-4.0352844238281
21669,-4.51324055989581
21668,-3.66893107096352
21667,-6.8856262207031
21666,-4.31864013671873
21665,-5.25844930013019
21664,-4.55608723958331
21663,-4.71430053710935
21662,-4.7364562988281
21661,-4.57174275716144
21660,-5.07762247721352
21659,-6.22558186848956
21658,-3.22165527343748
21657,-4.4543518066406
21656,-3.42435302734373
21655,-4.14081420898435
21654,-5.36507771809894
21653,-4.18122965494789
21652,-2.92519734700519
21651,-3.30204874674477
21650,-5.52081909179685
21649,-3.29625040690102
21648,-4.03180541992185
21647,-3.2981018066406
21646,-4.80081787109373
21645,-5.39945068359373
21644,-4.11781412760414
21643,-5.21321207682289
21642,-7.0144104003906
21641,-4.04538574218748
21640,-5.22281494140623
21639,-7.01304728190102
21638,-5.11052042643227
21637,-4.71214396158852
21636,-4.68761800130206
21635,-5.00442097981769
21634,-4.00862223307289
21633,-3.01495971679685
21632,-2.26676025390623
21631,-4.93904215494789
21630,-4.05866088867185
21629,-1.99614054361977
21628,-6.20363972981769
21627,-3.53166300455727
21626,-3.82479451497394
21625,-3.4072326660156
21624,-4.34966634114581
21623,-2.84213867187498
21622,-5.30207926432289
21621,-6.0832580566406
21620,-3.66434326171873
21619,-5.27150065104164
21618,-5.98886718749998
21617,-8.02573242187498
21616,-4.19071044921873
21615,-4.33465169270831
21614,-3.31910807291664
21613,-5.17488199869789
21612,-6.84872029622394
21611,-3.30573120117185
21610,-5.11808878580727
21609,-5.00744222005206
21608,-4.5595764160156
21607,-4.28853963216144
21606,-4.14677530924477
21605,-6.91008097330727
21604,-4.45991617838539
21603,-6.61087646484373
21602,-6.44089355468748
21601,-5.00315958658852
21600,-4.09299316406248
21599,-2.65337727864581
21598,-4.40858561197914
21597,-3.97137044270831
21596,-5.92623494466144
21595,-3.15631713867185
21594,-5.79948527018227
21593,-4.75252888997394
21592,-3.72377115885414
21591,-8.76952718098956
21590,-6.71752522786456
21589,-4.17374267578123
21588,-7.43024291992185
21587,-2.99777832031248
21586,-2.98556111653644
21585,-5.40813802083331
21584,-3.57622884114581
21583,-4.13614501953123
21582,-3.39619547526039
21581,-4.39535115559894
21580,-3.57530314127602
21579,-2.50616048177081
21578,-4.10626831054685
21577,-2.13956298828123
21576,-6.63669433593748
21575,-4.27604777018227
21574,-3.41237996419269
21573,-5.50762532552081
21572,-4.17305094401039
21571,-3.50276285807289
21570,-3.68893025716144
21569,-5.46186930338539
21568,-4.59885253906248
21567,-3.75340372721352
21566,-8.6552795410156
21565,-6.06149902343748
21564,-8.64997965494789
21563,-3.46015014648435
21562,-4.55235392252602
21561,-2.53702392578123
21560,-6.06061401367185
21559,-6.00858154296873
21558,-5.35979817708331
21557,-6.14452718098956
21556,-7.31842651367185
21555,-5.62449747721352
21554,-7.10328776041664
21553,-6.11927897135414
21552,-5.08269856770831
21551,-6.97257080078123
21550,-6.20824788411456
21549,-4.26230468749998
21548,-3.07306518554685
21547,-3.39741617838539
21546,-4.14945068359373
21545,-3.10786539713539
21544,-4.83525187174477
21543,-3.70457560221352
21542,-5.31205851236977
21541,-3.59217936197914
21540,-4.5415100097656
21539,-4.96138102213539
21538,-4.66428222656248
21537,-4.46154378255206
21536,-4.13978678385414
21535,-3.72191975911456
21534,-3.62015380859373
21533,-3.83115234374998
21532,-4.41803588867185
21531,-4.77281290690102
21530,-4.08092854817706
21529,-3.86313476562498
21528,-7.57826334635414
21527,-4.18606160481769
21526,-4.3256896972656
21525,-2.78218180338539
21524,-3.13811848958331
21523,-4.55033976236977
21522,-3.3709777832031
21521,-2.94457600911456
21520,-5.15526936848956
21519,-5.37440592447914
21518,-6.13027547200519
21517,-5.08917846679685
21516,-5.66157633463539
21515,-4.57424519856769
21514,-5.70005900065102
21513,-3.74528605143227
21512,-3.69106648763019
21511,-4.75161336263019
21510,-5.70522664388019
21509,-3.19953002929685
21508,-6.1699279785156
21507,-2.69366048177081
21506,-6.27067667643227
21505,-3.47358805338539
21504,-4.37384643554685
21503,-5.65232950846352
21502,-3.86718343098956
21501,-6.10740763346352
21500,-6.34840494791664
21499,-4.15842285156248
21498,-6.61273803710935
21497,-4.00763549804685
21496,-5.28107299804685
21495,-5.24705607096352
21494,-5.07467244466144
21493,-5.12532145182289
21492,-2.03118489583331
21491,-5.3820861816406
21490,-4.1159729003906
21489,-2.59022623697914
21488,-5.44488118489581
21487,-6.65075276692706
21486,-3.80131632486977
21485,-9.21116739908852
21484,-5.62052001953123
21483,-4.34701131184894
21482,-4.74812418619789
21481,-5.97391357421873
21480,-7.43575642903644
21479,-6.49285481770831
21478,-4.74712727864581
21477,-5.70012003580727
21476,-4.48353678385414
21475,-3.68100585937498
21474,-7.68249104817706
21473,-6.57093912760414
21472,-4.6362365722656
21471,-4.51309814453123
21470,-4.36039835611977
21469,-8.5853332519531
21468,-5.82072550455727
21467,-6.12288004557289
21466,-4.72078043619789
21465,-2.1890930175781
21464,-3.43222656249998
21463,-5.53648478190102
21462,-3.32004394531248
21461,-5.43045654296873
21460,-4.92248128255206
21459,-3.62663370768227
21458,-4.04643351236977
21457,-2.87626749674477
21456,-4.66423136393227
21455,-4.18874715169269
21454,-8.31380818684894
21453,-2.69305013020831
21452,-5.76720784505206
21451,-5.08796793619789
21450,-6.79908854166664
21449,-8.17775065104164
21448,-4.1837219238281
21447,-5.31557820638019
21446,-5.14009195963539
21445,-5.72090250651039
21444,-5.32551676432289
21443,-5.81774495442706
21442,-5.10937093098956
21441,-3.62295125325519
21440,-5.99154256184894
21439,-4.72207234700519
21438,-2.89196370442706
21437,-5.92701822916664
21436,-5.80223185221352
21435,-4.21023152669269
21434,-7.40006103515623
21433,-5.09476318359373
21432,-5.77489827473956
21431,-4.23412679036456
21430,-4.93997802734373
21429,-6.26492919921873
21428,-6.35458984374998
21427,-4.44281616210935
21426,-6.31072591145831
21425,-5.06954549153644
21424,-3.34003295898435
21423,-4.34712320963539
21422,-6.64060058593748
21421,-3.62475179036456
21420,-5.58644205729164
21419,-4.77034098307289
21418,-3.7312072753906
21417,-6.12853597005206
21416,-7.17531941731769
21415,-4.33438720703123
21414,-5.37155761718748
21413,-2.54758300781248
21412,-3.35258585611977
21411,-2.48626302083331
21410,-4.08187459309894
21409,-3.36161905924477
21408,-6.20751546223956
21407,-4.55411376953123
21406,-2.94664103190102
21405,-2.40497436523435
21404,-4.13666381835935
