"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,0.370690917968773
21998,-0.421230061848936
21997,0.760237630208356
21996,0.366611735026064
21995,0.773238118489606
21994,0.155216471354189
21993,-0.166977945963519
21992,0.733982340494814
21991,0.739780680338564
21990,0.429467773437523
21989,0.866082763671898
21988,0.320458984375023
21987,0.932611083984398
21986,0.364434814453148
21985,0.659051513671898
21984,0.669071451822939
21983,0.763238525390648
21982,0.924849446614606
21981,1.14176839192711
21980,1.52813110351565
21979,0.896773274739606
21978,1.14459635416669
21977,0.409051513671898
21976,0.846124267578148
21975,1.09430338541669
21974,0.803816731770856
21973,0.738122558593773
21972,0.914860026041689
21971,0.410801188151064
21970,0.154585774739606
21969,0.373091634114606
21968,0.872125244140648
21967,0.254724121093773
21966,0.256534830729189
21965,0.200046793619814
21964,0.224471028645856
21963,0.256178792317731
21962,0.334415690104189
21961,0.980635579427106
21960,0.259088134765648
21959,0.492150878906273
21958,0.446934000651064
21957,0.666202799479189
21956,0.969333902994814
21955,0.120935058593773
21954,0.293227132161481
21953,0.764347330729189
21952,0.579543050130231
21951,0.514326985677106
21950,0.993330891927106
21949,0.350661214192731
21948,0.315260823567731
21947,0.567976888020856
21946,0.180668131510439
21945,0.426619466145856
21944,0.297458902994814
21943,0.476953125000023
21942,0.682224527994814
21941,0.681644694010439
21940,0.845493570963564
21939,0.446537272135439
21938,-0.0863098144531023
21937,-0.216965738932269
21936,0.862308756510439
21935,0.208856201171898
21934,0.495792643229189
21933,1.13880818684898
21932,0.593011474609398
21931,0.0803466796875227
21930,1.11910400390627
21929,-0.136704508463519
21928,1.19330240885419
21927,0.471724446614606
21926,0.594496663411481
21925,1.29470214843752
21924,0.762841796875023
21923,0.534427897135439
21922,0.565972900390648
21921,0.680830891927106
21920,0.491021728515648
21919,0.0902852376302311
21918,0.181878662109398
21917,0.782952880859398
21916,0.566176350911481
21915,0.166406250000023
21914,1.00803019205731
21913,0.0605611165364811
21912,0.921136474609398
21911,0.954980468750023
21910,0.619378662109398
21909,0.581740315755231
21908,-0.0629638671874773
21907,0.533797200520856
21906,-0.237575276692686
21905,0.839512125651064
21904,-0.0126302083333106
21903,0.382185872395856
21902,0.993727620442731
21901,-0.158127848307269
21900,0.375695800781273
21899,0.0672241210937727
21898,0.311802164713564
21897,0.534193929036481
21896,1.0460144042969
21895,0.718143717447939
21894,0.397922770182314
21893,0.184228515625023
21892,0.957137044270856
21891,1.05615641276044
21890,0.221358235677106
21889,0.468011474609398
21888,0.488407389322939
21887,0.643446858723981
21886,0.809269205729189
21885,0.660536702473981
21884,0.713444010416689
21883,-0.00932413736976893
21882,1.21010742187502
21881,0.442936197916689
21880,0.409071858723981
21879,0.948256429036481
21878,0.433190917968773
21877,0.345412190755231
21876,0.482293701171898
21875,0.748366292317731
21874,0.611260986328148
21873,0.586602783203148
21872,0.168450927734398
21871,0.201531982421898
21870,0.0932861328125227
21869,0.782545979817731
21868,0.604892985026064
21867,0.137170410156273
21866,0.467492675781273
21865,0.349908447265648
21864,0.610264078776064
21863,0.0794616699218977
21862,0.706608072916689
21861,1.37785237630211
21860,0.668817138671898
21859,0.498610432942731
21858,0.685449218750023
21857,0.431868489583356
21856,0.315901692708356
21855,0.654250081380231
21854,0.312514241536481
21853,0.227370198567731
21852,-0.324611409505186
21851,0.791192626953148
21850,0.974847412109398
21849,0.590824381510439
21848,0.755059814453148
21847,0.275160725911481
21846,0.172845458984398
21845,0.218174235026064
21844,0.310561116536481
21843,0.853814697265648
21842,0.640812174479189
21841,0.577834065755231
21840,0.347873942057314
21839,0.0935099283854394
21838,0.596195475260439
21837,0.468286132812523
21836,0.293257649739606
21835,0.298293050130231
