"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-2.28485209147133
21997,-2.31197204589841
21996,-1.6629216512044
21995,-2.18955078124998
21994,-1.01351267496743
21993,-2.46463114420571
21992,-1.79519755045571
21991,-1.41141866048175
21990,-1.7834533691406
21989,-1.29533487955727
21988,-1.65379689534503
21987,-1.9354309082031
21986,-2.17334086100258
21985,-1.80836842854815
21984,-2.17033487955727
21983,-1.2314259847005
21982,-0.952235921223936
21981,-1.49785970052081
21980,-0.31383361816404
21979,-1.19754892985024
21978,-1.06411844889321
21977,-1.41513926188149
21976,-0.931847635904925
21975,-1.5683171590169
21974,-1.28843027750649
21973,-1.23183034261065
21972,-1.31600545247394
21971,-2.09512939453123
21970,-2.46764729817706
21969,-3.02409973144529
21968,-1.83926493326821
21967,-2.23029937744138
21966,-1.60289611816404
21965,-2.92974446614581
21964,-2.33130238850909
21963,-2.35759328206378
21962,-2.76275482177732
21961,-1.97941945393878
21960,-2.44466501871743
21959,-1.82428843180336
21958,-2.17440897623696
21957,-1.47785542805987
21956,-1.05239969889321
21955,-1.68090922037758
21954,-1.55731302897133
21953,-1.09115702311196
21952,-0.923966471354144
21951,-1.23781687418618
21950,-1.96281789143878
21949,-1.91976013183591
21948,-1.46437428792315
21947,-1.76529541015623
21946,-1.5333312988281
21945,-2.47303110758461
21944,-2.67447509765623
21943,-2.11722920735675
21942,-1.91608276367185
21941,-1.97125600179034
21940,-1.95303446451821
21939,-2.48354441324868
21938,-2.08352254231769
21937,-2.77546793619789
21936,-1.51579640706378
21935,-2.014018758138
21934,-2.23573659261065
21933,-0.464086914062477
21932,-2.28323974609373
21931,-2.31407775878904
21930,-0.962482198079404
21929,-1.85389556884763
21928,-1.93905995686847
21927,-2.09639587402341
21926,-1.58577067057289
21925,-0.976184590657529
21924,-1.90658925374347
21923,-1.54542643229164
21922,-2.20986531575519
21921,-2.38401133219399
21920,-0.811425272623675
21919,-1.71437683105466
21918,-1.93413136800128
21917,-1.84308471679685
21916,-2.17015431722003
21915,-1.99868367513019
21914,-1.15229899088539
21913,-1.83898773193357
21912,-1.07895253499347
21911,-1.21287638346352
21910,-1.7678029378255
21909,-1.70883789062498
21908,-2.47183837890623
21907,-1.95515034993487
21906,-2.6593816121419
21905,-2.20319468180336
21904,-2.68033447265623
21903,-2.14381256103513
21902,-1.37103627522784
21901,-2.15072987874347
21900,-2.19692331949868
21899,-2.2407287597656
21898,-2.0219787597656
21897,-1.72649230957029
21896,-1.32146809895831
21895,-2.16772562662758
21894,-2.38562876383461
21893,-2.68445943196612
21892,-1.49023284912107
21891,-1.00687255859373
21890,-1.17754974365232
21889,-1.67147928873696
21888,-1.21150309244789
21887,-1.18429667154946
21886,-1.13766072591144
21885,-1.4981267293294
21884,-1.15415039062498
21883,-1.72335917154946
21882,-1.28989512125649
21881,-1.82950948079425
21880,-1.85410156249998
21879,-2.20249023437498
21878,-2.78257090250649
21877,-2.16558430989581
21876,-1.4739313761393
21875,-2.01009979248045
21874,-2.34098663330076
21873,-2.1119674682617
21872,-1.3832331339518
21871,-2.30834045410154
21870,-1.79519246419269
21869,-2.41108551025388
21868,-2.27112681070961
21867,-2.08187204996743
21866,-2.69402160644529
21865,-3.37035725911456
21864,-1.34573974609373
21863,-2.33327585856118
21862,-1.75419718424477
21861,-1.89355570475258
21860,-2.02549845377602
21859,-1.71434122721352
21858,-1.75096232096352
21857,-1.60014699300128
21856,-1.8240544637044
21855,-2.41109313964841
21854,-2.11658579508461
21853,-2.46193033854164
21852,-3.10363616943357
21851,-3.04876556396482
21850,-1.97977040608722
21849,-1.85218404134112
21848,-1.12330220540362
21847,-1.53002777099607
21846,-2.56010538736977
21845,-2.90167083740232
21844,-1.51565653483071
21843,-1.32011515299477
21842,-2.12043355305987
21841,-1.8303283691406
21840,-2.89832661946612
21839,-1.88250325520831
21838,-1.79723968505857
21837,-1.10020294189451
21836,-2.31586558024086
21835,-1.82331695556638
21834,-2.22465871175128
21833,-1.56918690999347
21832,-1.85398966471352
21831,-1.24895070393878
21830,-1.24375254313149
21829,-2.05350087483722
21828,-2.48914438883461
21827,-1.51219278971352
21826,-2.14859110514321
21825,-1.12117614746091
21824,-1.44516092936196
21823,-1.81530863444008
21822,-1.92973683675128
21821,-0.782726033528623
21820,-1.81158294677732
21819,-1.56510772705076
21818,-1.68618876139321
21817,-1.36859741210935
21816,-1.00394287109373
21815,-1.55141550699868
21814,-1.1407760620117
21813,-1.42897644042966
21812,-1.59807942708331
21811,-1.90212097167966
21810,-1.64725596110024
21809,-1.7732223510742
21808,-0.898291015624977
21807,-1.13502349853513
21806,-1.60402018229164
21805,-1.71990814208982
21804,-1.93636932373045
21803,-2.61154530843097
21802,-2.2056945800781
21801,-4.11644846598305
21800,-3.06285451253253
21799,-3.08582661946612
21798,-2.56847737630206
21797,-2.03549804687498
21796,-1.9605036417643
21795,-2.83858591715493
21794,-2.59182840983071
21793,-3.18610992431638
21792,-2.35145416259763
21791,-3.16212310791013
21790,-3.42509562174477
21789,-3.46927744547524
21788,-2.52589009602862
21787,-1.38876444498696
21786,-1.90419108072914
21785,-1.47438659667966
21784,-1.84222005208331
21783,-1.94987589518227
21782,-1.52663269042966
21781,-1.12091929117836
21780,-1.17513885498045
21779,-1.5875534057617
21778,-1.22964579264321
21777,-1.32343139648435
21776,-1.10435841878253
21775,-1.32391967773435
21774,-1.4903625488281
21773,-1.52101745605466
21772,-1.59170125325519
21771,-2.16855214436847
21770,-2.14317169189451
21769,-1.9054753621419
21768,-2.42168782552081
21767,-2.48290100097654
21766,-0.707530721028623
21765,-0.604457600911436
21764,-1.46924692789711
21763,-1.18759765624998
21762,-1.96356557210284
21761,-1.10366160074868
21760,-1.79546203613279
21759,-0.874675496419248
21758,-0.768080139160134
21757,-2.40345611572263
21756,-1.92811940511065
21755,-1.56104634602862
21754,-2.51342875162758
21753,-1.7878224690755
21752,-2.02895456949868
21751,-2.36333058675128
21750,-2.57259470621743
21749,-1.66778411865232
21748,-1.69403686523435
21747,-1.11813964843748
21746,-1.92331034342446
21745,-1.79021301269529
21744,-2.23487447102862
21743,-2.03700866699216
