"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-3.49334309895831
21997,-3.1827453613281
21996,-0.916743977864561
21995,-0.894384765624977
21994,-1.33371582031248
21993,-0.447210693359352
21992,-0.247635904947894
21991,-1.09330851236977
21990,-1.70340576171873
21989,-1.24342447916664
21988,-0.906937662760394
21987,-0.757482910156227
21986,-0.175624593098936
21985,-4.82577107747394
21984,-2.51437988281248
21983,-0.354010009765602
21982,-0.544653320312477
21981,0.254378255208356
21980,-1.19391479492185
21979,0.408776855468773
21978,0.976515706380231
21977,-1.18691609700519
21976,-2.16839192708331
21975,0.567030843098981
21974,-0.243343098958311
21973,-0.790441894531227
21972,-1.58458048502602
21971,0.309503173828148
21970,-1.31508992513019
21969,-0.753393554687477
21968,-2.41819864908852
21967,-0.0754252115885189
21966,-0.0100870768228939
21965,-2.92667236328123
21964,0.0264424641927311
21963,-0.538387044270811
21962,-1.29963785807289
21961,-0.865413411458311
21960,-4.64653116861977
21959,-1.38819986979164
21958,-0.347652180989561
21957,-0.638047281901019
21956,0.480411783854189
21955,-0.250331624348936
21954,-2.27036132812498
21953,-2.17872721354164
21952,-1.38475138346352
21951,-1.62520955403644
21950,-0.296352132161436
21949,-0.914251708984352
21948,0.0529520670573144
21947,0.647882080078148
21946,-0.596706136067686
21945,0.0667968750000227
21944,1.17336425781252
21943,-1.76695353190102
21942,-0.636297607421852
21941,-2.88018391927081
21940,0.0870605468750227
21939,0.148533121744814
21938,0.220747884114606
21937,-0.972794596354144
21936,-2.73004760742185
21935,-0.240128580729144
21934,0.627048746744814
21933,0.494154866536481
21932,0.266269938151064
21931,-0.396276855468727
21930,0.426772054036481
21929,-0.287827555338519
21928,-0.295680745442686
21927,-0.958858235677061
21926,-0.0569010416666439
21925,-0.528316243489561
21924,-0.474259440104144
21923,0.559645589192731
21922,-2.85438639322914
21921,-1.09255574544269
21920,-0.450120035807269
21919,0.419630940755231
21918,-0.601955159505186
21917,-0.866776529947894
21916,-0.628892008463519
21915,-0.277248128255186
21914,0.0611816406250227
21913,-2.10184326171873
21912,-1.08456013997394
21911,0.794010416666689
21910,-1.97218424479164
21909,0.190647379557314
21908,-0.333095296223936
21907,0.988936360677106
21906,0.617578125000023
21905,0.0869181315104394
21904,-1.26258951822914
21903,-0.937872314453102
21902,-0.299251302083311
21901,-0.367213948567686
21900,-3.59347127278644
21899,-0.348842366536436
21898,-3.70309041341144
21897,0.447361246744814
21896,0.101495361328148
21895,-0.204005940755186
21894,0.358076985677106
21893,-0.683498128255186
21892,-6.89721272786456
21891,-0.00122680664060226
21890,-4.89122111002602
21889,-0.334722900390602
21888,-7.72085164388019
21887,-2.53216145833331
21886,-1.29439900716144
21885,0.0460449218750227
21884,-0.133072916666644
21883,-0.459702555338519
21882,-4.55301513671873
21881,-0.875626627604144
21880,0.234246826171898
21879,-1.82939249674477
21878,-1.26079915364581
21877,0.654484049479189
21876,-0.258022054036436
21875,-3.64529012044269
21874,-4.64116007486977
21873,-4.83345133463539
21872,-2.80149943033852
21871,0.420576985677106
21870,-0.436763509114561
21869,-7.91132202148435
21868,-0.497574869791644
21867,-0.278702799479144
21866,-0.532446289062477
21865,-0.963975016276019
21864,-1.00531616210935
21863,-0.465480550130186
21862,-0.405767822265602
21861,-0.0394958496093523
21860,-2.30175374348956
21859,-0.480413818359352
21858,-0.887589518229144
21857,-0.626542154947894
21856,-2.64379475911456
21855,0.202233886718773
21854,-0.510361735026019
21853,-1.70147298177081
21852,0.334670003255231
21851,0.852878824869814
21850,-0.211228434244769
21849,-0.904862467447894
21848,0.478540039062523
21847,-1.44440307617185
21846,-1.49703572591144
21845,0.663039143880231
21844,-2.40756835937498
21843,-0.226171874999977
21842,-3.49163411458331
21841,0.445001220703148
21840,-0.398219807942686
21839,-4.06190592447914
21838,-1.07577107747394
21837,0.302799479166689
21836,-1.02773640950519
21835,0.429172770182314
21834,0.709090169270856
21833,0.120833333333356
21832,-0.720882161458311
21831,0.660058593750023
21830,0.295851643880231
21829,-0.429144287109352
21828,0.143477376302106
21827,-1.83684895833331
21826,-0.494187418619769
21825,-0.108516438802061
21824,0.144942220052106
21823,-1.46248982747394
21822,-0.943701171874977
21821,-1.35130411783852
21820,-0.678127034505186
21819,0.0100240071614811
21818,-1.67119954427081
21817,-0.240494791666644
21816,-1.63216756184894
21815,-0.366328938802061
21814,-0.236802164713519
21813,-1.64670410156248
21812,-2.32534383138019
21811,-0.303900146484352
21810,-1.88447672526039
21809,-1.55069580078123
21808,-0.672837320963519
21807,-1.22802327473956
21806,0.0497172037760644
21805,-0.347214762369769
21804,-2.41257324218748
21803,0.128869628906273
21802,0.514316813151064
21801,-0.584427897135394
21800,-0.283697509765602
21799,0.195723470052106
21798,0.622979736328148
21797,-3.35078531901039
21796,0.318149820963564
21795,0.191094970703148
21794,0.319106038411481
21793,0.932855224609398
21792,-0.123714192708311
21791,0.176558430989606
21790,0.430139160156273
21789,-0.224066162109352
21788,-1.53628133138019
21787,0.202498372395856
21786,-5.39969482421873
21785,-1.55610758463539
21784,-1.69335530598956
21783,-1.51928304036456
21782,0.675134277343773
21781,-1.69334513346352
21780,-0.0563720703124773
21779,0.339980061848981
21778,-0.324275716145811
21777,-1.00048421223956
21776,0.600610351562523
21775,-0.534063720703102
21774,-2.18838094075519
