"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,3.2221618652344
21998,2.48967895507815
21997,3.50851847330731
21996,3.2691589355469
21995,3.49648437500002
21994,3.47688191731773
21993,3.73042195638023
21992,3.09249267578127
21991,2.96408487955731
21990,2.64828898111981
21989,2.38426106770836
21988,3.30071411132815
21987,3.22696329752606
21986,3.16202189127606
21985,2.70650634765627
21984,2.82278849283856
21983,2.85587972005211
21982,4.45411580403648
21981,4.01528320312502
21980,3.92022094726565
21979,4.25872192382815
21978,3.79547526041669
21977,3.09844360351565
21976,3.48134765625002
21975,4.27769368489586
21974,3.99304606119794
21973,3.98365681966148
21972,3.69055582682294
21971,4.30233154296877
21970,4.08417154947919
21969,3.90510457356773
21968,3.31654256184898
21967,4.08513793945315
21966,2.99603678385419
21965,2.29994099934898
21964,3.25362548828127
21963,3.49888509114586
21962,3.44775797526044
21961,3.29371541341148
21960,4.42985432942711
21959,2.73684082031252
21958,3.62370198567711
21957,3.95639444986981
21956,4.09924723307294
21955,3.9429870605469
21954,2.93135986328127
21953,2.70015869140627
21952,3.83314412434898
21951,3.05462036132815
21950,4.17734171549481
21949,3.89016113281252
21948,3.66604003906252
21947,4.03610636393231
21946,4.44686279296877
21945,4.84662272135419
21944,4.39781087239586
21943,3.14143269856773
21942,3.79692993164065
21941,3.32256469726565
21940,3.74610799153648
21939,4.37211507161461
21938,4.36987711588544
21937,4.05703125000002
21936,3.53132527669273
21935,4.06153767903648
21934,3.71974080403648
21933,3.92041422526044
21932,4.02409261067711
21931,3.55441691080731
21930,4.35703938802086
21929,3.3878112792969
21928,3.77618815104169
21927,3.4924255371094
21926,3.90076090494794
21925,3.52213948567711
21924,4.14131062825523
21923,3.34046834309898
21922,2.48783772786461
21921,3.52030843098961
21920,3.40578613281252
21919,3.22813313802086
21918,2.91842041015627
21917,3.55905558268231
21916,3.96907958984377
21915,3.44655761718752
21914,4.22074788411461
21913,3.03027750651044
21912,3.96383056640627
21911,4.21528523763023
21910,3.84965413411461
21909,4.35361124674481
21908,3.71665852864586
21907,4.27259724934898
21906,4.0323425292969
21905,4.36977539062502
21904,3.68351643880211
21903,3.34597167968752
21902,2.92906087239586
21901,2.80476277669273
21900,2.99208984375002
21899,3.57688802083336
21898,2.94619140625002
21897,3.46256917317711
21896,4.37341715494794
21895,4.88501383463544
21894,3.96322021484377
21893,3.19416707356773
21892,2.21067708333336
21891,3.03681844075523
21890,2.59767049153648
21889,2.23141886393231
21888,2.04473266601565
21887,1.34644978841148
21886,3.14980468750002
21885,3.76510009765627
21884,4.04934082031252
21883,3.42588704427086
21882,2.12992757161461
21881,3.5535827636719
21880,4.20427856445315
21879,2.87134195963544
21878,3.63167724609377
21877,4.15118815104169
21876,3.68213297526044
21875,3.85272623697919
21874,2.53159993489586
21873,2.1226745605469
21872,3.6352478027344
21871,3.73921101888023
21870,4.05208740234377
21869,2.55026652018231
21868,3.75187581380211
21867,2.98975016276044
21866,3.18915201822919
21865,3.02483520507815
21864,2.92033284505211
21863,3.59938964843752
21862,3.33565673828127
21861,3.42352701822919
21860,2.20795084635419
21859,3.31700032552086
21858,3.66897989908856
21857,3.39861450195315
21856,2.64389444986981
21855,3.32276814778648
21854,3.00535481770836
21853,3.20049438476565
21852,4.72488810221356
21851,3.68477783203127
21850,4.26066487630211
21849,3.76237386067711
21848,4.20057576497398
21847,3.78596394856773
21846,3.22014770507815
21845,3.51604614257815
21844,3.10937906901044
21843,3.26885375976565
21842,2.81464029947919
21841,3.71668904622398
21840,3.91208292643231
21839,3.19569295247398
21838,2.94588623046877
21837,3.0898376464844
21836,4.11866658528648
21835,3.89411824544273
21834,4.5288024902344
21833,4.3976989746094
21832,3.95024007161461
21831,3.93210245768231
21830,3.81367390950523
21829,3.81630859375002
21828,3.20688273111981
21827,3.47397257486981
21826,3.41887817382815
21825,3.45874430338544
21824,3.67560221354169
21823,3.53610636393231
21822,3.75416463216148
21821,2.87226765950523
21820,3.36965332031252
21819,2.98934326171877
21818,3.58097737630211
21817,3.88639729817711
21816,3.30300292968752
21815,4.04867960611981
21814,3.6039978027344
21813,3.72547810872398
21812,3.36870727539065
21811,3.34427286783856
21810,3.43470662434898
21809,3.72811279296877
21808,3.5104919433594
21807,3.71060587565106
21806,3.1558776855469
21805,2.20660807291669
21804,2.99992268880211
21803,3.63995768229169
21802,4.01301472981773
21801,3.4736267089844
21800,3.90267333984377
21799,3.83822021484377
21798,3.84840291341148
21797,2.85428263346356
21796,3.72605794270836
21795,3.91018066406252
21794,4.66584676106773
21793,4.31643066406252
21792,4.28296305338544
21791,3.38159586588544
21790,4.11465861002606
21789,3.99337158203127
21788,4.02662556966148
21787,3.32194417317711
21786,2.02860921223961
21785,2.98105265299481
21784,3.19898885091148
21783,2.99574178059898
21782,3.28745930989586
21781,3.5450378417969
21780,3.62700805664065
21779,3.77766316731773
21778,3.18064778645836
21777,3.40535888671877
21776,4.48305664062502
21775,4.01795857747398
21774,3.99860026041669
21773,5.15557250976565
21772,3.96042277018231
21771,3.71704508463544
21770,3.24001464843752
21769,2.92759602864586
21768,4.14482014973961
21767,3.61465861002606
21766,3.19815470377606
21765,3.85554402669273
21764,3.58042805989586
21763,3.33401896158856
21762,2.99915974934898
21761,3.3181091308594
21760,3.35982666015627
21759,3.48988240559898
21758,3.51506958007815
21757,3.88905232747398
21756,3.37642822265627
21755,3.3642517089844
21754,3.66167602539065
21753,3.91061808268231
21752,4.09971516927086
21751,4.51422526041669
21750,4.50769449869794
21749,4.01088867187502
21748,4.67436116536461
21747,3.16310017903648
21746,3.79057210286461
21745,3.72147013346356
21744,4.28609619140627
21743,3.33701985677086
21742,3.94202067057294
21741,3.70567220052086
21740,3.45582478841148
21739,3.90169677734377
21738,3.38849283854169
21737,3.87391560872398
21736,3.73471476236981
21735,3.5526062011719
21734,3.84321492513023
21733,4.55002237955731
21732,4.41989542643231
21731,3.49520263671877
21730,3.0899597167969
21729,3.66373087565106
21728,3.56776326497398
21727,4.02081705729169
21726,4.33083496093752
21725,3.44375000000002
21724,3.87381388346356
21723,2.68664957682294
21722,3.5205017089844
21721,3.96846923828127
21720,4.04941202799481
21719,3.75640258789065
21718,2.65130004882815
21717,3.29702148437502
21716,3.0882507324219
21715,3.02153930664065
21714,3.69056599934898
21713,3.48686116536461
21712,3.22393188476565
21711,2.93793131510419
21710,3.93143107096356
21709,3.88318277994794
21708,3.85322469075523
21707,3.92178751627606
21706,4.3411804199219
21705,3.89963175455731
21704,4.04794718424481
21703,3.35723266601565
21702,3.58005167643231
21701,3.0034118652344
21700,3.06336873372398
21699,3.35576782226565
21698,4.26672770182294
21697,3.54455973307294
21696,4.18945719401044
21695,3.94058634440106
21694,1.93117675781252
21693,2.50881347656252
21692,2.79435628255211
21691,2.99905802408856
