"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,0.4689397176107
21998,-1.02279256184894
21997,0.349987284342471
21996,1.12259572347007
21995,1.15253601074221
21994,1.32284952799481
21993,1.57016398111981
21992,0.861624654134137
21991,0.780577596028669
21990,0.244050598144554
21989,-0.25121154785154
21988,0.787136332194033
21987,1.21388397216799
21986,0.903403218587262
21985,-0.142340087890602
21984,0.481014506022158
21983,1.05083618164065
21982,1.78764750162763
21981,1.64573567708336
21980,1.31988169352216
21979,2.19373728434247
21978,1.77031860351565
21977,0.984170532226585
21976,1.08771921793622
21975,2.16502787272138
21974,1.53267059326174
21973,1.5440129597982
21972,1.16179555257164
21971,1.96323038736981
21970,1.16917317708336
21969,0.943172709147158
21968,1.06906789143882
21967,1.75354919433596
21966,0.42407887776695
21965,-0.180932108561175
21964,1.24992777506513
21963,1.25245056152346
21962,1.16841278076174
21961,0.788807169596377
21960,0.927166239420596
21959,0.0752324422200748
21958,1.07860463460289
21957,1.76190083821617
21956,1.89429626464846
21955,1.90485026041669
21954,-0.144433085123675
21953,0.563966369628929
21952,1.1731150309245
21951,1.07498067220054
21950,1.22218475341799
21949,1.81162160237632
21948,1.70027821858726
21947,1.94105682373049
21946,1.85946553548179
21945,2.21774190266929
21944,2.27429860432945
21943,0.177982584635439
21942,1.61213073730471
21941,0.512534077962262
21940,2.0194768269857
21939,2.10867462158205
21938,1.78158213297528
21937,1.55171864827476
21936,0.796805318196637
21935,1.95899098714195
21934,2.16428782145185
21933,1.68427937825523
21932,1.92637786865237
21931,1.32473398844403
21930,2.03425496419273
21929,1.16487782796226
21928,1.12915445963544
21927,1.27020416259768
21926,1.44659067789716
21925,1.12484639485679
21924,2.02386627197268
21923,0.966793314615908
21922,0.0320526123047102
21921,1.46000569661461
21920,0.586885070800804
21919,1.49509328206382
21918,0.955191548665387
21917,1.53536376953127
21916,1.48012949625653
21915,1.73527425130211
21914,1.78780008951825
21913,0.471164957682314
21912,1.55852152506513
21911,1.88540547688804
21910,1.29042968750002
21909,2.13873189290367
21908,1.68666229248049
21907,2.17948811848961
21906,2.12477773030601
21905,2.06370697021487
21904,1.28695068359377
21903,1.2889343261719
21902,0.841569519042991
21901,1.09975840250653
21900,-0.228989664713519
21899,1.60030517578127
21898,0.6632756551107
21897,1.03370310465497
21896,2.18132934570315
21895,2.57004954020185
21894,1.75359497070315
21893,0.826053873697939
21892,-1.41803334554034
21891,1.06418762207034
21890,-0.625034077962217
21889,0.0084421793620019
21888,-2.67511596679685
21887,-1.08324534098305
21886,1.29399515787763
21885,1.6450388590495
21884,1.69801483154299
21883,1.03518575032554
21882,-0.969056193033831
21881,1.30249938964846
21880,1.6741144816081
21879,0.730836486816429
21878,1.31144104003909
21877,2.00431213378909
21876,1.44400177001955
21875,0.494643147786481
21874,-0.953515116373675
21873,-0.758879089355446
21872,0.979483540852887
21871,1.57529093424481
21870,1.04572957356773
21869,-1.06516367594399
21868,1.83728434244794
21867,1.11188913981122
21866,1.37720896402997
21865,0.800940450032575
21864,1.28807729085289
21863,0.917568461100283
21862,1.29901529947919
