"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,1.35194295247398
21997,2.38681945800784
21996,2.23528442382815
21995,2.54861857096356
21994,2.62433268229169
21993,3.00530395507815
21992,1.79497680664065
21991,2.00102132161461
21990,1.73710530598961
21989,0.848616536458356
21988,2.51721598307294
21987,2.33155212402346
21986,2.40096944173179
21985,1.49920552571617
21984,1.96198425292971
21983,1.78058268229169
21982,3.03465169270836
21981,2.85897725423179
21980,2.79820149739586
21979,3.22773132324221
21978,2.81974690755211
21977,2.12334594726565
21976,2.531635538737
21975,3.45626220703127
21974,3.05798746744794
21973,2.89531351725263
21972,2.78407185872398
21971,3.29250488281252
21970,3.05508321126304
21969,2.58421732584638
21968,2.34080403645836
21967,3.22105814615888
21966,1.96402893066409
21965,1.21500549316409
21964,2.33906453450523
21963,2.43086649576825
21962,2.51497294108075
21961,2.43076985677086
21960,2.88822326660159
21959,1.5332224527995
21958,2.39153951009117
21957,2.86674906412763
21956,3.01661580403648
21955,3.03216451009117
21954,1.91821695963544
21953,1.85312805175784
21952,2.7476745605469
21951,2.34043782552086
21950,2.77014058430992
21949,3.01062418619794
21948,2.72581380208336
21947,3.16008402506513
21946,3.38834025065106
21945,3.89221598307294
21944,3.45370381673179
21943,2.21088053385419
21942,3.01790262858075
21941,1.63743489583336
21940,3.07205098470054
21939,3.40249023437502
21938,3.20028076171877
21937,3.03049112955731
21936,2.4594919840495
21935,3.28342590332034
21934,2.98962300618492
21933,2.90352783203127
21932,2.94363810221356
21931,2.76248575846356
21930,3.23565572102867
21929,2.40453999837242
21928,2.75907287597659
21927,2.55999145507815
21926,2.81552530924481
21925,2.67619730631513
21924,3.25299987792971
21923,2.36112874348961
21922,1.85701904296877
21921,2.58541768391929
21920,1.97049865722659
21919,2.53401082356773
21918,2.09812316894534
21917,2.49901224772138
21916,2.95845438639325
21915,2.76862996419273
21914,3.13968811035159
21913,2.00076192220054
21912,2.78550109863284
21911,3.25861002604169
21910,2.83799133300784
21909,3.36357014973961
21908,2.73466898600263
21907,3.0366404215495
21906,3.32405497233075
21905,3.43407084147138
21904,2.75156046549481
21903,2.44481302897138
21902,1.98654073079429
21901,2.00535481770836
21900,1.95349019368492
21899,2.49362080891929
21898,2.32052510579429
21897,2.41112162272138
21896,3.42292683919273
21895,3.85938415527346
21894,3.02631530761721
21893,2.12750142415367
21892,0.82880554199221
21891,1.85486246744794
21890,1.50051778157554
21889,1.35317382812502
21888,0.492166137695335
21887,0.125390625000023
21886,2.39401652018231
21885,2.91738281250002
