"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-2.29328511555987
21997,-1.88818461100258
21996,-0.671102905273415
21995,-0.168859863281227
21994,-0.304581705729144
21993,0.536416625976585
21992,0.214344278971377
21991,-0.413514200846331
21990,-1.3931945800781
21989,-1.52816874186196
21988,-0.783260091145811
21987,-0.534948730468727
21986,0.33112487792971
21985,-2.45134073893227
21984,-1.14670410156248
21983,0.360152180989606
21982,0.425856526692731
21981,0.452879842122419
21980,0.0485066731771061
21979,0.764825439453148
21978,1.25421040852867
21977,-0.324982706705706
21976,-0.489024861653623
21975,0.939080810546898
21974,0.0939117431640852
21973,0.0692281087239811
21972,-0.718272908528623
21971,0.650501505533877
21970,-0.738979085286436
21969,0.252201334635439
21968,-1.03209533691404
21967,0.716887410481794
21966,-0.288290405273415
21965,-2.10247904459633
21964,-0.307109578450498
21963,0.0741821289062727
21962,-0.0634318033853939
21961,0.0273173014323144
21960,-2.04910888671873
21959,-1.15006612141925
21958,-0.263850911458311
21957,0.108611043294294
21956,1.01680908203127
21955,0.532612101237002
21954,-1.55080769856769
21953,-0.878368123372373
21952,-0.170451863606748
21951,-0.600617472330706
21950,-0.251659138997373
21949,0.0929962158203352
21948,0.574553426106794
21947,1.01639200846356
21946,0.391300455729189
21945,0.620167032877627
21944,1.11337178548179
21943,-1.48656819661456
21942,0.0636789957682519
21941,-1.11184285481769
21940,1.11642862955731
21939,0.673455810546898
21938,0.700199381510439
21937,0.252516682942731
21936,-1.24346008300779
21935,0.400150553385439
21934,1.27545064290367
21933,1.07343953450523
21932,0.481413777669294
21931,0.454939778645856
21930,0.41077575683596
21929,-0.0693929036458106
21928,0.275781250000023
21927,-0.830089314778623
21926,0.787169392903669
21925,-0.153463745117165
21924,-0.274994913736956
21923,0.267093912760439
21922,-1.75100809733071
21921,-0.396826171874977
21920,-0.672694905598936
21919,0.524062093098981
21918,0.261636352539085
21917,-0.194250488281227
21916,0.281254069010439
21915,0.566471354166689
21914,0.692631022135439
21913,-1.02217203776039
21912,-0.203894042968727
21911,0.900938924153669
21910,-0.438848876953102
21909,0.78394470214846
21908,0.584110514322939
21907,1.38730265299481
21906,0.798262532552106
21905,0.958215332031273
21904,0.00538533528648107
21903,0.244307454427106
21902,0.0194641113281477
21901,-0.23076477050779
21900,-1.84594319661456
21899,-0.161688232421852
21898,-1.01678059895831
21897,0.284600830078148
21896,0.756148274739606
21895,0.491042073567731
21894,1.36127624511721
21893,-0.144603474934873
21892,-3.94357910156248
21891,0.261132812500023
21890,-2.89161783854164
21889,-0.290858968098936
21888,-5.97963562011716
21887,-2.63397318522133
21886,-0.602952067057269
21885,0.736896769205752
21884,0.327406819661481
21883,0.242817179362002
21882,-3.47314046223956
21881,-0.341319783528623
21880,0.55384216308596
21879,-0.560552978515602
21878,-0.470495605468727
21877,0.873885091145856
21876,0.285201009114606
21875,-1.40205993652341
21874,-2.74939066569008
21873,-2.33623860677081
21872,-1.60124816894529
21871,0.794524129231794
21870,0.35700378417971
21869,-3.97646179199216
21868,-0.0337331136067481
21867,0.569065348307314
21866,-0.120540364583311
21865,0.0582824707031477
21864,-0.39696350097654
21863,0.0276529947916894
21862,0.212426757812523
21861,0.351159667968773
21860,-1.17253723144529
21859,-0.0995188395182064
21858,0.295388793945335
21857,0.155994669596377
21856,-1.04959208170571
21855,0.506056722005231
21854,0.549981689453148
21853,-0.441758219401019
21852,0.840753173828148
21851,1.29817606608075
21850,0.445860799153669
21849,0.374876912434919
21848,0.233066813151064
21847,-0.000214640299456429
21846,-0.853155517578102
21845,0.508503214518252
21844,-0.691987101236956
21843,0.0747263590495019
21842,-1.43975423177081
21841,0.631392415364606
21840,0.0285532633463769
21839,-1.40827026367185
21838,-0.952861531575498
21837,0.0387461344401269
21836,-0.298340861002581
21835,0.703302001953148
21834,0.815398152669294
21833,0.495792643229189
21832,0.253691609700544
21831,0.961033121744814
21830,0.993239339192731
21829,0.104984537760439
21828,-0.0659749348958106
21827,-1.25365295410154
21826,0.173450724283877
21825,-0.701071166992165
21824,0.163995361328148
21823,-0.930604044596331
21822,-0.00139465332028976
21821,-1.28389587402341
21820,-0.504492187499977
21819,0.0072062174479394
21818,-0.478450520833311
21817,0.591877237955752
21816,-0.209753417968727
21815,0.0350331624349186
21814,0.532276407877627
21813,-1.064555867513
21812,-0.88323059082029
21811,0.246499633789085
21810,-0.814179484049456
21809,-1.26786905924477
21808,0.116535441080752
21807,0.242761230468773
21806,0.00654500325523107
21805,0.129256184895856
21804,-1.63265584309894
21803,0.238417561848981
21802,0.797692871093773
21801,-0.0089070638020606
21800,0.116799926757835
21799,0.0732004801432519
21798,1.13894042968752
21797,-1.90566609700519
21796,0.534290568033877
21795,0.515842692057314
21794,1.14179890950523
21793,1.25383911132815
21792,0.727990722656273
21791,0.659361775716169
21790,0.713189697265648
21789,0.449741617838564
21788,-0.47228088378904
21787,0.477354939778669
21786,-3.36510314941404
21785,-0.794419352213519
21784,-1.27241617838539
21783,-0.705018107096331
21782,1.02457580566409
21781,-0.34990539550779
21780,0.485508219401064
21779,0.911879475911481
21778,0.0517262776692936
21777,-0.28063049316404
21776,1.25102132161461
21775,0.248839314778669
21774,-0.773011271158831
21773,0.656732177734398
21772,0.264337158203148
21771,-0.578100585937477
21770,-0.678900146484352
21769,-0.632442220052061
21768,0.0935709635416894
21767,0.199614461263044
21766,-0.0202290852864356
21765,0.830809529622419
21764,-0.0202189127603939
21763,-0.713852945963519
21762,0.392399088541689
21761,0.494292195638044
21760,-1.04985656738279
21759,0.612720743815127
21758,0.308333333333356
21757,0.486912027994814
21756,0.348082478841169
21755,-0.0928609212239356
21754,0.215895589192731
21753,1.21062622070315
21752,0.88190612792971
21751,1.53056742350263
21750,1.07637939453127
21749,0.699828084309919
21748,0.514143880208356
21747,0.429956054687523
21746,0.653771972656273
21745,-0.0678721110025814
21744,0.887297566731794
21743,0.271056111653669
21742,0.834395345052106
21741,0.851454671223981
21740,0.413115437825544
21739,0.355004882812523
21738,-1.37002665201821
21737,-0.749141438802061
21736,0.722736612955752
21735,0.51728210449221
21734,0.360309855143252
21733,1.08420206705731
21732,0.403034464518252
21731,0.599521891276064
21730,-2.62118123372394
21729,-0.319006347656227
21728,0.162515258789085
21727,0.277317301432314
21726,0.376295979817731
21725,0.529992675781273
21724,1.11923624674481
21723,-2.58101501464841
21722,0.633106486002627
21721,0.657037353515648
21720,0.309843953450544
21719,-0.0942749023437273
21718,0.241499837239606
21717,0.181263224283877
21716,0.608188883463564
21715,-2.19958089192706
21714,-0.233216349283831
21713,-0.955399576822894
21712,-0.357651774088519
21711,0.605930582682314
21710,-1.94876708984373
21709,-0.581355794270811
21708,-0.723577880859352
21707,0.570153808593773
21706,0.515944417317731
21705,1.14536946614586
21704,1.0000193277995
21703,-1.79810689290362
21702,-1.0612854003906
21701,-1.31192626953123
21700,-0.725500488281227
21699,0.370884195963564
21698,0.429762776692731
21697,0.10852966308596
21696,0.643497721354189
21695,0.374220784505231
21694,-5.05626525878904
21693,-2.35550028483071
21692,-0.512421671549456
21691,-0.777197265624977
21690,-3.19151916503904
21689,-0.0317443847656023
21688,-0.0768697102864356
21687,0.445357259114606
21686,0.160674031575544
21685,-0.671545410156227
21684,0.0566955566406477
21683,-0.154918416341123
21682,-0.208624267578102
21681,0.226078287760439
21680,0.841261800130231
21679,1.05099385579429
21678,0.125304158528669
21677,-2.29742024739581
21676,-2.10456441243487
21675,-0.667817179361956
21674,0.308882649739606
21673,0.52582702636721
21672,-0.911789957682269
21671,-0.120652262369769
21670,-0.417049153645811
21669,0.544030761718773
21668,0.14344177246096
21667,-1.81048177083331
21666,-0.106273396809873
21665,-1.02449645996091
21664,-1.57706298828123
21663,0.224501546223981
21662,-2.54605712890623
21661,-1.23141072591144
21660,-2.721294148763
21659,-1.21963602701821
21658,-0.112142944335915
21657,-0.210526529947894
21656,0.177982584635439
21655,-1.09448343912758
21654,-1.04191691080727
21653,-2.525737508138
21652,0.141020711263044
21651,-0.157893880208311
21650,-2.07909240722654
21649,-1.35342508951821
21648,-0.576116943359352
21647,-0.0165008544921648
21646,-0.125880940755186
21645,-0.870713297526019
21644,0.525435384114606
21643,0.236306762695335
21642,0.98316345214846
21641,0.00826416015627274
21640,0.250527954101585
21639,0.533919270833356
21638,1.05425923665367
21637,0.89643249511721
21636,0.158990478515648
21635,-0.703166707356748
21634,0.322452799479189
21633,0.570804850260439
21632,0.230996704101585
21631,0.526783243815127
