"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,0.190942382812523
21998,-0.910854085286436
21997,-0.443406168619769
21996,-1.42399698893227
21995,-1.31682942708331
21994,-1.5158752441406
21993,-0.144750976562477
21992,0.0742635091146061
21991,-0.821854654947894
21990,0.107965087890648
21989,-1.23690388997394
21988,-2.45338541666664
21987,-0.561275227864561
21986,-0.748419189453102
21985,-0.842036946614561
21984,-0.0442769368489356
21983,-0.614589436848936
21982,0.112003580729189
21981,0.00852864583335607
21980,-0.607102457682269
21979,-1.03100179036456
21978,-1.84285074869789
21977,-1.49620157877602
21976,-1.53495890299477
21975,-0.813899739583311
21974,-2.15903320312498
21973,-0.813187662760394
21972,-1.84017537434894
21971,-0.827785237630186
21970,-0.623103841145811
21969,1.25010579427086
21968,-1.53671874999998
21967,-1.36078491210935
21966,-1.5531066894531
21965,-0.296636962890602
21964,0.132267252604189
21963,1.19682210286461
21962,-0.414760335286436
21961,1.41732177734377
21960,-1.53458251953123
21959,-1.64686686197914
21958,-0.692175292968727
21957,-1.79156087239581
21956,-2.03799031575519
21955,-0.263128662109352
21954,0.0952392578125227
21953,-1.94596964518227
21952,-2.15555419921873
21951,-0.165991210937477
21950,-1.52970987955727
21949,-0.216436767578102
21948,-0.366522216796852
21947,-1.26179606119789
21946,-1.38187255859373
21945,-1.45123901367185
21944,-1.41464843749998
21943,-0.347947184244769
21942,-3.16168823242185
21941,-0.456315104166644
21940,-1.22390340169269
21939,0.0600728352864811
21938,-1.67915445963539
21937,-1.65213623046873
21936,-0.498856608072894
21935,-0.434444173177061
21934,0.528365071614606
21933,-0.252793375651019
21932,0.0502766927083561
21931,0.654463704427106
21930,-1.54066569010414
21929,-0.888098144531227
21928,-2.63860677083331
21927,-1.17045694986977
21926,0.979892985026064
21925,-0.204199218749977
21924,-2.54655558268227
21923,-0.624324544270811
21922,-0.703232828776019
21921,-0.787003580729144
21920,-4.50606892903644
21919,-0.298529052734352
21918,-0.828507486979144
21917,-0.379207356770811
21916,-0.461950683593727
21915,-0.0268310546874773
21914,-1.01064656575519
21913,-1.20357869466144
21912,-0.270412190755186
21911,0.639723714192731
21910,-0.0221415201822689
21909,-0.895198567708311
21908,-0.608374023437477
21907,-0.580369059244769
21906,-1.26549886067706
21905,-0.924892171223936
21904,-0.134659830729144
21903,0.466404215494814
21902,0.0863789876302311
21901,0.786177571614606
21900,-1.46150309244789
21899,0.221520996093773
21898,-1.49710693359373
21897,0.812453206380231
21896,1.22657674153648
21895,-1.35089721679685
21894,-0.143438720703102
21893,-0.533585611979144
21892,-2.16636759440102
21891,-0.582362874348936
21890,0.336114501953148
21889,-1.2299865722656
21888,-2.36950276692706
21887,-1.24124755859373
21886,0.423933919270856
21885,0.128462727864606
21884,-1.00788981119789
21883,-0.0726989746093523
21882,-1.39615478515623
21881,-0.706772867838519
21880,0.753299967447939
21879,0.122257486979189
21878,0.664168294270856
21877,-1.28501993815102
21876,-0.619716389973936
21875,-0.600337727864561
21874,-1.20564371744789
21873,0.347904459635439
21872,1.18574422200523
21871,-0.407100423177061
21870,-0.212601725260394
21869,-1.43230794270831
21868,-0.509263102213519
21867,-0.907649739583311
21866,1.49086914062502
21865,0.212030029296898
21864,-0.936051432291644
21863,-0.695583089192686
21862,-0.615749104817686
21861,-0.319637044270811
21860,0.174218750000023
21859,-0.384873453776019
21858,-0.196142578124977
21857,-0.497239176432269
21856,-1.51296590169269
21855,0.0431864420573144
21854,-0.104020182291644
21853,0.104699707031273
21852,-0.860520426432269
21851,-0.610601806640602
21850,0.285424804687523
21849,-0.201523844401019
21848,-1.86647135416664
21847,-1.57950439453123
21846,-0.466365559895811
21845,-1.02507120768227
21844,0.273929850260439
21843,-1.68642781575519
21842,-1.69451497395831
21841,0.902581787109398
21840,-1.35501708984373
21839,-1.08107096354164
21838,-1.11636962890623
21837,-0.270005289713519
21836,-1.65765991210935
21835,0.141025797526064
21834,0.580265299479189
21833,-0.729121907552061
21832,0.370263671875023
21831,-0.894099934895811
21830,0.325006103515648
21829,-0.414851888020811
21828,0.159092203776064
21827,-0.983485921223936
21826,0.521101888020856
21825,-2.71342569986977
21824,-0.153021240234352
21823,-0.787217203776019
21822,0.990838623046898
21821,-0.405025227864561
21820,-1.62226969401039
21819,-0.769455973307269
21818,-1.80080769856769
21817,-0.0718037923176856
21816,-2.58320719401039
21815,1.02640177408856
21814,0.676802571614606
21813,-0.376765950520811
21812,0.738000488281273
21811,-1.20256144205727
21810,-1.73769734700519
21809,0.410760498046898
21808,-1.91954142252602
21807,-1.32362467447914
21806,-3.24401448567706
21805,-0.611629231770811
21804,-0.471156819661436
21803,0.528619384765648
21802,-0.832301839192686
21801,-1.27050374348956
21800,0.674930826822939
21799,-0.335414632161436
21798,-0.126216634114561
21797,0.572188313802106
21796,-2.13251342773435
21795,-1.75484822591144
21794,0.539137776692731
21793,0.597741699218773
21792,-0.303106689453102
21791,-0.347937011718727
21790,-0.207434082031227
21789,-0.174220784505186
21788,-0.936509195963519
21787,-0.553462727864561
21786,-0.339666748046852
21785,-1.5666564941406
21784,-1.32351277669269
21783,-0.820867919921852
21782,-2.20036417643227
21781,-0.768957519531227
21780,0.876021321614606
21779,-2.35551554361977
21778,0.741510009765648
21777,-0.573940022786436
21776,-2.0955871582031
21775,1.10824991861981
21774,0.280480957031273
21773,-2.60530192057289
21772,-1.19753621419269
21771,-2.21535847981769
21770,-1.92038574218748
21769,0.689691162109398
21768,-1.72965087890623
21767,-2.44774983723956
21766,-0.0152547200520606
21765,-0.562322998046852
21764,-2.29451090494789
21763,-3.46905110677081
21762,1.01630045572919
21761,-0.622361246744769
21760,0.288405354817731
21759,0.137963867187523
21758,-0.338364664713519
21757,-0.0141866048176856
21756,0.971276855468773
21755,0.197259521484398
21754,0.499119059244814
21753,-1.94494222005206
21752,0.255995686848981
21751,-1.52743123372394
21750,0.650201416015648
21749,1.35267537434898
21748,0.334161376953148
21747,-0.656286621093727
21746,-0.700638834635394
21745,-1.20531819661456
21744,1.15752563476565
21743,-0.211370849609352
21742,1.63904215494794
21741,0.00572102864585607
21740,-0.0944478352864356
21739,-0.403987630208311
21738,0.454604085286481
21737,-0.516597493489561
