"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-15.0334292093913
21998,-17.3235649108886
21997,-15.6730369567871
21996,-13.9877927144368
21995,-15.4079879760742
21994,-12.3145202636719
21993,-13.4423418680827
21992,-14.5356442769368
21991,-12.8016176859538
21990,-13.5965103149414
21989,-17.3244600931803
21988,-13.1463086446126
21987,-14.8809303283691
21986,-12.5204630533854
21985,-14.8323463439941
21984,-14.5157048543294
21983,-13.9605494181315
21982,-12.1744661966959
21981,-14.8280611673991
21980,-15.8270057678222
21979,-14.0245918273926
21978,-14.1294476826985
21977,-13.1278722127278
21976,-13.6220280965169
21975,-14.4020535786946
21974,-13.5352818806966
21973,-14.2124109903971
21972,-16.8066276550293
21971,-14.0553077697754
21970,-14.7018341064453
21969,-13.2151537577311
21968,-13.9347607930501
21967,-15.3390411376953
21966,-14.7478062947591
21965,-14.4728543599446
21964,-13.0986414591471
21963,-13.1826944986979
21962,-14.3604326883952
21961,-13.7356577555338
21960,-14.8351056416829
21959,-14.1738227844238
21958,-14.4060729980469
21957,-14.1158902486165
21956,-13.7286933898926
21955,-11.1487030029297
21954,-13.7663228352864
21953,-14.098725382487
21952,-15.6396138509114
21951,-13.8746932983398
21950,-14.7529154459635
21949,-13.6193260192871
21948,-13.05784962972
21947,-14.272252146403
21946,-14.4860290527344
21945,-14.5601104736328
21944,-12.5952896118164
21943,-15.753453318278
21942,-14.9837427775065
21941,-16.5564089457194
21940,-13.6973149617513
21939,-14.3491106669108
21938,-14.3047571818034
21937,-14.5356976826985
21936,-16.0228040059407
21935,-15.1831077575683
21934,-11.8822044372558
21933,-14.0175155639648
21932,-14.8672126770019
21931,-15.1990430196126
21930,-14.6124443054199
21929,-13.2466059366862
21928,-15.4326830546061
21927,-15.1490272521972
21926,-12.6558326721191
21925,-15.2295923868815
21924,-15.2006540934245
21923,-14.6032979329427
21922,-18.1080408732096
21921,-14.4089569091797
21920,-17.8617156982422
21919,-13.4388603210449
21918,-12.7121566772461
21917,-15.7203506469726
21916,-13.4112673441569
21915,-13.2339691162109
21914,-15.8606577555338
21913,-14.1728424072265
21912,-14.020677947998
21911,-14.6490475972493
21910,-13.522620900472
21909,-13.3997431437174
21908,-13.5684405008952
21907,-12.5117362976074
21906,-15.801974995931
21905,-13.7227043151855
21904,-13.1031949361165
21903,-12.914897664388
21902,-14.0370073954264
21901,-12.6194061279297
21900,-14.8558970133463
21899,-11.8483553568522
21898,-15.8361139933268
21897,-15.8902534484863
21896,-13.8434000651041
21895,-14.8101702372233
21894,-13.8110196431478
21893,-15.8350929260254
21892,-17.9055923461914
