"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-21.0943664550781
21997,-18.3431762695312
21996,-15.4915705362955
21995,-14.7831888834635
21994,-13.5037012736002
21993,-11.9813878377278
21992,-14.5877924601237
21991,-13.686626180013
21990,-13.8970677693685
21989,-18.8406865437825
21988,-13.8935150146484
21987,-16.1234369913737
21986,-11.7034006754557
21985,-16.3397761027018
21984,-15.7335291544596
21983,-12.3676717122396
21982,-14.1914326985677
21981,-12.3030659993489
21980,-14.3410120646159
21979,-15.0718063354492
21978,-9.92411905924477
21977,-15.253510538737
21976,-12.788442993164
21975,-10.0394246419271
21974,-12.7119354248047
21973,-12.1714538574219
21972,-16.8684397379557
21971,-12.3628295898437
21970,-16.9127792358398
21969,-13.6759653727213
21968,-15.5506093343099
21967,-10.4983225504557
21966,-14.3695434570312
21965,-17.4164388020833
21964,-14.0353022257487
21963,-13.1756551106771
21962,-13.6128499348958
21961,-13.6266998291015
21960,-16.9637003580729
21959,-16.6933578491211
21958,-14.0763407389323
21957,-12.8237060546875
21956,-11.8203745524088
21955,-11.0477864583333
21954,-16.1531407674153
21953,-12.0749165852864
21952,-16.9171763102213
21951,-16.5847788492838
21950,-11.7033777872721
21949,-14.7573201497396
21948,-12.4698649088541
21947,-12.7990071614583
21946,-13.6485631306966
21945,-15.2154220581054
21944,-10.7383585611979
21943,-18.1032623291015
21942,-12.6150014241536
21941,-17.1530848185221
21940,-12.031591796875
21939,-13.1634251912435
21938,-13.1585957845052
21937,-14.0207682291666
21936,-18.7995030721028
21935,-17.7948465983073
21934,-8.90263468424477
21933,-10.6384974161784
21932,-15.8275232950846
21931,-13.7139444986979
21930,-15.2860397338867
21929,-15.0106745402018
21928,-11.1294464111328
21927,-17.7139521280924
21926,-12.2645477294922
21925,-13.7335774739583
21924,-14.4912094116211
21923,-15.0846847534179
21922,-17.4928421020508
21921,-16.7575032552083
21920,-16.6372945149739
21919,-13.1063547770182
21918,-11.1098337809245
21917,-15.0631698608398
21916,-13.7507436116536
21915,-12.1026392618815
21914,-16.1401784261067
21913,-15.7841985066732
21912,-13.9308837890625
21911,-15.6892939249674
21910,-16.7626327514648
21909,-10.8275436401367
21908,-13.8702428181966
21907,-10.3791056315104
21906,-15.8791056315104
21905,-11.9873718261719
21904,-13.8384155273437
21903,-13.848860168457
21902,-13.1556584676107
21901,-13.2723653157552
21900,-18.1468490600586
21899,-12.124131266276
21898,-18.1739054361979
21897,-12.5301015218099
21896,-14.4769780476888
21895,-13.6951126098633
21894,-11.7338851928711
21893,-12.9537363688151
21892,-21.6380752563476
21891,-13.7622334798177
21890,-21.0680094401041
21889,-12.4533447265625
21888,-23.4770924886067
21887,-15.8201253255208
21886,-12.4111592610677
21885,-12.5038233439127
21884,-13.3219919840495
21883,-13.6847951253255
21882,-22.9269978841146
21881,-14.7617808024088
21880,-12.77744140625
21879,-15.7082631429036
21878,-14.3056955973307
21877,-12.2564478556315
21876,-12.1008209228515
21875,-17.7743133544922
21874,-20.3826354980469
21873,-16.8794540405273
21872,-16.4211461385091
21871,-11.7777847290039
21870,-12.1964909871419
21869,-19.5494928995768
21868,-13.4941772460937
21867,-11.1566909790039
21866,-13.0760889689127
21865,-13.6265268961588
21864,-13.0694310506185
21863,-13.4066858927409
21862,-13.0876322428385
21861,-11.9709737141927
21860,-16.2529663085937
21859,-13.2114598592122
21858,-11.4421727498372
21857,-13.7812637329101
21856,-15.5991628011067
21855,-12.5974461873372
21854,-12.4441233317057
21853,-14.1325185139974
21852,-11.1050170898437
21851,-12.4210571289062
21850,-12.7915252685547
21849,-12.3655253092448
21848,-12.8361419677734
21847,-16.6001622517903
21846,-18.3675649007161
21845,-12.7724950154622
21844,-16.9478439331054
21843,-15.6537053426107
21842,-19.4373128255208
21841,-13.5442693074544
21840,-15.1341079711914
21839,-17.0078694661458
21838,-17.9175043741862
21837,-11.5735331217448
21836,-13.6611668904622
21835,-14.602288309733
21834,-14.6067006429036
21833,-11.494497680664
21832,-12.0767857869466
21831,-13.5341756184896
21830,-10.0411641438802
21829,-15.2491973876953
21828,-14.1973861694336
21827,-16.8540888468424
21826,-12.5565653483073
21825,-15.7092320760091
21824,-13.0424204508463
21823,-16.0326777140299
21822,-12.1605616251627
21821,-16.7294474283854
21820,-14.7887583414713
21819,-12.186387125651
21818,-16.0634826660156
21817,-12.3186299641927
21816,-16.9126190185547
21815,-18.2045934041341
21814,-12.898908996582
21813,-16.3508794148763
21812,-14.8620615641276
21811,-10.4281372070312
21810,-14.2235524495442
21809,-17.6488962809245
21808,-15.4669377644857
21807,-15.5444295247396
21806,-12.8469477335612
21805,-12.6188440958659
21804,-17.0459376017252
21803,-13.1924219767252
21802,-11.3989115397135
21801,-12.6929662068685
21800,-12.2953170776367
21799,-11.8734878540039
21798,-12.4486068725586
21797,-18.7229955037435
21796,-15.2011398315429
21795,-12.5825459798177
21794,-12.1717539469401
21793,-10.0795298258463
21792,-12.553086344401
21791,-11.5056467692057
21790,-11.1513224283854
21789,-14.7326822916666
21788,-16.2385670979817
21787,-15.5886494954427
21786,-21.8952824910482
21785,-12.266465250651
21784,-16.673816426595
21783,-15.541128540039
21782,-12.8148864746094
21781,-14.1785212198893
21780,-12.2916727701823
21779,-12.3727300008138
21778,-18.3676437377929
21777,-14.368401590983
21776,-10.9960489908854
21775,-14.1168146769205
21774,-18.8563166300456
21773,-11.9769856770833
21772,-13.103000386556
21771,-14.297356669108
21770,-14.7848495483398
21769,-14.5301040649414
21768,-10.4431823730469
21767,-14.2013712565104
21766,-16.0106669108073
21765,-14.3081268310547
21764,-15.5518020629883
21763,-13.8113057454427
21762,-13.6673110961914
21761,-12.4236104329427
21760,-18.8141998291015
21759,-10.1448628743489
21758,-13.4716832478841
21757,-13.1556813557942
21756,-14.167962137858
21755,-12.241428120931
21754,-12.6123540242513
21753,-10.586419169108
21752,-12.4729014078776
21751,-12.2589223225911
21750,-12.1821477254232
21749,-12.9702616373698
21748,-15.1451070149739
21747,-12.4643844604492
21746,-13.4812454223633
21745,-13.4171203613281
21744,-9.72627360026039
21743,-15.5105651855469
21742,-13.4194778442383
21741,-11.8054768880208
21740,-11.9574798583984
21739,-11.126318359375
21738,-15.3170710245768
21737,-16.3231541951497
21736,-14.7010457356771
21735,-13.840678914388
21734,-12.5356989542643
21733,-16.8098205566406
21732,-15.2751144409179
21731,-11.2817901611328
21730,-20.3691747029622
21729,-14.2967081705729
21728,-15.4600102742513
21727,-11.3755096435547
21726,-13.0085357666015
21725,-11.6895050048828
21724,-10.3799702962239
21723,-18.7965479532877
21722,-10.0135813395182
21721,-11.7233998616536
21720,-13.1363459269205
21719,-11.9874048868815
21718,-13.7506851196289
21717,-11.4829696655273
21716,-14.0327819824219
21715,-18.4557607014974
21714,-14.767815653483
21713,-16.7372192382812
21712,-11.0825612386067
21711,-12.295029703776
21710,-17.3574940999349
21709,-16.6948430379232
21708,-10.9743916829427
21707,-11.4563151041666
21706,-13.5933288574219
21705,-11.7249028523763
21704,-14.8558614095052
21703,-19.3476877848307
21702,-15.1613143920898
21701,-16.5147969563802
21700,-18.1884852091471
21699,-12.5265869140625
21698,-15.7124008178711
21697,-14.2521321614583
21696,-11.4755666097005
21695,-15.8429092407226
21694,-22.2279953002929
21693,-16.5390558878581
21692,-12.0692352294922
21691,-14.1231267293294
21690,-23.5016464233398
21689,-13.1369181315104
21688,-15.1684656778971
21687,-11.9322519938151
21686,-13.8201965332031
21685,-15.2877538045247
21684,-13.465808614095
21683,-12.050515238444
21682,-15.0236877441406
21681,-10.6922922770182
21680,-10.6274475097656
21679,-11.7313013712565
21678,-13.9280838012695
21677,-21.8078623453776
21676,-17.7045883178711
21675,-12.5388804117838
21674,-14.9939915974935
21673,-11.5791203816732
21672,-14.5790974934896
21671,-12.8437154134114
21670,-13.1727635701497
21669,-12.1207438151041
21668,-16.2483352661133
21667,-17.863015238444
21666,-12.8504165649414
21665,-15.3862416585286
21664,-17.2245544433594
21663,-15.0994501749674
21662,-18.7249333699544
21661,-16.6367197672526
21660,-20.4503336588541
21659,-15.1523498535156
21658,-13.5131235758463
21657,-12.0494166056315
21656,-14.8331970214844
21655,-15.87034962972
21654,-16.2040364583333
21653,-16.9663274129232
21652,-13.3707667032877
21651,-12.7079452514648
21650,-17.6157160441081
21649,-16.3285354614258
21648,-15.5473642985026
21647,-12.9216674804687
21646,-14.2735249837239
21645,-13.810764058431
21644,-12.1665405273437
21643,-15.6264506022135
21642,-12.1685063680013
21641,-12.7813451131185
21640,-13.9817184448242
21639,-14.792214457194
21638,-12.9401662190755
21637,-13.223122660319
21636,-13.2999633789062
21635,-15.8052149454752
21634,-13.0176376342773
21633,-12.1993367513021
21632,-14.185530090332
21631,-13.6628555297851
21630,-10.9190226236979
21629,-14.9775044759114
21628,-14.4215759277344
21627,-12.1698262532552
21626,-15.0972935994466
21625,-17.0555608113607
21624,-9.38144531249998
21623,-13.8613189697265
21622,-17.287814839681
21621,-13.7349812825521
21620,-17.2960596720377
21619,-12.8940592447916
21618,-13.1033182779948
21617,-14.7503875732422
21616,-13.8201253255208
21615,-17.0401036580403
21614,-13.9031204223633
21613,-16.2049392700195
21612,-14.6618128458659
21611,-12.4435002644857
21610,-15.0728795369466
21609,-13.5027628580729
21608,-12.2845418294271
21607,-12.3094899495442
21606,-15.6298100789388
21605,-18.0952438354492
21604,-18.5601333618164
21603,-14.6300389607747
21602,-17.3030202229817
21601,-16.3780629475911
21600,-13.1523727416992
21599,-17.2218612670898
21598,-16.1610422770182
21597,-13.5215159098307
21596,-17.5282018025716
21595,-18.5098276774088
21594,-11.4198771158854
21593,-11.0911417643229
21592,-13.0608683268229
21591,-11.1181549072265
21590,-11.3184214274088
21589,-14.4312093098958
21588,-15.7726170857747
21587,-14.8054794311523
21586,-10.4646362304687
21585,-15.1667058308919
21584,-15.363518778483
21583,-14.3780171712239
21582,-13.1971700032552
21581,-17.2357849121094
21580,-13.6267405192057
21579,-13.610085550944
21578,-12.4444310506185
21577,-13.7023986816406
21576,-13.9361989339192
21575,-11.9332005818685
21574,-13.0287256876627
21573,-14.0918334960937
21572,-12.9739720662435
21571,-14.0408437093099
21570,-13.8098409016927
21569,-14.1272542317708
21568,-10.9663197835286
21567,-14.0613159179687
21566,-14.0881815592448
21565,-16.6644449869791
21564,-16.893169148763
21563,-17.694324239095
21562,-17.0095021565755
21561,-14.7768641153971
21560,-13.1948201497396
21559,-15.291357421875
21558,-12.6606913248698
21557,-14.1104619344075
21556,-10.4486551920573
21555,-13.3080403645833
21554,-15.5399586995442
21553,-12.4935236612955
21552,-12.9054194132487
21551,-13.7259938557942
21550,-14.3590555826823
21549,-12.2595530192057
21548,-12.6800623575846
21547,-22.0560490926107
21546,-14.48558400472
21545,-15.5579004923502
21544,-14.4773315429687
21543,-20.4833333333333
21542,-18.9783004760742
21541,-11.5975301106771
21540,-13.5368179321289
21539,-11.766460164388
21538,-13.7184763590495
21537,-11.7699747721354
21536,-15.6477315266927
21535,-15.6363891601562
21534,-13.7635787963867
21533,-18.7243357340495
21532,-10.9713628133138
21531,-14.177473449707
21530,-13.6244262695312
21529,-12.9944519042969
21528,-17.7676300048828
21527,-22.4303522745768
21526,-13.6250823974609
21525,-17.8075698852539
21524,-12.1255071004232
21523,-14.1417627970377
21522,-14.4332285563151
21521,-15.1904485066732
21520,-14.3154510498047
21519,-15.837021891276
21518,-17.640483601888
21517,-12.4836995442708
21516,-20.1910715738932
21515,-15.749973042806
21514,-17.1838439941406
21513,-13.4235392252604
21512,-18.1113545735677
21511,-14.553210957845
21510,-19.1884114583333
21509,-16.2227920532226
21508,-15.5501744588216
21507,-15.9107650756836
21506,-14.8285227457682
21505,-16.5168111165364
21504,-13.4574137369791
21503,-16.0704711914062
21502,-14.0586888631185
21501,-13.2752822875976
21500,-21.8118448893229
21499,-14.2041483561198
21498,-15.8626439412435
21497,-13.9267893473307
21496,-11.9839564005534
21495,-15.0135101318359
21494,-15.6645899454752
21493,-15.2528493245442
21492,-14.8568557739258
21491,-17.0556650797526
21490,-12.8296442667643
21489,-11.7516159057617
21488,-11.5022109985351
21487,-14.1615890502929
21486,-9.0702931722005
21485,-16.2068644205729
21484,-16.2447647094726
21483,-12.8077072143554
21482,-15.9232365926107
21481,-15.5928024291992
21480,-17.401459757487
21479,-13.4751851399739
21478,-15.4874481201172
21477,-12.3828084309896
21476,-15.083603922526
21475,-11.1756245930989
21474,-12.979480489095
21473,-15.6491861979166
21472,-16.0652628580729
21471,-12.9849838256836
21470,-15.4818557739258
21469,-10.9211385091146
21468,-14.6418797810872
21467,-14.446267191569
21466,-14.3300104777018
21465,-12.301980082194
21464,-11.5833241780599
21463,-13.0601486206054
21462,-18.1902069091797
21461,-13.1413584391276
21460,-17.7168207804362
21459,-12.7067626953125
21458,-15.5420796712239
21457,-12.6411702473958
21456,-12.4132471720377
21455,-12.1134882609049
21454,-14.8483388264974
21453,-14.9811309814453
21452,-13.3104131062825
21451,-14.7867797851562
21450,-14.6893142700195
21449,-12.5837209065755
21448,-16.4707295735677
21447,-8.17781168619789
21446,-12.1262725830078
21445,-17.9055872599284
21444,-14.3005050659179
21443,-19.0713511149088
21442,-15.6505442301432
21441,-14.0591924031575
21440,-13.3134038289388
21439,-13.6427724202474
21438,-13.4393778483073
21437,-13.3125645955403
21436,-14.8241104125976
21435,-15.1110977172851
21434,-15.7226852416992
21433,-18.4682754516601
21432,-9.39980672200519
21431,-15.7956705729166
21430,-14.796863301595
21429,-13.6931365966797
21428,-15.4482533772786
21427,-11.1472585042317
21426,-12.2247426350911
21425,-16.9393600463867
21424,-22.024771118164
21423,-18.4076599121094
21422,-14.9425796508789
21421,-15.5152648925781
21420,-15.222748819987
21419,-13.9458908081054
21418,-13.6786865234375
21417,-12.8514948527018
21416,-13.0257400512695
21415,-18.366313680013
21414,-20.0556396484375
21413,-14.9674235026041
21412,-15.6955144246419
21411,-15.8719416300455
21410,-14.588117980957
21409,-13.7281987508138
21408,-13.3754842122396
21407,-16.8285659790039
21406,-13.6473169962565
21405,-16.8241663614909
21404,-13.4216725667317
21403,-9.35363362630206
21402,-15.3695688883463
21401,-14.1173055013021
21400,-14.6680969238281
21399,-16.1170918782552
21398,-11.0869812011719
21397,-13.0369705200195
21396,-20.5755599975586
21395,-14.0324208577474
21394,-12.0287638346354
21393,-21.5669413248698
21392,-14.9366083780924
21391,-15.5820958455403
21390,-14.7955993652344
21389,-10.1217559814453
21388,-15.1370986938476
21387,-12.6487106323242
21386,-14.0576436360677
21385,-15.8249979654948
21384,-12.0539026896159
21383,-15.4214004516601
21382,-15.9396118164062
21381,-18.2471247355143
21380,-17.9557276407877
21379,-16.6058029174804
21378,-16.1133687337239
21377,-12.3485143025716
21376,-19.1664133707682
21375,-18.449191792806
21374,-13.8335530598958
21373,-11.4175755818685
21372,-17.5888275146484
21371,-12.3481964111328
21370,-15.9289077758789
21369,-16.207248433431
21368,-14.5554539998372
