"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-26.2355255126953
21997,-26.7180643717448
21996,-15.111680094401
21995,-19.2793233235677
21994,-19.9787913004557
21993,-16.5802724202474
21992,-19.1247873942057
21991,-19.6749328613281
21990,-14.8081420898437
21989,-21.2259582519531
21988,-16.8205322265625
21987,-18.4053354899088
21986,-16.2177286783854
21985,-22.7521067301432
21984,-20.7875071207682
21983,-17.0807556152344
21982,-16.9484466552734
21981,-17.0808268229166
21980,-20.2294932047526
21979,-18.0441599527995
21978,-12.4387573242187
21977,-19.1046813964844
21976,-16.6681986490885
21975,-13.0096903483073
21974,-15.1789815266927
21973,-17.0023661295573
21972,-23.6633514404297
21971,-13.4648396809896
21970,-19.8249572753906
21969,-17.48251953125
21968,-23.5466267903646
21967,-14.0050211588541
21966,-14.5013895670573
21965,-20.132676188151
21964,-15.2581034342448
21963,-17.4238444010416
21962,-20.6708841959635
21961,-18.4148824055989
21960,-25.8791158040364
21959,-20.6681783040364
21958,-13.3152425130208
21957,-14.5109619140625
21956,-16.6121785481771
21955,-12.3474792480469
21954,-18.3134775797526
21953,-15.9187479654948
21952,-20.7004964192708
21951,-20.6565511067708
21950,-14.5130015055338
21949,-21.7820699055989
21948,-16.2650207519531
21947,-16.2595479329427
21946,-19.352163696289
21945,-18.7631896972656
21944,-12.6095642089844
21943,-23.6097473144531
21942,-15.6800598144531
21941,-25.5911061604817
21940,-17.0964823404948
21939,-15.9853729248047
21938,-16.5985270182291
21937,-20.4253397623698
21936,-27.2090464274088
21935,-22.8426829020182
21934,-9.88520914713539
21933,-13.8442596435547
21932,-19.5402333577474
21931,-18.3953308105469
21930,-17.8098256429036
21929,-18.3401753743489
21928,-15.5574401855469
21927,-21.3177958170573
21926,-15.5134236653646
21925,-15.6136739095052
21924,-17.1243906656901
21923,-18.5235605875651
21922,-23.0090901692708
21921,-16.0444651285807
21920,-20.3447377522786
21919,-14.1825012207031
21918,-14.5538798014323
21917,-17.8688364664713
21916,-15.3223429361979
21915,-17.5442209879557
21914,-20.6151794433594
21913,-21.6876841227213
21912,-18.241552734375
21911,-20.5133117675781
21910,-20.0862487792969
21909,-14.6062428792317
21908,-17.780864461263
21907,-12.2636576334635
21906,-17.5278432210286
21905,-15.470322672526
21904,-18.369004313151
21903,-20.7810475667317
21902,-14.8630279541015
21901,-15.3636739095052
21900,-23.8201151529948
21899,-14.3528096516927
21898,-29.675390625
21897,-16.231792195638
21896,-17.543305460612
21895,-17.0793874104817
21894,-14.9614471435547
21893,-14.0725260416666
21892,-31.1548522949219
21891,-16.1550354003906
21890,-26.2018035888672
21889,-14.3264322916666
21888,-30.3215342203776
21887,-18.3844156901041
21886,-15.7159993489583
21885,-14.4893452962239
21884,-16.6271931966146
21883,-16.1042439778646
21882,-26.7447977701823
21881,-18.2060099283854
21880,-16.6539571126302
21879,-18.3269154866536
21878,-16.3871266682942
21877,-15.6868398030599
21876,-15.633652750651
21875,-24.3483846028646
21874,-30.0350301106771
21873,-24.2378550211588
21872,-21.6250111897786
21871,-15.063101196289
21870,-16.8901479085286
21869,-27.8149627685547
21868,-15.4907796223958
21867,-12.4358632405599
21866,-16.1047475179036
21865,-17.7641866048177
21864,-14.4315500895182
21863,-16.4068918863932
21862,-16.4291544596354
21861,-12.4038146972656
21860,-20.4732981363932
21859,-14.956655883789
21858,-16.2714243570963
21857,-19.2149159749349
21856,-23.1994384765625
21855,-14.425141398112
21854,-14.9432535807291
21853,-20.5038920084635
21852,-16.3589029947916
21851,-15.8967447916666
21850,-17.7913065592448
21849,-17.6820739746094
21848,-15.1651774088541
21847,-25.337250773112
21846,-22.4936584472656
21845,-14.3374440511067
21844,-23.1602284749349
21843,-20.1710825602213
21842,-28.7385518391927
21841,-16.4292816162109
21840,-20.2833974202474
21839,-27.3573364257812
21838,-19.2572489420573
21837,-13.8380187988281
21836,-17.5043752034505
21835,-17.6194722493489
21834,-17.1812398274739
21833,-14.0770528157552
21832,-16.2927663167317
21831,-15.9261027018229
21830,-11.5221110026041
21829,-18.9906880696614
21828,-17.1603251139323
21827,-21.2802337646484
21826,-15.2264770507812
21825,-17.7228251139323
21824,-14.6841135660807
21823,-15.5441853841146
21822,-16.1042083740234
21821,-22.4602264404297
21820,-15.7021341959635
21819,-12.6269694010416
21818,-20.9371907552083
21817,-16.8616597493489
21816,-23.8022725423177
21815,-22.7179372151692
21814,-16.6986806233724
21813,-18.9404408772786
21812,-20.0193033854166
21811,-11.6250671386719
21810,-16.7411560058594
21809,-20.3290568033854
21808,-21.7311004638672
21807,-20.5827901204427
21806,-15.5476389567057
21805,-15.4838979085286
21804,-20.2668670654297
21803,-15.741069539388
21802,-13.4926818847656
21801,-16.6487436930338
21800,-15.3118448893229
21799,-13.1801106770833
21798,-16.6836354573567
21797,-27.1359059651692
21796,-17.6195180257161
21795,-15.106298828125
21794,-15.5525573730469
21793,-12.285508219401
21792,-15.0546020507812
21791,-14.8963684082031
21790,-13.0196899414062
21789,-16.8910227457682
21788,-23.5281534830729
21787,-20.7633219401041
21786,-29.8793802897135
21785,-13.3015502929687
21784,-20.6051188151041
21783,-17.6670288085937
21782,-13.8853312174479
21781,-17.6669321695963
21780,-14.2090311686198
21779,-18.2649648030599
21778,-20.9345204671224
21777,-17.9031077067057
21776,-14.3159240722656
21775,-16.4466054280599
21774,-25.3952443440755
21773,-13.8524129231771
21772,-15.5012878417969
21771,-15.6909138997396
21770,-18.561870320638
21769,-18.7746795654297
21768,-12.0162618001302
21767,-17.5241149902344
21766,-18.0188049316406
21765,-19.6758076985677
21764,-16.2614705403646
21763,-15.8950256347656
21762,-16.1569376627604
21761,-14.1153828938802
21760,-24.6926127115885
21759,-11.34775390625
21758,-14.4806427001953
21757,-15.2243815104166
21756,-15.5894073486328
21755,-13.9559488932291
21754,-17.0802419026692
21753,-14.4006357828776
21752,-14.2320719401041
21751,-16.2177286783854
21750,-17.1623850504557
21749,-17.5737263997396
21748,-22.0299947102864
21747,-16.3033559163411
21746,-16.7544565836588
21745,-14.1338256835937
21744,-13.5042175292969
21743,-17.1917277018229
21742,-15.6632751464844
21741,-14.5436462402344
21740,-12.85361328125
21739,-14.3421590169271
21738,-16.2017222086588
21737,-21.4706837972005
21736,-16.8430948893229
21735,-16.5030578613281
21734,-15.2383127848307
21733,-21.8778645833333
21732,-20.4464528401692
21731,-13.7321940104166
21730,-29.7604024251302
21729,-19.02890625
21728,-17.0128285725911
21727,-13.3971008300781
21726,-17.2080037434896
21725,-13.871435546875
21724,-12.4161031087239
21723,-22.1138519287109
21722,-11.8598693847656
21721,-14.7860778808594
21720,-14.1941792805989
21719,-15.0793365478515
21718,-19.1317657470703
21717,-14.1672780354817
21716,-18.5606241861979
21715,-24.6340087890625
21714,-18.6416229248047
21713,-20.2249816894531
21712,-11.7693237304687
21711,-16.7898315429687
21710,-23.2885803222656
21709,-22.3262339274088
21708,-14.8955749511719
21707,-13.3447937011719
21706,-17.8823710123698
21705,-14.8717559814453
21704,-18.0725463867187
21703,-17.784287516276
21702,-19.2196716308594
21701,-21.266938273112
21700,-20.8381612141927
21699,-14.8661051432291
21698,-19.9681762695312
21697,-18.7657735188802
21696,-13.2641560872396
21695,-21.2482716878255
21694,-31.9415802001953
21693,-21.4206451416015
21692,-16.4788167317708
21691,-19.3363759358724
21690,-34.0785583496094
21689,-17.3601847330729
21688,-19.608745320638
21687,-12.6942504882812
21686,-17.5824137369791
21685,-17.072612508138
21684,-15.7004404703776
21683,-17.8162343343099
21682,-18.8184875488281
21681,-14.0595357259114
21680,-14.0449279785156
21679,-13.6871551513672
21678,-16.5491139729817
21677,-32.4325419108073
21676,-22.2503774007161
21675,-12.7077697753906
21674,-18.3415283203125
21673,-15.7037974039713
21672,-17.8095458984375
21671,-18.4516255696614
21670,-16.5719818115234
21669,-14.6406005859375
21668,-18.9851236979166
21667,-23.820664469401
21666,-15.9792744954427
21665,-21.9279032389323
21664,-21.3293111165364
21663,-19.7502095540364
21662,-27.4737050374349
21661,-19.8926350911458
21660,-27.4947519938151
21659,-21.1230529785156
21658,-16.4486958821614
21657,-13.9000305175781
21656,-18.3477844238281
21655,-17.1637736002604
21654,-19.2287404378255
21653,-24.085562133789
21652,-16.4088755289713
21651,-15.3505564371745
21650,-20.4772247314453
21649,-19.7782806396484
21648,-19.54892578125
21647,-13.4977376302083
21646,-16.7704121907552
21645,-20.1145029703776
21644,-17.6037455240885
21643,-20.2477579752604
21642,-14.6378997802734
21641,-16.2201751708984
21640,-19.5994069417317
21639,-21.0719716389974
21638,-15.7287556966146
21637,-19.9061899820963
21636,-13.7010762532552
21635,-20.7807118733724
21634,-17.0951344807942
21633,-14.2001607259114
21632,-20.6713775634765
21631,-17.4270029703776
21630,-12.0321207682291
21629,-20.0645304361979
21628,-14.2175760904948
21627,-16.1911376953125
21626,-21.4493418375651
21625,-19.1881927490234
21624,-13.4694274902344
21623,-17.8271240234375
21622,-22.9293731689453
21621,-15.8538472493489
21620,-21.6367248535156
21619,-16.4520222981771
21618,-14.5120351155599
21617,-16.2458251953125
21616,-16.7723653157552
21615,-21.3549204508463
21614,-18.5264292399088
21613,-24.2519236246745
21612,-20.2262379964192
21611,-16.6530568440755
21610,-20.4466156005859
21609,-19.2457438151041
21608,-15.9008951822916
21607,-16.6861735026041
21606,-19.4789388020833
21605,-25.6081960042317
21604,-20.8380187988281
21603,-18.897553507487
21602,-20.8503580729166
21601,-21.6938435872396
21600,-16.5033986409505
21599,-22.1688547770182
21598,-18.3816080729166
21597,-18.6754821777344
21596,-18.7976898193359
21595,-26.564306640625
21594,-14.3778747558594
21593,-14.1491963704427
