"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-9.29296849568683
21998,-13.2256492614746
21997,-10.3710070292155
21996,-7.14507141113279
21995,-8.91625696818032
21994,-6.29010874430336
21993,-7.60421854654946
21992,-8.62373453776039
21991,-7.74354146321612
21990,-8.67388890584308
21989,-11.3369964599609
21988,-8.17992502848305
21987,-8.36432622273761
21986,-7.62898356119789
21985,-8.86459579467771
21984,-8.11552658081052
21983,-7.95657068888344
21982,-6.43066126505532
21981,-8.40060653686521
21980,-8.4790952046712
21979,-7.29155069986977
21978,-7.12685241699216
21977,-7.30793355305987
21976,-7.05686289469399
21975,-5.88759969075519
21974,-7.08769836425779
21973,-7.58010330200193
21972,-8.63152033487953
21971,-7.01483764648435
21970,-8.8522641499837
21969,-8.05113321940102
21968,-7.62293853759763
21967,-7.37311147054034
21966,-9.0283747355143
21965,-9.3363327026367
21964,-7.27861633300779
21963,-7.09658152262368
21962,-8.0503105163574
21961,-8.44596964518227
21960,-8.21623331705727
21959,-9.1694257100423
21958,-8.21143442789711
21957,-6.467632039388
21956,-6.68970845540362
21955,-5.96045786539711
21954,-9.04872614542641
21953,-8.19362996419269
21952,-9.82059834798175
21951,-7.26386108398435
21950,-7.62534815470375
21949,-7.41521809895831
21948,-7.90166829427081
21947,-7.58166732788084
21946,-7.68140640258787
21945,-7.25096740722654
21944,-6.25857899983722
21943,-10.2310877482096
21942,-6.7593686421712
21941,-10.1248255411784
21940,-6.74364191691078
21939,-7.6949155171712
21938,-7.49814580281573
21937,-8.54457575480141
21936,-9.32043431599933
21935,-8.20407969156899
21934,-4.65308990478513
21933,-7.53867568969724
21932,-7.81452153523761
21931,-9.4269088745117
21930,-6.76398696899412
21929,-7.54224624633787
21928,-8.22442347208657
21927,-8.112651570638
21926,-6.9993957519531
21925,-7.84350687662758
21924,-7.50778935750323
21923,-8.31892369588214
21922,-11.5610438028971
21921,-7.2366152445475
21920,-10.5518809000651
21919,-6.72156626383461
21918,-7.005717976888
21917,-8.07415491739907
21916,-7.19443359374998
21915,-7.64611790974933
21914,-8.21967417399086
21913,-8.60499038696287
21912,-7.80676625569659
21911,-8.57797724405922
